,date,funny,business_id,text,user_id,useful,cool,stars,review_id
70156,2011-11-15,0,S-oIZWzHhTRF3iqqQMvYoA,"Good, fast Mexi-American food at a reasonable price.

As other reviewers have pointed out, Zabas is similar in menu to Chipotle, but with more protein options. You pick you meal (burrito, quesadillas, salads...), your protein, your preferred salsa, and your add-ons. I had a pulled steak quesadilla. It was basic, and a bit too greasy for my tastes, but the meat was both good and plentiful. 

Located by the Kohl's and Petsmart in the NW corner of the city, it's not a place I would go to specifically, but it is the best of the food options in the area.",lXCZe0xAd7DwV5aARJu92g,0,0,4,pRk81mAzEjaUWfHUafYiUw
75989,2018-01-03,0,S-oIZWzHhTRF3iqqQMvYoA,"If you eat here bring cash! My account was double charged three times in one day. We were told this was a bank glitch however the people we talked to today 
said this has been happening to people since November! 
Initially we spoke with Zabas last week and are still waiting for a resolution.  We even offered to accept store credit but they refused as it's a bank issue.",nvjbqWFIYjkNeApVb8VpFw,0,0,1,Juf301FNANREYL-kX3nsXA
90476,2013-04-27,1,S-oIZWzHhTRF3iqqQMvYoA,"I really like their fish tacos. I always order the fish tacos but this past week I ordered a burrito, OMGosh it was huge!! My son always gets the burrito so I had to try it! It was big enough for two people! I really loved it and the prices are affordable.  For the 3 of us the cost was $24.  Two big huge burrito's one fish taco, 2 bags of chips!",1tRZCWlt2BEm9FlTaaiGLw,2,1,4,0PspuhKNFZz7Q2ak_k8VwQ
168403,2016-04-10,0,S-oIZWzHhTRF3iqqQMvYoA,"Love the fish tacos! My boyfriend won't eat any fish but these, they're that good. The steak tacos are also good & the burritos are huge. I find this way more relaxed than cafe rio or chipotle and the ingredients are really fresh.",fOCUu6ski-z3erz11ibvtg,0,0,5,GrpF1xIOm8-NHWZxVY3Zjw
169269,2016-05-08,0,S-oIZWzHhTRF3iqqQMvYoA,Love the restaurant has great food and the prices are reasonable great service. Everyone in the family has something good to eat and loves it to. I love to be able to see them make the food in front of me and see everything they add to it so it is the way I like it.,YQdEjcw_-cxloRhFco6atQ,0,0,5,vsCqTYa9Wox_Hg3Q5S5Kiw
247210,2014-06-19,0,S-oIZWzHhTRF3iqqQMvYoA,"The food we ordered was fresh and tasty. We will return, but hopefully they will have cleaned (dusted) the rafters in the ceiling. When the door opens on a windy day...you can see the dust bunnies floating around and down, to your table (plate). Just look up when you are sitting in the seating area!",RPECySthEg2QOL980nPQKQ,0,0,3,2wzfrt3TzeZwVSV2fnR0XQ
251282,2017-02-03,0,S-oIZWzHhTRF3iqqQMvYoA,"Absolutely excellent. Anyone that likes Chipotle must try this place...it's a local chain that puts them to shame. How? 

1) sweet potatoes! They offer sweet potato pieces as options for any of the entrees (burrito, tacos, bowl, etc). Whoever thought of putting this in Mexican food is a genius!

2) option for wheat tortilla! Tastier & healthier makes it an option that every build-your-own Mexican place should have. 

3) more generous portions. I've been to Chipotle about half a dozen times...the burrito I end up with there weighs maybe 1/2 to 2/3rd that of Zabas...it's amazing how much fresh ingredients they can fit in those Zabas burritos!

Over the past year and a half, I've been here over 50 times, and it's always been a great experience.",MylZok_QTFUPTVsrX27lEw,0,0,5,83br54htkRdBCUZQQqtUZQ
278205,2010-11-30,0,S-oIZWzHhTRF3iqqQMvYoA,"If you like Chipotle and that type of Mexican food and want it just a little bit healthier, then Zaba's is the place!  Besides the normal Chipotle flare they add shrimp, whole wheat tortilla's and brown rice into the mix. Making it that much easier to make your food that much better for you.  Not to say that those choices alone make it healthy but it gives you more options to do so.  Overall it's a great place when your craving a big burrito!",aT_AzbpcsbodNNtFzPqRVg,2,0,4,_KBS6fsNH5vr8d2fgRQ6TQ
283661,2015-02-27,2,S-oIZWzHhTRF3iqqQMvYoA,"7:30pm on a thursday - noone dining inside but a line of ppl waiting to order so i assume its worth the wait. (My 1st time here)

The employees seemed like a nice and laid back group of ladies. For some reason, my husband and i got pushed through along with the 2 other ppl ordering behind us and the lady at the end of the line at the register put my order in 2 different bags, mixing up mine and the other 2 orders. So instead of listening to her co-worker who was trying to help, the cashier gives free food away but charges for extra sides of chips/guac/salsa/sour cream - $4 guac must be equivilant to a chicken burrito. 

Anyway, the food was decent. Nothing spectacular and nothing stood out to me. The fish tacos are similar to Rubio's fish tacos except Zabas are dry. If you want a BOMB fish taco, go to Rubios.",Fc5wACYVg9215AZPm5lHXA,0,0,3,wG6mHaKM2JNdq_XyR7LCuQ
342361,2017-04-27,1,S-oIZWzHhTRF3iqqQMvYoA,The ladies thay work there act like they get commision on how much they domt give you. I orderd a bowl with no rice or beans so i had plenty of room and yet she gives me a little scoop of lettuce.I asked for more and she got an attitude..WOW its LETTUCE! I asked her for green salsa on the side and she gave me 1 with for 2 bowls lol...real bitch!,j6rJIbEZdXy0mBwMKppvig,1,0,1,RlLu3bgU9Q1XYodMYMlHQA
346043,2011-09-23,0,S-oIZWzHhTRF3iqqQMvYoA,"I swear their potatoes are magical.

Imagine a Chipotle setup, but with a slew of healthier options.  I don't ever order the healthy options...but they are there if for some reason you want to feel better about your enormous burrito.

You can fill your whole-wheat tortilla with brown rice and sweet potatoes.  Might I recommend the regular potatoes, however?  They are just yum-tastic.

Not the greatest meal you'll ever have, but a good, cheap, huge burrito to fill you up.  I like it better than Chipotle.  And it's a local business, which is always a good thing to support.",ELfzWgdf64VBLi5z1ECItw,4,0,3,D-jbfY5C1M5x0znUhMl24w
