,date,funny,business_id,text,user_id,useful,cool,stars,review_id
30835,2015-08-08,0,SRCepG6PbMvwKcfIUjk8bQ,"A to be honest i am a fatt man so i know what is good food obviously. .so im telling you this
That this place is so good huge burritos and awesome
Hospitality. .good spot and some bomb food
Thank you cilantros...",llJGj1aZx0MseU8xGD7fIg,0,0,5,8Jzj4_3kH53J3qdGWZjyLg
32091,2015-03-06,1,SRCepG6PbMvwKcfIUjk8bQ,"It smells like wet moldy towels when you walk in. The restaurant looks like any mix can restaurant hole in the wall. You think it's counter service, but a gentleman name Juan served us. He was quite pleasant. My husband got the street tacos and I got a burrito. Their chips weren't fresh, I actually thought they were store bought and then my husband saw them cooking them. The ones we got must have been old. Their guacamole was ok. Tasted like Costco guac. There was very little meat in my burrito, but the meat was tasty.",-ouzfV5nm0Fmv3JRLXegmQ,0,0,1,KrCXC8UpDZYtkMoE9TP9FQ
34568,2015-07-18,0,SRCepG6PbMvwKcfIUjk8bQ,Came in  because it was close and we were too hungry to drive around to find a place to eat . I am so happy to find this spot because its my new favorite place to buy a burrito . The carne asada burritos are amazing . Great quality and the staff is very welcoming . I will definitely be a regular .,MkTo0vfnLa0Xp4XH3JAmxg,0,0,5,96AX9OKuV5AURU9OjoNUew
44117,2014-01-11,0,SRCepG6PbMvwKcfIUjk8bQ,"Great Place! Super clean, the portions are large and the taste is amazing. They have 4 different salsas. I recommend the Maya salsa.",qGjA1FjREOo0hxySUTeACA,0,0,5,neOJilI3FlIWWEdUl-gQZw
53196,2013-10-30,0,SRCepG6PbMvwKcfIUjk8bQ,I work down the road and love stopping in for a quick bite to eat. Always friendly and great customer service.  They give a 20 % discount to veterans!!,Rw4cmAli-sEBDVtOJYu-Ig,0,0,5,C22Pl7wBn8T3UlXDbHkEig
68782,2014-02-16,0,SRCepG6PbMvwKcfIUjk8bQ,Amazing.  So happy to find this little jewel.  I have a hot sauce addiction and all four of the sauces I tried were exceptional.  Was ready to go back the next day and do it all again!  I'm on my way there now,nbXA7JN7KX2e7eFzbg1Ujw,0,0,5,QV3mX75b9ZH8DzfGPWAhow
82202,2015-05-06,0,SRCepG6PbMvwKcfIUjk8bQ,"I ordered the Asada fries. They weren't that great. Soggy fries before I even tried to drench my fries in the half empty containers of green sauce. Very inconvenient if your a ""to-go"" order. Tried this place again not to long ago and I still feel the same about this plate.",m9KhtY5lzbcQxXJQHBTCAQ,0,0,3,0_CLBdSAAzM1_K7UPcKeHg
83721,2014-05-15,0,SRCepG6PbMvwKcfIUjk8bQ,"LOVE this place!!!! My fiancé and I go there all the time! They have fantastic options, reasonable prices, and friendly employees. We always get the tacos el pastor- they are delicious! They also have ""elote,"" which is fresh corn on the cob, covered in spices, mayo, and cheese. It is delicious!!!!!!!!!!",nCNKoz7R0RMzSM9jTsP1TA,1,1,5,et4FJmCccbFencQ6wuvEXw
93070,2015-02-18,0,SRCepG6PbMvwKcfIUjk8bQ,"The food is great but while they kind of go out of their way to serve you, but it's not really serving its hindering service by adding too many steps that dont need to be there. For instance, looking at the menu over the counter they ask if you'll be dining in, then, they make you sit down and wait for a menu and then wait so they can finish what they are doing in order to wait on you, once for drinks, again for food and again to ask if you want chips between all of that. With drinks why do you have to sit and wait when counter service gets them immediately? I probably waited 10-15 minutes longer for my food than if I ordered at counter. If they would have let me order at the counter, I could have conveniently sat down with my drink and they could bring out my food.  I dont care about ordering at a counter, I just want to eat and get on with my day.  The food is excellent but was there nearly an hour. Cilantro would do better to serve hungry customers more immediately and take the pomp and circumstance (and awkwardness) out of their ""dining experience"".",OP9OJlAFn6r7t9rIZQ2mqg,0,0,3,kSHcczS43J82ApPHi8Mk8Q
102527,2015-04-15,0,SRCepG6PbMvwKcfIUjk8bQ,"Never eating here again! I love Mexican food but this place here sucks! It's overpriced and the three or four salsas they put on your table are awful, I couldn't even eat it I ended up getting my money back. This place gets more business than it should, they don't have anything on the Pollo Mobile on the corner of Smoke Ranch.",tGKvbCKsT30Zow6FnPmxYQ,0,0,1,sJ6PGwEZXqCIHVBFI4Xqpg
113516,2014-12-17,0,SRCepG6PbMvwKcfIUjk8bQ,"Not bad, my first time in Vegas and we stopped by to grab some luck before heading back to work. 
Food was good. 
We ordered some chips and guacamole, the chips were nice and crispy and still warm. 
Tacos were ok, nothing special. We also ordered a sope, and that's was also good. 
The place is nice and clean, not a lot of customers. 
I really liked the customer service, the guy serving us was very attentive and courteous. 

The restrooms were also very clean. 
I would come back again.",MMenmt_zP6nak8Xuz1OVrQ,0,0,4,2XHtT783H46aXkcoUKpfyw
114420,2013-10-11,0,SRCepG6PbMvwKcfIUjk8bQ,"First things first, this place is clean top to bottom, based on my restaurant mgmt background the A rating is for real. The  food is amazing, the sauces and the salsas are obviously family recipes (unlike your standard taco shops) The staff is friendly and helpful.  This place is a step above your everyday Taco Shop, and the prices vs quality is unequalled in this part of town. This place is the real deal, and I've eaten my share of Mexican food! Don't even hesitate, just go!",X-A5fzOcN0GpcTSCdVJeeQ,0,0,5,yOmAj5uChD9yQ2YJ1gRaTQ
188624,2014-09-29,0,SRCepG6PbMvwKcfIUjk8bQ,"High priced FROZEN food......
The only possitive part of our visit was the nice waiter. No AC only a floor fan by the salsa bar. 
The food quality was awful.  Home made fries, NOPE actually frozen (also not cooked correctly). 
Fish Frozen! Carne asada, no flavor. 
2 quesadillas, 5 tacos and an order of asada fries total bill $48. 
Best part, everyone in our party got sick.
DON'T WASTE YOU'RE TIME OR MONEY.....",RPGLSJsDtW2l-TU1fcrqqw,1,0,1,4Iz9z7SN0Nb6c6Jqk4c3kA
260182,2013-12-18,0,SRCepG6PbMvwKcfIUjk8bQ,"Just randomly found this place when driving by starving. Saw the reviews and decided we'd give it a try. 

Wow! How delicious! We ordered tacos of different types and a burrito and they were all fantastic. I think it's family owned? The guy taking our order was awesome. Came over checking on us bringing us anything we needed. 

This place is a must try. Delicious.",VEYxZ-CC9s--dkLUYTTCLg,0,0,5,xihNTddHdgkdoMET6hEoUA
281016,2015-11-11,0,SRCepG6PbMvwKcfIUjk8bQ,"This is basically a take out place with 10 small tables crowded in.We came here because we saw their commercials on television, which makes the place look a lot large than it is.  They advertised 'happy hour,'  which consists of $2.95 bottled beers and $1.50 street tacos.   Menu has basic  Mexican staples.  While the restaurant wasn't obviously dirty our table was sticky.  Fast food restaurant Pollo Loco has better atmosphere (but no beer). I ordered a Chili relleno burrito, which consisted of a small chili relleno wrapped with a huge amount of rice inside a flour tortilla.  Ugh!  I have no idea what the cook was thinking.  Never, never, never.  And at $8.  My partner ordered enchiladas, which were not bad, but, not any better than we would have gotten from the grocery store and heated up ourselves.  We ordered four tacos, which were the best part of our meal.  For happy hour the tacos  cost $1.50 apiece; Outside of happy hour they're $2.  The food truck across the street sells the same thing for $1 apiece with no happy hour requirement.",3____Pc_RF_7TnGuQdGJpw,0,0,2,n1L08a8bAjRQAJ6XxMCHVQ
290738,2015-07-13,0,SRCepG6PbMvwKcfIUjk8bQ,The wet burrito is always winning. Customer service tends to be a hit or miss. The food is fresh and packed with carne asada.,WA0DAT3APD_MDkM6BnoKUA,0,0,4,YjtL-AVSEpMXqcwCIacSpg
