,date,funny,business_id,text,user_id,useful,cool,stars,review_id
17666,2014-04-04,0,SU56w479vUfFHsvmvQIf7A,"Lunch buffet: of all vegetarian dishes, all but saag paneer were tasteless. Naan was very good though, fresh and plentiful.",Pp9zInpbFK0KMrswNCj-pw,1,0,3,L-o_oXsu5mn7T1hCVC29fQ
32392,2014-05-30,0,SU56w479vUfFHsvmvQIf7A,"I love their samosa chaat, every time I'm in Vegas I just go here for samosa chaat. It's amazing!",PjeIkF52NW9L13Uz5RZxDQ,0,0,4,E4ZJaVzTFYrcRlo79NMnlQ
43948,2015-09-07,0,SU56w479vUfFHsvmvQIf7A,"Worst food ever in my life. Asked for 3 vegetables and all had the same shitty gravy and when we said that all have same gravy the manager is fucking proud to say ya we have same gravy in all vegetable. 
Seriously the restaurant should learn and should not defame the name of Indian food.",yZlL4XmBQA0R4WEuhqOa_w,1,0,1,RkgLC0nJzDSfJcNsdBfnvw
73426,2015-01-19,0,SU56w479vUfFHsvmvQIf7A,The food was great. The flavors seemed authentic. The food seemed to be made from good quality ingredients. I would definitely go back.,_Ryxp7HIcV1cBaUeCptS_A,1,0,5,jxFy_ppbEo2Y9r9QNTWesQ
192576,2008-12-27,0,SU56w479vUfFHsvmvQIf7A,"2.5 stars really, overall ... meh sums it up.The whole thing just lacked flavor, which Indian food is all about, right?  We went to thier brunch buffet the food was ...meh, the deco was ...meh, the service was good the waiter friendly, there were not many people here when we came usually that is a bad sign. Its was only $10 each for all you can eat so we didn't feel it too overpriced like most things in vegas.",vwzHug7oQZKDXFetjSutmA,1,0,3,DObol5zWXJ11g_Yqy3ZMNg
230943,2014-08-31,0,SU56w479vUfFHsvmvQIf7A,"I've been coming to India Oven for their buffet lunch for more than 10 years - since they were on Sahara west of LVB. 

Food & service is always consistent. They have the best naan!  Favorite dishes are their chicken kabobs (spicy), samosas, spinach daal, and this rice-milk dessert they have with cardamom spice and almonds. They cook their tandoori chicken on the bone traditional style- it goes fast at the buffet so get there early!",0qka5xnvBpBm7ZfGsU9oCg,0,0,4,-jWosCHuduoomDbP8bSHng
290337,2016-06-05,0,SU56w479vUfFHsvmvQIf7A,"Buffet was ok
Tasted weird sometimes
Good decor
Good catering service
Delicious chutney",ee8KWxnWWoPvD3N8qvSSFQ,0,0,3,vpU10algQoRemVeECvjLFQ
293504,2008-12-27,2,SU56w479vUfFHsvmvQIf7A,"I had a lunch here with my wife when we were getting out of las vegas. Actually I was planning to go to Origin India and landed here when I did not get the correct directions to it. This place looks okay and the service is also average. Everyone is very busy and does not wait to get an answer. The lunch buffet had egg curry, spring rolls, veg curry, tandoori chicken and other items listed. The spring rolls and tandoori chicken were mostly empty and not refilled. The dal was pathetic and the rice was also not good. The desert pudding was too thin and made me think it was a fruit juice!! Over all this food is a very sub standard indian food and would not recommend it to anyone. The owner should be happy to have a crowd (wait time is almost 30 min) and must make the place much better so that he does not loose the clientle.",ViSbGmB6JCF6Mi_4KCTI4Q,1,0,1,H8EwQRkBWf4pSu8aRd8zhA
382152,2015-12-27,0,SU56w479vUfFHsvmvQIf7A,"They catered an event for about 40 people, excellent authentic food. The awards up on their wall are there for a reason.",4p9Bom_9Xj7-cww6ibpLOQ,1,0,5,1PVVsKmB3FJGl6j1H8SI9Q
437631,2016-03-02,0,SU56w479vUfFHsvmvQIf7A,Ok overpriced portion size was ridiculously small will never go there again they charged 15.00 for a tiny portion of food I will recommend that no one goes there !!!!,s1vnweYaLP8Z9lxeRNnDSw,0,0,1,4-u0blbnSO_BRXdMv7vpgA
454355,2015-03-29,0,SU56w479vUfFHsvmvQIf7A,"Visited Vegas found this place and was happy my ordered biryani. After tasting the food I felt it should have been named as nasal rice than biryani. Very much disappointed with taste of the food. My friends ordered vet thali and it also very disappointing taste. Not a single curry was tasty. And not at all worth what we pay for the food I would suggest do not unless you got money to waste. Unfortunately the response of the supervisor was that ""we can't help it"" not even ready to accept the feedback and surprise is that before serving they requested us to give feedback don't know for what ;)",QAnscEIWUaQMAd9ECsvISQ,0,0,1,CqJ5Vldw1YDXfi71lvWMsg
467540,2012-08-29,0,SU56w479vUfFHsvmvQIf7A,"I would classify it as an upscale Indian Restaurant - nice interior, tablecloths, cloth napkins, lot of silverware, etc...

Food was excellent but I think over priced.  Service in general was good but it took a long time for the food to come out even though it wasn't crowded.  Curious because we sent one of the dishes back because it was too spicy and a replacement came back fairly quickly which made us wonder why our original order took so long - like half an hour.",BeOC3q6tyFIl15TjQpvU1A,0,0,4,W5nGLVqQyJ6jFHgci2E_PA
503033,2015-04-30,0,SU56w479vUfFHsvmvQIf7A,"Always loved their food, I hadn't been for a few years though  so I decided to take my hubbby there for dinner.
Food was good but customer service was terrible. Manager was a complete ***hole and we don't plan on ever going back.",_UsVXsG9FfmH0VTTkUJTHQ,0,0,1,6JPutgmSmzpUG476OwDatQ
533782,2014-08-09,4,SU56w479vUfFHsvmvQIf7A,"When you enter Indian Oven, you may notice a strange smell. Ignore that. You may notice little man-puppets in the walls, don't ignore that, because they are cool. You may also notice that the staff is friendly, this is because they are cool dudes. At this point, you may notice the prices are a BIT high for what it is, but ignore that for now too. So you ordered, and your food is at your table. Take note of how amazing it is and how you are transported to the gates of heaven. There you will see an angel at the entrance, he will ask your name. You tell him. 

He looks through a book, and starts to get annoyed. ""Oh damnit"" he mutters. ""You're eating at Indian Oven aren't you?"" he asks. You tell him yes, and he asks you to please stay out of the main entry line, this happens often when people eat at Indian Oven.  

You will return to your body, and your body will be happy for what it has inside of it. Yes, the prices were a juuuuust a tiny bit high, but it's vegas, and you could have wasted even more money on a place that totally sucks. 

You will get up, and leave a tip. Bow to the waiter, bow to the owner, exit the building.",r5IYeIoGdGQOSVoShIfw3Q,3,3,4,09sYjN2CwRx4-irHKmz5OA
