,date,funny,business_id,text,user_id,useful,cool,stars,review_id
276937,2012-12-10,0,SvIXTIcPjZFrSHb8w-xtBg,I went here not expecting much and got a lot more than I bargained for you can tell they use good quality meat the service is great and the price is excellent I would definitely recommend people here best taco stand in town,XgBJX_aA1kO99ki5l1DeAA,0,0,5,1Jiyp4kjMRy1vkPI1kRvMA
844609,2016-02-02,0,SvIXTIcPjZFrSHb8w-xtBg,"OK so let me just start by saying that I literally drive 20 miles just to eat at tacontento.
My boyfriend (alberto)is very very picky with he's food and I would never thought he would give a food truck a try,but he did and let me tell you guys that he is addicted!!!since we live soooo far from this food truck we go once a week and every single time the food has been amazing.
The guy in the register is super nice,the ladies cooking look very clean and have the passion to serve the best of the best.
Do I recommend this location? Oh absolutely! They have so many choices of meals and meats to accommodate anyone's appetite.

Keep up the great work/food tacontento! :)",UUdJuYFTBzzCamgj7lyc4w,1,0,5,qV6tklReiXUgiDrOJkW1Ig
945108,2016-11-12,0,SvIXTIcPjZFrSHb8w-xtBg,this is some of actually the best tacos I have had in Las Vegas.    top notch service and the care put into the food.  will be a steady stop on my way home from work.,G_v7DL4oCZu0G7juENAdfQ,0,0,5,8TcERAFLAYan_H2SUqlD9g
1306526,2018-05-31,0,SvIXTIcPjZFrSHb8w-xtBg,La mejor comida ven y prueba esta en Jones y Vegas  dr los tacos vegetarianos son una delicia todo esta delicioso cien por ciento Recomendado,cGUA30SfLDiJudSFwCdV3Q,0,0,5,oJuTqPXmOwKJHV-GnK8VBg
1318794,2013-05-29,0,SvIXTIcPjZFrSHb8w-xtBg,Best tacos and burritos period. I go here all the time this is the first food truck i have ever been to and i can say i was not disappointed very nice people work here im a loyal customer now.,Zs23veibG40ItSmZkM6R7w,0,0,5,76PnOLrOibDZt6WV0jgVYA
1477122,2018-05-31,0,SvIXTIcPjZFrSHb8w-xtBg,"Sin duda es la mejor comida aquí en Las Vegas cien por ciento recomendado este lugar muy buena atencion las tortillas echas a mano todo muy limpio y la comida fresca es una delicia las aguas Jamaica y Orchata son únicas tienen que probar estás deliciosas aguas dirección 
6101 Vegas Dr esquina con Jones  adentro de la gasolinera abierto de 6 am a 10 pm",2CAzIerj8ZqtOyNIilVcNQ,0,0,5,6tsLh4WE-UprI1NdKnOMNA
1552641,2017-05-16,0,SvIXTIcPjZFrSHb8w-xtBg,"Hidden gem in north las Vegas.  If you are ever near Texas station, hit them up!  Sooooooo good.",Pub1A9LA1NSg7jNJjbUPJA,0,0,5,EZpPtuWs0sQ0fTt-TqXWUw
1607908,2012-12-12,0,SvIXTIcPjZFrSHb8w-xtBg,"Drove by one night to try their tacos and we also shared a Huarache. The Lengua and Al Pastor Taco were good, but the Birria on the Huarache was very tender. Try them out if you're in the area!",lT49-Xggq_VAB2E9dce0yA,0,0,4,2eWpJgOi80mUcdQJtUUCxw
1658136,2014-06-10,1,SvIXTIcPjZFrSHb8w-xtBg,"The price is great, the customer service better, and the tacos OUT OF THIS WORLD!!  Handmade tortilla, and a tasty flavored asada.  I highly recommend this place to anyone who wants their taste buds to thank them.",lqNa-5DNU8fDdTn0BzI2_g,0,0,5,CETEuYqaIwzaBk6rXa_0bQ
2076415,2017-10-27,0,SvIXTIcPjZFrSHb8w-xtBg,ill just drive another 5 minutes to Tacos El Gordo next time i want tacos.,pnvvV9vCmmAffY8ll50noA,0,0,2,BFTmljfkqdYqmutUc177nQ
2235944,2012-10-31,4,SvIXTIcPjZFrSHb8w-xtBg,"Good, friendly service is not something I've come to expect from a taco truck, but El Tacontento delivers service with a smile almost as big as the grinning, sombrero-wearing taco painted on the truck. I drive past this newer taco cart on my way to work, and one thing convinced me that I had to try it: the name! This stand in the parking lot of a tire shop across from Fiesta Rancho and the Westwind Drive-In Theater recently replaced another mobile vendor with not-so-memorable tacos and a name I can't remember.

I requested a veggie burrito and was offered pinto beans, rice, cheese, lettuce, salsa, and crema inside a large flour tortilla. The rice was well seasoned and the Mexican-style sour cream made it even more delicious. I'll be back for this burrito for sure. My husband ordered a taco de birria and proclaimed it very tasty for his first time ever sampling birria. He was given a choice of corn tortilla: regular or fresh. Of course, he opted for the freshly pressed and griddled masa. Our total? $5. They offer bottled beverages, but I'd definitely like to see some horchata or other aguas.

The man and woman who took our order and prepared our food were so friendly and helpful that we will certainly return for mas tacos y burritos. Gracias and cuatro estrellas for El Happy Taco!",PSI7wvuqEhhV9Jh_fP2eZQ,6,2,4,b3Y56XwAHpix9MrxGOmTbQ
2324846,2016-09-27,0,SvIXTIcPjZFrSHb8w-xtBg,So I was really hungry one night an I was in the area then I seen this taco truck on the corner so I decided to stop by an check it out. Not my regular place but I must say they were pretty good an I will return,OL3uR577CFJSs7wv9WkNzA,0,0,4,lB-_UsDrThZrp13C0ui2lg
2528298,2017-05-31,0,SvIXTIcPjZFrSHb8w-xtBg,So I went here for lunch I ordered 2 chicken tacos which were more bone than meat and the rice was burned. Never again,l7Glahzb7cX0Zjlv_FTrrQ,0,0,1,pQzLF5FnvS19Z8PYferu4g
2779346,2013-12-05,0,SvIXTIcPjZFrSHb8w-xtBg,I have to say that this place is the best in LAS VEGAS... F@#$ Tacos El Gordo and PEPEs tacos... Plus the customer service is a big plus here. I am from San Francisco and it has been hard finding a good taqueria.. Hands down on this place.. The tacos are made with hand made tortillas. I totally recommend this place. We go once a week. The owner and his wife are so sweet and remember their customers names. Great place to get a fast service.. Their champurrado is awesome..,2su9nhIO_RbgAk76hEQj9A,0,0,5,Owx5BKjIEC_c7WYuWFuIxA
3023193,2013-07-28,0,SvIXTIcPjZFrSHb8w-xtBg,Yum!  So glad I checked Yelp (yet again) when deciding where to eat tonight.  I've seen this taco truck several times on my way home but am always sketchy about which ones are good since there are so many!  The photos on the reviews were awesome and I saw that I could call to place a to-go order.  The woman who answered spoke very clear english and explained to me what a Huaraches was.  I'm glad I decided to try it.  SOOO tasty!  I got the carne asada one and a carne asada taco.  Everything was very fresh and delish.  I can't wait for the bf to get back in town to take him there.  They're going to be getting a lot of to go orders from me!  :),zbRjeEkON8EXFk_VrcTAiA,2,0,4,0qs1Ms1N8SlRBivfTwaX7A
3244872,2018-02-07,0,SvIXTIcPjZFrSHb8w-xtBg,"B E S T T A C O S *I N* L A S V E G A S!!! You need to try this place if your looking for delicious and authentic Mexican food!! The location I always goto is the one on Vegas Dr. & N Jones blvd. It's inside of a gas station which I was skeptical about at first, but don't let that fool you!! This place is AMAZING & the customer service is A+. They're prices are good & affordable, & they make your food in a timely manner, so if your looking to spend your money anywhere, do it here!!!!!! Please make sure you $TIP$ them, it's well deserved & the way they always greet you with a warm smile should never go unnoticed!!! Shout out to Alvaro & his girl for always making me & my family come back for more!!!",R5ELcVG6-rGMTsOZyxeUzQ,0,2,5,JVM8SfjA1xc3LYNjcS9nJg
3568392,2016-05-27,0,SvIXTIcPjZFrSHb8w-xtBg,Our favorite spot. The prices are normal for food truck tacos here in nevada. But their service and food quality is top notch. Lets just say they are not stingy with their meat or salsas. They have salsas out for you to choose and take if you get togo. Everything is fresh!!! Lucky for me it's not too far of a drive away. Love that they are open later hours than other places. The only downfall is that it's hard to find parking.  If you haven't tried it you should. Beats tacos El Gordo and their $2.50 tacos. This place never fails me.,aCst736y4WZPO9Hz62D-mQ,0,0,5,FYFN1aVFHM_sXhIs0ewSpQ
3600241,2012-11-29,3,SvIXTIcPjZFrSHb8w-xtBg,"The first time we drove by El Taconento was on a Sunday evening and we were bummed to find out that they were closed. On our street taco scramble this past weekend, they were opened, and they had a small group of people waiting for their orders which was also a good sign.

Run by a husband and wife team (I think) they have a nice selection-Tacos,Tortas, Quesadillas, Burritos and something no other vendor offers, Huaraches(Slippers).
They also offer six types of meat selections-Asada, Lengua, Cabeza, Pollo, Al Pastor(He has an Al Pastor Carousel inside) and Birria, another thing no other vendor offers.
Traditionally made with goat, Tacontento's version is beef, kinda sorta like picadillo(if you had Cafe Rio's Chile Roasted Beef, it is very similar to that)

So we shared a Taco de Al Pastor, Taco de Lengua,($1.50/each) and a Huarache de Birria($5) The al pastor had very good flavor with nicely charred bits, and the lengua was oh-so-soft and tenderlicious! There's nothing like a fresh handmade tortilla, and this is the only way tacos are made here .

The Huarache is a 1/4-inch thick by 10-inch oval of masa that is griddled to perfection
topped with beans, meat of your choice,shredded lettuce, crema Mexicana, and Cotija cheese.Just as good as the ones I've had in the streets of Cancun, and much tastier than the huaraches served at Los Antojos. Wait times vary, depending on how busy they are, but if you are patient, the food served up here is definitely worth the wait. easily becoming one of my favorite street vendors...ALOHA!!!",3nDUQBjKyVor5wV0reJChg,9,7,4,V02JWfRulWOOYCn0fEBZuA
