,date,funny,business_id,text,user_id,useful,cool,stars,review_id
2713,2014-08-31,0,SwAZBCyFtVo_8vkRbJhdkA,"A friend and I started with the Burrata... Really great char on soft crusty bread with chimicurri, creamy Burrata cheese and tomatoes. Yummy. Next we split the kale and corn salad before splitting the fried chicken. The food was all yummy. Splitting the salad and entree was super smart. The portions are large. 
The waitress grabbed a seat with us to chat, checked in on us enough to be cared for and the perfect amount of leaving us to our  ourselves so we could talk. Loved it and will be back soon.",7lxEzQEcVTsuRebyA7hfhg,0,0,5,QzBgW94i6N-kJRlij5FrCw
21714,2016-10-08,0,SwAZBCyFtVo_8vkRbJhdkA,"Loving the antipasto menu, fireside. It is so fresh, the cuts of meat are beautifully sliced. Delicate, tender & they just melt in your mouth with the selection of cheese. I'm a huge fan! This place has the ambience dialed.",clVN_7AYd1NvfVILjX-bWw,1,1,5,jImsxylxel45cYQoqDwa0g
25759,2014-07-07,0,SwAZBCyFtVo_8vkRbJhdkA,"The food was fantastic- the customet service was awful. The waitress blatantly ignored us while we tried to get her attention, then she went off to dance and laugh  and he bffs with the hostess while completely neglecting her job. It also took forever to get our meal.


Definately get the pretzles and the burger though!",VHB4g9UOrenRl7IsHaxb-g,1,0,3,pE3OsrPKlpG0R0VpJHbqPg
41929,2015-08-23,0,SwAZBCyFtVo_8vkRbJhdkA,"This place is fantastic, and that's comparing it to ""real"" restaurants, not ones located inside casinos, which can be hit or miss.  I've been coming to Hard Rock for 10 years and this place flat out kills it. Delicious, well-prepared, fresh, tasty food with a wide variety of menu items. It can be kind of a pain to hop in a cab every time you want to eat a meal, but now you don't need to.  Breakfast, lunch, dinner, any of those will be delicious.  The fried chicken is awesome, as is the kale salad with crispy shrimp.  Service is great, too.",96l2AEP1M1a0PNbDNZGIOQ,2,1,5,08UWDhHHTY-LDEkoBggy-w
48783,2014-05-27,1,SwAZBCyFtVo_8vkRbJhdkA,This is a great place to go if you happen to find yourself at the Hard Rock wanting a good meal and decent price. It's my favorite of all the places in the HRV.,oBqSICXjbsGwTh9B6-zOwA,2,1,4,zXyozOiHWVKuBXOFDTpxVQ
50758,2012-10-20,2,SwAZBCyFtVo_8vkRbJhdkA,Food and ambiance was AMAZING!!  I was being treated by some awesome friends for my birthday and it was my first time dining there..... The place and staff are fantastic!  Our waitress was friendly and informative.  The manager was sweet and she even brought out my birthday dessert.  Thank you Culinary Dropout for a beautiful and memorable birthday!,h_V_GRaPreF1tK9R4Pi5uA,4,4,5,hD2K6tu9dYlsN6jpmbf9yw
56481,2015-12-01,0,SwAZBCyFtVo_8vkRbJhdkA,My husband and I decided to eat here the other night and had a great experience! Wes was our server and was very knowledgeable and helpful! His personality definitely brightened our experience. Would definitely recommend trying this place and we'll be back again soon!,cUlliaab6ss15HEhMmH90g,0,0,5,QUUAI6aJL4CX7E24GXP7EQ
71273,2013-03-23,1,SwAZBCyFtVo_8vkRbJhdkA,The breakfast burrito was really good and my friend enjoyed her bacon infused bloody mary. The view is nice if you're sitting outside and facing the pool. The slight breeze was offset by a nearby fire pit.,ME5w4_I1sxgS1HRvEJSp1Q,1,1,5,mmjIIkHHh6L_id3hh_9QQQ
75478,2014-08-13,0,SwAZBCyFtVo_8vkRbJhdkA,Culinary Dropout is the perfect gastropub feel without having to leave the strip. An eclectic menu for all tastes and a killer drink menu. The Sunday brunch is the mecca of all their offerings but with its location by hard rock pool you can enjoy the relaxing atmosphere any day you choose.,SteNphagTUp1El_BQpDawA,0,0,5,UKJXWccSzjI5AlancpM_JA
79399,2013-07-05,0,SwAZBCyFtVo_8vkRbJhdkA,"Absolutely phenomenal food!  

My wife and I were desperate for some good eats, but nothing too fancy.  We used to go to Johnny Small's at the Hard Rock, but took a chance on this restaurant.  We sat at the bar and had the best happy hour food we've had in a long time.  The draft beer was 3 dollars a mug (note, not just domestic... draft), and we got Grilled Cheese Sliders, Smoked Salmon Bruschetta, Kobe Beef on a Stick, Antipasto, and it all came in under 40 bucks!  Amazing wait staff, great bar staff, and this place is now officially on our top eats list when we're visiting in Vegas.

Thank you guys for such an excellent culinary experience!",zKG1m7-DZ-zINcOBAlF4hQ,2,2,5,wNWLTAcZyXcjWM-uEzsiPA
