,date,funny,business_id,text,user_id,useful,cool,stars,review_id
158664,2014-07-11,1,SwlY-14bP08sG248yfoBgQ,La comida es mala parece un lugar de mala muerte aparte tienen un mal servicio los banos apestan las cucarachas abundan muy sucio no voy nunca mas en mi vida,njxV-6Diu-MuCs_zdV5ymQ,0,0,1,qiaFKSfb3-zmWctupSVcvA
235473,2011-07-14,0,SwlY-14bP08sG248yfoBgQ,"The best Nicaraguan food I have ever tried!! Better than restaurants in Ca and Fl at least.

Dona Norma cocina muy delicioso: de todos los restaurantes Centro Americanos q conozco de Las Vegas, Miami y Los Angeles este es el mejor!!

Lo Recomiendo!


Gina A",ZAHDiUmiSyYLeCyvjfaoNA,0,0,5,Th4vGFvkg89QPG5uvacpdA
850541,2014-10-21,0,SwlY-14bP08sG248yfoBgQ,out of business!!!! was looking forward to having some good old fashioned nicoya food... it was sad. shut down out of business...  no more. shut down.,xMA6HZLlBYANFcx2mBf9XA,1,0,1,_IbMmlggjVZt2WfHYIBl-Q
1318786,2012-08-05,0,SwlY-14bP08sG248yfoBgQ,"Coming from a Nicaraguan family, I must say that this place is 100% aunthentic!!! The food is Fresh and good!! The prices are reasonable as well as the portions. The queso frito(fried cheese), gallo pinto(rice and beans), fritanga de res(seasoned beef), and tajadas(fried plantains)were on point!!!",H04rN5DLlXVr4eYqbGPwOA,4,2,5,fvLzaoec_F8InR3PQ9HPpw
1413951,2012-11-16,0,SwlY-14bP08sG248yfoBgQ,"I am Nicaraguan (like I lived there so I know how the food should taste) Dona Norma does a great job on cooking it right. They have friendly service and their prices are reasonable. I love their fritanga platter which brings beef (cabob style), gallopinto (rice and beans mixed together), fried cheese and fried bananas. If you are Nicaraguan and new to the Las Vegas area this is the place to go. Trust me other ""Nicaraguan"" restaurants in town don't compare.",ysOo5ZhDtv5SnfNlGjXR0Q,1,0,4,NrWOYzTLmD5pbVx4hpYomg
2043818,2014-07-31,1,SwlY-14bP08sG248yfoBgQ,This is one of my favorite Nicaraguan restaurant in vegas. This is by far the best authentic Nicaraguan food I have tried in a long time. The one in LA & SF are no comparison to this one. I m glad I stumbled upon this place. My partner found this place by pure coincidence while trying to find a mall around this area. I went there several times while visiting Las Vegas.,AWRlIXzvSXo2z44haYqYRA,0,0,5,npowX2G2ZUaY35YTjt1Xvg
2061988,2013-07-09,0,SwlY-14bP08sG248yfoBgQ,stayed in vegas a few days and was sick of casino/hotel/restaurant food. yelped some Nicaraguan options and this place came up. doesn't look like much but it's some of the best nica food i have ever had.,Sj9RKD9YVv-1v6BjoXRKiA,5,1,5,8JBMr6nUY_RTt3WrVFapWQ
2203628,2011-12-02,3,SwlY-14bP08sG248yfoBgQ,"Food was fantastic but don't expect to order off the menu. Just ask for whatever they want to serve you. No soap in the bathroom, they said they were ordering a new soap dispenser...
Most items were fried. The rice/beans mix was dry and bland. It feels like you're traveling in a third world country. First world prices.
My new favorite spot!",s6lgbrpOUFN7-B9fTjeONg,0,2,4,WitpL24yduUXvbc58Fe6SA
2767895,2014-05-08,3,SwlY-14bP08sG248yfoBgQ,"First off Half of the menu isn't available 


The Mexican cashier was really annoying asking where my parents were from, where was I staying at, where was I from, when I asked him to call a cab for me, he told me that he could take me to my hotel, I got really annoyed and walked out. 


Third the food was below average, the fried plantains were the only good thing out of the three things I ordered.",B0PfSIrjiMZY2Pv3N_Vdww,1,0,1,s9UueAVI9MREz3adhT6H9A
3012787,2013-03-27,0,SwlY-14bP08sG248yfoBgQ,Tastes just like home!...I also love to see dona norma is the one serving...this is the only nicaraguan place in town that I will eat at.the fritanga is bomb! The nacatamales are amazing!  And they have cacao!its worth every penny.... I absolutely love it here.,U-nr9z9a8wKNudFqEDe1rg,1,0,5,QG2E6_XIrmsmDxxN_mX7ZQ
