,date,funny,business_id,text,user_id,useful,cool,stars,review_id
189813,2012-12-25,0,Szi29P4JjNiHUgEdaJD77w,Went here for lunch. I wouldn't feed this to my dogs. If your a fat ass who likes to gorge themselves to the point of bursting then knock yourself out. But this place has inferior carcinogenic delights.,L69aQpZsKNldqt36uhzSQA,1,0,1,NWflA9JNPKGs1cpZH2_LcA
236027,2015-09-13,0,Szi29P4JjNiHUgEdaJD77w,"Food looked like it been cut a couple days ago, pizza was hard, and the brownies were undercooked. horrible experience",4KwOWY_3v-diLX2qyRYicg,1,0,1,OExzVaGD9Dm5bb6IBjJofw
422320,2011-05-10,0,Szi29P4JjNiHUgEdaJD77w,"When i am having a bad day and I want some pizza (buffet) for cheap and dont feel like cooking... ($5/person) and they have military discount Cici's Pizza is the place i want to go most!! 

I love their taco,buffalo chicken,macaroni and cheese (i know sounds gross but man I promise it is phenomenal!!)

They also have salas,soups, pasts and dessert pizzas!!! 

I think the best thing is that you can tell them what pizza you want (or are craving) and they will make it for you and bring it to your table!! Any creation you can think of they will make!! :D 

The staff is great they are always peppy and make you feel welcomed!!",y-dpL5Iun_Drej8DFGfAgg,0,0,5,1pNJ9BPJpst5CVvqRd7cug
438986,2011-06-11,0,Szi29P4JjNiHUgEdaJD77w,"When your stretching the dollar, Cici's fits the budget. It's an all you can eat buffet. If you've never been, you will find some odd pizza combinations like macaronin and cheese or taco (which is decent).  The pizza taste isn't particularly traditional, even the regular ones like sausage or pepperoni.  I can't quite place it on the cheese either, not quite mozarella, slightly different.  They have 2 salad types in the buffet and a couple of desserts (one is always a baked cinnamon roll)  Very much family oriented. The stellar staff and low prices make up for the middle of the road tasting food.",RaO_0aEEpYXJnViGcmPlNw,1,0,4,bBXPDZohp0KNZF0eeh2VGQ
830120,2015-07-18,0,Szi29P4JjNiHUgEdaJD77w,"Nothing spectacular, get what you pay for. Buffet so I guess they shoot for quantity and not quality. Also the dinning room needs improvement. The one wall looked pretty beat up, looks like someone got happy with a knife. Will go back as it was cheap and when we are in Vegas we are on a budget.",ja5yltjHzHikP-jhKglLKg,0,0,3,z6oeYuIbCpEfiwgg6Usrug
871495,2014-12-08,1,Szi29P4JjNiHUgEdaJD77w,"Do not go their they may put in jail for using your own credit card.
Talked to the owner Mike on the phone and he said I was doing credit card fraud
By using my own bank account 





I will never go their again
Customers beware DO NOT GO THEIR",PNwUKm-l-y8u00oY6Epwmw,0,0,1,qOiOthR02c36YmA_FW4GHg
928869,2010-02-20,0,Szi29P4JjNiHUgEdaJD77w,"More like 3.5 stars.  Good place to take young children just because it's so noisy there.  Note to self though, do not go on a Saturday afternoon at lunch time.  I really didn't want to go today at that time, but we were in the area....much better to go on a Friday afternoon when everyone is at school and work (yay to 4-10 work weeks!)  A bit too crowded for my liking but the pizza isn't horrible and there is a lot of selection.  You just have to deal with the typical family of 20 and greedy folks that pile 50 slices of pizza on their plate like they aren't going to make anymore.",CzCaoUWu_y_z6rUvJwTsIw,0,0,3,jscefRNwzqjmWfosw72EcQ
969067,2013-08-14,9,Szi29P4JjNiHUgEdaJD77w,"So I've been here twice within 3 days and not because I wanted to.  I'm not a fan of buffets for my lack of self control.  LOL  Monday I brought my daughter and her friend for lunch.  Immediately you are greeted by all the employees ""Welcome to Cici's!"".  Pretty nice little greeting I must say. The girl at the cashier asked ""how many"" and I said 3.  As I started to ask about the child rate she handed me a receipt that said 3 adults.  I simply asked her what was the age for the child rate.  She in turn asked me how old the girls were.  I replied that both of them are 11 and in passing asked ""oh is the age 10 and under"" and she replied back ""no its 11 and under"".  She proceeded to look past me to help the next customer and I shook my head and decided to just dismiss that whole convo.  Challenging stupidity doesn't make for a good lunch with my girls.

We quickly found our seats and the girls were up and at em.  We each grabbed a tray.  A couple of the dishes I picked up were dirty so I just set them to the side. The pasta is one of my favorite simple things however when I got up there the pasta needed refilled.  I asked the girl behind the counter if they knew their pasta needed refilled.  She replied ""yes"" and continued with her pizzas not even headed to the pasta to see what I was referring to.  Instead she addressed some ""regular"" customers behind me-hence the immediate dismissal of the question.  Kinda awkward to say the least. Finally 10 minutes later it was refilled. Sigh.

They serve pasta salad, salad, soup, corkscrew pasta with red and white sauce, breadsticks & garlic knots, a plethora of pizza and a few dessert options.  Their  food is what it is....a really cheap family buffet.  With that said the pizzas leave a lot to be desired, don't have much cheese or meat, have a lot of dough but is all good for the carb-evore in you!  This place really should be named CiCi's CARB Buffet! Its a bread lovers dream! You seriously need to put in some cardio time after eating here.

The place is pretty beat up.  The walls, floors and tables are scuffed up and chipped.  Its definitely a place to bring all the children and your neighbors children.  You can tell they all have been here! LOL  There are TVs mounted up high that had children shows on them.  You cant hear the sound so I'm always not sure why restaurants even bother.  There is a small arcade in the back that the kids love.  There's a community board that has a few things posted but looks all greasy from little hands touching it.  Another dirty detail.

Now while the girls were spending their couple dollars on the arcade I was checking in on my handy dandy YELP app on my phone.  While I sit there and observe the chaos around me, my eyes found there way up the wall in slow motion....  Eeek! The Health Department grade!  Like an elephant in the room-how did I miss it when it was right in front of me the whole time I was eating!  I can say I'm not surprised however at the same time I'm not even sure if I had ever seen a C Grade in person.  Hm. That's right Graded a C!  Thank goodness it was after we ate because that is a sure turn off to me regardless of the details.  I do watch Restaurant Impossible! LOL

On a side note, at the end of our meal the manager came over to ask if everything was to our satisfaction.  I decided not to bother to inform him of the awkward and lazy service from his employees.  I think the place is run with super young people with lack of guidance possibly.  He was just a baby himself-or I'm just old.  I beg to differ.  LOL  

Needless to say, I will not be back anytime soon.  This is only a ""when I have to"" place to eat - category of Chuck E Cheese. LOL.  I will for sure be checking the grade next time though with curiosity of an upgrade! ;)",4Ch_27GkNV5p7I7ewlX3DQ,14,7,2,JWAyHuK3yytXf4LsNhzwSQ
1273693,2015-08-29,0,Szi29P4JjNiHUgEdaJD77w,"I just want to thank Terrance his evening crew at CiCis on Decatur who helped us on Thursday 8/27/15. 
I made a reservation for 20 plus people so my Cub Scout Den could meet and start the new Scouting year off. The staff was very polite, courteous and helpful... They even had reserved signs on our tables.. The pizza was always fresh and hot. They kept the tables clean and always asked if we needed anything..  Thank you for a great experience!!",jbn5YI7LYGRBNGNWO4Icyg,1,1,5,mKpWz2lP_K2JKQDaDtpNsw
1329556,2010-01-18,0,Szi29P4JjNiHUgEdaJD77w,"Oh man did I take a wrong turn. I had to grab lunch with a co-worker and we had limited time, so we stopped into this place. They had a 5.99 all you can eat pizza buffet, which included salad and desserts. I can understand why families with children would want to come here...but I would definitely not come back that's for sure. If you're looking for pizza even something halfway decent this is not the place for you.",xU4silHWZGOWz92hPIdFpQ,3,0,1,YLRueMKY0D5nb5W7yecj5w
