,date,funny,business_id,text,user_id,useful,cool,stars,review_id
30951,2012-02-28,2,T3ZpXgSw7eo4cxl7Op7G7w,"This place is awesome, because the owners let 2 of my Lambda Chi brothers Randy and Shogren bartend for a night. Not only that, they let them bartend shirtless and have girls take body shots off of them! The owners seemed to have a great time watching us college kids let loose and be young, wild and free.

My other LCA brother Josh aka Dj Paradice was the dj for the same night as well. Another great decision made by the owners.

They had was seemed to be their own hired securty, so it felt safe.

The owners of El Patio are pretty laid back and are open-minded to letting college students throw events in their space. It was a good night and everyone had a good time.

As for their food and cheap margaritas..... I'll have to go back another day to find that out.",_5i-gReOmEts7CLmnZXZ6A,1,2,4,zYwUjLLBLYBSqzQ1uVF5Og
115250,2013-02-20,0,T3ZpXgSw7eo4cxl7Op7G7w,"Can I give it no stars? Horrible service waited 15 minutes and still no drinks. Too many college students, if you want to actually eat, don't come here,",Wt5_XmGZK4xlLueoPW-Pug,0,0,1,7lAefnqnhMDn2Xi-WIbnkQ
187377,2011-10-16,0,T3ZpXgSw7eo4cxl7Op7G7w,"This is probably the best mexican food i've had in Vegas, which isn't saying much but it is pretty decent. They have lunch specials daily and the portions are generous. The salsa is delicious and the margaritas (though premade) definitely hit the spot. Since i'm a UNLV student I can get them for less than $2. The service could be better but it looks like they try and it's prompt for the most part. 

I have been here twice and both times there have only been maybe 1 or 2 other people. I'm surprised this place doesn't have more business considering it's across from UNLV and the food is cheap. 

If you're a student or just in the area, give this place a try.",H-QtPvPgVNUcuPKq8yAyCQ,0,0,4,8qqhy6c5sKs4EqMHvt0SPg
557014,2012-07-19,0,T3ZpXgSw7eo4cxl7Op7G7w,"Wanted to go there for a marg. Didn't make real margs there (only from those pre-made slushy things). The place is very run-down and smelly on the inside. Food wasn't good, we had the taquitos.. There are a lot better mexican places in town and I won't be coming back here.",027QGg7JfQguCYX1vLh73w,0,0,2,g1an56eZqgGKeGzrf9syww
600652,2011-10-24,1,T3ZpXgSw7eo4cxl7Op7G7w,"Stopped by this place on our way out of Vegas & wish we never did! 

Our waitress could hardly understand us, which wasn't a big deal because she got our order correct. 

When I received my nachos, I tasted them  & the sour cream tasted out dated. I kindly informed the man that came to our table (maybe the owner), he tasted it & said it was fine. I told him I didn't want it, so he took them to the back. When we went up to pay, he still charged us for the nachos. I was so annoyed by this point, that I paid & left. Not worth the hassle. Would never eat here again.",c5K_bxBmUJa6RtsOl3pYkQ,2,0,1,md41iEC5R487D4CSACJqZA
691193,2014-01-05,0,T3ZpXgSw7eo4cxl7Op7G7w,"Unless I missed something today, this place appears to be closed. I was looking for enchiladas in this area and it's close to home but had never been before. Was I in the right place?",0Qg75JqVqdKlLMggvuHrmw,0,0,1,r6aCggwgwyao0Gem7XQwJg
703194,2013-04-14,0,T3ZpXgSw7eo4cxl7Op7G7w,I'm hooked on the vegetarian burritos. Their green sauce is delicious with just the right amount of spicy.,uJJCo_mFZRbS1nD4_jKW8A,0,0,4,OZddwj_nHLCeOT-g2jUFNA
806074,2012-04-15,0,T3ZpXgSw7eo4cxl7Op7G7w,"Went in on a Friday looking for authentic Mexican food & drinks.  What a let down.
We ordered two top shelf margaritas with Patron.   They were just awful and I do 
not think the tequila was patron.  Chips and salsa were nothing to comment on...
The atmosphere was lousy and uninviting.
The TV was on high volume and annoying.  The waitress was rude.
After getting the shaft on two drinks at $25.00, we decided to cut our losses and
skip dinner.",c2Of4kNocAD35Bn3PhvMkg,0,0,1,tPUUgN15fLLQs9sMwXyvMw
1321202,2011-08-16,0,T3ZpXgSw7eo4cxl7Op7G7w,"This is the spot if you want some decent Mexican food close to UNLV. I was a student at UNLV and went to this spot many times. I went for breakfast, lunch, and dinner. Most of the times I went for lunch during one of my class breaks from school. They have decent food for the price, and the servers are cool people. I usually went there to check out some mid-day soccer game and if you where a UNLV student and showed ID you would get drink specials, which was cool. 

Though I believe recently they have new management. But even my last time there before moving out of Las Vegas was pretty good. For the price you pay its good.",9iIiNLzWI1d34Rv4nnwahw,0,0,4,1OhW3wUWcwPsjo1PnBufZw
1763505,2012-06-04,1,T3ZpXgSw7eo4cxl7Op7G7w,"Should've read yelp reviews before venturing here. Like one yelper mentioned the place smells funny. Was thinking of walking out but we didn't. My friend ordered the burrito. There was nothing special about it. It was pretty big though. I ordered the carne verde too much verde sauce ~ my pork was swimming in it. It tasted like the bottled verde sauce. Accompanied with Spanish rice and refried beans. Nothing really stood out. I wasn't looking for fine dining. Place is dingy and dirty. Our food came out about 5 seconds after ordering it, ok, I'm exaggerating it was more like 5 mins which made me believe their food was pre-made and probably nuked. Really not worth it and a waste of stomach space.",FVfGXRIQ6Trnx5cKayU-Cg,5,1,2,YBmQg8lhwZc-WnsKeJ37yg
1828637,2009-10-03,0,T3ZpXgSw7eo4cxl7Op7G7w,"Just came back from El Patio. Our first visit based on Yelp comments. Very inexpensive Friday night out. By chance they had Friday night special, half price dinners. And if you are UNLV student $1.95 margaritas!!!

The fresh plate of chips and salsa was very good. Fresh chips and very good salsa. 

For appetizer, had melted cheese and chorizo appetizer...I could feel my arteries clogging as I ate the delicious dish with warm wheat tortillas. Washed it down with horchata. Soooo good.

Dinner for me was chicken enchiladas, half price. Very delicious. Dinner for my wife was the carnitas with verde sauce, half price. Her dish was good but a bit salty. She likes meat and I like chicken. She got one of my enchiladas because I was too full from the appetizer and she liked my enchiladas better than her dish. 

Very pleasant place. Live music next door was a bit too loud. The service was excellent. Very patient and very accommodating. 

Highly recommend the restaurant. Will definitely go there again.",xNH7lXLTyWfzuaeNwMZoww,0,0,5,PVbPVyMam8BPodYuPkmEAg
2006290,2007-04-05,0,T3ZpXgSw7eo4cxl7Op7G7w,"We were going to go to Chipotle for lunch, but we decided to try this place out.  We only know it by El Patio Mexico, lol, but it may have another name.  Anyways, the salsa was not too hot, not too mild, just right.  The chips were also made correctly.  One time we went and they gave me the wrong order (because of a little language barrier) so they gave me a free slice of cake which was very delicious and I didn't even use an attitude or anything.  The bathrooms are very clean and the atmosphere is very nice.    The burritos do need to be eaten with a knife and fork, lol.  The vegetables are very crisp and fresh.  The menu is also bilingual as well.  They also have a nice seafood selection.",bpJLcSlkjCPtsFWwA_QIkQ,2,0,5,XOY9ZvlWkJ2YmzEI0VPizw
2067002,2009-10-27,0,T3ZpXgSw7eo4cxl7Op7G7w,"I've been there three times now, the third just to try the taco to get something quick right near campus and to be able to properly review it (can't review a Mexican place without trying a taco or burrito).  The taco was small, no more than 3-4 inches in length, and I didn't see a crispy shell option.  The shredded beef although was excellent, but for $2, not all that worth it.  On another visit, I tried the fried fish, and I don't think I could have been more disappointed.  It was seriously a fish with only half the meat left on it (bizarre wedges were cut out of it, and filled with limes), stuck in a fryer, un-filleted (other than the wedges), and essentially undressed or prepared (other than the limes).  The decor is juvenile (one sign said sexual harassment will not be reported but graded), and unappealing to say the least.  Bad price, sub-par food, but ok service.",umZPUpLSJuCTXLckxA4nmg,0,0,2,PdPe7FcXlp7wt1erB0AKPw
2385681,2011-10-10,0,T3ZpXgSw7eo4cxl7Op7G7w,"food was ok.  cuervo margarita no good, didnt taste any tequila, all sugar.",m0aeKCg9AAvwvnKUf1Evcw,1,0,2,i8SBCQdSZgwz1LzMKJLNtQ
2597441,2013-05-09,1,T3ZpXgSw7eo4cxl7Op7G7w,"Average food... Below average atmosphere.
The server had a spanish soap opera on the loud TV... Totally trashy.
I would NOT recommend this place, so MANY other Mexican food options... lame-o.",AHOtdq6IkidKFw1GGH7q_g,0,0,2,ctIfEhFdclkZC75XqCFh0w
2817357,2011-12-28,8,T3ZpXgSw7eo4cxl7Op7G7w,"Absolutely, abysmally awful. I wouldn't eat here again on a bet. The food tasted like if someone set a homeless guy's trash cart on fire and served the ashes. I'd rather suck the ass-end of a menstrual skunk than eat there again.",Io5GxWjhtxqiWnoA-6Fh-w,2,2,1,Ifrnxcx_cPy3VmK_GDayMg
3003829,2013-07-07,1,T3ZpXgSw7eo4cxl7Op7G7w,"First of all I think it is extremely amusing when the whitest people in Las Vegas rate a mexican restaurant and use the words ""very authentic"" as if they knew what that meant. This place is arguably one of the worst mexican restaurants that I have ever eaten at. I ordered the Camarones Empanizados (Breaded Shrimp) and I could instantly tell that they were frozen bite sized shrimp. The place is extremely small and covered with tacky ""mexican"" decour, which if you are really mexican you will find very cliché and untrue. They also don't take debit/credit, oh and half of the things that we tried to order were unavailable.",h3YtwLvZv-hjOeNZFt4D9Q,0,0,2,Tqk-JAyYbTazMWSEIN9i-w
3274990,2011-08-05,0,T3ZpXgSw7eo4cxl7Op7G7w,"I was looking forward to giving this place another try after being thoroughly un-impressed by this place in 2007, but after seeing this joint on Groupon Now! I thought I'd give it another chance. 

I never even got to taste the food. I walked into the restaurant and there were three people sitting at a table who all abruptly looked up at me when I walked in as though I was interrupting their conversation. One of the women got up and gave me a menu and as I perused it, I handed her my Groupon. In broken English, she told me that the Groupon was not good for that day, though it clearly said that it was good on that date from 4PM-8PM. She called her manager, and he supposedly said that I should come back tomorrow with the Groupon. I tried to explain to her that the Groupon was only valid for that day, and she didn't understand. 

I finally left, and walked to the Chipotle located convienently about 100 feet from the door of El Patio. I'm normally all about supporting Mom & Pop places, but this place has and probably always will suck.",UAF1qKkTIcZOVpx0lhU3gA,0,0,1,HzX1V4oUahhzW8xIgQBCqg
3418206,2013-04-14,0,T3ZpXgSw7eo4cxl7Op7G7w,The presentation of the food was quite nice.  Good taste.  excellent house-made salsa.  So-so decor typical of a strip center Mexican restaurant.  Ladies room in severe need of cleaning.  Men's room OK.,l0pHjnR3JuRhcCxqjWwiqw,0,0,4,gTbsCK7ykldGqa9-Dg7_JA
