,date,funny,business_id,text,user_id,useful,cool,stars,review_id
45494,2012-02-13,0,T5nTtSCSRoEYMsZPhF61wg,"I do love me some waffles...So why not try Waffles Cafe? 

Located on Durango and Centennial near 7-Eleven and Slidin Thru. I decided to give Waffles Cafe a try since I haven't had a decent waffle in a long time. I was greeted by the cashier who was very friendly and helpful. As I looked at the menu, I asked him about the pizza waffles and waffle sandwiches. I thought it seemed kind of odd but he suggested that they were really good. They had a variety of different waffles to choose from, I didn't know if I should be bold and just go for the pizza waffle or play it safe and get a regular waffle with any fruit topping I wanted. Decisions, decisions, decisions...I ended up getting a chocolate waffle with bananas, strawberries, whipped cream, and powdered sugar. I was not disappointed!  I also ordered a iced Chai Tea, which was okay. 

Not only do they serve waffles but they also have Boba, what a way to finish up your meal!",jEBySjq6tgL-_R3P7LHq0w,0,0,4,4AAL7vaV5WUdGVpozHoY7w
47297,2011-04-23,0,T5nTtSCSRoEYMsZPhF61wg,"Decided to take the family for a late Saturday breakfast .  The waffles were quite tasty, and the fruit toppings were fresh.  Great selections and variety.  The place had a ""local"" moms/pops feel to it which was nice.  The breakfast waffle came with eggs and choice of meat...and unlimited coffee.  My daughter ordered the Yooni special which was so yummy- strawberries, bananas topped with chocolate sauce and a large scoop of vanilla ice cream, almost too pretty to eat!  My son devoured a plain waffle topped with powdered sugar and whipped cream (we added bananas for a small add'l charge).  

Pros:  Variety, taste, fresh fruit, price and friendliness of staff. 
Cons:  Waffles were kind of cold, no refills on soda (cans)

Overall, it was a good experience.",r1Oz5bRBY5FZbzeg33CYjw,0,0,3,QtR-S_8TeOkg3vLzmUfqwg
50680,2015-11-18,0,T5nTtSCSRoEYMsZPhF61wg,"First time here and let me just tell you that their food speaks for it self. I got chocolate and flaxseed waffles with eggs and sausage, it was delicious.",cudQtR49dhSKyUEEVdNkPg,1,0,5,wHra78XTHwvWj9dT9srvJg
51689,2012-12-21,0,T5nTtSCSRoEYMsZPhF61wg,"It was our first visit here and I think we all enjoyed it!

I first had the waffle with fruit and whip and I have to say it was just a little too crisp and airy for my liking. I replaced it with the bacon ham and egg sandwhich and OMG!!!!!!!! YES YES YES! It was perfectly sweet and salty and filling! YUMMMMMMM I can't wait for my boyfriend and I to have another day off so we can enjoy breakfast at 2pm again!",6X3--JJwPaCcNEGhhl90Yg,0,1,4,ruGe8ZJhxpi6T5-j2q2OVQ
93989,2014-07-14,0,T5nTtSCSRoEYMsZPhF61wg,"It's always hard to find a great family owned business. although you may pay a little more than you make think is necessary, their customer service and friendly demeanor is well worth it. I recommend the waffle pizzas! Very simple yet delicious! I always get a strawberry banana smoothie with boba, and its my favorite smoothie in town!",iCWoDsTTUMrysVYa5Qb89g,0,0,5,DRaxDYIYzdzgBKTzoBUL-A
105055,2012-08-13,0,T5nTtSCSRoEYMsZPhF61wg,"The best waffles! I always order the breakfast sandwich, highly recommended!!",clgrUNWEImr-yBDdYouE5Q,0,0,5,iUyZhfFh4UJMvGbcuEzEOw
125531,2014-07-25,0,T5nTtSCSRoEYMsZPhF61wg,This place is great. The staff is very helpful and friendly to all customers. The food is always perfect. Great waffles with so many great options. I come here at least once a week. If you enjoy good waffles and good service this is a great place to go!,IS-QPddzHswkF7h3dcKIaQ,0,0,5,UP-0AtPrjF0Hmi2AS79juQ
133040,2017-02-13,0,T5nTtSCSRoEYMsZPhF61wg,"I came from a place that didn't have really anything for breakfast other than Denny's and Cracker Barrel. Vegas is definitely the spot to try new breakfast spots and this is one of them. The prices are great and the service is friendly and quick. You can get so many things on waffles. Waffles with strawberries, chocolate syrup, and whipped cream. Waffle sandwiches. Waffle pizza! Go there and get a waffle or two.",g9pTLCAoinvLbICiRzWsIQ,0,0,5,rlAVseOON5acTkvlqvun7A
137277,2013-01-05,0,T5nTtSCSRoEYMsZPhF61wg,"Ordered the ""sweet p"" which is a pumpkin waffle with apple pie topping, caramel, cinnamon, whip cream, & ice cream, but I switched the waffle to an organic flax one & put the ice cream on the side for later. It had pretty good flavor but it got soggy quick from the toppings even without the a la mode so eat it quick! My daughters eggs & sausage were great. My husband ordered the waffle breakfast sandwich, it was good but didn't quite compare to our waffle sandwich place in Portland OR, the flavor spot!",Z8Kh2pSJQ2s7ANSAfs_Liw,0,0,4,bHqdgNnrWo8VdTqAEDoD9g
160273,2015-08-29,0,T5nTtSCSRoEYMsZPhF61wg,"Ordered a waffle and two eggs with bacon (the breakfast special) sat for 26 minutes waiting for it, when it came it was room temperature and sub par. Bummed because I had high hopes for this place.",qQeSdVOB0KRyfoSl4e8AYA,1,0,2,pEf_acZGucM8bM3MD2MZTw
196732,2016-08-17,0,T5nTtSCSRoEYMsZPhF61wg,"Place was too run down, old dirty tables, chairs, and bathroom. Very disappointed with price for precooked bacon, frozen store style hash browns, and ate off of paper plates and plastic utensils. Coffee tasted watered down too.",DlRv5iDNwMk21nFYHGl7Yg,0,0,1,-VkpQNSw4p21_Lm1zkbu5g
204708,2013-04-24,0,T5nTtSCSRoEYMsZPhF61wg,Love this place! I usually just get the waffle breakfast but the environment is very chill. The owners are young and very friendly. My daughters favorite are their smoothies.,EOderEGUuTyAjxamMeXHOQ,0,0,5,iVqauCj_zgn0IoBo1_2rEw
229816,2015-07-10,0,T5nTtSCSRoEYMsZPhF61wg,"Food is great and very reasonably priced. They are fast, courteous and there's never been a long wait when we have gone. No frills place, but hits the spot when you're in the mood for a good (not so healthy) breakfast.",o1Ba4ANPFx-Cei8iZBCWgw,0,0,4,sYfnjYG0Hl7deLNZowK4iQ
246705,2012-09-19,0,T5nTtSCSRoEYMsZPhF61wg,I've actually been to waffles twice and both times I was very happy with the service and my waffle. I def recommend it!,h8OaMeCtMRrIaKegHbgZZQ,1,0,5,-rdIiMPDeFp7Ym-GYYgbYw
246901,2015-02-27,0,T5nTtSCSRoEYMsZPhF61wg,"I love this place! So friendly, always delicious and always satisfied with my meal. Also I don't even like waffles, but I like them here! I've been going since they opened!",MP-jeMxDWvOgdsG68vGrUQ,0,0,5,YjzxtWipl9JQo0uEs4UhNg
357998,2014-06-01,0,T5nTtSCSRoEYMsZPhF61wg,"Fabulous!! It's simple, very clean and DELICIOUS. Me and my girls new favorite place for an amazing morning. :)",Q_th82nn3WDyVvGPSup5Ow,0,0,5,KVh_RXpUIzpRcQWtaBaPWw
367121,2011-09-15,0,T5nTtSCSRoEYMsZPhF61wg,"I have only tried lunch so far...been there twice. The sandwiches are delicious and taste clean and fresh. Having the sandwich made with waffles offers a slightly sweet twist to the usual lunch and it makes it taste better than the usual sandwich I think. Ran by a very sweet family, the service was great.",oP0tKBVB5iQYnbTSboPy8g,0,0,5,A0BcnRH8_7uU1BFe9Z2sAw
370494,2013-11-07,0,T5nTtSCSRoEYMsZPhF61wg,"So, so good! Love the light crispy waffles. Only had regular so far, gonna try pumpkin (maybe even chocolate) next, highly recommended.",R5Z5AVqMhb13YnINVSLAFg,0,0,5,wMw4xbM1SBtgH8daNdNUbQ
391725,2013-01-03,0,T5nTtSCSRoEYMsZPhF61wg,"I like it! Close to my house, reasonable prices, friendly service and most importantly delicious waffles. I really loved the strawberry & kiwi combination, see posted picture, yum!",lpXqKfx9WeDjHuTRb9iljw,0,0,4,DVZ-Fo19iBuhd5JNyYGIwA
394808,2014-07-04,0,T5nTtSCSRoEYMsZPhF61wg,"First time here and won't be the last. The staff was super friendly and knowledgeable. The good was amazing, a little spendy but you definitely get what you pay for, so come hungry!",gGUVaSWexdhctBLbhqGTdg,0,0,5,c_TE48Yv9_CdpLcUEu_j3g
399859,2010-05-23,0,T5nTtSCSRoEYMsZPhF61wg,"Tried this place today as an alternative to ihop. Waffles were crisp on the outside and perfect inside.  The toppings are a plenty and options all fresh and good quality.  For a family as large as ours the price is great. The service is slow, but friendly and the waffles are cooked to order so you decide if the wait is worth it. If you are starving or in a hurry try them another time, but I would try them if you like quaint local shops.",LbHkDGEi5iDqXmXHAmZd1Q,0,1,4,YevsleX9ZkFH5LzAffBsNQ
418057,2011-02-21,0,T5nTtSCSRoEYMsZPhF61wg,"Pro's:  The Waffles Cafe is tasty and has wonderful creativity.  Where else can you get a ham and bacon waffle sandwich that also tastes good (it's the special sauce)?  They have a good variety of interesting waffles for breakfast, lunch, and dessert.  They use fresh ingredients (avacado on your waffle, anyone?) They have fantastic drinks and smoothies and the atmosphere has a quaint, fun, local feeling to it.  I thoroughly enjoy the Waffle Cafe and return often.

Con's:  The paper plates and plasticware leave something to be desired.  And although the prices aren't bad, one does pay a tad more for something you'd otherwise have to make at home.  Depending on the time of day, you might have to wait 10-15 minutes for your food, other times it's to you in 5.",a7XUXEq8sQWh2CxDWmMG5w,0,0,4,gPNMc7U6VtbcdPmz52LYfQ
423428,2010-12-03,0,T5nTtSCSRoEYMsZPhF61wg,"I really wanted to like this place.  I do love me some waffles.....and their menu choices look so fun and interesting, I have been excited to give a few of them a try.

But we have been here twice now, and both times I left feeling disappointed.  The service has been slow both times, and the food... although unique... is just not that great.  

Honestly, I feel like I'd be better off buying a waffle-maker and making this stuff on my own at home.   I would save money, get better service AND I wouldn't have to try to eat a thick waffle with a plastic fork and knife!",9JSCHAgXnzQnna1a3crJOA,2,1,2,KA2z9sF4-b292zty0x81cA
