,date,funny,business_id,text,user_id,useful,cool,stars,review_id
187473,2017-11-04,0,TPsjAbLjbnqNZ8XEZMsd8A,Love ordering food here! Their chicken chop suey is our favorite! We're always satisfied with whatever we order. I highly recommend this place! Yummy food!,zlHNoyCx6vQDh8QPKUvRzA,0,0,5,2qjF0B5AoInTbGc0Qm9Tvg
1281609,2018-01-10,0,TPsjAbLjbnqNZ8XEZMsd8A,"I don't think I'll go back to this restaurant anymore , ordered family dinner B  for pick up , when I got my order there were no appetizers, then I was told there is choice of the appetizers, you don't get all of them , that's not what they have on there menu . After discussing with the menu , they made decisions to give me 2 egg rolls and 4 shrimps ( cuz they don't have crab Rangoon) so I waited another 5 minutes just for my appetizers and I have to took my one year old inside of the restaurant from the car , seriously , the owner don't know what they are doing , they said they charged ownership, but come on , no matter what , you should know your menu well right ?and here is my lemon chicken and moo goo gai pan , I've never seen these before , oh , don't forget they put eggs with wonton soup",XNTdcEoONzZE8Gy89uAeWg,0,0,1,scTFGUMPywyxhaH_0z9yvQ
1427643,2018-01-18,0,TPsjAbLjbnqNZ8XEZMsd8A,"We ordered almost $70 in food with the tip and after finding out they were out of crab Rangoon, butterfly shrimp and bbq pork, we altered our order. After finishing that, they called back to say they were out of sweet and sour pork! We altered our order again and waited. We've been eating here for a few years now and it's always been delicious! After our food arrived, I called back to see where our soy sauce and hot mustard was, I noticed that the complimentary soup they sent us was cold! That's when I realized there were NO fortune cookies! The lady on the phone said they were out! This is NOT right! They were out of everything and then tried to blame the chef for the poor meat choices the owner made! All of the meat was chewy and had a lot of gristle. Disgusting! I asked for half of my money back and the excuses started flying! I will never eat here again!",2GL3ho_UK3C-SF1MXJh8Fw,0,0,1,iau7gUtWb7McoWaATJnkOg
1582728,2018-01-11,0,TPsjAbLjbnqNZ8XEZMsd8A,"The food was very fresh and the people were very nice and friendly... The Hong Kong chow mein wasn't my favorite but it's probably just a different style than I'm used to.... The fries rice wasnt fried enough but it was tasty and the sweet and sour pork was excellent... Oddly no soy sauce on the table, the cups were small and drinks o lyrics came in cans.. This would be a great take out place as well. It seemed to be a family place.. Ill be back for sure...",aJazA0sglrBtSnBPJOmxkQ,0,0,4,J14LkxaAOsXYQOgW28VUCA
1630310,2018-04-28,0,TPsjAbLjbnqNZ8XEZMsd8A,"This place is a hidden gem. It looks like a hole in the wall place serving generic Chinese-American food, but they have a Sichuan menu and it's outstanding. I can't stop ordering the water boiled fish (I think it's called), which in Sichuan style comes in a hot pot style oily broth of chilies and peppercorn and it's always very good. (Not as good as from a place like Chengdu Taste, but at $13 is $10 cheaper...). My wife has ordered a couple other dishes, like a lo mein dish and something else from the Sichuan menu I forget what, but they were both very good and the portions are large. It has entered into our rotation of go-to restaurants.",D02EdVh6xvq_hL7UG8DGCg,0,0,5,LxocsiL09SrYHxHiYDcmxg
1871231,2017-07-18,0,TPsjAbLjbnqNZ8XEZMsd8A,"So I went here on a whim on a Monday night... And it started off bad. They were out of chow fun... And string beans... Eggplant... On a Sunday night I might've understood this since alot of
Vendors do not deliver on Saturdays and Sundays but to be out on a Monday??? It was weird. 

But I gotta say that the service was decent. The lady was on the phone but she gave me a smile to acknowledge me and greeted me as soon as she was off the phone. And my food came out quick! I ordered it to go and I'm eating it while I write this review. Service 5/5 

Ambiance... It looks the same as it did when it was 3 other restaurants in this same location.  Still very clean and pictures of food on the wall. 5/5

Food was ok. I had to get the pad Thai since I was craving rice noodles and they were out of chow fun noodles. And every other Noodle dish they had besides pad Thai was egg noodles which I was not wanting to eat. The pad Thai was surprisingly decent... Was it a true pad Thai? No.. But it was cooked well and had a slight sour kick to it which tastes like lemon and not tamarind. The portion size was decent as well. I'm giving this dish a 4/5... Only because I asked for our extra spicy and they added in Serrano peppers to spice it up. I was afraid that they were going to overload it with Chinese hot oil but they did not. The Serrano peppers added a decent amount of heat and that is why I have it +1! :) And it came with a decent amount of chicken and 6 decently sized shrimp and lots of egg. 

The combo platter is something that I always like to get at Chinese restaurants just to be able to try most of their popular appetizers. It was decent. The egg rolls were very crispy but not much flavor. And the shrimp tempura tasted vet much like old grease. And though I could see the tiny amounts of shrimp in it...I could not taste the shrimp at all. The BBQ pork was very fatty but the flavor of the sauce was decent. The crab rangoons were good tho. And paper wrapped chicken just tasted like soy sauce. 2/5

For a quick bite... I'll probably be back. It wasn't the best Americanized Chinese food but neither was it the worst. And you gotta count in the convenience factor....:) it's literally walking distance from me.

So overall, I'm giving them 3 stars... The food was decent and the service was quick!",L3DxG0n3lRq5N2lv1QNrrA,3,1,3,6iDqWQiggA947cMOoTpqRw
2330318,2017-12-27,0,TPsjAbLjbnqNZ8XEZMsd8A,"Straight up and simple. The food was a 3 out of 5 (as of now, 1 dish tried). The service was 5 out of 5. So this place gets a 4 from me, for now.

I will not return for the same dish I ate (Hong Kong noodle). Butt! I will return because service was Friendly & to try a few other dishes. 

The menu is fairly large so I will need to try at least 3 or 4 more dishes. I'd love to give this place",G-lXqfGcJDRmi2iUXuj8Bw,0,0,4,doVr7I8q1mlFM5oWRLV2vw
2491049,2018-01-19,0,TPsjAbLjbnqNZ8XEZMsd8A,"This is the best Chinese food I have ever been tasted in Las Vegas  since I moved here, the shrimp was so delicious with the appropriated condiments, also the beef  was so exquisite I could not resist to come back again. Really recommend all the people come to this restaurant!",3TyFF0zjWa_KRWa1TnAhww,0,0,5,iQff_7n3rG9E2tPC9jJrpA
2529545,2018-01-13,0,TPsjAbLjbnqNZ8XEZMsd8A,New management and very nice people. They have a lot of different spicy food!!! Spicy food is my favorite food. I loved my food very much which I ordered there today.,SwZwCsKVbAaf_K6rIZogsQ,0,0,5,XFMI1gxjBLSU47AagMqtTw
3575005,2018-04-09,0,TPsjAbLjbnqNZ8XEZMsd8A,"The dish taste Excellent! Not very spicy, I can accept. It is savory. Good  customer service and environment. I will go again definitely.",Tm7S3m6zhzofCeBf06idNQ,0,0,5,t0DyYY3NyLJTZqpOhIckeA
