,date,funny,business_id,text,user_id,useful,cool,stars,review_id
114033,2016-11-26,0,TmAbrQoXslJsReCqLfwnXA,"Thanksgiving Update: was out at El Dorado Mine Tours for thanksgiving but had to stop in Vegas to get some passion fruit tea and grub for the ride home :) 

Update: every time I'm in Vegas, I must stop here on my way back to Cali for a hot bowl of pho and a couple sandwiches to-go. 

Good prices. Great food. I couldn't wait to get on the road, so I took a bite before leaving the restaurant. 

I was sad when their other location closed--so glad they reopened here! Much closer to the strip! Pho is definitely a must after a heavy night of Vegas fun!! Heh heh or even on a cold night ;)",dFpo4b86OqkdeWa88QJeAA,0,0,5,nbxGcwR2pDWDQmXrMfyg2g
143774,2017-07-25,1,TmAbrQoXslJsReCqLfwnXA,"Pho Vegas is another great Vietnamese restaurant this city is full of. Pho Vegas stand out from most r their friendly service n incredible Banh Mi (Vietnamese Subs). For $6, U get a foot long sub full of deli meats n vegis. They also have a vey extensive menu of dishes many others do not have. And this establishment is an iconic eatery established eons ago.",o9D90Dr6z27JL6AlivsoFw,1,1,5,ohL_h3oj8as9AlCMXlu17Q
170191,2016-02-28,0,TmAbrQoXslJsReCqLfwnXA,"The pho broth is very clear and tasty...we are Vietnamese and have eaten many pho in U.S. and this one is the best, very authentic close to our mom's cooking. The foot long grill pork sandwich is yummy and only $5.95 crazy value and great tasting...this will be our regular place to visit when we come back to Vegas;)",8sgFB0hYYMb56oSgnhbsUA,1,0,5,PdkgwkRx3VUqWrFCQGBf6A
171317,2016-01-11,1,TmAbrQoXslJsReCqLfwnXA,"If your having a hard time finding an Asian restaurant to eat, this is the place to be. The service is great and the food good. I'm from the 626 area code and we have pho places all over here. I honestly say the pho at pho Vegas is just as good as the one in the 626 area code.",sCKKRn_fKnzGeKMIK9DWiA,0,0,5,TyqNiHN_ObTL1XnT-JOvmQ
466728,2016-02-15,0,TmAbrQoXslJsReCqLfwnXA,"-yummy food
-great customer service
-friendly people
-reasonable prices


Overall really good restaurant with really good food. Happy to eat here!",FFPL3OMtleizVERfcLSC_A,0,0,5,A7y_spTVj5tid6lQtI6FYA
468227,2015-12-05,0,TmAbrQoXslJsReCqLfwnXA,Food was fresh and delicious !!! We got the chicken banh mi ... SO GOOD! Also the pho was delicious ! Will be coming back here again :)),o_xSISLlgBh0O-h8tZjKbw,0,1,5,d5eElbjB-i9QKL1Wt3BbfQ
621387,2016-07-02,0,TmAbrQoXslJsReCqLfwnXA,"Best pho in Vegas,  hands down!  Moved to Vegas about a year ago and set out to find a good pho place,  tried about 5 different restaurants,  and then came to Pho Vegas and was blown away by how good their broth is. This is now the only pho place we go to.",hyBk2Q1s213yyfJz5B_8ww,0,0,5,KcHmW8ulwaB9f9A4lSobKQ
758730,2016-02-02,0,TmAbrQoXslJsReCqLfwnXA,Went on Thursday for lunch and was the only one there. Order a Pho and a Vietnamese sausage wrap and both was delicious! I live close by so it's nice not having to drive to Chinatown for a bowl of Pho. Definitely my go to spot now!,XybrvLEZUD6lJpsy5P3gSA,0,0,5,984jHZkapXSBgKSm1OC3yQ
761727,2017-03-31,0,TmAbrQoXslJsReCqLfwnXA,"I used the delivery service and it was perfect! They delivered straight to my room and the food was still hot. I had the chicken pho and it was delicious! The broth was well-seasoned and the chicken was moist. My mouth is getting watery just thinking about it again. Their eggrolls were filled with the right amount of veggies, noodles, and meat and their chicken wings were huge! Worth every penny, down to the delivery!",j-lZCYJRxqK1ARF3FtlHuA,0,0,4,6El3ldmsDak1b9o9vkU9XA
891927,2016-01-08,0,TmAbrQoXslJsReCqLfwnXA,"Found this place listed as hot and new on Yelp.  Parking was very easy and there was no wait.  Ordered #34 with ""crunchy flank"" that tasted chewy.  Soup broth was flavorful and house made.  Noodles were cooked properly and were soft.  Prices were a bit higher than most other similar noodle houses.",XY1aB4HKc0WfJ79KWVDxRw,2,1,4,OipVy0biVeOzPM6WNdbufQ
954741,2017-03-04,0,TmAbrQoXslJsReCqLfwnXA,"The food is amazing.  I have ordered from this place using postmates many times.  Unfortunately, my last order did not go very well - there was a hair in my sandwich. Really gross and unacceptable.

P.S. This just happened this afternoon, so just heads up to whomever is working in the kitchen this afternoon to please be more careful.",u9-hpeRywKowu2Y4RER8dg,0,0,2,E3LxY75NxFuhmQ8EjdfE-w
1054296,2016-11-24,0,TmAbrQoXslJsReCqLfwnXA,"This is the best pho place in Vegas. I come to Vegas every year in search of a great pho restaurant and Pho Vegas is by far the best one. The serving sizes are huge and one bowl of pho could feed 2-3 people. If you are in search of some absolutely amazing and authentic Vietnamese food, Pho Vegas is your answer.",4JinNm4oSxfScOsqB9jkpA,0,0,5,ggiFhQFCTX6QxsfMMlB0OQ
1059369,2016-04-11,0,TmAbrQoXslJsReCqLfwnXA,Large pho and grilled pork sandwich!! Be ready to be happy. Large pho feels like extra large. Generous amount of meat and noodle. Broth were very good. The sandwich is long! Generous amount too. Would recommend this place! Wish this restaurant was in MI! FYI - the staff were friendly too.,xdqtrySKRGPT_Q541tl7Aw,1,0,5,Q262OPAcbQbMRFP96r26vg
1210604,2016-12-19,0,TmAbrQoXslJsReCqLfwnXA,"Tonight was my first time dining inside the restaurant and what a mistake that was! Count on at least 30 minutes until someone comes to take your order. I ordered the spring rolls and Chicken Pho. When the spring rolls arrived (20 minutes later) I was starving and took a bite. Well, I quickly found a LONG piece of hair right inside AFTER I took a bite. From that moment, I got up and walked out of the restaurant. I will NEVER eat here again, EVER! Take the time and go to Pho Kim Long's instead.",o_87PGSRVpYrFj_0_zv4GA,0,0,1,vKEXa54FBjIJDmSGqVXEXg
1255229,2016-06-23,5,TmAbrQoXslJsReCqLfwnXA,"Horrible customer service. No one knows what they are doing. That young girl is like stupid cause she would come up to me and ask me if I finish my food yet. Weird.. 
Cashier would walk away and help other customer while I was standing in front of her like she didn't see me... 
Food is ok, but I think there is MSG in it cause I can taste it.",V6M0N5tIa_asT2lK1Al-Kw,0,0,1,f2DpHIOUMw7FNq7qqppxwQ
