,date,funny,business_id,text,user_id,useful,cool,stars,review_id
17801,2015-06-03,0,TzpqNdtAZHXuIKf2xS0o2A,"Pleasantly surprised by quite a delicious Mexican meal. We ordered the deluxe nachos, quesadilla and chimichanga. Overall pretty good taste. I am always afraid that restaurants over salt food which this place did not. Would recommend.",lL2JHmSriiGXMa9k062E9A,1,0,4,-VYKMb5PLDH5nfB2OA_vDA
41962,2012-06-20,0,TzpqNdtAZHXuIKf2xS0o2A,"Pros: Affordable, generous with their meat, fast service

Cons: sublime environment, darkly place, smoky at times coming in from casinos",GF2v9WIiP31gEBfGpVd0xw,0,0,4,jEcjoIttCyy58ZyoyF_azw
97020,2017-08-15,0,TzpqNdtAZHXuIKf2xS0o2A,"This place is horrible.  We tried all of the proteins (grilled chicken, al pastor tacos, fish tacos, and the carne asada platter).  It felt like we were eating different flavored pieces of cardboard.  Everything was dry and overcooked.  The flavors were dull.  Such a bad representation of Mexican cuisine, which is beautiful for its way of blending dynamic flavors, fresh produce, and well prepared meats.",wWP3O46tW696V3JmtQkOtQ,0,0,1,lvipJkwC9WM5UwHjeYR6xw
99903,2012-10-21,0,TzpqNdtAZHXuIKf2xS0o2A,"Horrible food! My nachos were ice cold asked for new and they microwaved them with the sour cream and guacamole...gag...complainec again and they made new ate a couple chips and cheese and was sick all night...
As a local we will never be back",ehN_E2TT6Mgf5GwTKTx10A,0,0,1,myEh4EHV7KDf3ygp7RXIIQ
108824,2017-08-20,0,TzpqNdtAZHXuIKf2xS0o2A,"I do not recommend! We ordered the arrepas (fish and chicharones) in both the meat and fish were very dry and hard the nachos ""bar"" only had green salsa with onions a few jalapenos and that was it. Used a free coupon for nachos with cheese and it was a little better but not much. We paid almost $27 for 2 people, including drinks. This place is not worth the money! Do yourself a favor and find a great Mexican restaurant outside of Circus Circus.",54oAtlh50Uqe32J4QTAlmQ,0,0,1,vnXNBWG_WjibLNnZMO7Hmw
311035,2014-07-11,0,TzpqNdtAZHXuIKf2xS0o2A,"I stopped by with my family to watch the Brazil v Germany soccer game as we were in a rush and leaving Vegas soon after the game. We all settled for Mexican food and the only problem was that the game wasn't on any of their TVs. After asking one of the employees, she gladly changed the channel for us. 
We got the deluxe nachos are a pre game appetizer. It was delicious and it works as an appetizer for 2-3 people. The shredded beff quesadillas are decent enough and the chicken soft tacos are excellent. 
The prices were reasonable, but not the best.
My only complaint was that it took a while for the food to come out, but there were quite a few people there so it's understandable. 
Overall this is a great stop if you're at Circus Circus and in the mood for Mexican food.",pLptpTR3dRwJCANMsAemuA,0,0,4,4ugheW6WA219mXYUBpBghA
314232,2017-08-10,0,TzpqNdtAZHXuIKf2xS0o2A,the service weren't helpful when I needed help caring trays. crowded and the Cheese Enchilada was too spicy. don't take kids there. They'll only like the chips and beans. Rice wasn't cooked.,DU6IT9hML-whpx7rud2Hhg,0,0,3,z1KYgYe5jf_SreBiTijAig
412113,2016-04-01,0,TzpqNdtAZHXuIKf2xS0o2A,Terrible! Asked the cashier what kind of fish on the fish tacos. She didnt know so she asked the cook and he didn't know so he pulled out a chunk and said whitefish. Should have known to turn and run then.,sa3dxDhYUkkRdlj1GZbB6g,0,0,1,w_nzZQUulVhKpa60dPfyRQ
494352,2013-05-29,0,TzpqNdtAZHXuIKf2xS0o2A,We waited 30 minutes for the worst cafeteria food I've had in a long time. Pretty sure they microwaved my burrito...,wcLIBbRhWaB9X4V1KgNqHw,0,1,1,j5wRQ8bifShNPoa62-fFmw
498096,2015-05-11,0,TzpqNdtAZHXuIKf2xS0o2A,I bought a carne asada burrito and it was disgusting.  The meat was really chewy. That's what I get for not reading the Yelp reviews before eating there.,_wMwcGrXxdZ1KSYx2C4vBw,1,0,1,qgIBDfqKYcCPQ3n8sSMp-g
