,date,funny,business_id,text,user_id,useful,cool,stars,review_id
10063,2015-06-16,0,U9nXdynQ2YR5xYx8tM3S7w,"OMG never again, the quality of food had went down way way down and to top it all of they charge for soft drinks refill?really???i asked for lemon wedges and they brought out lemon that was squeezed and placed back on the plate.  The table was sticky, the new look for the menu is nice well that if it was clean I had dried sainted pages, washing your hands is a must. I'm being generous enough to give them one star, over priced crappy food.",IiaubqpQyQ4Y1XjPdigRCA,3,0,1,_YSrs5kXSIjwzEvnKU-66Q
10321,2014-12-01,1,U9nXdynQ2YR5xYx8tM3S7w,Food was delivered quickly and overall atmosphere was nice. Bartender did a swell job.,h6JSFt9OGwYvW0Owjte38w,1,1,3,nQvAWk8LyBglvx0PiWrCxg
29265,2016-10-03,0,U9nXdynQ2YR5xYx8tM3S7w,Marajaw an ijo serbisyo. An ijo store gana an mga design. An ijo pagkaon lami pero gamay an portion. Ipadajon an marajaw na serbisyo sanan lami n pagkaon.,LagrxmCGG5plz1z2iAp98Q,0,0,5,HR-r845Q7RdKlUHNljvPHg
200614,2016-04-16,1,U9nXdynQ2YR5xYx8tM3S7w,"I was weary at first just because of the area! Hoping my food would be cooked, hoping I would have a decent waitress or waiter! I was very please with both my waitress and the manager!  Chris(waitress) she was very helpful in ordering my food, she was sweet and she had a very bright personality. I knew they were busy so I didn't expect her to actually listen to what I was ordering I did not feel rushed at all! The manager(kicking myself for not catching her name) was so sweetl! she was helping her staff out running meals,  checking on everyone! I had to hug her!!! Definitely recommend anyone!",TN1SapAzS0AOL0ERKDneHg,0,0,5,KxrJwaDCXb-wD96EsaisUA
218974,2015-08-25,0,U9nXdynQ2YR5xYx8tM3S7w,"Came to grab a quick bite with the kiddies after school. Was greeted by the host which was nice. Told me my server will come shortly wait 5-8 min until another server was nice enough to take our drink order. Than our ""original server"" came. The kids got the kids ribs and I got a buffalo grilled chicken sandwhich. It was dry and you can really taste the charcoal. Overall it was ok. It wasn't busy and we only got refills on drinks if we asked for them. They have good music and sports channel to watch, so the waiting wasn't so bad.",ijZFexcPDZ_BOgXOR-N5sA,1,1,3,ASKFtwTDF32mVL32h0BxMw
274473,2017-04-20,0,U9nXdynQ2YR5xYx8tM3S7w,"If I could give this establishment no stars I would...horrible customer service starting with the manager,waiters,busers, & ending it with the cooks.. these people don't know anything about having a clean and respectable establishment. Bathroom was the hands down the nastiest i have ever seen. Not only that but way too expensive.",nNT0QKzFSKvkqsD-T27e5g,1,0,1,jcEpChpIIYBuJb9z1jfvyw
422350,2011-06-30,1,U9nXdynQ2YR5xYx8tM3S7w,"Went here for a pow wow for a military event, had about 8 ppl at a 6 person table... in the middle of everything... not very happy about that,.. but then then i ordered a cobb salad and wow that place was a whole new place after i had gotten the salad!! Amazing! the dresing was a balsalmic and everything was fresh! ther sevice was ok i had nothing to drink and the ppl around me were getting 2 and 3 drinks served... but all in all it worked out.",y-dpL5Iun_Drej8DFGfAgg,2,0,3,Qin2mufZOUyrbnmrF2nIrQ
461958,2017-08-13,0,U9nXdynQ2YR5xYx8tM3S7w,Used to go here a couple times a month service was great everyone knew us. Then these last two times we went it was AWFUL! All the good servers have either left or changed to the graveyard shift all the new servers are TERRIBLE!! My friend watched one put down our plate.. notice the hair on it and just leave it there! The server after that was absent and rude! And the next was lacking personality and again gave us a plate with a hair on it!! When we tried to get the managers attention about it he acted like he didn't hear us after looking right at us! And then had the nerve to charge me for another plate! Safe to say these once regulars are NEVER going back!,v4isB8Gixja5lzZXIdhH3Q,0,0,2,uXxPP8F_cHC1VVql84ODUQ
492890,2015-08-22,0,U9nXdynQ2YR5xYx8tM3S7w,Bartender Isaac makes the best Bloody Mary ever! Chillin in the heat on a Saturday afternoon!,6FwFDGPkSvEEb1Y_ys-GcQ,0,1,5,_GwcacwXiEuFXJe0R9H5cw
530340,2014-05-19,0,U9nXdynQ2YR5xYx8tM3S7w,"Went with a party of 7 and had an okay experience. Waitress came out with waters but kept forgetting our other drinks. First she brought the coke then we had to remind her about the lemonade and so on and so on. 

After taking our order she didn't even pick up the menus which were taking up space. We piled them up on the side for her too. No refills. And when we were done it took forever for the check. 

Food was okay but much better than our service.",xupztCUCevabjyJ3LCt5cA,0,0,2,o6wNkLqbtPMxogUMIVJIBg
