,date,funny,business_id,text,user_id,useful,cool,stars,review_id
34721,2016-01-22,0,VPO8pBUwYz1u6GoG0d2U-Q,"The food is like any other fast food chain; you get what you pay for. The reason for the two star rating is the service. Every time I've gone to this location they've made a mistake, which I don't see until I get home, and the staff is generally unfriendly and more concerned with their own conversations.",zliPBSOxF5qRYiv73O3IZQ,0,0,2,jFJ_E3ESmz_hllVshsoSlA
56159,2017-01-19,0,VPO8pBUwYz1u6GoG0d2U-Q,Came in for lunch at 11:15. (Store opened at 11:00) they said they don't have any chicken ready. That's right no chicken at Popeye's and they said it wouldn't be ready for while. That's pride in your work...I walked out,UcFoRUIwSZQwIN_0IFr2TQ,0,0,1,SyPPJ6wxhes2Cy1JFQ8Z9w
161719,2015-09-28,0,VPO8pBUwYz1u6GoG0d2U-Q,"I don't expect much from fast food places but this one disappoints me still. I love the cajun flavors of Popeyes so when they have a price special I tend to go. This location is not well kept. The tables and floor are oily and covered in crumbs. The service is slow and far less than friendly. There's a 50/50 chance that the food will be hot and fresh. The person who appeared to be the manager sat and talked on her cell phone in the dining area while the place was a mess. If you go, just don't expect much.",81MIphbAN4JQI0hkfQl1Wg,1,0,2,kHmBrDcQGjtNrFRo8zaoYg
191825,2015-01-07,0,VPO8pBUwYz1u6GoG0d2U-Q,"Well, its Popeye's is why it gets its 3 stars but this location is obviously operating from a monopolist mindset with slow service and the highest menu prices in town. No communication regarding being out of mild chicken while waiting patiently in the drivethru, but they did upgrade a piece to a breast no charge. The high school kids manning the store seem friendly enough but seem more focused on the never ending free soda dealie. I can get a 6 piece 2 side 2 biscuit for $6.99 for printing out a coupon at the other location, I guess it'll probably be my last visit. Given how long they expect you to wait in the drive-thru they should take reservations, who do they think they are Farmer Boy's?",QSIqTbPwILdvCr-nJO2bvw,1,0,3,CXFIAGPzdBCaz6n0Kfzqtw
362749,2015-04-14,0,VPO8pBUwYz1u6GoG0d2U-Q,This location is new and I've been a few times since they've opened.  Today I went for lunch & the food was very good! The chicken was juicy & my sides were cooked to perfection. Give them some time and they'll be the best Popeyes in Vegas!,F6JpWkOWLcnWs6VAwEsp7w,0,0,4,gi0PEcZjUiS0WQ_cqk8dDA
446556,2017-04-18,0,VPO8pBUwYz1u6GoG0d2U-Q,I always have a pleasant experience here. The workers are very nice. I go inside and the facility is clean.  I wished all popeyes in town were nice...They greet you as you walk in and thats nice.,gQXF36BOUVKGz6wCsqpTZw,0,0,5,GbYVmpZ0OjO54keAsPEUSw
488910,2016-08-09,3,VPO8pBUwYz1u6GoG0d2U-Q,"I've lived here in LV for the pass year. Each and every time I visit this location my order is wrong. I'm a creature of habit so I always get spicy chicken strips, fries and a Coke. Honestly I believe due to the lack of maturity this staff has, they don't care about the customer or the brand.

Tonight I paid them a visit and wanted the usual spicy chicken strips, fries and a Coke. They said it will take 10 min to cook them. 10 min pass, then they tell me that their out. 

If you visit an hour before they close and want spicy chicken you're out of luck.",aPQDS1-jKjegJWwS4FXvjw,8,0,1,EZ0hjf3TbzlBHtrc6w6tCg
518796,2015-07-04,0,VPO8pBUwYz1u6GoG0d2U-Q,Simple and to the point. All the 1 and 2 star reviews are VERY I repeat VERY accurate.......all of them. Drive to another location.,p6fbJNGdXIs4azwFCTtjNw,1,0,1,O_hiIqy4KjuIPQY0RaSK1g
524578,2015-01-02,0,VPO8pBUwYz1u6GoG0d2U-Q,"Just popped in to try their new ""Ghost Pepper"" wings. Small pigeon wings and drumsticks that are battered and deep fried.  Thery are about as spicy as KFC original reciepe, but not as good.

What is the point of advertising ghost peppers if it isn't spicy?",3LmMwgI5vf1ZECblJniBsQ,0,0,1,aXMe5qEPldcRTUzsi12Q8g
533347,2017-11-12,0,VPO8pBUwYz1u6GoG0d2U-Q,"Grabbed lunch from here for me and my mom. She got shrimp and I got chicken, where she has had bad stomach aches. I unfortunately have had constipation, vomiting and horrific stomach aches. I would recommend staying away from this places because once I asked my friends about there run in with this restaurant. They are all bad from just straight up bad food to getting sick like me. Just like my friends I don't think I will ever go back to this place.",u7o4M1zjM9ig4S-7d40vKg,1,0,1,eRzK7QpKPsj0jFVVy9uJiQ
535467,2015-07-23,0,VPO8pBUwYz1u6GoG0d2U-Q,"The food is good, however the employees are literally stupid. Can't get an order right to save their lives.",BeRJ5rxjeEbvdL_hbTRxwA,0,0,2,fZJpqyO1JHL4v6cKrQnixA
589091,2017-10-15,0,VPO8pBUwYz1u6GoG0d2U-Q,"I've been here a few times and have had similar negative experiences with speed of service and customer service but this day was  exceptional. I was served by Chaka F and she was so pleasant. Quite a difference in the usual attitude of the other girls you usually come across here. It's nice to see some class and business maturity. The place was clean, lots of chicken prepped... ready for business. They have the signage up for the Tuesday special which I gather was a standard complaint about this location.
They seem to be working on improving the operational mishaps presented on Yelp. I just wanted to give accolades when they are due. With some more right hiring and training, this location will improve. I mean, the food quality is already great. Please keep it up!",ENQW8N8q50dvBaoPzQ9g4A,0,0,5,FpA03px2W4Njw1k4bMR5LQ
