,date,funny,business_id,text,user_id,useful,cool,stars,review_id
62198,2010-11-11,0,VkECNTcZZ1mdN-VJltJcWA,"The service wasn't amazing, and the food was only ok. The atmosphere was fine. If the food was amazing then less then friendly wait staff wouldn't be such a big deal, but the mediocre food doesn't justify the trip.",lVghs-Bwgh9aGKp4BxH7Yg,0,0,2,dRafcIKQzTJsuNOV-8OrQQ
139657,2014-05-25,0,VkECNTcZZ1mdN-VJltJcWA,"This place is TO. DIE. FOR.  If your looking for authentic light Thai cuisine, this the place for you. The owner was so nice and have us personal attention.  I would fly back the Vegas especially for his food.  Extra-special-deliciousness!",9syI1kEPJ8ovnmkPtdvpQg,0,0,5,FzkVvXowjONMA0aFIYQjNg
201853,2017-05-04,0,VkECNTcZZ1mdN-VJltJcWA,"We got here at 9:40pm which was not a problem. The owner who is very friendly even let people in after 10pm. 

The food was really good. Loved the Tom yum soup and the beef salad. The pad Thai was pretty good too.

I definitely recommend this place. Had a great experience overall.",_G5Ohjlbv51EjTsJQVrxJA,0,0,5,QsQbXNU7IoK9g2gIYOz3Ug
204027,2012-11-12,0,VkECNTcZZ1mdN-VJltJcWA,We eat a lot of Thai food in town and our friends said they loved this place. Tried it out and thought everything was really good. I LOVED the coconut ice cream.The service was great too! Will definitely be back.,qm_Hql58Ab0UCFW4J0AO4A,0,0,3,rltxpdIF7QwLelINQKgQpA
207786,2007-11-26,0,VkECNTcZZ1mdN-VJltJcWA,I've been to the one on Windmill (really small place) and I've gotten food delivered from the Tropicana location. Bad service from both and the food was okay. Nothing special not really worth going to.  You can probably find better food elsewhere for the same price.,Ek72WJHpmxrDySEv6p2j8Q,0,0,1,JWAIacxpKlDCGJOW0t8rJA
221452,2016-09-23,0,VkECNTcZZ1mdN-VJltJcWA,"Such a good restaurant for my first time being there!! I am so glad that my friend recommended this place! The customer service was the ABSOLUTE best and the food was great. My sister and I got the Mixed Veggie dish with tofu and my friend got rice noodles with shrimp, beef, and pork! I also enjoyed the atmosphere. P.S. They give 10 % discounts to students, which was a wonderful surprise!",T3kuKHFbmk3raKkMAf1GYQ,0,0,5,H795aWQEYkdQQfeP459nUQ
270277,2013-10-23,0,VkECNTcZZ1mdN-VJltJcWA,"Dark location. Nice servers who smile! Come here quite a bit. Pad Kee Mao is spicy and amazing!!! Get dat! Yea!

Good ambiance here, not the BEST Thai food but GOOD Thai food if in the area for sure !!",GvL5iHVkIE5QuCFLWEt4IA,0,0,4,gZbFJEEiFg6oh-_E3NpPIw
276163,2012-03-21,1,VkECNTcZZ1mdN-VJltJcWA,"This review is on their pad thai. 
My friend had told me that they had good pad thai. So we went and I ordered the chicken pad thai. And when it came...SUPER DISAPPOINTMENT! The portion is good but the taste is just awful! They used too much vinegar or something for the pad thai that made it have a sour vinegar taste to it. GROSS. Service was okay. They constantly stopped by our table refilling our water. 
All in all I've had MUCH BETTER else where! I don't know about the other items on their menu but for their pad thai it's a no. I will not be returning to this place again.",4VAmabM8vkNdtzocqaEKnQ,1,1,2,CyWzT8TBKxFTOC3Z_IseDw
302635,2017-04-26,0,VkECNTcZZ1mdN-VJltJcWA,"I have only tried a curry dish and definitely plan to go back in and try more on the menu, red curry with tofu was so hearty and savory. I really liked the look of inside the restaurant! The decor was nice and it looked clean! The manager told me about how they have a partner in LA that makes the hot sauce, and his enthusiasm really made a difference.",Bbu5J3N5sLZANgV5jrGwyw,0,0,5,B86fIepb_eM4ou5qBXjLzg
309407,2015-10-29,0,VkECNTcZZ1mdN-VJltJcWA,I had the combination fried rice with level 1 spicy and it was really good.  The soup that came with it was good too.  Staff was friendly and I liked the ambiance.,Y9tiWefb3OS8ZFRNMpDMnw,0,0,5,yYNqfw1dhQLDKcXwKs32Qg
