,date,funny,business_id,text,user_id,useful,cool,stars,review_id
414273,2016-07-30,0,W-woRd49HjVBf7C3dIcNiw,"The lines for this place were long. So that tells you how good it is! We got the spaghetti and meatballs meal with a salad! It was warm and good! Ask for extra cheese when they heat up your food, it makes all of the difference.",eC_NTqKh3kAxp9q2rBom_g,0,0,4,7095soARXp1yKd6qaZPlFg
501137,2015-08-22,0,W-woRd49HjVBf7C3dIcNiw,Terrible Spaghetti! They Microwaved it right in front of me. My empty slot on my to-go dish was then filled with a watery fluid where they put my Garlic Bread. I will not eat here ever again.,Us5L2roQ44GwYCvVhBmScg,0,0,1,qil65Txv_78KwWlJ-3m7Eg
619374,2015-11-02,0,W-woRd49HjVBf7C3dIcNiw,"$3.00 for a soda, $5 for a slice of cheese.  Oh and best of all... $.75 for a refill.  That's what got me on Yelp.  I already gave them my $8.00... and they still wanted $.75 more.  A refill costs them literally a couple pennies.   Basically, this is your typical re-heated thin slice of pizza.  But if they offered free refills, they wouldn't be on blast right now.  A little customer service goes a long ways you guys.  Pay rent but don't short change your paying customers.  Charge more on the soda up front, but give free refills.  Make the customer feel ""royal."" 

I recommend trying the other restaurants at food court.  Sorry to do this to these guys... but come on.  Charge me your price but don't gouge me once I'm already your customer.  If you had free refills, then you don't get this post from me.  Less than average place.",TdPMzrMkZq_-7kU0wF50dQ,0,0,1,FHd-xcAZk_xhsYrwMApdSA
878040,2017-02-10,0,W-woRd49HjVBf7C3dIcNiw,"We were hungry and wanted a quick bite to eat for lunch before doing our shopping. My boyfriend was happy to see Italian food so we decided to give it a try. I saw a Stromboli meal that came with the Stromboli, a side, and a medium drink. I felt that it was a fair deal so I decided to go for it. After putting my Stromboli in the oven to heat it up, the worker asked me what I wanted for a side. Because she was standing in front of the wings, I assumed it was a side and asked for that. When we got to the register to pay, the worker asked us if we wanted a drink. I was confused and said that I had ordered the meal, and she sassily responded that ""that's not a meal, you have wings and that's not a side. Now do you want a drink?"" I was very upset and a nice male worker could tell, so he offered to give us a drink. However the terrible cashier still rang us up and made us pay $3 for a small cup of soda. I was so upset by the whole experience that I lost my appetite and basically ended up throwing away my food. Safe to say I won't eat here again.",AWfDkFnkcledYTT25OtQMQ,0,0,1,T-Bg6qlQmxVn08_0C4pyXQ
1410565,2016-12-24,0,W-woRd49HjVBf7C3dIcNiw,"Surprisingly great pizza for a little cubby in a food court in a shopping mall. Veggie pizza was impressively stuff with veggies, and a nice amount of cheese. Hawaiian pizza had a good amount of ham and pineapple. Really appreciate the shakers of chili peppers and Parmesan at check out. If you need a quick bite, and you need a slice, you will be happy here.",5CzWdjlUeoygnDZdI9vxhw,0,0,5,PK5eBTIDhCne0cR1Nyr2yg
1673258,2014-11-24,4,W-woRd49HjVBf7C3dIcNiw,"This is the token pizza option at the food court- choice of thin crust or pan crust, along with other options like salads, calzones, pastas, and... fried chicken? There's a sign advertising their special chicken, the only catch is it's $6/piece. Pretty absurd.

Pan crust pizza comes in large slices for a normal price, ~$5.
Also options to get a whole pie with two drinks or sides for $24, if you have a group.
Nothing noteworthy about service except that this is one of the quicker lines here.",bLbSNkLggFnqwNNzzq-Ijw,4,2,3,qBe75PRXvww7Pp4FviDu2Q
2410862,2014-05-21,0,W-woRd49HjVBf7C3dIcNiw,Poor guest service. If ur looking for service with an attitude this is ur spot. Won't be coming to this location again.,fz6DvJiLeIHtRqe-dnncdQ,0,0,2,g7X4Aqs70OFdI-_COpautA
2630291,2016-07-29,0,W-woRd49HjVBf7C3dIcNiw,"Charging $10 for reheated left over is not quality . The pizza sitting right out for front for options is looks day old. Is tossed to reheat in an oven while you wait 7 to 10 minutes .. I'd rather order delivery and get fresh, less expensive and better quality .",jewxVfsif0i73XLuFe7hhw,0,0,1,_WEBiZRHlzTXIkPeif39pg
3025960,2009-11-16,7,W-woRd49HjVBf7C3dIcNiw,We stopped by at the outlet on our way back to LA and decided to grab something to eat.  I think this place used to be Sbarro.  We all ordered the #5 (Chicken entree) which came with a side (garlic bread) and medium soda.  The food was subpar but it did the job as far as supplying nourishment prior to a long drive home.,sAb47uEcSjK3uQcylhkhPw,5,6,3,gxIALzGCn-_IvODJCNy0Tw
3268250,2012-01-05,0,W-woRd49HjVBf7C3dIcNiw,"had a sicilian pizza that was good....but they put it on foil and it stuck on the foil and that was incredibly annoying....almost had foil for dinner....NO BUENO, MAN.",m9N3bBRLAxRJU_7F6aWOmA,0,0,3,Vjf7s3FUpmNIAAdjxkUq6g
