,date,funny,business_id,text,user_id,useful,cool,stars,review_id
40042,2016-09-16,0,WDYE-OCXNgKyXGNuBjMgEw,"Simply put, Wes Kendrick is one of the best chefs in a city full of great chefs. This is high end American comfort food in a relaxed setting with great service. You won't find a better off-strip restaurant in Las Vegas.",cTSW2VAb4hnP2f8r-8l6Dg,0,0,5,qMjYTwoAX1r0EOg-7TVDPw
43190,2017-02-17,0,WDYE-OCXNgKyXGNuBjMgEw,"Been here over a dozen times and never disappointed. Great food, great service, great atmosphere. Try the bison if available!",Xc57rK_y1omNw2RGpV9owQ,0,0,5,lUruOUObqlxI4XizXdzgpw
59924,2013-03-14,0,WDYE-OCXNgKyXGNuBjMgEw,"We hit this lovely little spot as part of our RW tour of restaurants and were not dissappointed. This little gem is tucked away behind a Starbucks that I must've driven past 100 times and never noticed.

Service: We were seated promptly though the place was busy and we were 15 minutes early. Our waitress gave us some wonderful suggestions on what to order and she was extremely friendly. We did notice that the service slowed down around our main course and it took some time to get our dessert and pay our check but this would not deter me from returning. 

Food:  I ordered the duck confit quesadilla which came with a nice little salad and my sister the beet goat cheese salad as appetizers; both were delicious though I would pick the duck over the salad since it is not something you find very often and it was super tasty. For our main courses I ordered the signature baby back ribs with the tasty molasses glaze, it was falling off the bone and delicious. My sister went with the butternut squash ravioli which we had both been eyeing but turned out to be disappointing as the pasta was under cooked and the filling was bland; the sauce however was wonderful. For dessert I went with the peanut butter pie, it was extremely rich but so good and the honey comb clusters really topped it wonderfully. Again my sister got the short end of the stick as she went with the lemon cheesecake that was mediocre compared to my peanut butter goodness though fine if you aren't comparing it to the other dessert.",oisQ6O_uV70PhWLqaNhbIg,2,1,4,OTcivduI_N38hbji_6Xp-g
139146,2011-07-19,0,WDYE-OCXNgKyXGNuBjMgEw,"Been here a few times for lunch, it's always busy and challenging to grab a table.  Once seated you will understand why there is a long wait.  The food is great with a unique menu, great energy and fair prices.  If you haven't tried this place check it out.",DWfos3PxcrkqAJoAZHEg3A,1,0,4,ABR4Hp6h6-jOEH4Mh3_48Q
145849,2007-11-23,0,WDYE-OCXNgKyXGNuBjMgEw,"I have been to Table 34 several times and have had consistently good service and excellent food.  There was  one time that the wrong dish was brought to me, and the staff bent over backwards to remedy the situation.  Slightly on the pricey side, but there are a lot of relatively inexpensive options such as pizza and pasta.   Get there early, and there is no wait for a table.   Restaurant is off the beaten track and sometimes hard to find, but it is well worth the effort.",w-9G9Xi0ah7iXtO7SF7zYw,1,1,5,OPE-04DLVFJLWvED1Eps0g
175739,2015-09-22,0,WDYE-OCXNgKyXGNuBjMgEw,"Great place to have a nice meal at lunch. I wouldn't call this casual. Lots of suits for lunchtime. The food quality was fantastic. Had the beet and goat cheese salad, a cup of lamb chili and the pork chop entree. The service was top notch, and the meal just kept building and getting better. Enjoy!",SD3eGes8nKsUGQN0YkY0sg,1,0,5,aYAaN55-XchhlS4GP7Jhxw
187893,2015-02-25,0,WDYE-OCXNgKyXGNuBjMgEw,"We tried this restaurant for lunch at a friend's recommendation.  It was excellent; so we tried it for dinner.  It is now our favorite place.  The atmosphere is perfect; the wait staff is wonderful, and the food is perfect.  My husband always orders the C.A.B. tenderloin medium well.  It comes out tender and delicious--not an easy task for any chef!  We have never been disappointed with the food, and the desserts are sensational, too.",_TwRqKWzo5LvDV2EGVfsHA,1,0,5,L2nlSfccFfx1pMBRv8ApmQ
197795,2014-03-09,0,WDYE-OCXNgKyXGNuBjMgEw,"It's restaurant week! What better excuse to try out a new local restaurant? After a very careful review of all of the participating restaurants on the 3 square list, I decided to try out Table 34. 

The restaurant itself is tucked away in a corner, in a strip of shops. I probably never would have noticed it driving by, but it is definitely a hidden gem. I made a 7:30 reservation, and arrived a little bit early, so we waited at the bar until our table was ready. The bar is small, with just 8 chairs and a television, but it is cute and we were able to grab some chairs and have a glass of wine. 

One of the reasons I chose this restaurant was because they have such a large selection of options for their restaurant week menu. I ordered the duck quesadillas, the short ribs and the ice cream sundae, while my fiancé ordered the beet and goat cheese salad, macaroni and cheese, and the peanut butter pie. 

I can't pick a favorite out of everything we ordered, because it was all amazing. The sauce on my quesadillas was yummy, my ribs were falling off the bone tender, the macaroni was some of the best macaroni I have ever had, and the desserts were both awesome! We were extremely happy with all of our choices. We went our compliments back to the kitchen, and the chef personally came out to our table to thank us. 

As an overall  experience, we had a great time here. The atmosphere is fun and elegant without being stuffy, the food is top notch, and I love how much care and love that obviously goes into the menu and the food. I can't wait to go back and try some more dishes!",BruI-D395yclzw0Xc1-dAg,1,0,5,4xpUyrjnILI3IAzxNaP73A
244878,2016-10-08,0,WDYE-OCXNgKyXGNuBjMgEw,"Our first visit to Table 34, and definitely not the last.  Good service, altho our server's accent was a little difficult to understand,  but we got through it.  Restaurant not too big, so not noisy, which is a definite plus,and loved the subdued lighting.  Oh, yes, and our food was great!  A little pricey, but executed beautifully and a wide, varied selection. We'll definitely be back, with friends!",-8bfKCvDClxD3iKX9o7J5w,0,0,4,rR73EbA7iA1kDVLsaRkwhA
255020,2016-03-26,0,WDYE-OCXNgKyXGNuBjMgEw,I can't recall the servers name but this place was great! The Mac n cheese was delicious and the salmon is one of my favorites! Il definitely be back,87mg5oMZaM2fYAfWrvKBJA,0,0,5,jsjEFSnYSBlSpiahLZq8AA
