,date,funny,business_id,text,user_id,useful,cool,stars,review_id
72820,2016-06-22,1,WU0rArtd0GcTt8ndKzeKaw,"My daughter and husband started doing BJJ about 2 years ago, here in Las Vegas at another gym. My husband got injured after training for a few months, while our daughter continued. She found a passion in competing in tournaments, however, the team that she was with did not focus on tournaments, leaving my daughter stagnant with her BJJ technique and not progressing in competition. We started to see a group of coaches in bow ties at tournaments.. Not only did their professional attire stand out, but their passion for the sport and the kids on the mat. My family and I watched this team of coaches support their students, win or lose. Each competitor from the team always had a coach by their side, something that we were unfamiliar with. A few days later, we walked in to Cobrinha BJJ Academy Las Vegas, and we were immediately greeted by Professor Hector. He welcomed us with open arms, and our daughter felt comfortable trying a class with his students. The team graciously accepted my daughter and made her feel that she was a part of their family. We quickly made the decision to change gyms and train with Professor Hector. His business partner Helen, helped make our gym transition smooth and painless. It has been three months now, and we have seen a drastic improvement in our daughter. She has evolved both physically and mentally since being at this academy. My husband has even decided to go back to training, after seeing the family environment that the academy provides. Everyone is there to help you, not hurt you, and there are no ego's in the adult classes or the kids classes. We definitely made the right choice when we changed gyms. We encourage everyone to come see the difference in their kids that we have seen in ours. Thank you to Professor Hector, Helen, Coaches, and the rest of the Cobrinha Team, who continue to challenge, inspire, and support us.",_UVCZmU6q8AvHklG0BH2sw,0,0,5,VlKpb9-uloM4iMozlVwsiw
178942,2016-06-27,0,WU0rArtd0GcTt8ndKzeKaw,"Great training, great techniques, great atmosphere family Oriented environment! Top notch instruction for children.",GjUxxZdTt3736w5hIURTlg,0,0,5,Y2Kue_mdu1yN4FlhlFDi8g
238568,2016-03-29,0,WU0rArtd0GcTt8ndKzeKaw,"My son is a Brazilian Jiu Jitsu student at Twisted Fitness in Madison, Wisconsin, an Alliance gym. When we planned our trip to California for the IBJJF Pan Tournament, we decided to go by way of Las Vegas. (No judging... please). My son had a great desire to receive training from an Alliance academy. He was more than excited when he found that Hector Vasquez had a BJJ academy in Las Vegas. He visited the gym and loved it so much that we change our travel plans to allow him more time to train with Hector. Training for my son with Hector and his students was an awesome experience. He can't wait to go back to Las Vegas (very soon) to do it again. The students were welcoming and demonstrated the hospitality that was obviously handed down by example of their Professor - Hector. 

My experience as a parent was outstanding. Helen Shelby (Director of Marketing) was so friendly and welcoming to both me and my son. I felt immediately at home with Helen, Hector, and the students. I couldn't wait to get back to the gym just to spend a little more time with these exceptional people. I genuinely miss them already and I've only been home to Wisconsin for a couple of days. 

We will be returning to Las Vegas just as soon as we possibly can for some excellent BJJ training and to visit our new and treasured friends, Hector, Helen, and the students. Thank you Hector, Helen, and all the students who made our travels complete with training, friendship, and a bond with the Las Vegas Alliance brotherhood/sisterhood that we love so much.

Please take your kids, teenagers, parents, grand-parents or anyone else who is looking for some great physical activity, self-defense training, and first-rate Brazillian Jiu Jitsu to Hector and Helen at Cobrinha Brazilian Jiu Jitsu Academy Las Vegas or call them at (702) 527-5122 for more information and the best training and genuine hospitality.",g4nvAO6jfFl7PJYd6sGdbw,0,0,5,QkCxIPyNA-7RZegCAlw5Cw
382897,2016-02-07,0,WU0rArtd0GcTt8ndKzeKaw,"When I found out that they take 3 year olds to start training in jiu-Jitsu with no hesitation, I wanted to sign up my little one. And went she actually tried the class, she had so much fun. I'm so impress with the amount of PATIENCE the coaches have in teaching this age group.  Now the entire family trains at this gym. And the best thing about this gym is that, everyone is FAMILY.",z4xz8NRhguXALuquo9f8Mg,0,0,5,JubBrPjzTh3yPlxrYDvglA
515397,2016-08-27,0,WU0rArtd0GcTt8ndKzeKaw,"Had the pleasure of training the last time I was in Vegas for work. Great team, great rolls, and Hector is a great instructor. $20.00 mat fee but well worth it.",lO9NxvMJzT2YS6jnlnPIFQ,0,0,5,-C52ldaKxpN4U9eYubsLiQ
602970,2016-02-05,0,WU0rArtd0GcTt8ndKzeKaw,"In a town full of ""MMA"" gyms, I was able to find a place to train jiujitsu that epitomizes the true spirit of martial arts...I came to train while I was in town and saw a Cobrinha gym had just opened up. Hector is warm and welcoming as a person and attentive as well as passionate as an instructor (that's not even touching on his championship pedigree).  His ethic and attitude are well reflected in his students as they are all courteous with serious jiujitsu chops. Helen also contributed to the positive atmosphere of the gym. I've trained martial arts my whole life and still coach at my own gym in the Bay Area.  There aren't many places like this...and it's refreshing to see that martial arts is still alive and well. Do yourself a favor...if you're going to train-make this place THE place for you and your family.",2feCp2MOWB1UZHW1EVZoFQ,0,0,5,skqTkJccdJswNbJoZxAnyQ
705563,2017-04-05,0,WU0rArtd0GcTt8ndKzeKaw,Met the owner and he is very down to earth and loves what he does. Spacious place very clean and well kept.,2XhRWZOUImcmv9GHjOZYwg,0,0,5,JUw1IX99X9NiId4tW7ce4g
801182,2017-02-27,0,WU0rArtd0GcTt8ndKzeKaw,"When we came to Cobrinha my son had been practicing bjj for 4 months. We were very unhappy with his previous gym so with a recommendation from a friend we reluctantly tried Cobrinha BJJ. However, the moment we stepped into the gym we were warmly greeted by Professor Hector and his staff. He explained to us his philosophies and gave us a brief background of his bjj education and accomplishments. Following our meeting my son participated in a trial class and it soon became apparent that his first 4 months of training was a joke. In the first day at Cobrinha,  he learned techniques and verbiage that he had never learned previously. Professor, the other coaches and the kids were very patient and willing to help him throughout the session. I couldn't believe the amount of unity and willingness to help that everyone has. After leaving we knew that this was the place that we need our son to train. It has been 7 months now and my son has participated in 3 tournaments and has won all 3 (including Pan Kids 2017). His growth and accomplishments are all because Cobrinha BJJ has given him the tools he needs to be an amazing fighter and person. Because at Cobrinha, Professor's philosophies of bjj are not only applicable on the mat but off as well. 

We are a true family at Cobrinha BJJ. So if you want your child to grow as a fighter and really grasp the concept of bjj come to Cobrinha. You will NOT regret it, we don't! Cobrinha BJJ!!!",gnFs4lX3sR5TXcm607KYBw,0,0,5,ZuLJDD1nUNXeGPssYgWETg
804787,2017-11-19,0,WU0rArtd0GcTt8ndKzeKaw,"My two sons and I started with Cobrinha in July (2017). Since the start, I've been impressed by the skill and caliber of the students and instructors. It's unquestionably among the best I've seen. In the first few weeks I saw improvements in my sons' and I, and we have been building on that regularly. My sons have competed in tournaments and have grown through those experiences, thanks to Cobrinha. 

Not only is it a great school to improve your BJJ it's an academy with great families who are welcoming and kind. All of the the coaches/instructors are top notch and caring. For example, Coach Robert for the 7 am class is experienced and passionate. Coach Ryan in the kids class is always encouraging my sons and giving guidance on improvements.   I am regularly impressed by Professor Hector (owner). He challenges the students to become the best version of ourselves both mentally and physically; he takes opportunities to challenge students to become better people in their everyday lives.  

If you're goal is to learn a self defense, healthy living, improve your BJJ, or even compete in BJJ, Cobrinha Las Vegas is the academy for you.",mQpA5fAAQdJp8LNEb4lh0w,1,0,5,LLKYeuDnw2EXYF1wtQHrNA
961026,2016-02-02,0,WU0rArtd0GcTt8ndKzeKaw,"We live across town from this school but it is worth the commute. My son really enjoyed the trial class, so much that I signed him up at the next class. You are treated like family from the moment you walk in.  He's been to 3 classes so far and has absorbed the technique very well. He enjoys it to the point that he doesn't want to leave when the class is over. I highly recommend Cobrinha. Once you take the trial class and you'll be hooked.",XHViBLHoEiiZ1c4lsCfnWA,0,0,5,_2y17AjrYS-bzNtELQ74qw
