,date,funny,business_id,text,user_id,useful,cool,stars,review_id
208984,2016-03-31,3,WiWJR2WrC2x4_2sZ6p5czQ,"Slow. Awful. unbelievable that this manager allows these kids to goof around,
Ive notified PEPSICO and they are investigating this Franchise location for other types of issues, I waited 20 mins at the drive thru, then when I got up to the window it smelled like marijuana.",J1myZK1uT21ZvkCVOxEXfw,0,0,1,ILGgHG7MxDiXuwH3YYf-kA
508354,2015-06-10,0,WiWJR2WrC2x4_2sZ6p5czQ,"Absolute FILTHY shit hole----avoid it like the PLAGUE !!!!!!!
Staff are all mindless nimrods!!!!!!
This dump should be closed!!",JcoUGopq2fKid-TPf2-U_w,1,0,1,G4-5kIw9i--ww-Vp59B9yg
747779,2018-01-11,1,WiWJR2WrC2x4_2sZ6p5czQ,"They have power outlets on the south and north wall maybe the east and west wall. 
By the windows lol.",DoFrf6JcuGpnfK5ePqWm_A,0,0,5,LRz1B6Q5C9c0kl3qD0JHkA
948871,2015-10-31,0,WiWJR2WrC2x4_2sZ6p5czQ,"This Taco Bell is trash. The workers are way over the top with customer service, I mean like when they are way to peppy and it's annoying. I ordered my gordito box a certain way as in allergic to certain things like lettuce. It seemed as is they just put extra lettuce on everything. Spend the money somewhere else or go to a different location.",jFm1gcmjV_j3CiudYD4IDw,0,0,1,mIz5TWUTGVO_xpA81JoxoQ
1229814,2017-12-12,0,WiWJR2WrC2x4_2sZ6p5czQ,"I enjoy coming to this location. It is right around the corner from my house, which makes it incredibly convenient. In the three years I have been coming to this location, I have never had anything wrong with my order. I always come later at night and usually within a couple hours of closing. 

The reason for the sudden review after so long is a drive through cashier named Dominique M. (That's the name that was on the receipt. It was Monday night at 11:50.) I generally don't like to visit fast food places minutes before closing because I don't want to inconvenience them after a long shift. I didn't even realize it was so late until after I ordered. Even though there were only minutes left before closing, he was very kind and patient. He didn't rush me at all, and told me to take my time. When I got to the window there was something I had forgotten to order at the drive through screen. He didn't seem annoyed at all, and even had a smile on his face the entire time. HE actually apologized to ME for the wait at the window, even though there wasn't a wait at all. Of all the fast food cashiers I have encountered, he left a memorable impression. Even though our transaction was no longer than a few minutes, I left with a smile, knowing that I needed to make management aware of the great employee they have running their drive through window.",A7rNfK0CXWgewK9mNttYWw,1,1,5,CZ6Ynon77jenvVCYi0Ol-A
1606067,2014-03-21,0,WiWJR2WrC2x4_2sZ6p5czQ,"LIARS!!!! Sign said open til 1 am and it was 12:50 and they were still there! My taco bell satisfaction was ripped from me. I thought this was America, taking away my Taco Bell privileges and sh*t. Good thing jack in the box is always here for us and they are nice!!!!!!",Mv_JPxQlVZHAPXIAkKJzJQ,0,0,1,fYHMu006p0pu6gngkvF45g
1674425,2018-01-30,0,WiWJR2WrC2x4_2sZ6p5czQ,I have a burrito supreme my wife had the tostada and do drinks everything was served at a timely matter and fresh,2tNKMXN2FklQE-WsEHdnAw,1,0,5,PCuSogSn9XNZYMXCWfNDHw
1760889,2018-02-23,0,WiWJR2WrC2x4_2sZ6p5czQ,This was definitely the wrong place to stop for dinner. The service was so slow took 18 minutes to get two items i ordered and only had 2 people ahead of me waiting before i ordered. The tables had the trash removed but were all dirty so i am assuming the few patrons there just threw away there own trash. Will not return to this location again.,jJ22N-pXnBTQ-jwshCBAtw,0,0,1,mFyzOLFvn_K7Aku9mKl8Qg
1948079,2017-05-02,2,WiWJR2WrC2x4_2sZ6p5czQ,It's Taco Bell.... same crap served a dz different ways . Still one of the only drive thu places worth going to when in a pinch,Uqe97PzejrqTfm4cH-HeAg,1,2,4,k9vjiyV_A6GDO6i7Th5Dhg
2059771,2011-10-23,0,WiWJR2WrC2x4_2sZ6p5czQ,"Came here for pizza hut pizza. This taco bell doesn't not sell pizza. Some-how due to not being able to use the bathroom, I decide to order some fast food. I order the nachos grande or whatever you call it. Boy I haven't being here in years and I guessed it showed. These nachos only had cheese, sour cream, chicken, and beans. So I had to add extra toppings. Yelp 20 mins later- taco bell did it's job-I am now sitting on the toilet  writing this review and boy I am happy that I am to use the restroom.",kaJCbdYCy657hmpY6Eb82w,1,0,2,XtTkblRvVJ7R1qx0O27BVg
