,date,funny,business_id,text,user_id,useful,cool,stars,review_id
180218,2015-02-22,2,WzkbnhI-fxdH_tMzT3evtA,"I really like this place for karaoke, the staff is friendly and the customers are nice and fun to be around, but be careful if you see a white haired man with a white moustache behind the bar. That's the owner who is very rude and seems to not want repeat business based on the way he treated his patrons. Insulting and offensive",NXEnwH6GwWkErU0KFMhcmg,2,0,2,6yNf_R4rgJu_QJoXesZNQA
333836,2012-11-05,0,WzkbnhI-fxdH_tMzT3evtA,"I will tell you what I liked first because it's a shorter list.  Mild Chicken Wings; they were the best chicken wings I have eaten at a restaurant ever.  that is why they got the second star.  

CONS- 
I went for a cowboy game and told the waitress (who was very drunk) that my wife is pregnant and I don't drink so we just wanted a menu and a few soft drinks.  The waitress brought our drinks but not a menu.  After i went and asked the bartender for a menu, I came back to my seat and the waitress told me that i had to order from the cowboy game menu (perhaps the bartender should have known to give me the right menu)  The waitress brought the right menu but then disappeared and I had to go hunt her down after the first quarter of the game had already passed.  She told me she was going to  come back to my table so that she would be able to get the order right and bring it to the right table.  She still managed to get the order wrong by not bringing my wife's french fries.  We told her about it and she said she had forgotten to put it in but based on our bill, i'm almost positive that she charged us for the fries.  On top of that, she charged us separately for each soda, one of which, I didn't even ask for.  The place is a bar/grill that serves food but allows people to smoke despite state law prohibiting that.  In all, we were largely ignored, the service we got was very poor, and we will not return.",lgHvtvggg0qnEngb_iEvuA,0,0,2,rJyUEs9yjFZytlEhONDosQ
541678,2014-05-17,3,WzkbnhI-fxdH_tMzT3evtA,"Oh how nice to find a great locals bar.
Seems intimidating because lots of bikers seem to go there but WOW not at all. 
Bartenders are awesome! Always checking in to see if not only you are ok but anyone around you.. I was quite surprised how friendly everyone was. The female staff dresses a little provocative but they are just lovely and fun. Great Place!!!!",ZzpkBBSsYJBIJZjwWjde-g,3,1,5,t492zifT6e7aM8Ck-q3J2Q
664961,2016-03-17,1,WzkbnhI-fxdH_tMzT3evtA,Great place for a drink with your buddies. Our bartender Rinn was amazing & efficient. Bucket specials & great steak meal on Thursday nights.,WQpeT1nnsGa5_E06aORvWQ,0,0,5,szwJNBX2NmU-ubwWZUOKCg
697523,2016-08-12,0,WzkbnhI-fxdH_tMzT3evtA,"Mr. D's has a lot going on all the time.  Bikini and Lingerie-clad Bartenders, Karaoke, Car Night, Bike Night, Live Music, Food Specials, and much more.
Did I mention bikini bartenders?  They are very friendly, efficient, and easy on the eyes.
The food is well prepared and reasonably priced.
Lots of TVs and plenty of seating.  They have most of the sports packages too.
You can review the other posts for more detail but the bottom line is that there is something for everyone with a great mix of clientele, young and old.",hoRkbMQlZIZttFLEURFXjQ,0,0,5,o93YEhYH9rW6qB0pcsbtuw
706688,2016-03-29,1,WzkbnhI-fxdH_tMzT3evtA,Friendly staff reasonable drinks. Karaoke on Saturday nights is fun.,lMMYRUrHD1cy9cRlD0lf9A,0,0,4,ICRtp8bsQuKDWdEpoxIcRw
732506,2017-06-10,0,WzkbnhI-fxdH_tMzT3evtA,"Thank you, Mr. D. Y'all Rock! Cali served us great food and plenty of liquor. I hope I spelled it right... Cali like fornia... We loved it and will definitely see you soon.",D0rVdiwU45WReaJXez_7zA,0,0,4,uDzi-B9emPCM5v4hqOKqBg
733934,2016-01-30,0,WzkbnhI-fxdH_tMzT3evtA,"This bar is awesome. We go 2 times a week. Grate staff, grate. Food grate prices. Sweet drink deals.",IWeUx5gZ_tFP4HUi3XdmWw,0,0,5,Wo3j1hKUWMHt5rJkngVlVg
1031180,2016-01-17,1,WzkbnhI-fxdH_tMzT3evtA,"I started coming here last summer for karaoke, and have been back many times.  It's one of my favorite bars in Las Vegas. The crowd is friendly, the atmosphere lively.  The drinks are reasonably priced, and the food is decent.  I will keep coming back.",yLtL97_QN12_fqmZsomC2A,0,0,4,cB8D8DgBLwGRzPApZHRZmA
1036393,2018-02-28,0,WzkbnhI-fxdH_tMzT3evtA,The bartenders were friendly and attentive. I enjoy a good dive bar and this definitely fits.,9JUuH8so4eqwwIhupi3k-w,0,0,4,WlBBRYAM8qcI7QdgV-SOpw
