,date,funny,business_id,text,user_id,useful,cool,stars,review_id
127715,2012-08-22,0,XBikK0GMqJTF5d_bI3VSkA,"I have frequented some of the other Zabas locations in town, and I was excited when this new location at the Plaza Hotel opened up since it is close to where I work.  

I went there for lunch and was happy to see that the ordering process, menu, and prices were about the same as the other locations. The staff was fast and friendly. Although after ordering my chicken burrito bowl things got odd. 

The first issue I encountered was that they didn't have any fountain drinks, only bottled Pepsi products that cost about $2.50 per bottle. You can go over to one of the neighboring fast food places to get a fountain drink if you want.  With the overpriced bottle of soda, the price of my lunch went up to over $11. 

Then the only seating available are some tipsy and uncomfortable tables and chairs about 50 feet away from the restaurant. While I was sitting there a homeless looking person walks up to my table with a cardboard sign saying that he is stranded and needs money and just stands there about 2 feet away from me and my food waiting for me to give him money.   

Encountering these folks outside the casinos in downtown Las Vegas is pretty commonplace, but inside the Plaza Casino? This person went to the other tables in the area and did the same thing.  The person finally left on his own and I didn't see any security come through.  

I got a very sketchy vibe from that whole experience which will probably prevent me from going back to this particular Zabas or any other restaurant in the Plaza for that matter. It is a shame, I was really looking forward to this place opening.  Although I still give this Zabas three stars for the food being good. But the Plaza really needs to clean up its act.",B6CP8YfIzuKnvSZ_4U1zOw,1,0,3,3ETn2MmyuZfAh_bonYExoQ
223474,2015-02-21,0,XBikK0GMqJTF5d_bI3VSkA,"I'll make this a quick one. After a long and fun night on Fremont Street I had to have some chow before bed. Zapas is in The Plaza and we're staying here so my options were some what limited. 
I jumped in the line and ordered a chicken rice and cheese burrito and an order of taquitos.  I was not disappointed. The ordering process is similar to a Chipotle or Subway. You pick your ingredients as your going through the line. 
The food was ready fast and the staff was friendly and willing to answer questions about the different sauces and ingredients. The price was on par with the location and food. Give it a shot",utBlxXoHV9NeCedXh9LZ0A,1,0,4,S40kuNPqL5D98ujaEwk5VA
237607,2014-08-14,1,XBikK0GMqJTF5d_bI3VSkA,"The tacos here are pretty delicious. I've had the grilled chicken and the shredded beef, every time I've been here, both were good and tender but very under-salted. They have little salt packets in the checkout area, so you can just add salt-- not too big of a deal. Besides salt, the seasoning is pretty tasty on both meats. I've had the street tacos, crunchy tacos and the nachos. My boyfriend had the beef taquitos; they were small but he thought they were good. The street tacos are tasty, the tortillas are soft and pliable but they didn't fall apart from the filling, although they could have been grilled a bit longer. They weren't the best traditional tacos I've ever had but they weren't terrible either. The crunchy tacos are really, really good. They're nice and crispy and the shell is actually very tasty. The nachos are equally awesome. They don't give much meat so I usually add extra and then it's perfect. The queso is tasty and so are the toppings you can add. The lettuce is always fresh, as are the cilantro and onions. The salsa is also very good. I've never had the mildest salsa but the hottest one and the second hottest are both very good. Their pinto beans aren't great, the juice is very thin and they don't have much flavor. Again, this item needs salt. Overall, the tacos are excellent if you add salt to the meat. They also have PBR on tap so that's pretty awesome. Their service is good, no one is extremely friendly but they're not awful either. Food comes out relatively fast, I will continue coming here and I would definitely recommend this place. Great, quick food and they have pretty good deals like two tacos and a 12 ounce PBR for$3.99. Plus if you're staying at the Plaza, there's a couple of coupons offered.",ABt6wlmgY2PSN6uMl6QLag,1,1,4,mIKcS98J75HLVrhQu-BU7w
262543,2016-10-13,0,XBikK0GMqJTF5d_bI3VSkA,"The service was very poor here I know it's in a casino but 2 other places I went seemed to, you know care at all about what I wanted to eat. The two women there ignored use until we spoke up.(even though we were at the counter they were too busy speaking Spanish to care) One of them begrudgingly put together my burrito like she was doing me a favor. And they other women talked in Spanish to some women that had her kid running all over. Then when they went to ring me up and I said that my girlfriend needed food is the only time they acknowledged her. The sour cream was almost milk the meat was almost tasteless and when they understood what I said they were rude.",4bCNw6Q76JUPTI0353mC1A,0,0,1,o3XRyD9AIsfkSRE-Wy9rIA
348254,2013-08-01,0,XBikK0GMqJTF5d_bI3VSkA,"Working downtown can make finding lunch tough, but Zabas is always good and pretty reasonable. The Chicken Burrito is big, and you probably won't be able to finish it the first time. It takes practice.",RgSXgph2sud5xcKVSfyUPg,0,0,4,NpUnuIq0JnseqdUc3cXMzQ
356482,2015-11-06,0,XBikK0GMqJTF5d_bI3VSkA,Best Mexican food in Vegas.. Open til 12 too. The sauce is nice and spicy. Nice size too. The really cool thing is that have cabage too as an option.,qas92n0FWPAlcUtizxpFlw,0,0,5,XvagMA6fByKq-_zRzI7_Sg
393270,2015-02-11,0,XBikK0GMqJTF5d_bI3VSkA,"Got the $4.31 deal for 2 Fremont street tacos and a 12oz PBR. The deal was not on the menu or advertised anywhere that I could see, but I asked a worker about it and they knew exactly what I was talking about. The street tacos are small, about 3 bites each, but they were good. I got one shredded beef and one chicken, both with corn salsa, onions, and cilantro. The shredded beef had more meat in it. See the picture I posted for a visual.",XQic4MgyGwotV3qYG5GNMw,1,0,5,1MH612v9fkiO0fzgBBp-ow
407939,2013-02-27,0,XBikK0GMqJTF5d_bI3VSkA,"Zaba's food is super fresh and healthy. The perfect pre-game meal before a night out in Vegas. Found out it was a locally owned restaurant as well. You can tell by how fresh the food tastes and the quality of service. 

Pro Tip* Sweet Potatoes and Queso IN your burrito. Life changing.",GGaeYX6bYRuVUwT08O_4IQ,0,0,5,5IKtx5tAEwOGo4QsjcGLpQ
417532,2012-11-11,0,XBikK0GMqJTF5d_bI3VSkA,"I love this place, in fact I eat at this location about five times a week. Super fresh food with great flavor and very clean. I like that they use high quality meats and not fatty cheap meat with tons of lard (gross). If you want good fresh mexican flavor downtown this is the place to go.",ylhNPFsO1QNZvPt6_BfpOQ,1,1,5,JQQ1tqbwA2YGud0vkQyWbg
444056,2015-09-09,1,XBikK0GMqJTF5d_bI3VSkA,Owner is now harassing me about making his business look bad. How is there no report button for harassment?! Call me the b* and tell me that I'm mean to businesses. I'm just truthful.,acHx4hee7hUiGuDN7njlSQ,1,0,1,fbSx2Yod4Ofp5mH4uAU8LA
655852,2015-05-15,0,XBikK0GMqJTF5d_bI3VSkA,Very disappointing .. We ordered a shrimp taco.. Was cold!! Ordered a surf & turf burrito and THAT was cold.. Never coming here again.. :(.. Btw.. Only added 1 star because I couldn't post comment w/out.. Otherwise they'd get NO star,txaV9pPMH9WMQWxg5taOKQ,1,0,1,oA1yoBJ5EP7JOzITvPZaAA
724282,2016-03-02,0,XBikK0GMqJTF5d_bI3VSkA,food is mediocre. staff isnt so friendly. charged me for extra ranch dressing on my tacos. definitely wouldnt recommend this place.,Eyf7Av_eWBdnpYSPMIlxIw,0,0,2,LPyhr7TQEU8FAi6H4WB3IQ
