,date,funny,business_id,text,user_id,useful,cool,stars,review_id
10682,2017-04-30,0,XQJr9_jZR1vOoZVcZfDDwQ,"my husband & i love cracker barrel ... but ... this location is far from freshness as compared to many others. his order for scrambled eggs looked and acted like a precooked boxed from a cafeteria, though the waitress claimed they're made to order. a ""new"" plate of eggs looked the same except that it was of larger portion. his sausage patty tasted like it was under the food heater a little to long then got cold as he couldn't get over the texture and grease. my biscuit was hot on the outside but luke warm & dry on the inside. again, possibly under a food warmer too long. needless to say, we couldn't even finish our meals and asked for the check, seeing that the waitress tried to avoid us after questioning the eggs. 
we will not return to this particular restaurant.",WSpFvdeWn6Lu2UX4eKikAw,2,0,1,WgABIV8BAas2zIQ_yizm9g
26008,2016-08-21,0,XQJr9_jZR1vOoZVcZfDDwQ,"VERY disappointing.  I have been to many CB back east, and the service was phenomenal.  I was excited to take the family to CB for the experience.  Our party was seated and we waited a solid 20 mins before we left.  During that 20 mins we were not greeted by the wait staff nor did anyone even bring water or take our drink order.  Like I said very disappointing.",EpkpYuLUXUL4748LVFF1TA,3,0,1,Ot4aTYk_d5sZl4rTdNzlAg
32315,2016-08-30,2,XQJr9_jZR1vOoZVcZfDDwQ,"I know this is a new location and they are extremely busy. With that being said, our visit was almost comical. We were told 45 minute wait but was seated in 1 1/2 hours. Lack of drink refilling, 2 flies that wouldn't leave us alone, ordering corn bread with a plate of biscuits thrown on our table because ""corn bread is gone"", and my sons sandwich that came with 5 french fries. Which he found hilarious, even in starvation mode...",f3eEObZFaGV0wgMVp_dVqQ,6,0,2,qtlmSwSmnBsRCRn5UmFV1g
38465,2016-09-11,4,XQJr9_jZR1vOoZVcZfDDwQ,"This Cracker Barrel is a far cry from its sisters  in AZ and UT. Service was slow. Food was cold. Employees running around doing a whole lot of nothing. Had two different servers come up with food that wasn't mine. Sent a sweet potato back because it was cold, took forever to return. Just a bad experience compared to what we've experienced at other locations.",UH1PPJPwJQfnvqWZjSSWmA,2,0,2,S7mLL_KNyAikE8sQnoqWFA
58816,2016-12-28,0,XQJr9_jZR1vOoZVcZfDDwQ,Wouldn't give one star. Staff is beyond unorganized. Told 60 min. After 80 min was told another 25min. Don't come here....unless you want to waste a vacation at Cracker Barrel. RUN AWAY,SHQDyzYO3fMW_4XpwMIKOQ,1,0,1,Fr0GZePbYBselBLnFA3ADg
77685,2016-12-27,0,XQJr9_jZR1vOoZVcZfDDwQ,"First the bad news long wait time and the good news is food was delicious Kathy our server was great very attentive she  got our food to us really fast, next time your in Vegas stop on by this is our new must to go place from now on and as you wait you can do some shopping",UN5KunWEqT7GXacjl-CJ9w,0,0,5,ZLL4o7h41XU6QAM-ISGo8Q
80598,2017-08-09,0,XQJr9_jZR1vOoZVcZfDDwQ,"We went to Cracker Barrel on Monday for lunch ,there was no wait for a table and the service was fast ,the problem start when they bring us the food ,the girl that took our order  Zaila got  it wrong ,I want to try the chicken fried chicken and she bring me the country fried steak also it comes with all the fixing well she forgot the fixings ,I don't have to ask them for anything is there job to bring everything that we order to the table ,they should train bettter there servers .The food was good my family like it but we don't think we'll be coming back anytime soon",pCUBccvo5QEdMElV9K-Sfg,3,0,1,7QoiTJ-0W3mzMmi2K5KdUw
85830,2017-03-14,0,XQJr9_jZR1vOoZVcZfDDwQ,"Just finished eating here and since I always seem like I'm leaving reviews complaining about the way I have been treated I wanted to do the opposite today.  I would give the food 3-3 1/2 out of 5, but the service was definitely 5 stars!  My server was super friendly and went above and beyond.  And the clerks in the general store were great too!",ehZNBiB9sPyuTQyc80J9bw,0,0,4,zTeG0n1pU-JXplUloWT76w
89537,2017-03-27,0,XQJr9_jZR1vOoZVcZfDDwQ,"It took us standing at the Togo counter 15 minutes before anyone acknowledged us, and they won't let you substitute anything at this location - at the other locations Ive been able to substitute to accommodate allergies.",RtiJEheTA1Z4P1Iv4ojyZg,1,0,1,LTmtjtzZ4rfTvSHO7ueOpQ
107224,2016-08-29,1,XQJr9_jZR1vOoZVcZfDDwQ,"This was my first time visiting this palce... ever. The positives were the staff in the shop were so welcoming and sweet. I loved that feeling walking in first thing in the morning! The store front was clean and well kept. I also thought the restaurant was clean and well-kept as well.

The customer service in the restaurant is what needed the most help and it is why they were only given 3 stars. Breakfast servers should be cheery and happy... that is what I look for in my breakfast places as a Las Vegas local. Take a note from the customer service from the staff in the shop. Maybe smile more... maybe come by our table and fill drinks more or let us know our order coming? Especially knowing it was looking like we were there over 30 min just waiting. 

During the 1 hour time of waiting for our order, I observed different people being served before our party of 4.... although they were seated after us. It didn't seem to matter how many were in their party. Looks like perhaps it just depends on the server and or what they ordered. Amazing cheery customer service could have eliminated any kind of negative perspective first thing in a person's morning.",sRXl-nSV2xc29cwVGPFH_g,4,0,3,TdiY9m9qYHWVicDvibiLCQ
