,date,funny,business_id,text,user_id,useful,cool,stars,review_id
633044,2017-08-30,0,Xs98BYnfREgKQfANEg3C-w,Food was made fast. I order the turkey pesto panini & it is s c r u m p t i o u s. Only $8. I have a fast metab so I shouldve ordered two. Looking forward to trying out the rest of the menu!,UXDCl_TfygJDAexpiFUHQQ,0,0,5,up_vvh1UT8KMBDoiOts_yA
1019919,2018-03-27,0,Xs98BYnfREgKQfANEg3C-w,"I've seen this truck parked on campus at UNLV and finally decided to give it a shot. When I got there they barely had a couple people in line and food still took 12-15 mins. For us student that have to change from class to class in a timely manner it's too much time to wait for food. I Ordered the pesto panini and added avocado, when I received the order i took it to my next class and realized it was missing the avocado, I just didn't have time to come back to let them know about it. Throughout the whole time I was waiting for my food you can see the cashier just sitting outside on her phone while only one more girl is cooking the orders inside.  No wonder why they take so long to make the food. The quality of the food was very poorly executed. It was definitely not worth the wait.",60aRbAqrTAEMnThlC3y4WQ,0,0,1,m-T5L3Q-FuAaBALlv_Jlow
1545709,2015-05-07,0,Xs98BYnfREgKQfANEg3C-w,Enjoyed the Vegan Power at Foodie Fest for the 1st time and everyone needs to try this food truck. It's a healthier alternative and one of the only trucks in LV that sells REAL FOOD. Unlike the other food trucks who serve highly processed foods. Take a chance and try them. They're friendly too :),mKu3-7NiyNNzgcPrcQ7YYA,0,0,5,XXWxcHzSVIBDGdW32-t2_g
1685870,2017-03-28,0,Xs98BYnfREgKQfANEg3C-w,"Just got done eating a grilled cheese sandwich, Hawaiian Maui onion chips and a handsens root beer from these guys. Total was $9 even.

I am a student at UNLV and I frequently get bored with the options in the student union so I decided to try out the food trucks. SO glad I did. 

The grilled cheese is made with 3 delicious cheeses and is VERY cheesy. (Nothing worse than a low cheese grilled cheese) for $3 more you can make it a meal with chips and a drink so I did that. 

The Hansens soda is what I like to call the guilt free soda because there is no artificial colors or flavors, no sodium, and no caffeine. 

The young blonde girl who took my order was very sweet and patient with me ummmmmming my way through the menu and asking her for recommendations. 10/10 would recommend, after reading these reviews I think I'll try the pesto next time!",XgdsYNJj9Jpta2H5jv_pRg,1,0,5,5IsogJpka555RuD8vrdx4Q
1720433,2014-07-27,0,Xs98BYnfREgKQfANEg3C-w,This is a calorie friendly food truck. I had an amazing turkey pesto panini for lunch. It was so filling and satisfying. Everyone raved about the mini keylime pies. That will be my next mission of sabotage.  Give it a try if they arrive at your next event!,ocqqvO_ZlKy6rdxB09P3aw,0,0,5,uu4W8r1RWJoEvpn3eXaEyw
1857003,2015-10-23,0,Xs98BYnfREgKQfANEg3C-w,Just had their Caprese salad w/avocado. Truck came to an event I was attending for work. Yum!!! So fresh and the burrata - the best! Wish you were in Portland.,C3LLYhj6fqMkcXq_Hwe9Ew,0,0,5,9x2NOG-SEr32x40M2MInqA
2373266,2015-08-05,0,Xs98BYnfREgKQfANEg3C-w,"Lucky to catch this truck, amongst others today at the world market center. Fresh made dressings, perfect Paninis, and their secret menu item the panko fried goat cheese! The raspberry dressing on the got cheese was so fresh and delicious! Will keep my eye out for this truck, they are gonna be huge in a healthy way!",gwpAEZgg-G3LubfPYEQkFQ,0,0,5,zVPyBrWBYLlGFIpS2qnXQg
2885454,2014-08-03,2,Xs98BYnfREgKQfANEg3C-w,"I had the great fortune to experience this great Food Truck last Friday morning at the Downtown 3rd Farmers' Market.  This truck definitely is a work of passion by his husband & wife team, Rose.Rabbit.Lie. general manager Julio and MGM Grand cocktail server Kelly.  
Nice ingredients and very reasonably priced. I had the Turkey Panini with the avocado and I was full and well nourished.
It was a great way to have a good lunch, and to support a new food truck with a healthy attitude as well as support the Downtown 3rd Farmers' Market. 
I just wish that many others would have been there to take advantage of this roving restaurant and the wonderful farmers market, too.",oQ7irCudwDr73-938pXQIg,2,2,5,8Th11jauO8CAvLI_D6LN0w
3057187,2016-08-02,0,Xs98BYnfREgKQfANEg3C-w,I LOVE 50 SHADES.  Julio is really nice and his team prepares thoughtful meals with just the right amount of protein and easy on the carbs. I feel this will really help me trim down or help anyone with their health goals.,HD0hlztlmIw4kpnHad6_uw,0,0,5,gt5E0JunU_bFh95Rb8f9dA
3328892,2017-06-04,0,Xs98BYnfREgKQfANEg3C-w,"We ate at 50 Shades of Green at Skye Canyon's Skye & Stars event last night. I had the grilled cheese and my husband had the turkey pesto and added avocado. My sandwich was good, and my husband pretty much inhaled his so it must have been good. The customer service was great, and honestly I wish we had tried a few more things. I like that the bread had some texture to it so that my sandwich wasn't a big soft mess. If we happen upon them at an event again, we'll be back for sure!",vbG9-F7u-WUbY9lfvadIJw,1,0,4,H-2AZ8YOChlMQSZWXnYTkA
