,date,funny,business_id,text,user_id,useful,cool,stars,review_id
4978,2017-05-13,0,Xy8R4AnLP3LxwFIYoPfhJg,"Decided to try this place out finally (Friday 5/12/17) and was disappointed... Came here for some drinks and to play a little. Not too many people inside which was nice for a Friday night, we were able to get 2 machines next to each other. The inside was nice and had a good feel too it. I would live to try the food but I don't think I'll be coming back. The bartender gave us no attention at all. I waited almost 15 minutes to get my second beer, And I was playing too! Once we decided to cash out we were still charged for all of our drinks (2 beers and 1 cocktail) we both were playing too. We also noticed another couple come in and sit at a table and nobody walked up and helped them at all for at least 10-15 minutes. Pretty much the service here is horrible. I'm a bartender and my wife is a waitress so I understand how it is sometimes but when it's not busy there is no reason why anyone should be waiting for a beer especially when we are there to spend money",xCmoFHyhcYeKxiUz6w1lWQ,0,0,1,vvaXFW4cDGSMRQqUCufK0Q
106202,2016-07-30,3,Xy8R4AnLP3LxwFIYoPfhJg,"This is definitely not a gaming bar.  My husband and I played more than enough to have our drinks comped at ANY other place in town. But they still charge us for our drinks.  When we discussed this with the manger, Stephanie. She changed the story multiples time with excuses of why we where being charged, including she couldn't see our play. She reluctantly agreed to take one beer off and when she came back with our check it was still on there.  Stephanie's policy is clearly that the customer is always wrong. Beautiful bar, terrible customer service.",Y76KSdaGTeLhHoPRSs55Dg,2,0,1,z_u10YPOUdPwhmWK9AMWsQ
130127,2016-09-18,0,Xy8R4AnLP3LxwFIYoPfhJg,"great food ,drinks, samantha was an excellent waitress great personality ,one of the best dining experiences ive had while living here and ive had some real bad ones.i would recomend this place to everyone ..enjoy it..",CWh5R9McRfLVB30J-Qt6mA,0,0,4,PKaZUVg_WWzWcWlcWygB5A
226904,2016-09-14,0,Xy8R4AnLP3LxwFIYoPfhJg,"Just left this place.  Horrible service: the bartender that's on duty right now is the worst I've ever encountered. What a tool bag! This place was the spot my friend and I usually go to. Service is pretty good. So I took my mom here.  We walked in. No one greeted us. So we chose a table.  Sat there for ten minutes... NOTHING.  I finally walked up to the bartender, and asked if the area we sat at was open. This douche bag then replies with.. "" uh no, there's no server and handed me two menus"" ... If that was the case, he should have said, hey ladies that area is closed.   If I didn't walk up to him and asked him, we would have just sat there..  So thank you Douchebag for ruining our visit. Worst service ever! Tall, white, male, bald.",dS9RFQKv-e3G5SmeKBs9tg,1,0,1,U6muG6ySxyTYLWdDta_C0g
350196,2017-07-14,0,Xy8R4AnLP3LxwFIYoPfhJg,"This is the most beautiful PT's in town. Food is great, bar has great selection of drinks but the staff are slow and inattentive. They are often going missing in the back of the house for extended periods of time. I've even seen people pour their own drinks!!",GGg6kMYqZjYSDvp-I8czWA,0,0,2,mhfL_lGmJL8fwwgYLPRrOQ
487557,2016-09-30,0,Xy8R4AnLP3LxwFIYoPfhJg,"Great food, great drinks, great service.
Cheap football specials too.
If coming in the day, would recommend sitting at a table instead of the bar. Quicker service and a better view of the tvs",YyK2ByleR-M7pr4uJI2Zuw,0,0,5,GPMJ3mS0dF73xQKpY2JqhQ
517083,2016-07-20,0,Xy8R4AnLP3LxwFIYoPfhJg,Went in Saturday morning at 7am July 16th Chris was our bartender. He was very informative about the specials and happy hours even suggesting yummy breakfast cocktails. I can't believe how amazing this place looks after the remodel. Breakfast was good and I even won a little money. This is will be my Saturday morning spot!,bvlAc6EAtLlZdrd9DLFPxA,0,1,5,uuZWuMsjTZgAaAh3dBj_QA
565031,2016-06-01,0,Xy8R4AnLP3LxwFIYoPfhJg,"Walked in and sat down in I guess the ""VIP"" room which was wide open. After about 5 minutes a waitress came in and took our order. Brought menus and beer that was cold  we asked if they could possibly change the channel she came back and told us the manager said we could not sit in that room. So we moved to the bar and then waited about 10 minutes b4 we asked if anyone was working. Needless to say there was 3 or 4 people behind the bar with about 3 people in the bar the bartender said in a pissy tone yes I will be right there. Ordered a couple fireball shots and they were luke warm. Talked with the manager and she didn't really seem to care much. She then right in front of us asked the bartender what happened and they talked for a minute and then chilled a shot. The female manager has no idea what the Vip room is for or how it works. Do not recommend coming here for any reason.",m5AuhwV1n0Db4q_4v54bEw,1,0,1,IQTTzvIhJSvWp3fsNlXfjA
663106,2016-08-25,1,Xy8R4AnLP3LxwFIYoPfhJg,"I just don't understand how I can spend $250+ playing poker and they wouldn't comp a $10 sandwich - they did however ""take care of the Iced Tea""  - really??? The bartender was okay and food was okay - but won't go back.  I prefer places where my hard earned money is appreciated - I'm not expecting a lot but this was just wrong.",amoqBm8ZIM1tnd-Sskbr9A,0,0,1,bn8H01hM9qldwx9f_p-yHA
696923,2016-06-25,0,Xy8R4AnLP3LxwFIYoPfhJg,"Sarah, Sarafina and Sam are the best! We get the best service when they are taking care of the place! Sarah always makes sure we have what we need and has exceptional customer service.",HMnEo4A50r7zZl49Z2q-Cw,0,0,5,e8qL_nJUVgDlxWyfi5yPLQ
1561224,2017-12-29,0,Xy8R4AnLP3LxwFIYoPfhJg,Great neighbor joint to hangout in. They are starting to add a game room on now. Shuffleboard and a pooltable so far.,Epu165O9lGjvY6QTJpDp9g,1,1,5,VVlMWBJsN7vmF5feF7cmbg
1596468,2016-11-15,0,Xy8R4AnLP3LxwFIYoPfhJg,Came in on a Thursday night with some co-workers. The venue has a cool vibe & I liked it. Unfortunately that's where it all ended. Service was horridly slow. We had a table of 5 people & she was never attentive to our table. I had given the server my credit card to close out my bill & it seriously took over 15 minutes for her to bring it back to me. I had to hunt her down. Should not have to hunt down the server for my credit card. Another co-worker had to go to the bar to pay their bill since the server was MIA even after he asked for his bill. He waited for 10-12 minutes but finally went to the bar to pay as he had to leave. I may try it for lunch to see if it's any faster but doubtful I'd go back for a time after 5pm.,uByIGcI5EJeKNGyBtCkWBw,1,0,2,5GU9rcGeco0G4Yl8Sw42Pw
1603791,2017-12-20,0,Xy8R4AnLP3LxwFIYoPfhJg,"Service sucks but the place is very cute and cozy. Love the decor! We ordered wings, extra crispy, fries and a beer. Sat at the bar and not even 5 people including us in the place and bartender (young with long dark curly hair) was nowhere to be seen. We had to track her down and ask for water. We ordered spicy wings! Why no water??? Then we had to track her down for napkins. Then yet again for a second refill of water. Then last time for another beer refill. Quiet dark atmosphere to relax and grab a beer though. We played and lost $40 in the machine. No comps for drinks either:( Our lunch cost us $75.",yWeMW4CzbdZ9A0FWaBsobw,0,0,2,ttjAYfQu5UFjvsY1Lq_13w
1604802,2016-06-07,0,Xy8R4AnLP3LxwFIYoPfhJg,"First time here, great experience. The bartending staff is really nice. Thanks Stephanie and Tiffany. Great suggestions on the menu for dinner. The ""ranch"" pizza was amazing! I'd come back here anytime and the atmosphere is really great, very warm and open with very little cigarette smoke eventhough there were smokers. The American flag mural that takes up a whole wall is impressive and very patriotic. LOVE THAT! I can't wait till a few cooler evenings come around in the fall to sit outside because the outside dinning area is very well laid  out and inviting.",ytsz3KGny2NoWxPepTOqTA,0,0,4,cMC1KrFwjca7xNpEUib8Cw
1741102,2016-09-20,0,Xy8R4AnLP3LxwFIYoPfhJg,"Great atmosphere, cant believe it was the cantina....Unfortunately, the service gets the 1 star. Empty bottles and empty glasses means, we may want another drink. Why did it take so long to be acknowledged? Even after i cashed out my ticket....",56C4MstRkKUezC-xhznaWQ,1,0,1,rfEpsJCpsyxBWzDAQ5qE4A
