,date,funny,business_id,text,user_id,useful,cool,stars,review_id
9888,2017-06-18,0,YRiQtFNteLUUEiGkdQ23vg,I love this restaurant! It's probably the best restaurant in the hotel! Incredible ribs.  The service was off the chart. We sat at the bar and we were served by Cooper. He made sure we received top customer service.,aJtHf7TD4RMVYtGDET-mUA,0,0,5,o502H4mRmqwxOL_9mYiaiw
26449,2017-08-03,0,YRiQtFNteLUUEiGkdQ23vg,Incredible portions of delicious food available late at night for reasonable (by Vegas standards) prices.,2153uPUgvCOwwL2MQgf8MA,0,0,5,o77mRiWcmZoVmuJF0jXAEg
38480,2015-02-01,0,YRiQtFNteLUUEiGkdQ23vg,Great place to get a bite to eat right off the strip. Foods always on point. . burgers are the best in town.,_agGYdQxMH_h8ig20oN8Nw,0,0,5,3tTJkQKYswvjnTFBg34q7Q
38865,2011-12-02,0,YRiQtFNteLUUEiGkdQ23vg,"Had burger and the wife had the buffalo chicken sandwich. Fries were good but the burger and chicken were average. Considering the quality, I thought $12 for each sandwich was a bit high. Nothing special here.",vRg3HQiZ-LQ_gtEovfCJFA,0,0,2,nvy79T2vV9IpPuoSuhNlFw
42440,2017-08-07,0,YRiQtFNteLUUEiGkdQ23vg,"I just had one of the worst burgers I have ever had. And it was here. First of all it wasn't one burger, it was two!! Who serves two burgers?? The menu said 8 oz burger. So you expect ONE burger not two small dry patties. Whoever decided to serve two dry flavorless burgers NOT cooked to order should be fired. I told the server this was one of the worst burgers I've ever had. She practically shrugged which irritated me and prompted me to ask for the manager to come over. I don't know whose lack of caring was worse the server or Pat the manager. What a disappointment and waste of FORTY DOLLARS!! STAY AWAY FROM THIS RESTAURANT IF YOU WANT A DECENT BURGER!!!",RhQCf7tUvvvxJMWzwPLpBA,1,0,1,5Glm-F4LT0xgX1k9AqWshg
69053,2017-07-24,0,YRiQtFNteLUUEiGkdQ23vg,"This restaurant is inside the Rio Hotel, where we were going to attend the Penn and Teller show.  Waited in a short line and were seated immediately.  We told the waiter we wanted to order right away, since we were going to the show.  The waiter was excellent. He was attentive and took our order and the food came quickly.  The salmon dinner my husband and I shared was excellent with mango salsa and a baked potato.  Could have had more vegetables, but the fish was cooked perfectly.  My 2 sons ordered burger and fries.  They were the tallest and best looking burgers I have ever seen.  They gobbled them up, since they were so delicious.  The steak fries were extra crispy and we all enjoyed them, since there was such a generous amount.  Thank you for the enjoyable and scrumptious meals!",EVsFd7iM9QdvjdTPCpdy-w,0,0,5,4TTQaYccbuLLcnPODnsIRw
71988,2009-07-12,0,YRiQtFNteLUUEiGkdQ23vg,"Love this place. If you're not in the mood to dress up and go someplace fancy, but you still want high end food like filet minion, lobster and crab legs, this is the place to go. The atmosphere is nice, but casual. The food is great. Your meal starts off with great soft dinner rolls and PRETZEL ROLLS(! )which are a delicious change of pace. I had the petit filet with crab legs. The filet was cooked well as I asked, and they butterflied it so that it would cook more evenly. The crab legs were meaty and pre split so you didn't have to crack them. A huge baked potato and mixed veggies accompanied the meal. My husband had the prime rib with shrimp scampi as his ""surf"". The shrimp were huge and the sauce was great. The portions are very generous and there is no way that you can have room for dessert, so I can't judge those, but the meal was awesome and the service was very attentive.",GKQgCULAuiVur--lP_0tkQ,0,0,5,Qo_xcRnFpJbHZNqCZVmx4A
119949,2008-10-30,0,YRiQtFNteLUUEiGkdQ23vg,"The avocado BLT and fries were both fantastic and totally hit the spot for me considering it was almost 11pm on a Tuesday and it was my first meal since lunch and flying into Vegas at 7:30pm that day.

The hostess was slow and probably needs a new job that she actually likes =o) and the wait staff was running around like crazy, but our waiter was good.

But, we probably wouldn't go here again unless we were to drunk/lazy to go anywhere else.",_C2HPpL3YzzbsjZkPg4iFg,0,0,3,kaFjURGUo-RI_9My03bcaw
124267,2012-03-27,0,YRiQtFNteLUUEiGkdQ23vg,"After living in Vegas for over 8 years now I've eaten quite a few burgers all over town, but since starting this blog I've had to look at many of them in a whole new light. One burger I've eaten many times is the one at All-American Bar & Grille at the Rio because I used to work down the street. I remembered it being decent, but how does it hold up now that I'm being completely subjective?

The front seating area of All-American is a fairly clean, loud area with a big bar and lots of TV's, open directly into the equally loud and slightly more hideous casino floor. It's great for people watching as the Rio doesn't always attract the most savory folks. It was especially great the day I went for my burger, as NASCAR was in town. Need I say more? The back seating area of the restaurant is a bit 'nicer'; if you're coming here for a steak you might want to eat back there.

Both the lunch and dinner menus are fairly similar, featuring a wide variety of steaks and pretty much every generic thing offered in all bars across the country. The choice of the day for me was the All-American Classic Burger which I got with sautéed mushrooms, Swiss cheese, and the standard lettuce, tomato and onions. What gets served to you is a decent presentation, but I was a bit disappointed by the waffle fries that I immediately saw on my plate as I'm typically not a fan and I wasn't given a choice for anything else. The meat had decent flavor, but was way overcooked from the medium-rare I had ordered, while my friend's medium was cooked how I would have liked. Did they mix up our orders or can they just not cook to order properly? The bun had good flavor, but was a bit too thick and way too dry. The sautéed mushrooms had peppery good flavor, and the Swiss was melted and tasted good. And while I used maybe  of the lettuce they provided me, all of the veggies were fresh and good as well.

My waffle fries as I mentioned were quite disappointing; kind of stale, not very hot and pretty generic. For years coming to All-American I remembered getting a basket of random fries; some waffle, curly, skinny, and fat. That would have been more welcome as I liked the variety, even if it seemed like you were always eating from a mixed bottom of the barrel.

Overall the burger was good, but nothing out of this world. $12.99 is probably about right for a casino location such as this, but I think it's a little steep for what it is. Plus the service has typically been less than stellar every time I've been there. I think on this particular trip our waitress took our food order and drink order at the same time. Talk about being prompt. There probably aren't too many other choices off the strip by the Rio, but if you're at the property and want a burger you can't go wrong, just don't go out of your way to come here.",0G9BcXSQscv_GnhlNwFfjw,0,0,3,cOBYsloYvTcGbJjOBSnBTQ
125329,2013-09-28,0,YRiQtFNteLUUEiGkdQ23vg,"Was in town for the day (April 13th) with family for drag races. We opted to stay at the Rio since they had a parking lot accommodating for all of their trailers, cars etc. This place seemed like it would be good for a quick bite, not so much. Where to start:20 minute wait to be seated turned into 30. Drinks were ordered right away but waited another 15 minutes after drinks were dropped off before waiter came to take our order. Now over all the food wasn't horrible but mediocre and over priced at best... I think the best thing was the version of a wedge salad.Not hard to screw up. Shrimp cocktail consisted of 4 jumbo shrimp with a lemon wedge,saltines and a tiny cup of sauce $14..no thanks. Oysters Rockefeller $15 and ate 2 of the 6..oyster was beyond small and drowning in so much tasteless gooey sauce.Long story short save the time and money go else where.",rajiewsNaAf7I7UeISmmhg,0,0,2,yUywK0VjLdLYhVWfF71tyQ
129909,2011-10-24,0,YRiQtFNteLUUEiGkdQ23vg,I've eaten here more times than I care to admit.  It's not too bad but not great either.  I'd give it 3.5 if they allowed half stars.  The good thing is they have a ton of TVs and they'll change the channel to the game of your choice if it isn't already within your view.,VcG7bXByq1tCs47sm1pV3Q,0,0,3,l3HaNHvr4vootB-AFGzXaQ
