,date,funny,business_id,text,user_id,useful,cool,stars,review_id
45721,2017-05-08,0,YTCCJ3ShO-zg0dlx1nk6dw,"Some of the best food I have ever had!

With our large table for 22 guests, it was a bit difficult to keep our glasses full with drinks. With only some delay on a busy Saturday night however.",KCd765K_08ibJOXOj22NyQ,0,0,4,jt8MaSxRe8rv9e_ajGbRqw
81789,2017-05-16,0,YTCCJ3ShO-zg0dlx1nk6dw,"Was pleasantly surprised at Morimoto by both the cuisine and the management.  

We had three starters:
  1)Tuna Pizza  - A must have, thin crust with tuna and toppings.  Expected it to be spicier with the halepenos but it was well balanced and sung in your mouth. 2) Sticky Ribs, another must have, fall off the bone, sweet glaze plays on your tongue.  3) Hamachi Tacos, good but not a standout, go with the first two.

Three mains:
1) Seared Snapper - Excellent, creamy smooth curry with bananas and rice.  Fish expertly done and all the flavours worked amazingly.
2)Duck Duck Goose -  More like 4 duck dishes,  1 Duck Fried Rice (what you would expect), 2 duck meatball soup - Just ok  3 Confit duck leg - Very good but again typical, and  4 Duck Breast (perfectly done, with a sweet savory gooseberry sauce, the best of the Duck dishes)  They should make the breast a dish by itself and throw in some fois gras.
3) Pork ishi Yaki Bop -  This was a let down for us.  The pork was mainly the fat of the belly so its consistancy was very soft lacking pork flavour. Presentation was neat but the wow factor stopped there. 

Dessert:  
1)Fiery Salty Caramel Chocolate Tarte -  Dinner then a show, what else can you ask for ?  Melted beautifully.  The marshmallow inside was smooth and creamy not sticky at all.  Enough for two people.

Management:
The manager Jim went out of his way to insure our experience at Morimoto ended on a positive note.  He took notice that we did not enjoy the Ishi Bop so he promptly made things right by exceeding our expectations.  He showed great awareness of his diners and their experience.  Because of Jim we left on a high note and will be sure to return.  

Overall:  Great management, great food, good portion size, and a nice ambiance.  Morimoto is a must visit.  A+",Xo99Z-shvqVAijcrQjr_Sg,1,0,5,eqzZnN6JFf931IvzKU83mQ
133039,2017-02-13,0,YTCCJ3ShO-zg0dlx1nk6dw,"We had dinner at the Teppan Grill for our 5th year anniversary and had David & Jazael cook for us! David was a laugh a minute, while Jazael rebuttled his humor. We started off with the $90 chef's choice sushi platter and it was so much sushi! We went through a multi-course Teppan meal of A5 Sukiyaki and barely but had to get in the cheescake, doughnuts, and ice cream.",g9pTLCAoinvLbICiRzWsIQ,0,0,5,Im_uq1fhP_hFp6Msl4bwSQ
141177,2016-12-24,0,YTCCJ3ShO-zg0dlx1nk6dw,"Really wanted to try this place out as I love Japanese food.  Love all appetizers we orders which included the toro tartar, oyster foie gras and carpaccio.  I have to say that the oyster foie gras is a must try! We also ordered the sushi but I have to say we were a bit disappointed.  While the fish was fresh, I feel like that the sushi had too much rice and the rice didn't have enough flavor.  We've definitely had better sushi before. If I were to go again, I would probably try the other entrees instead of their sushi.  Great customer service!",4ceYuRZMVrzyNM4uJ70TOA,0,0,4,VjZscZVDN26A3xj5AHmo2Q
174898,2016-10-30,0,YTCCJ3ShO-zg0dlx1nk6dw,"Morimoto is a master of his craft and it is reflected at his newest restaurant at the MGM. The end-to-end experience was hands down the best dining experience I've had in Vegas. Everything from the top-notch service by our waiter Truman to the execution of Morimoto's signature dish the Buri Bop made this restaurant a must. The toro maki roll was the best sushi I've ever had, the fatty tuna just melted in your mouth. The restaurants Sommelier even stopped by to find the best sake pairing with the meal I had. 5 stars! I will be back.",3ZIMTk0B1pd9n8rYIc0qWA,2,0,5,BjV0jhE2lNLyCy4UG_F6Pw
179896,2017-05-02,0,YTCCJ3ShO-zg0dlx1nk6dw,"My fiance and I dined at Morimoto yesterday and had the most incredible dinner and service. We decided to have dinner before going to see KA. Our server provided excellent customer service, his name is Aries. We took all of his recommendations! We had the rock shrimp, tacos, and the chocolate tart for dessert. Everything was delicious! I really appreciated the service we received, a female with dark hair (I believe her to be the manager) stopped at our table to see how we liked the food and gave us some suggestions on what we can do during our stay since its our first time here. Overall, great food, staff and a perfect start to our vacation!!",SAst-P8nAorXJBFiIucTwA,0,0,5,jVB86YQLIjHHjHYBg2Ot2Q
306544,2017-03-20,0,YTCCJ3ShO-zg0dlx1nk6dw,"Went to Morimoto's on a Sunday night to meet our friends and enjoy a nice dinner out. Locals like to check out new places on the strip on occasion. Though the charge for parking at the MGM is still a good reason to avoid certain strip properties.  Anyway, Morimoto's opened about 3 months ago, so they were very eager to please and provide excellent service.  We did not order sushi but I must say, the sushi bar looks fabulous!  We shared about five items off the regular menu.  We had two appetizers and three Entrees.  Entrees included: Black Cod, Angry Chicken, Yellowtail served in a bowl that was 450 degrees and cooked table side.  Every item was cooked to perfection. We finished the meal with the flaming chocolate dessert - it tasted absolutely fabulous - a good mix of light froth and heavy darker chocolate.  Service was excellent.  Only complaint - specialty cocktails average about $17 each!",uLp2Rz4Jpy4FA3NsTnOZ6A,0,0,5,aEz6e-tDQDYeopKJGzebVA
347492,2017-10-22,0,YTCCJ3ShO-zg0dlx1nk6dw,Decided to go to a 5 star restaurant and enjoy some quality food. Looked at the menu and angry chicken and lamb chops caught our eye. The entrees were north of $30. Don't normally pay that even for 5 star food but being in Vegas we thought it will be worth it. The lamb chop was nothing to rave about and the chicken was a lame attempt at an Indian inspired entree. Totally not worth the quality/price ratio. Did not get what we paid for.,-GL_bzgRdOptNSZXQDcVnw,0,0,2,02nWVxxVvMIxcnAT4LUMVA
386554,2016-12-12,0,YTCCJ3ShO-zg0dlx1nk6dw,"When you are in Vegas you have so many great restaurants at your fingertips.  You name it, Bobby Flay, Gordon Ramsey, Giada... they all have their trademark restaurants.  Morimoto, the iron chef, is no exception.  He is the iron chef after all and opened not too long ago at the MGM Grand, this was a must try.  

We had reservations at 7:45pm and we weren't seated until 8:10pm.  Uh oh, this is not a good sign.  However, the manager was very apologetic and gave us a round of drinks on the house for our inconvenience.  That was very classy.  Being that this is such a high end place, expectations for service and food were high.  

The food did not disappoint.  The fish is what is to get here.  We had sashimi and sushi, all of which were excellent and fresh.  O-toro and chu-toro were my faves.  The waiter offered a selection menu that they can craft for the table but we preferred to build our own.  My favorite was the cheesecake soufflé dessert.  Yum!  While the fancy chocolate ball lit on fire has the wow factor, the cheesecake soufflé was light and moist without the density of the usual cheesecake.  I wanted to lick the plate.  This place is worth a try given although you better get your casino winnings ready for the bill!",SChp39oaDaOhdoCVk4DAUA,1,0,4,AJpCDEzgol1sU96qL71C6g
413049,2017-12-02,0,YTCCJ3ShO-zg0dlx1nk6dw,"Most disappointing meal of my week-long trip to Vegas!  Wish I hadn't gone.  Actual food quality was 4 stars, but minus 2 stars for being CRAZY over-priced for the quality ($85-$90 per person without alcohol).  I felt pretty ripped off spending such money for food that is barely better than mall pan-asian food.  Their snow crab legs tasted less than fresh (slightly fishy taste and lacking the sweetness of truly fresh shellfish) and it also had an odd sauce that reminded me of some amateur combo of ketchup-and-mayo-and-sriraca.  The Laksa Noodle ""soup"" had, instead of broth, a strange paste-like liquid base that was gloopy and unpleasant.  Their version of wasabi friend shrimp was no better than my local restaurant that sells it for half their price.  Admittedly, those were the low-points -- much of the food was decent enough -- but I felt ripped off after paying over $400 bucks for my family of five.",0F92UCErUmsAdXCfcnAbCw,0,0,2,qIuSBViQcjUPQu7gHb4wRQ
