,date,funny,business_id,text,user_id,useful,cool,stars,review_id
75015,2015-05-26,0,ZbHE1ZncONeH-q93GuVGdA,"Cheese was not melted, taco shell tough and chewy. Very little meat in taco, which did not taste good to me. I was very disappointed",uR-ashDvJJA8X4LYf6z7VA,0,0,1,wjvmZS3ZDamUM6PWvIHw_g
166837,2016-04-19,0,ZbHE1ZncONeH-q93GuVGdA,"My experience here was not all so great and friend of mind suggested I try their food,  I tried their steak burritos and it was not to my liking the may tasted like it had been sitting on the grill all day but I was still trying to think positive about eating this not so tasty steak but when 1 hour past my stomach didn't agree with the meat so I spent about 5 hours letting it out threw the back door. Lol. The chips and salsa was the best for me.",pNLyzGaC9Ehh0dxPk2exSw,1,1,1,VKBHZsGKf1XuNk2l4BXLtA
192022,2017-04-14,0,ZbHE1ZncONeH-q93GuVGdA,Wasn't impressed with the service and the beef burrito I had was the worst burrito I have ever had. It contained some beef with peppers & onions. No cheese or sauce!  Will never eat at a Don Totacos again.,uB_iU3QL2pKN4eiuHwM0uA,0,0,1,sSWbQxtO2pIOQOINcjgBeQ
254823,2017-04-25,0,ZbHE1ZncONeH-q93GuVGdA,Always a bad customer service! I would never recommend this location to anyone. I was waiting to place an order for 10 minutes and their were 3 people working that night and not 1 even bothered to help me. They were more focused on the drive through.,gFmIR4l0RV500rsxljH94w,0,0,1,NklNJaF0ZoXzDvjPHKOrpg
356502,2014-08-09,0,ZbHE1ZncONeH-q93GuVGdA,"Love that they are open 24/7 and that they will give me a burrito without the tortilla.  Their Carne Asada burrito sans the tortilla is a plate of meat, guacamole, and pico...so good. 

If you can eat carbs, which I don't, go for the cheese enchiladas. I miss those.  They are quite tasty!",_psM5Kl2fGSfsHWDfnVQew,0,0,4,he3lUbq1blJ-PqJeMWNVBA
379561,2013-10-27,0,ZbHE1ZncONeH-q93GuVGdA,"Food- inconsistent but good.  (Chicken is disgusting)

Service can be frustrating, I don't bother going in if they have more than a few people in there because it could take 15 minutes for a taco.   The staff generally gives you the feeling they don't  care, especially the males.",iaNfdW5wxcVQEFTkDjOyzw,0,0,4,aBtWxOqcv4zfyI9hAUpyZg
433479,2015-12-15,0,ZbHE1ZncONeH-q93GuVGdA,"Horrible customer service . First time I called ahead and ordered in hopes of saving time on drive to work . Showed up told cashier I was there to pick up.... And that's when they started cooking.... Last visit very rude cashier, ignored customers Til she was good and ready then just hands receipt for signature no thank you or anything. I'll make the longer drive for robertos instead",vw50LfKLSa0fFmzgUl5c9A,0,0,1,PIVIwlRzzGYdYkOF5rh4eg
436328,2015-01-14,1,ZbHE1ZncONeH-q93GuVGdA,"Here it goes...I was driving by today and decided I would stop in for some carne asada nachos. I got them to go. When I got home, they really didn't look that great but I was starving so I decided to eat them.. Halfway through I had to stop eating them because they were so greasy and tasted horrible.  Later on in the night I started feeling so sick to my stomach. I will never eat there again.  Very disappointing considering I ate there frequently.  I do not recommend this location to anyone....",MTxKvY7v7bKzPYGlyLvUew,3,2,1,4pZTahYLrAAOI10vRKcdYA
506726,2016-12-14,0,ZbHE1ZncONeH-q93GuVGdA,"On 12/12/16, I went in this store. Don't know why, they always screw my order and I take them to go. My total purchase was $ 24.00 for 3 meals. MY order was the chicken taco and the chicken enchilada. I am so mad at myself for not checking. Sure enough, I got home and my order of chicken taco & chicken enchilada turned out to be BEEF TACO WITH A CHEESE ENCHILADA  ????????   THE FOOD IS OK, BUT THE LADIES AT THE FRONT ARE SOOOO RUDE, MAYBE BECAUSE I AM WHITE, AND NEVER GET THE ORDER RIGHT. I MEAN NEVER. There is a new one opening at Durango & Blue Diamond. I can't wait to try them. Screw this location on 8060 Blue Diamond.  btw, have you ever seen the floor of the kitchen???",PNvOg7xXbe78mjodZRcPRg,0,0,1,9qAvfADE7PIO4-9XtnoN0A
528255,2015-05-20,0,ZbHE1ZncONeH-q93GuVGdA,I was a frequent costumer here at least once a week. I can't believe how downhill this place has gone. Tacos are fried a head of time and sit for who knows how long. Chile reaños don't exist anymore apearently and everything I get is cold by the time I'm home..... I live on durango and blue diamond. I will never be going back to this sorry excuse for a restaurant. There is a place in the Sinclair gas station on rainbow that is amazing for anyone reading this and the Mexican food is 10000x better that here. I will highly suggest you drive the extra 5 mins for a better meal. Hopefully this review will make the lazy cooks get there stuff together in don tortaco,sPFSbmj9rPxS3m8LMxQQpQ,1,0,1,_hfBiF850E4NQ2hD_98sqg
551970,2017-07-15,0,ZbHE1ZncONeH-q93GuVGdA,"Their food is just fine, no true complaints there. My issue is with the fact that they have a 24 hour sign lit up every night and when I come by the door is locked. If you are open 24/7 then stay open, if not then take down your 24/7 sign.",0smAyzG6PGaIt62UuYLRlA,0,0,2,KA2G0e7t8A1EPxtMWz-xNg
560583,2014-08-04,0,ZbHE1ZncONeH-q93GuVGdA,"I would have given this place zero stars, but since I had to give at least one...here it is.

The place was not busy but it was loud with the cook in the kitchen chopping the hell out of something..not sure it was meat as I didn't find much in my tacos. The TV's were blaring, making it hard to hear the person sitting next to me.  

I ordered 2 hard shell tacos - buy 2, get one free..now I know why.  The shells were either under cooked or old...tough and not edible.  The tacos were more like  lettuce tacos - it had an abundance of lettuce - little of anything else.

I found a hair in the radishes at the salsa bar which finished off an already bad meal for me.  The salsa bar appeared to be rather dirty..lots of drips and spills.

The girl taking our order asked if it was to go or eat in...even after stating we were eating in, she packed it to go...whatever.

Won't be going here again.",fgTwcwIY7Y5zGMKcuEVOqg,1,0,1,nSGcs5ChDr6einoc4OiwVw
569061,2014-07-29,1,ZbHE1ZncONeH-q93GuVGdA,I like this place next time you're looking for delicious greasy Mexican food this is the place!,4zmGrx-_xa4_Yh1scbS_DQ,1,2,4,Q4O1QusD6t2_TwCReY6DzA
577883,2014-01-01,0,ZbHE1ZncONeH-q93GuVGdA,The food here is one of our favorite places to grab Mexican...except when it's busy. Don't come between 530 and 7 pm.,xSWZTy0J1yVaMXUse4Iv_Q,0,0,3,C8tmQoM-BzLiLTqKTQQCrg
721567,2015-02-12,0,ZbHE1ZncONeH-q93GuVGdA,"Usually love traditional Mexican joints in non traditional neighborhoods. Impressed with the salsa & accompaniment bar but when my chicken torta arrived I was really disappointed. Boiled chicken on a dry bollio roll. Little flavor & messy. No mayo, avocado or any flavor binder. Bf had chicken taco- not good flour tortilla fried. Made for difficult biting. Enchiladas were good. Nice staff but until the food gets better we will be seeking out Roberto's",vCKqd8TDHXrZD4PHT878Yg,0,0,2,v9rGiD6IXM2HGvWcQTY_QQ
940264,2012-10-10,0,ZbHE1ZncONeH-q93GuVGdA,"good food, but the cashier guy needs to learn english.... he screws up the order 1/2 of the time!",P3ESPBcf3NQOi3NkUeSAFQ,0,0,3,SxK8SLmVgmI1v6Zn1HaunQ
962753,2013-01-29,1,ZbHE1ZncONeH-q93GuVGdA,Don Tortaco/Roberto's they're both the same: Really fast and good Mexican food. Never let down by the quesadilla or the nachos. Add red sauce to the meal and a drink of horchata and that's some great food.,0PXDGqcaeWE4LpkC71c2RA,5,3,4,LY1nqZBfILzlAzpDgLZMyg
971175,2011-04-24,0,ZbHE1ZncONeH-q93GuVGdA,"We popped into this Roberto's (located on Blue Diamond at Buffalo by Rounders and a Child Care place) at like 1am after a concert. Few drinks down and we were ready for fourth meal.

My husband insisted we order the Carne Asada Fries. I thought we needed more than just that so I ordered a Bean & Cheese Burrito as well. OMG was I wrong! Those fries were huge, and L.O.A.D.E.D! We devoured them and took the burrito home for lunch the next day.

Surprisingly I've only been to Roberto's a handful of times. One other time I had a Carne Asada Burrito that was delicious and huge. One time I had Rolled Tacos (aka taquitos) another WINNER!

I will say that there is never a shortage of food with your order. This particular location was clean and the girl taking our order was kind. I'm sure we will be back since this location is right by our house.",m2gyh-W4wdVEAPmp6pkV0A,3,2,4,enQqwukYdlNC28t4UBFkhg
991886,2015-11-20,0,ZbHE1ZncONeH-q93GuVGdA,"Loooove this place and it's great food.  Prices are good and the service is always fast!  Late night cravings for rolled tacos, you can't go wrong.",uL0-qCTIi21KWQPZZCzmzQ,0,0,5,JrCQw8J_hmvmbv2Yv_kB4w
1020797,2016-12-10,6,ZbHE1ZncONeH-q93GuVGdA,"Shit service....

7:15pm 12/9/16 

Sheeit service.  The girl up front has issues.  She has no communication skills and shes rude.

I had come to order a carne asada fries.  I asked for no cheese and no sour cream.  but later i had asked her to put some nacho cheese into the carne asada fries.  She said yes.  And charged me 92 cents.  I opened the box and got regular cheese.  

1.  You charged me for something i had asked not to put in.  She then went ahead and said there is no nacho cheese.  You fucking sell nachos there and you tell me you dont have nacho cheese?  Ill be calling the owner about this.

2.  And if you fucking put in something i had asked t take out in the first place why the fuck would you charge me 92 cents to put it back in

Also i asked her whats in the carne asada fries.  She didnt tell me there were veans in it.  If you dont fuckin know whats in it.  Turn the fuck around and ask the fuckin cook.

Its over.  You dont fuck up and blame the fuckin custimer for your fuckin mistake.",qEwfLRhcZtT98sBIixNjTw,6,0,1,aYTY6VWTToblwo8RqrlYBw
1034629,2014-12-03,0,ZbHE1ZncONeH-q93GuVGdA,"Now I do love Mexican food... That being said, the food was ok. It is a lot like Roberto's in food options and taste. The place was clean and about average in noise at one of these places. The girl operating the register was friendly and was happy to answer any questions we had about menu items. Having eaten at a large number of Mexican restaurants I can get picky. Here is what we ordered...

Carne Asada burrito: size was good. I could not finish all of it. The meat itself was good in flavor and tenderness but the burrito was dry. I was surprised that there was no sauce on or in it.

Carne Asada chimichanga: It's a good amount of food, my wife couldn't even finish half of it. She liked it. It came with sour cream and guacamole on it. 

Horchata: One of my favorite drinks. This was a little too sweet. Might need to make an adjustment to the amount of syrup in the mixture.",ltUb21ZilinnvIjGbO9FAQ,0,0,4,821AW5sm4liMNrxjzYLpMg
1089743,2014-03-23,0,ZbHE1ZncONeH-q93GuVGdA,"The bacon breakfast burritos are delicious! Eggs, potatoes, cheese and bacon are inside the burrito. You also have the option to add pico de gallo. Ham and Machaca are also other options for breakfast burritos. The ""green"" sauce is good and not spicy. We've had pretty much every else on the menu and all have delicious so far. 

We've been coming to this place when it was ""Roberto's"" and at least 2-3 times a month. We've not had a bad experience with customer service or food.

Tip-If your a regular or become a regular call ahead to place an order.",cneJHTyQxoH1OFUgXDwMmw,1,0,4,AOIqEhvV3eMXf4svDAsDcg
1098527,2014-07-18,0,ZbHE1ZncONeH-q93GuVGdA,"This place is basically Roberto's but slightly better IMO. They always hook me up with large portions and tons of stuff on 1 plate for the price -- So far, I've had the carne asada nachos (the star there) and the beef (machaca) plate -- both were good. I have late night cravings for this when I get the munchies -- Stoner Joint",XlW0fpO5JN2CxKswMoiT2A,0,0,4,OjcYynDl1XBMnrrnwrphgA
1162472,2018-04-22,0,ZbHE1ZncONeH-q93GuVGdA,"I don't know what happened to this place but the food and the customer service is horrible. I think the guy who takes your order has to run back and cook the food as well. He is not pleasant at all!!! There used to be a lady who worked there that was soo nice, thats when the food was fast and GOOD. Not anymore! The tacos are dripping with grease, the bean burritos tortilla was burned, rolled tacos were so over cooked we couldnt bite them without breaking a tooth and they even burned thru the styrofoam, chips are old and reheated and I won't even go there on the salsa that came with the chips(looked like pico but brown from sitting too long). Gave this place too many chances...Needless to say, not going back!",r-EGQjFfJi0TcpjS32Pjww,1,0,1,IB08KqNza6_yY98dM9kQkg
1259019,2014-05-07,0,ZbHE1ZncONeH-q93GuVGdA,"I only signed up for yelp because I was disgusted with a simple bean and cheese burrito they sent me home with..... Really?  Wow stiiiiiiiiiiiinnnnnnnggggyyy place, why didn't you just say you ran out of cheese and beans? I would've just ordered something else....I always give a business a benefit of the doubt but this takes the cake",qvnrxCVIOqeWzNIOGfaAFg,1,0,1,9yvqh_Y9dtta6sX4KGcTuQ
