,date,funny,business_id,text,user_id,useful,cool,stars,review_id
1514944,2018-02-24,0,ZjBxTDmt78bLEN5-5SfPIA,The food looked great when I got it was hot and fresh however after I ate the steak fries I got really sick and my daughter had the cheese enchiladas with rice and beans and she got sick as well I'm shocked because the food looked so good it just didn't agree with our stomachs idk,3Li6FzHzN6nOsAgs276c-A,1,0,1,jXgtlu3sZs6LFG2J_m9YWg
1673241,2017-08-20,11,ZjBxTDmt78bLEN5-5SfPIA,"You know you have a burrito addiction when you walk into a new location of Rivas and the cashier recognizes you -- from another location. Gotta say, it's smart to bring in the experienced staff to ensure your opening goes smoothly. 

Rivas Fans will appreciate that the menu is the same, so you can order your regular dishes and they'll turn out just right. My carnitas burrito with cheese was exactly like the one I get regularly at the Desert Inn location. For those unfamiliar with the local chain, the prices are low and the menu is massive. Quality is better than other similar Mexican food spots but my standby choice here (besides the burritos) is the fajitas, while another friend swears by their fish tacos. 

NOTE: Their other locations have Eat24 ordering enabled, hopefully this one will too. This location, unlike others, is NOT 24 hours!",bLbSNkLggFnqwNNzzq-Ijw,21,17,4,VuvI2L0v8jII463oO7qmiQ
1821467,2017-12-09,0,ZjBxTDmt78bLEN5-5SfPIA,"Very clean restaurant and great customer service. I ordered a rolled taco plate with rice and beans. I couldn't finish it due to the high content of salt. Rice was very salty and the beans were okay, the rolled tacos were good, but just too much sodium.  I tried the chicken quesadilla and it was okay, the same as anywhere else.",s0wOwU_bkxfTMW2oFnM_tQ,2,0,3,YMG1LxnlVm3oXrEclkTDvg
2271631,2018-01-16,0,ZjBxTDmt78bLEN5-5SfPIA,"The al pastor fries were delicious. The meat was super fresh and well-seasoned. The carne asada burrito we ordered was a good size. The meat was flavorful. The salsas were spicy but good.   We paid a little less than 20 dollars for both items but it was worth it. Better than other ""taco shops"" in the area.",N-YKdtrN9Tx8Gi3nxUlbWg,2,0,4,BmTR2wEO83lFwhGkou9MKQ
2692600,2018-05-25,0,ZjBxTDmt78bLEN5-5SfPIA,I go here a few times a month. I usually order the shrimp fajitas with a side of beans. The serving is very filling I almost always end up sharing with someone. But that's my opinion! The staff is friendly and the restaurant is always clean. The shrimp fried are also delicious.,MR4FXg68kSn1ps5O4acigw,0,0,5,uJ-9eg2Mhdt98b8YVMi9Fg
2737404,2018-03-16,1,ZjBxTDmt78bLEN5-5SfPIA,"!!!EAT AT YOUR OWN RISK!!!

They always have great customer service its always clean but the last time i ordered i got a rolled taco plate and within 2 hours i was throwing up/diahreah and had to go to the hospital for food poisoning. Thats all i had to eat that day so i know it was the food. I felt like i was dying for 2 days but the nausea symptoms lasted for a whole week after. I also.missed 2 days of work. Its unfortunate cause the food was always good and APPEARED fresh. I will never be back.",sBSizGLzyxRjvR-vbt-Oxg,1,0,1,xLjXfDUI8nOT7DTH_gLqqg
2800382,2018-04-20,0,ZjBxTDmt78bLEN5-5SfPIA,"My wife and I have been searching for good Mexican food with delivery.  We tried Rivas, and we're still searching.  We ordered several dishes, all of which should have been based heavily on cheese - cheese enchiladas, steak nachos, shrimp quesadilla, and a chile relleno.  On each dish, the cheese was sparse to non-existent.  Even though the shrimp and steak were pretty good, cutting corners on the cheese really diminished the taste and quality.  

The menu is large and varied, so there might be some other dishes that would be quite good.  Maybe we should have tried a burrito or torta, which wouldn't have suffered from the no-cheese problem.  Maybe we should give Rivas another shot.  But seriously, how do you serve a cheese enchilada with almost no cheese flavor?

Side note:  The delivery through Eat 24 was very quick and accurate.",ZmKGF8ZZUo16g2ISrz4ahw,0,0,3,oq_G8G0Yt4UV-fCeTzt9FQ
3233403,2018-01-17,0,ZjBxTDmt78bLEN5-5SfPIA,"I lived in Vegas 17 years and driven by this place at least 1000 times. Today my life changed! This place is THE REAL DEAL! Tacos are huge, Roberto's can't compare to the quality, taste and price Riva's offer. Must try!",V41yTmuzPuYKORCfeDH23g,1,0,5,92q5LLvrGPvXaWO9al99BQ
3524817,2018-03-07,0,ZjBxTDmt78bLEN5-5SfPIA,Phenomenal food and the staff has been more than accommodating on the specialty requests!  These are guys are an A+ on my book!,gXfsbOBVBi9xVENGod9HPg,0,0,5,6ckLY9vUcorLfJxKzulM4Q
3997615,2018-03-10,0,ZjBxTDmt78bLEN5-5SfPIA,I love Rivas. The quality you get for a fast food type restaurant is amazing. They have the best chicken nachos!!!,6ZICziTcd-_ZamN2XCEQUA,0,0,5,-ULUMbyaQfbMsffKk4wqhQ
