,date,funny,business_id,text,user_id,useful,cool,stars,review_id
38710,2009-05-29,4,Zx4iQCmQfAaXvwPc3TlF9Q,"Starting with the previous review, I don't know what the smoking laws are here in Vegas, but  they make no sense as applied in this place. The take out window is the only thing that is non-smoking. That said, I think the smoking laws are kinda silly so it didn't bother me. Everything else about this place did...

The food was nothing special and bordered on horrible. Garlic cheese bread was soggy in some places while overbaked around the corners. Chicken tenders were clearly just reheated out of a frozen bag , which could be alright since they come flavored-dipped, except they give you 4 of the most pathetic looking pieces for $8 and the sauces sucked. If you're looking for good bar food you can do 1000x better elsewhere in Vegas; if you're looking for crap, then I guess you've discovered the right place.

Bar food can be hit or miss, so what else is going on at Tap House? $3.50 for a on-tap Hoegaarden wasn't bad, but it was a rather small glass given what can be had at other area sports bars. Their beer selection is average; nothing special. 

Finally, what brought me to this place. They advertise themselves as the home of Cleveland's sports teams, so being a Cleveland sports nut, I decided to go here for Game 5 of the Eastern Conference Finals. Bad call. Half of the crowd wasn't paying any attention, which while not the place's fault, probably wasn't helped by the fact that half the TVs were on other things (replays of old Dodger games and trivial pursuit reruns). Adding insult to this injury? Their placemat that proclaims their love of the Cavs SPELLS CAVALIERS INCORRECTLY (see the picture I've uploaded). Seriously guys? That's inexcusable. 

So to recap: don't come here for the food, not worth coming here for the drinks, and definitely not an actual Cleveland sports bar. This leaves us with no real reason to come here at all. Good riddance.",C1_AvND8ApbjfZlKbtbbEA,5,1,1,QPLMu6YaWXrV0Oi01V0XwQ
113169,2014-09-23,0,Zx4iQCmQfAaXvwPc3TlF9Q,"By the outside you would not think this tavern held a wealth of entertainment from local artists and a live band on Monday nights, except for the over-flowing parking lot. Enter the front door and you'll see the normal tavern with a few customers eating at the booths and drinking at the bar, some even taking in a couple slot rounds. However, mosey down the hall and you enter the world of the 50 plus crowd where drinks are plenty, food is hearty, and the entertainment a delight. LIVE music, Frank, WIllie, Neil, Charlie, Connie and more from the tribute artists that stop by to give you a taste of their local shows, not to mention the wonderful band under the direction of Ned Mills. A small dance floor doesn't seem to inhibit the locals from packing it to the brim and having a wonderful night on the town. Surprise! Surprise!",V2S-qGRk9OifWliY0OE5dg,0,0,4,iIfHyvxOfYjHJOgpxrVTpg
121389,2012-10-16,0,Zx4iQCmQfAaXvwPc3TlF9Q,"OK! Two words. GREAT PRICES.

Great prices on food, great quality. The product may not be what you pay for but I definitely see myself getting a bang for the buck every time I pay a visit.

My girlfriend and I pay a visit every couple of months or so. We used to smoke cigarettes, that's long forgotten about but we don't mind those that do. So yes, it is a smoky bar. But get over it, it's a bar. Want a bar without smoke? Go to Applebee's. 

We go for the 3.50 Hoegaarden. A belgian import. Blue Moon's Idol. Shock Top's Idol. The beer that puts both Blue Moon and Shock Top to shame. Hoegaarden was the originator. The first Belgian White. So give it a whirl. It's expensive. 8 to 10 dollars a six pack so if you want a full pint on draft for less go to the Taphouse. 

We drink the Hoegaarden with the pizza, original crust. Throw some veggies on there, a little pepperoni, sausage or meatball and it's a done deal. Great pizza. A bang for the buck and a cool laid back place to take my lady. 

The service may not be 100 percent but damn those ladies get it right. Shuffleboard is available for play too. Cheap drinks, cheap food for a good experience. I can't protest.",D6zI9HS6F7BldafPnJ5amQ,2,1,4,n_102W0XUvF7y2njmI7icQ
163662,2014-10-04,2,Zx4iQCmQfAaXvwPc3TlF9Q,"As for the food, the girls are fresher than the food in their short shorts.
The place is dingy..It might be a good hang out if you like smokey bars with poker machines. Once was enough for me.
This is a dive !!!",JppnKZs3NlkXhtXmY8Uucw,3,0,1,GmQ8feWVJpCqC38D8yQVnQ
238862,2013-08-19,4,Zx4iQCmQfAaXvwPc3TlF9Q,Wow. Employees who should be working r pumping money into the juke box playing music. When customers who are paying to keep the lights on have to wait 2 hear they're songs. The server just informed me that ill have to wait 8 plus songs to here what I played...I'm a paying customer. Really WFT. Someone  needs 2 fire this bitch. Oh wait her sister is the bar manager. That'll never happen. Hey jimmy and bob wake the fuck up and clean house. Your shit is gonna go down hill.Demographics   have change,nv-LSmnBJqpS7-7VnMY7nw,6,3,1,ZV91XlBClkf_7wLUO-WMOA
258412,2016-03-05,0,Zx4iQCmQfAaXvwPc3TlF9Q,"Somewhat of a dive bar, gaming bar, Browns bar, Italian restaurant experience. It's hard to go wrong with the pizza though the menu sizes may be a bit misleading. Tap House is a Vegas gem in its casual vibe. 

* Though not the norm, our service tonight was nonexistent. We waited 15 minutes after requesting the check and finally we walked to the bar to close out. I'm glad this wasn't my only experience or it would have been a very generous 3 star.",4GwVrUADwyop5kjkfMNMiQ,1,0,4,QWiTT2Jipo1aDWsiIAPZ4w
370181,2011-11-12,2,Zx4iQCmQfAaXvwPc3TlF9Q,"I visited the Tap House one Monday evening while I was visiting Vegas. A singer from New Jersey, I'm sorry I forgot  his name, was performing there.  I had one of the best nights I have ever had in town.  People from all over the industry stopped into perform.  I had a great dinner and drinks and I think our bill was $70.00 for the three of us.  The last time I saw that many pinky rings in one room Bobby Kennedy was going after Hoffa.  The food and the service were genuine.  We shall return.",H1arSRUOIRG0qW5Da8c0tA,0,0,4,T54qTC16FWyC5A-pJFhUZg
488668,2016-10-04,0,Zx4iQCmQfAaXvwPc3TlF9Q,"Great favorite of hubby and yours truly! Best wings in town, by far! Get the cajun... OMG! Waitresses are the best, service is awesome. They also have tons of pretty cool sports memorabilia. My favorite there is the margherita pizza, thin crust, and I add their sausage, oh their sausage! This place is awesome! Everybody should try it!",JaiXbUwK17Y7hoTwecE-4Q,0,0,5,UZl-uY3OcLNGO4DBYinscw
493031,2016-01-09,0,Zx4iQCmQfAaXvwPc3TlF9Q,"ABSOLUTELY the BEST wings in Vegas. Hands down. Love the food, love the vibe, love the staff! Excellent service and always a great time!",dKizSx6gS5Kc1hnfxiLuyg,1,1,5,O3I94WRH4z4yyxh7bc4kNQ
745425,2012-04-30,0,Zx4iQCmQfAaXvwPc3TlF9Q,"My first visit and it was cool! I love cousy pubs!!! Not to thrilled it's a Cleveland Browns Bar, but hey that just means I can't go there during football games! LOL!!!!",Gt1HHcQQ6sNjadqF2yvDwA,1,0,3,YIOmv2TyAaQO0FzcxVz5WA
788134,2017-06-27,0,Zx4iQCmQfAaXvwPc3TlF9Q,"I've been there twice and all times I've been nothing short of amazed. Granted, I was with my cousin at midnight when they discount pizza.

There's this bartender there that always wears an LSU polo. I forget his name but he played with basketball Hall-of-Famer ""Pistol Pete"" Marovich. He had a framed photo and everything. I enjoyed the stories as a basketball fan.

This bar is Browns fan central with memorabilia and all that but that didn't bother me. Probably because there's no football going on right now. 

I'd definitely go here again if I'm ever in Vegas.",GFgrY5qGSpG6Ptz0GYqCiw,1,1,5,PHBN_IT1TPx7Kb0dtA6mpw
861711,2015-11-15,0,Zx4iQCmQfAaXvwPc3TlF9Q,The wings are awesome! The Sunday waitresses are so friendly every one knows your name or they give you one.  We've been going here every Sunday since 2010 when we moved to Vegas,H5ZeGE4ddENA5bB3m8GQCQ,1,0,4,NEeSZ4UCuBb0d98z4vdyLg
893938,2013-04-02,0,Zx4iQCmQfAaXvwPc3TlF9Q,"The service was great, but the food was even better. My boys and I enjoyed everything here. The pizza was the best and the wings were pretty good too. This place has a very classic feel to it. Overall, a good spot to hit for cheap eats and drinks.",KP2GStILeQgmGvUfiVDGyg,0,0,5,NsIVc36itiY7ra2yGYRh7Q
899008,2016-12-15,0,Zx4iQCmQfAaXvwPc3TlF9Q,"Best wings in Vegas? Definitely top 2 I've had. I'm not 21 so I can't go in but I get to go wings and they are incredible. Dry rubbed and baked so you don't feel gross after you eat them, not oily at all and the ranch is incredible as well! Must must must try! Good price for the amount and quality of wings.",-M9PGXdiElWSm4Edm0lEqg,0,0,5,1iHEEspYuhoofByeH4ad_g
948537,2014-09-08,0,Zx4iQCmQfAaXvwPc3TlF9Q,"This place is a hidden gem. I first came here because it's known as an Ohio sports bar. But now, I will continue to come back because of the great food and friendly people.

I like to come on Sunday's to watch the Browns during NFL season. It is very busy, so we get there early. The beer specials are great and the food is even better! We have eaten pizza, wings, french dip, and pasta and each dish was honestly fantastic. Everything tasted so fresh and was made with care.

My only compliant is the smoking... it's really bad during games , but other times it's tolerable. Nevada isn't very enlightened when it comes to indoor smoking, so this is to be expected. It's not really a big deal, but for those of you from out of town who aren't used to it, yes you'll be surprised at the smokiness.

Try this place out if you want an authentic old-school Vegas experience. Great food, great prices, and great service!",T18ONQv62KWYceY7BE0xtQ,2,0,5,NvuMek2vwnSc-ETunGXiQg
954038,2013-08-26,1,Zx4iQCmQfAaXvwPc3TlF9Q,This Cleveland Brown Bar Has The Best Pizza in Las Vegas Hands-Down!!!! Why You Ask??? They Put Beer in There Pizza Dough!!!!! Not to Mention Its Half Price On Graveyard!!!!! Also Famous for their Cajun Double Baked Chicken Wings & Itallian Disehs!!!! A Must for any Las Vegas Local!!!,jpVMgxMjWJb4iluziHowWw,0,2,5,0kkMVJXHl8wxA1PIDcJ0Ew
1065164,2016-11-07,0,Zx4iQCmQfAaXvwPc3TlF9Q,try the cajun wings !    the pizza is also good.   good atmosphere and staff what else could you ask for.   take your own risk at the gambling just like everywhere else.,o1fXOzXXj6zkbnCzJfwB6A,0,0,5,Q6k8sytupEchZfe2332bYQ
1076928,2018-03-21,0,Zx4iQCmQfAaXvwPc3TlF9Q,Awesome place that I've overlooked for years. Great food and staff would recommend to everyone over 21.,ga1azDQS1BAMooUbiYZEKg,0,0,5,NFVXnnxMWH66QXknKfX3BA
1167811,2013-11-21,0,Zx4iQCmQfAaXvwPc3TlF9Q,"Cajun wings by far, very proud they offer breaded pork sandwich! Yum. Pretty decent pizza.

Busty staff which kinda makes it a sausagey festy sports bar, might as well make it a Roman Sauna but okay, good food and somehow always good music playing..",IRMEgNiP4IMRqw8i00ZMug,0,0,4,pqZW0c1rVfKE3qX9LLU4vA
1178442,2016-09-11,0,Zx4iQCmQfAaXvwPc3TlF9Q,Fantastic Italian Restaurant!!!    Nicole & Vinny are really nice & it's just a great place to go either for a drink or for a meal.,C_W9atCYGkDWzjAdabUrHA,0,0,5,2GzucZMa14rOridUXpf9Ow
1231287,2014-08-29,0,Zx4iQCmQfAaXvwPc3TlF9Q,"No bells and whistles. Standard Vegas bar food. Usually get late night 1/2 off pizzas. Stopped in for Thursday night FBall, nice lil FBall menu. Pastrami Sandwich was pretty good...Sam on tap was great.",korbufnY11E4NuWyL9s1KA,0,0,4,GdYZkF2ipCClhCyne_Zstw
1232004,2015-04-25,0,Zx4iQCmQfAaXvwPc3TlF9Q,"It had been awhile since we'd been to the Tap House, but my husband was hankering for a fish sandwich and I saw on their online menu that it was available here. Not really an ""Italian favorite,"" but it would work in a pinch.

He ordered the aforementioned sandwich, and I got an Italian sub. Both came with fries, and we each had a beer. The food was fine, and the prices were reasonable. But service was SUPER slow, and our waitress never came back to check on us until after we were done, so no drink refills for us.

It was pretty crowded for a Saturday afternoon -- maybe because they have half-priced pizzas on the weekend. Most people seemed to be ordering pizzas or Cajun wings, which is another of their specialties. They both looked pretty good to me! And the restaurant seemed brighter and less smoky that I remembered. But unless the service picks up a little, I'm not sure when I'll be back. (Maybe when I have a little more time for lunch...)",55bAo20xQNIA2CfMKIDtPA,2,3,3,gr3C1LvIfhunGykeYCoE9A
1258060,2015-03-08,0,Zx4iQCmQfAaXvwPc3TlF9Q,"I like it! The wings live up to the hype, the bartenders are great, and most importantly, they have those wonderful machines that take the smoke smell (mostly) out of the air.  I wish all local bars did so.",h5bp8gnhYGF23GIlvMyQ1A,1,0,4,mp4Zx9H1H0zjMB2l_JQ14w
1258724,2017-06-23,0,Zx4iQCmQfAaXvwPc3TlF9Q,"This is our favorite place to have lunch,  the staff is awesome. Bartender Carol rocks she is so up beat and happy.  She's the best. There is also a lady a little older at dinner she is awesome.",ViXpn0qlPEZDrCvPew5FNQ,0,0,5,M-P-XPFeom_YbSzbvh6EXg
1262604,2016-04-06,0,Zx4iQCmQfAaXvwPc3TlF9Q,"Ok....here we go. I'm going to make this short. I love yelp and the yelpers, and I feel I would be doing everyone a desservice if I was lazy and enjoyed the food/ service and never said a thing about this place. Best philly I have had in my life...it was rediculous. I'm a native to Vegas and have been to them all. Try it for yourself, you won't be disappointed. 

The end.",UFoxh5aIcaqVGWOVkN_94g,1,1,5,5r93lx1s6GUASLigiRcqeQ
1263566,2015-08-18,0,Zx4iQCmQfAaXvwPc3TlF9Q,"This place is just rocking on Monday nights, the atmosphere is incredible, the singers come from all over Vegas to sing,, The people are friendly, and best of all its free..

The only issue is the place is small so it gets very busy..Food is fantastic, the Pizza is just amazing. love it and will be back next Monday night.

Thanks Tap House keep up the good work.",A1u1xi8aQKuzTAQIr7ksfA,1,1,4,lsKqexBgVKwlA14ysGxMVw
1500740,2015-06-23,1,Zx4iQCmQfAaXvwPc3TlF9Q,"My boyfriend, a good friend and I suffered an unwarranted, absurd, FRIGHTENING experience at The Tap House early this morning, between 4:00 and 5:00 AM. It was so bad that I felt the need to publicly share our experience, with the hope that I can prevent something like this from happening to anybody else.

After a late night out, we stopped in for an early morning bite- nothing unusual. The Tap House is open 24/7, good food, decent prices, no bad experiences prior. Why would we assume anything would be different this time? The unsmiling, hard-staring bartender, RICH, seated us, and brought us drinks (two glasses of water, one iced tea). Immediately, I was put off that a gigantic cigar was dangling from his mouth almost the entire time, but not enough to mention it. Before our food came, he asked us if we wanted to split the check- my boyfriend and me on one, our friend on another. All three of us responded with an audible ""yes,"" and nodded our heads. Rich served us our food with the lit cigar still precariously resting between his lips, and aside from the fact that I asked for provolone cheese on my burger and got American, everything tasted all right. I didn't even complain about it. I'm a really easy customer- so is my boyfriend, and so is my friend. None of us caused any issues- we ate our food, laughed among ourselves, and then waited for our checks (for a long time). Rich returned with a single tab. Not a huge deal.

Then, it got ugly. My boyfriend very politely asked RICH to split the check, and Rich was immediately hostile and uncooperative. He was condescending, unprofessional, and ultimately accused us of not telling him we wanted the check split (even though we 100% did), and made it very clear he would definitely not split our check now. I was appalled and offended, so I verbally expressed my feelings to Rich at the bar. I explained to him that myself, my friends, and multiple generations of my family have been eating at the Tap House for years, some for decades, and that I was utterly disappointed, shocked, and offended by his behavior.  We bickered for a bit; still, I handed him the card for payment. His response was, ""I'll do you one better- it's on the f*cking house!"" He told us he didn't need our money, and to leave and never return (including anybody related to me), at which point we exchanged some profane words.

Then, Rich became violent. He ran out from behind the bar to CHASE US outside, while threatening to use physical violence against us. All the other bar patrons followed us outside, which was terrifying because they were all drunk, aggressive, and rallying to Rich's side. We feared for our safety as the they gathered, and as Rich attempted to shove my boyfriend out of his way to throw punches at me. We finally got into our car and locked the doors, but Rich continued to pound on my car doors and windows, screaming obscenities at us, still threatening to physically harm us. I made a split decision to reverse my car and slam my brakes, honestly to scare off the crowd that now encased us. And finally, the nightmare was over.

We filed crime reports at the police station. The entire experience is presumably on tape, which will only verify the accuracy of my report.

Rich is unpredictable, dangerous, and a threat to perfectly normal, paying customers. So sad and shocked that this took place at The Tap House.",eH6LEe2S13wHxcxygpdP5A,1,0,1,rw0-rujCvfW5iIpfF0LCKA
1532759,2015-02-02,1,Zx4iQCmQfAaXvwPc3TlF9Q,"My original Vegas haunt from 1994,  I still love this place. I don't frequent as often as I once did, but the staff who doesn't know me from my regular days always make me feel welcome. The 24 hour ""bar food"" menu may be the best ever. Great pastas, pizzas and if you like wings ask about the twice-baked ones. Shuffleboard table is always fun (once you learn its unique curves), and great place for a private event. Classic Vegas at its best.",LkhR5vafpSVx11WCl2wXMQ,2,1,5,q_AoHmPABuMy57LIiXbY0w
1572396,2016-05-14,1,Zx4iQCmQfAaXvwPc3TlF9Q,The service sucks but the food is great. Been here several times and know that's what to expect. The womens bathroom is made for a barbie doll.,U_v8mw7fFh3rGTT_r0NGWg,0,0,3,920dlvsZg6NLUNjyW5JTEA
1605564,2017-07-24,0,Zx4iQCmQfAaXvwPc3TlF9Q,"I come here about once a week. From the food service from Nicole or DONNA and the classic drinks from Richie and Vinnnie there's no other local watering hole that I would go too. I remember my dad telling me about this place as a kid and so excited every time I come in, the old school bar has that time warp that is necessary with the over saturated strip. Thank you team at Tap house !!!",pqZRRes8lYE8P-6Wp5z_1A,1,1,5,61_CW617BZ4_PZ4oCueGgQ
1605727,2014-08-16,10,Zx4iQCmQfAaXvwPc3TlF9Q,"Driven by about a million times and would have never thought to stop had it not been for the invitation and recommendation from a buddy for lunch.  According to the website, TTH has been around since 1964.  When you look around and take in the sights and smells, it feels like it.  This is not necessarily a bad thing. You're in an old school American/Italian bar!

Old school feel and for those that care...an Ohio sports supporting location.

The service on both occasions was great!  Both ladies were attentive.  One one occasion my beer (Stella) was never empty for long.  On another occasion, my soda was never empty..

On both times I visited,  the Cajun chicken wings were outstanding!  I don't particularly care for wings, but will devour these every time!  The IMP (Italian Meat Pizza) was awesome.

Enjoy!",HJj82f-csBI7jjgenwqhvw,16,15,5,pGDpH5IQMRNiPEzs-Fkpcw
1653388,2015-11-20,0,Zx4iQCmQfAaXvwPc3TlF9Q,"I love this place and try to go every time I visit Las Vegas.  It is old-school Vegas, which I adore, and getting harder and harder to find.  Pastas/salad/bread are always really good, so is the pizza.  My sister loves the meatball sub.",Yo50SGfmZ55JybKNFviwPw,1,1,4,-GQ46hWydr3MWNNYQE2nIQ
1679289,2016-05-31,1,Zx4iQCmQfAaXvwPc3TlF9Q,Totally disappointed in this place had read some of the reviews and all they talked about was how great their Philly cheese steak sandwich was so after a long days of work the hubby and I jumped in the car and headed up there 4 a bite to eat and a couple beers. Little did we know when we got up there we were surprised and disappointed because they were closed.,xKz_xyc2KThHnqq8m4NMXg,0,0,1,3U2H4BnRSz35zMzIPSMD2g
1808571,2014-01-20,2,Zx4iQCmQfAaXvwPc3TlF9Q,"Came here yesterday for the 49ers-Seahawks game (which the refs won, by the way)...
Picked this place due to location, specials, and free wifi- they're literally a block from my home, feature half price pizza on weekends and as their late night 12AM-6AM special, and have inconsistent but free wifi.

Service needs work. We started out with one waitress who was polite but rarely around- it seemed she was the only one working, so we cut her some slack. Then after the first quarter, she started getting really pushy about dropping off the check and constantly checking to see if we had paid yet, even though there were hours left in the game.
Finally she straight up told us we had to pay so she could leave- now, if she'd just told us that from the start, in a friendly manner, I would have been totally cool with closing out early and tipping her early on. But she very obviously just wanted to go home and did not give a crap about stopping by to check on us until it affected her pay.  

As it is, the pizza was tasty but even they run on the small side- pay attention to the inches (M, 10"") rather than the actual size (M, L, etc). We tried the Fellini and it was flavorful and loaded with toppings (salami, sausage, olives, bell peppers), and with the special it was priced well- I don't think I would pay full price for this pizza.
Also had an order of the ""award winning"" wings, medium heat- should have gone for hot because they didn't have any heat to them. Large order, good flavor, but not sure how this is the best in town.
BF had a few beers- once he realized how watered-down they were though, he switched to domestic.

The second server we got was much sweeter and more of a people person- an older woman with red hair. Felt bad that we'd already ordered everything we were hungry/thirsty for, but left a tip simply because she was so much better at her job: checked up on us regularly, was very friendly.

Heads up, this bar allows smoking indoors- not a bad thing on it's own,  but I'm not a fan. Luckily, only a couple of people smoked a cigarette or two while we were there. Was a little grossed out to see an employee smoking at the end of the bar, but I'll assume it was during her break.",bLbSNkLggFnqwNNzzq-Ijw,4,1,3,CZhzONLl0dYvRtpH_jVqeQ
1814026,2018-01-23,0,Zx4iQCmQfAaXvwPc3TlF9Q,"I am a total pizza snob from Chicago and Tap House did not disappoint!

They offer a thick or thin crust, but I would call it NYC style (thick) vs Chicago (thin) crust.

The sauce is divine!
The veggies are crisp & fresh.

I totally loved this pizza and can't wait to come back.

The service was great.
Ladies are nice with smiles.
They treat you like you're in their house.

I wish it was a bit dimmer in the main room but that's just me.

Great job Tap House!",1JW3rbxP2WpnXYOeMyKEWg,0,1,5,I8uwAkxlGUXj55y3sCnthg
1844713,2016-09-13,0,Zx4iQCmQfAaXvwPc3TlF9Q,An old school place with great food and a good tap selection. Service is great and a chill atmosphere although sometimes scummy people wonder in off the busy street but they do a good job of moderating the crowd.,vlvH_9PxkXqjPqF5viErCA,0,0,4,GNR47wDNmamqtdBlSWdSXg
1894846,2015-04-09,0,Zx4iQCmQfAaXvwPc3TlF9Q,"Cool dive bar and restaurant.  There's smoking allowed and it seemed like a lot of the people there are locals.  Not a typical place for tourists.  The food was good, the tap burger and steak sandwich.  The hot wings were perfect!! The bartender was very nice and welcoming.  The menu has a lot of variety and is fairly cheap!",lW4mrvbKv0O8lRFxCTFg8Q,1,0,5,A4yPQRfwxD8mujjWunvdEw
1951673,2013-08-07,2,Zx4iQCmQfAaXvwPc3TlF9Q,Food was good-service was horrible. Real locals place. Waitress was practically all over her boyfriend (or whoever he was) almost the whole time. She never checked on me-I had to go to the bar to get my refills and my check. Sorry I'm not a local-but I have money too! I will never come back here again due to the sheer fact that they go out of their way to make you feel that you don't belong there. Whatever. There's plen of other places to go!,7Q8wOifSYDwNDgPjvZSW_w,4,0,2,b9j-XxGAb6KKja9QjKAx4Q
1963094,2015-05-30,0,Zx4iQCmQfAaXvwPc3TlF9Q,"I like this place as much as one can like a pub/restaurant thing. The pizza here is out of this world, it is amazing. The drinks are fine, mostly just beers. However the skinny white waitress with the black curly ish hair, i don't remember her name, but she is the most rude, disrespectful human i have ever met. I was appalled by the way that we were treated. I understand that we came in late at night, but this place is 24 hours. You may not want to work that shift, but that does not mean you can be rude to customers, especially when we were so nice to you, until you started ignoring us, and making snarky remarks, and which point we ordered our drinks from the bar, just to avoid you.",RXiWANzaoRX8qIVnJfjzFw,4,0,2,NHI4qxgEPH5hru4VBiSr6g
2018833,2016-02-23,0,Zx4iQCmQfAaXvwPc3TlF9Q,Smoky local bar with a lot of personality.  The Cajun baked wings are very tasty and unlike anything you've had.  My go-to hole in the wall bar in Vegas!,eJL5e3e5orRNahlaLQbg6w,0,0,4,zunltsu3ztYdqo5SOiJHOw
2030530,2016-10-13,0,Zx4iQCmQfAaXvwPc3TlF9Q,If you like pizza this is the place. We got this place recomended from A person in another bar. And since we always go to pt's for their midnogth special. Tap house pizza is the real deal. Can't compare with the horribly dry crust from the competitors. Good ingredients. Friendly staff. We are definetly going back to try their wings as well.,ipqEcqA1MMWPE9QR4izj-w,2,2,5,ts-bmteLr0zSZh698jD1mw
