,date,funny,business_id,text,user_id,useful,cool,stars,review_id
141218,2016-05-15,0,_0x7W6fizaPP76xNBxBLAQ,"I have been to this restaurant at least eight times since they opened. I have never been disappointed. The food has always been delicious, fresh, and the quantity is more than enough for one person. The owner, Nick has always made sure our food is right. Love the atmosphere, too. Friday, I had a take out order delivered to our school. It was sent perfectly, everything as we ordered, hot and delicious. The other 7 teachers were so impressed at how wonderful everything was. I have introduced many people to Stefano's, and no one has been disappointed. So glad you opened in your new area. We love it!!!!!",A_iWOG8MfATE6QlVRhJwng,0,0,5,nqfWMOZyd_OY72mIzofroA
216762,2016-04-07,0,_0x7W6fizaPP76xNBxBLAQ,"Stephano's consistently has great food. I used to frequent the Maryland Pkwy location but I'm not over there much anymore. Needless to say, I was happy to see they opened a location in the southwest. The food at this location is just as good as the other two. The chicken kebab is fantastic, as are the rice and Israeli salad. They also deliver and have an easy order online option. No complaints! Great food quick and at a reasonable price!",0XJAqDL_nUBYivOVoiJA5g,0,0,5,KW5mXK5BrVoX1sv6qSEfqg
251332,2017-01-03,0,_0x7W6fizaPP76xNBxBLAQ,"I gotta tell you, this place is consistently accurate with orders, helpful with menu questions and delicious. The food presentation is fantastic both in store and to go. They have a wonderful selection of Greek and Israeli beers that compliment the food well. Please walk in and grab a menu, we have used the catering platter at a party and it was a hit.",2MYaGX1liaz9mGDjtcE67A,0,0,5,6H9m8GrwwuzMt-IPzsLxDg
313884,2016-03-30,0,_0x7W6fizaPP76xNBxBLAQ,"Very near by resident, was very excited to have Stephano's upcoming in the neighborhood. I was there for the soft grand opening, and 3 other times since.. The food has been great each time. However, the staff has been disappointing each time. Lack of warmth/friendly and certainly not welcoming of a ""new"" place (if even in the neighborhood) nor for take out orders have the seemed to be very perceptive of ""put an extra pep in your step"" while you visibly see the customer awaiting their order. I don't consider their food to be, ""fast food"" equivalent at all, unfortunately, their service is. Perhaps I'm a bit of a stickler for, ""quality"". It's too bad, quality food can't be accompanied by a better, ""dining experience. 
Food 4 stars, Service 2.",L3dEjIw3vY7vcef4PmusdA,0,0,2,p3j9qQHxri_7mVDVoe4D-Q
408550,2016-04-04,0,_0x7W6fizaPP76xNBxBLAQ,The food was astounding and reasonably priced. I had the shrimp kebab and I loved it! The atmosphere is nice as well with good music playing.,J9ZfrK8onveeq2j8fGW39Q,0,0,5,9cZIN9VXZiX2L4yjZ-j0Zw
488365,2016-04-07,0,_0x7W6fizaPP76xNBxBLAQ,"This place is amazing!!!  Good menu selection and good food.  A fast food style with authentic Greek food.  Food takes longer than a typical fast food place, but well worth the wait.  I would highly recommend this place.",9lZwmUL1gw79BzSSjNRdUw,0,0,5,s4mkrnF6OEDQ57z1JHYMqQ
560266,2017-07-30,0,_0x7W6fizaPP76xNBxBLAQ,"Our favorite Mediterranean food in town. Pleasant service. Easy parking. Nice clean facilities. And of course, the most important part: awesome food! They don't skimp. Great portion sizes full of flavor and a variety of ingredients. And the food tastes clean, you know what I mean? No gross, greasy afterfeel. Just well-cooked and clean. I always get the salad with some type of beef, and they pack the salad with plenty of meat, vegetables, olives, and feta cheese. I say that, because I don't like it at other places when you order a salad, and you basically get a big bowl of lettuce with a sprinkle of meats and toppings. Nope, not here. The salads here are great. My husband always gets a combo plate. Everything on the combo plate is delicious too. The portion sizes are so big that we always have leftovers to take home and eat later that day.",CmCE2dV35MAPBsyG4175fg,0,0,5,c92lRwVMqctPzz9jNXNZMg
566335,2016-12-12,0,_0x7W6fizaPP76xNBxBLAQ,"First time visit. Made the decision based on Yelp ratings. Great little spot. Many offerings. Had the Gyros bowl. (gyros meat, rice, Israeli salad--finely chopped onion, tomato and cucumber in vinegar, pita on the side). Well done. I like that they offer white or wheat pita. If it was whole wheat that would be awesome. Baklava was tasty. More cinnamon and less honey then I'm used to. They add crushed pistachios. They have an outdoor patio that is dog friendly. They have 2 TVs mounted on the wall.  Showing football at the time. Beer and wine coming soon. Prices typical. Clean. Cool lighting and seating. I love on the other side of the valley but would definitely go back when I'm in the area.",V_jxiDT4tYTbkvh_OXej9w,0,0,4,cj5W-3Nc1Sxci8Uj2EXWaQ
573024,2016-04-30,0,_0x7W6fizaPP76xNBxBLAQ,"I ordered a combo plate for take out. One was warm and fresh, the other which was kefta we cold. I guess they forgot to heat it.... Had to microwave it to be eatable. 

I called and told the manager and he said that's not possible because they make everything fresh. I don't know what his idea of fresh is but for me taking it out of the frig to reheat and serve is not fresh.... Nor did I appreciate the cold food for my $25 lunch order.

Excuses excuses... Unless the salad the meat was sitting on was an ice salad the meat being cold all the way to the center just doesn't happen. I don't cook, I do take out quite frequently. You think this takeout was something original causing some extraordinary circumstance... May have been fresh off the grill in their heads, who knows. It was still cold. I don't repeat places where ""fresh"" food has to be mircowaved and managers make excuses for it. Thanks for the offer I guess.",4ndMDDrwlmkilBVJbv1vZA,0,0,1,8MEoggjV-jEbs47Lajuz6g
590695,2016-11-24,0,_0x7W6fizaPP76xNBxBLAQ,"never been disappointed here. salads are excellent. not fast food, they put an effort into the preparation. plus it is close to where I live!",oq6EySTbz_J5AfawPS2MUA,0,0,4,_EtQYkM0tPXQtoP3a9KR0Q
