,date,funny,business_id,text,user_id,useful,cool,stars,review_id
55203,2016-08-04,0,_28WWtPWNYlxzl-GY9Gvog,"Too bad I cannot put 0 stars. This place must have reopened...
As a visitor in town, we chose this place because it seemed ro have the simplest menu.
Horrible service and food. Felt like we walked into somewhere we were not welcome or expected. I ordered Mapo Tofu and I was told I would be charged for rice, and if I wanted a small dish of steamed vegetables, I had to order a vegetable entree costing 12$. 
The mapo tofu cause some kind of nasty reaction in my mouth that made the ice water (which we had to ask for mid meal) taste fizzy and tart. I do not know what they did, but I was afraid to eat more. I had  a total of 6 bites and stopped eating. I did not feel my concerns would be understood or taken care of, so I  paid and left.",WUYHIup4CuNQMuV8iqGEOg,1,0,1,ey4xXY9ViHr6HRpBKV8MwA
120480,2016-05-02,0,_28WWtPWNYlxzl-GY9Gvog,"The people were nice enough but....I'm sorry the food was just plain nasty! I got the lunch special sweet-and-sour pork. Tough as nails! I have never tasted something fried that tasted like it was deep-fried in Old motor oil! That's the only way that I can describe it to you,  it was basically inedible!
Just gross! 
The sauce was incredibly sweet with no sour balance. They do not make an effort here and they definitely do not change the fry oil on a regular basis. That I can tell you for sure! Tough, chewy nasty tasting drowned in over sweet MSG filled sauce. I almost threw up! At least the rice was good and the green tea was good. My advice, stay very far away from this place! Disgusting!",RclBi5oKtv_G9HkgxqnaIg,2,0,1,s0uuJLpPGLjKNx9XIlYvUw
170895,2016-12-25,0,_28WWtPWNYlxzl-GY9Gvog,"What a damn restaurant! We've been sitting there for one hour and nobody came to serve us, even we asked several times!",58EGC9rutMbrIfolr8M3Cw,1,0,1,Ig2TF3OitjjIHFjs1Gw4xQ
211910,2014-12-26,0,_28WWtPWNYlxzl-GY9Gvog,so bad. worst service ive ever had. wont try this ever! the pork dumpling is not bad though,h5nF0rW6VMa9JRx-QShqHw,2,0,1,xvEPFl2gQgcKyABmNEeItw
302623,2017-02-24,0,_28WWtPWNYlxzl-GY9Gvog,"This restaurant is very bad, pork ribs inside the pork deterioration, pork smelly. The boss forced a tip, the attitude is very bad, the local health bureau should be reviewed. I and my friends in the future will not come to this restaurant to eat, very unpleasant a experience.",PBTuQ6lsBwPIWCbwfE83dQ,0,0,1,imhf8z3K67DEFCTxOv5dIw
375232,2017-05-29,0,_28WWtPWNYlxzl-GY9Gvog,"I have no idea how their still in business???
I love chinese food been to sooo many different restaurants this has been the worst. First of all the place smells so bad. Place was empty. NO type of decorations the old lady that sat us down and took our order was soooooo rude. Like cmon why the attitude and long face you've been doing nothing all day because the restaurant is dead. I had to get up walk to her to order our drinks because she only took our entrees order. I had to get a High chair myself because she obviously forgot (i dont get how) when we were the ONLY ones in the restaurant. I had to tell her if they had Soy sauce/ chili... Nasty food the chow mein was so hard it needed more cooking, sesame chicken was alright and beef brocoli was disgusting tasted sour like it had orange/lime juice wth mann. &&& the plate are sooooooo expensive for a smalll tiny portion. I think we couldve ate at PF changs (small portions) but delicious food. She also charge us 15% for service wtf smh. Well obviously right because with the terrible terrible service nobody leaving her a damn tip so she has to charge it on the receipt. You got us good there lol. We couldve ate dollor menus from mcdonalds and been wayy better then this crap. DO NOT EAT HERE",kyApycwPSrXpJZPdzM6ZXw,0,0,1,yTcg3XVpdl_hzsZs5_HmEg
439507,2014-12-27,0,_28WWtPWNYlxzl-GY9Gvog,"Went in for the noodle poster on their wall, but the real noodle was sooo bad that made me lose my apperti! The noodle soup smells turning bad already. Also, they charged 15% tips automatically for such bad serves-- we waiting at front door about 5 mins to get the first waiter came to talk to us; they serve the dishes without rice so we ask for rice(charged) THREE TIMES until we finally got it. Never going there again.",frXi0cq89FyVUe7V_19ylA,4,0,1,x99-rA_D0PsgvaGICqcAaA
513190,2015-02-04,0,_28WWtPWNYlxzl-GY9Gvog,"Overpriced nastiness, and when I say overpriced, I mean overpriced, $15.00  for a small bowl of cabbage. I'm positive they gouged the hell out of my group but then again it's Vegas. 4 people for $270.00 and we had to stop at in -n- out on the way back to the hotel. Dont waste your time or your money. They need 1/4 stats for this place..",JRHDawm6UShrrIhXkKr8cQ,1,0,1,DuXKitmDOYlOjXmwUPvugQ
578845,2017-07-07,0,_28WWtPWNYlxzl-GY9Gvog,"do not come here! Taste is bad, service is bad and slow. And we were forced to give tip. Do not bother to come!",Hd6ZfGyOFeeHmFr_VeNmXA,0,0,1,1K8ZQWxDsilNBY3VmyYUgA
600915,2015-10-25,1,_28WWtPWNYlxzl-GY9Gvog,"Living in Texas, I have yet to find a decent xiao long bao place that meets my standard, so I decided to hunt for it during my Vegas trip. Despite reading the low reviews mostly for bad service, my family and I decided to give this place a try. It was Spicy City's darn tempting poster that caught me! 

The ""highlight"" of the experience was that absolutely NO ONE spoke English. I called ahead and the lady could not answer a simple yes/no question. She told me that her English wasn't very good, then we awkwardly hung up the phone. When we arrived, our waiter also didn't speak English. The waiter kept speaking Mandarin to me. I could understand bits and pieces of what he said and made effort to order a rack with the little Chinese Mandarin I knew. The waiter scoffed at me and scold me in broken English for not knowing Chinese when I'm ""Chinese"" and I kept telling him ""I'm NOT Chinese"" both in Mandarin and English. My brother joked, ""if no one speaks English, then who did the paperwork??"" To top it off, he's screaming ""Amigo! Amigo!"" to his worker while madly waving his arms and throwing crazy sign language at him. 

Aside from that, the pork xiao long bao served its purpose! It was juicy and the broth was tasty. Not the best I had compared to Joe's Shanghai in NY, but it satisfied my craving. It beats most  so called ""xiao long bao"" from other restaurants where the broth has been absorbed into the dumpling and there's no drop of soup coming out. This place gets an EXTRA star for decent xiao long bao!

In conclusion, I now understand why Spicy City deserved its low ratings for service. I found the experience to be more HILARIOUS and MEMORABLE than anything. It makes an entertaining story I can tell over and over to my Chinese friends. Although I only had xiao long bao, the food here seemed authentic as I see mostly Chinese families and Chinese tour buses eating here. I highly recommend coming in with someone who speaks Mandarin or at least having a Mandarin speaking friend on FACETIME to order for you. Hopefully, you won't get scolded for not speaking Chinese or even meeting halfway and trying your damnest to communicate!! But Jayzzuss!! Please take the wheel!!",5Bl9O0f_xWUro-F1gCpORw,1,0,2,_-vKzUkBtamMzYCrftDLKQ
674554,2016-03-22,0,_28WWtPWNYlxzl-GY9Gvog,"Bad bad bad  ordered a blow of  noodles ?the meat and shrimp are not fresh .... extremely disgusting
Totally wasted time and money. Do not  come ahhhhhhh",fxksUhEw-xQbxXPZfYVtow,1,0,1,wcRlqoD6qUhUcor00Jcm_w
