,date,funny,business_id,text,user_id,useful,cool,stars,review_id
4126,2013-02-24,0,_3FxLxdg1unUQc3QqIgJuA,"Food was very good, but the place is crazy expensive considering it's in Red Rock Casino. Service was good, but had a few hiccups with the bill.  Overall, it's a nice option for a business meal or out-of-towners.  As a local, I don't need to spend that much on a meal.  Careful with the coupons: many are not accepted on Fridays and Saturdays.",INbqkFXtHeCdEP_wPp2dUA,0,1,3,w5U4X96kmMd7PZRMlGyfrQ
9424,2008-10-03,0,_3FxLxdg1unUQc3QqIgJuA,"been here twice now and its been great both times. the service the atmosphere the food, everything is worth your money. the baked sweet potatoes are amazing. the steakhouse salad is incredible and very filling i might add. Ive had the filet and the burger and man i have never had a beef patty that had so much flavor.",TuAuPTDZEldXkOt0a-n4Xg,1,0,5,Xae6Q68bs7iwoaoZqChQ9w
18044,2017-02-15,0,_3FxLxdg1unUQc3QqIgJuA,Fantastic dinner!  My wife & I had the filet mignons & crab legs.  The house bread is made in house & had a nice assortment.  Go early for happy hour & hang out at the bar for a little while.  It's worth it!,5M_-zvxF6ZbDPgm7m2ooig,0,0,5,1gjfZ-Vi8qlAJEO8N4pxdQ
31091,2011-09-30,0,_3FxLxdg1unUQc3QqIgJuA,"Excellent! Beautiful restaurant in classy hotel. Friendly knowledgable staff. My server (Jocelin) made great suggestions and everything she reccomended was amazing. Had the lump crab cocktail, chopped salad (the best I have ever had), prime New York Strip (tender and flavorful) and charred corn. Bus boy was on point refilling my water,( but wish the bread would have come out a bit sooner). The manager was charming and stopped by to check on me- nice touch. The server even reccomended a nice glass of white wine for the apps and the Faust cab w/ the steak- perfect! Won a few bucks on the way out-bonus! Will definately be back!",g5BGtF6QtmPoGhiUrIGI8Q,0,0,5,t44RySG0KBFpqeJL3SEDqQ
35594,2013-03-12,0,_3FxLxdg1unUQc3QqIgJuA,"T-Bones is a very nicely decorated, upscale  steakhouse located in the Red Rock Hotel/Casino.  It was my first time there, and it happened to be for a business dinner so not your usual dinner date night.  Instead, we had a prix fixe menu which included shrimp cocktail, heirloom tomatoes, Caesar salad,  petite filet mignon, and various dessert treats.  Overall, the service was just OK.  At these types of meetings, the servers don't want to interrupt too much, but a little more attentiveness to our drink levels would have been appreciated.  

As for the food, my steak was a bit undercooked.   I ordered medium rare and it came out pretty red throughout the steak.  A few of my colleagues steaks were very rare and had to be sent back.  The appetizers and Caesar salad were good, but nothing to get overly excited about.  The side dishes included mashed potatoes and green beans.  While the green beans were perfectly cooked, the potatoes definitely need some work.  They were very runny and didn't have a whole lot of flavor.  The chef chose various desserts for us and nobody was complaining about these as they were devoured.  Although I dove right into one of the deep fried oreos (which was delicious btw), I couldn't help but question why we were eating a deep fried oreo at an upscale steakhouse that charges upwards of $50 for a steak.  Just me being snooty I guess.  Overall, the steak was good quality but the rest was just OK.  I'm sure you could find a better steakhouse in town for the money!",wl3BnGZs0KnOts4M5YLBjw,1,0,3,iULIvlATdtSuCSFy8WTVeA
42096,2012-09-29,0,_3FxLxdg1unUQc3QqIgJuA,"My mom and I went to celebrate her birthday the other day at T-Bones and it was such a bad experience!  This was my second time eating here and I was very disappointed this time. 
     We ordered our appetizer and waited for our server to take our order, he never came. We ate the appetizer and continued to wait... 22 minutes later he came to take our dinner order!! We received our food with no check back from our server, the bus boy bagged up our leftovers and we waited 15 mins until the server decided to ask about dessert! We said no, he sort of chuckled and walked away.  He presented our check by almost tossing it at me as he walked by. The food was decent but the whole experience was very upsetting not to mention we were seated in a booth in the bar, not on request but didnt mind so we were charged a 17% entertainment tax... So for $200 I would have expected better service since the server works for tips I would have expected more. It was horrible. The special birthday was kind of ruined.",XW4PmFYOHQfeCcSUDeFntg,3,0,2,yP3RT7iD_YJPg6H8RcycyA
72084,2013-06-29,0,_3FxLxdg1unUQc3QqIgJuA,"Had a fabulous time at T-Bones last weekend. As self declared foodies, we have tried and critiqued our way through almost every fine dining restaurant on the Strip. For my boyfriend's birthday, we decided to branch out and dine at T-Bones in Summerlin (and enjoy an awesome staycation @ Red Rock!). The experience from start to finish was top notch. 

The Steakhouse Salad is to die for...that dressing is amazing! I had the petite filet which was cooked perfectly. The BF had the Queen Cut Prime Rib (huge!) and the Lobster Chowder. We enjoyed the garlic mash and mac n' cheese as sides. Everything was SO delicious! We got talked into (it didn't take much) ordering deep fried oreos as dessert and WOW were those 2 lbs I gained worth it! Pricing was aligned with other steakhouses of this caliber in Las Vegas, but felt more worth it since there were no gimmicky themes and we didn't have to yell to hear each other.

Outstanding service by the entire waitstaff, but especially our main server Mike. He put up with my boyfriend's dad's jokes and made the evening extremely enjoyable. 

We'll definitely be back!!",aWtij20vVUm0uglJViiCxQ,2,0,5,FZXzZ85k240NOy5zxUWKhw
106435,2014-03-23,0,_3FxLxdg1unUQc3QqIgJuA,"I had a drink at the bar for happy hour. Airhead bartender and mediocre martini. Since the service sucked, I was not tempted to order the food. 

Very nice looking room however..good ambiance.  

It's basically a ""klassier"" version of blue martini. It's where you take would take a date who is not an einstein, and thinks a Michael Kors bag is the height of fashion and sophistication, and has a closet full of Ed Hardy from 5 years ago... you get the picture.",fgEnOQU8Mo9dXz6bXwIGyA,0,0,2,Vagmb8w4cHE6foOwrZuMQA
118272,2015-03-16,0,_3FxLxdg1unUQc3QqIgJuA,"Should've gone with the 18oz bone in filet. The 22 oz bone in ribeye wet, then dry aged, ordered medium so the dry aging could reconstitute the marbling came out medium well. With char? My steak never rested. As soon as I cut in juices were the base of the plate and the steak was dry. Tater tots were great and the wedge was delicious. 5 stars to the bartenders who waited on me. Good conversation and the corsets enhance the view while pouring my Moscow mules in proper copper mugs. Actually I will go early again soon and try the prime rib 24oz! It was one bad steak people please still go here. It could've just been the cut of beef. Some cattle tense up and get scared when they get nail in the head and it ruins all the cuts. Lots of familiar older,wealthy locals there for happy hour.",e4aBafdVuxpexkNlJkCZJQ,0,0,3,_gze10fXQfYospoHsC29nQ
124199,2016-01-09,0,_3FxLxdg1unUQc3QqIgJuA,"Sat down at our table at 5:04 for apps and drinks....by 5:35 we have.... water and settings presented by an eager busboy. By the time our drink order was taken, I was worried we might not make our dinner appointment elsewhere. The server seemed competent and experienced, so have to blame this one on management. Perhaps an attempt to lower labor costs? Plenty of staff congregating near pre-shift area doing nothing. *Sigh* Prices nothing to complain or laugh about, but please, please, If I'm ordering raw oysters in a place with a $48 filet mignon, don't have me waiting for napkins or water.",ge4H8Jt37C0ONIPLEyUSaA,0,0,2,j5ZQYqF9TdG4QBVvLkyVww
