,date,funny,business_id,text,user_id,useful,cool,stars,review_id
7038,2011-04-25,0,_j2EtQtgLuXGRBfbM5YwZA,"I suppose Noodle Asia fist the mold of the late night ""fill-me-up"" food, which people seek after a night of drinking in Las Vegas.  Maybe I ate here at the wrong time, totally sober, and fresh off of the airplane.  My hunger was satisfied, and I must have liked it to a degree, as my plate was pretty much clean, but reflecting back on it, my experience was simply, ok.  

There was a total of 6 guys that I went with, and we each got different things, so I was able to sample a couple of things other than what I'd ordered.  Shanghai Noodles was my choice.  It's a dish of wok-fried noodles with napa cabbage and pork.  The plate looked and smelled good, but the noodles were truly too oily.  I honestly couldn't help but think of Michael Jackson's 1980's jheri curl, so I suppose I can say that the noodles were straight up greasy.  However, one of the guys at my table got beef congee.  It had that nice thick porridgey texture that I love, not watery, as I've experienced at too many other establishments.  Also, the beef was tender, which I previously thought was impossible in a soup.  

Though the noodles, their flagship product, aren't my favorite, I can say that they had excellent service.   We were seated immediately, and almost as soon as we sat down, water was at our place settings.  Additionally, time between placing our order, and when the first dish was delivered, was relatively quick, and when it arrived to the table, it was piping hot.  It is one of the ""casual"" dining spots in The Venetian, so don't expect a meal to write home about.  However, as I hinted earlier, if you're in need of balancing your liquid-to-solid ratio, after boozing, then head on over there.",9QrE24JaemD3TLFihmTKxg,0,0,3,_y4M_SwRqSIvYAQZdDsc3Q
9151,2013-11-03,0,_j2EtQtgLuXGRBfbM5YwZA,I love the Szechuan beef noodle soup! Very tasty!! Every time I visit vegas I eat here!!,s8Ccg7YLPGjSz9TJjAjVlg,0,0,5,sQZNKMPn_gL_qgGjAv08vQ
9553,2015-08-27,0,_j2EtQtgLuXGRBfbM5YwZA,"Every time I'm in Vegas, I will make a trip out here for lunch or dinner. The food is good and the price is reasonable. I love the beef stew and won ton noodle soup. Reminds me how I use to get it at home. Definitely the place to go if your craving authentic Chinese food on the strip.",waUrPSBpHvrnrEtSVCEiYQ,0,0,4,Y8-rUxp7oxWQzC9SHUZfwg
18836,2011-02-26,0,_j2EtQtgLuXGRBfbM5YwZA,"Delicious! Best noodle soups we've had outside of Taiwan. The spicy beef is the best! The spicy shrimp was also tasty. You're not paying for ambiance, as your view is the poker tournament area of the casino, but the food is inexpensive and amazingly good.",7XTQK7OX-d_Fiv05uhNydw,0,0,5,ozXXNr64mRATiolP8OXvXA
20958,2017-05-01,0,_j2EtQtgLuXGRBfbM5YwZA,Completely unhappy with meal.  Service was great but the quality of the food was comparable  to mall fast food Asian food.  Will not dine here again.,Xs2-OCXJ9LIAQqlbkqjSvw,0,0,2,BLP_9jDIaG0oyijNunlmWw
23897,2010-07-23,0,_j2EtQtgLuXGRBfbM5YwZA,"I had the Pho here and for the price-taste ratio for the Pho. It's terrible. If it was cheaper, it would be better. Then again, it's the Venetian. Everything is expensive. I would stay away from this place unless you love spending money for overpriced food.",iB3iW2re2A4LQEFcpXExFw,1,0,2,6oBGCfURGWdUiGcSkIU73A
31116,2013-03-05,0,_j2EtQtgLuXGRBfbM5YwZA,The noodles may be good but the kung pao chicken was a total dud. Wildly expensive at $18.95 and not nearly as good as airport fast-food Chinese. The dish was sweet (not spicy) and gloopy. The chicken had no saute marks. I think it was boiled.,T5FHpC2PwkOdB9Aolp1Cdg,0,0,1,vwJfjb5GBw_FxSA__vAniw
31880,2009-01-20,1,_j2EtQtgLuXGRBfbM5YwZA,"I usually get comp rooms at the Venetian/Palazzo so I typically gamble long hours at these 2 places. I have eaten at Noodles Asia a few times due to it being a chinese restaurant and also getting comped food from the pit boss. 

First time I asked for a comp for 2, pit boss told me that I had $86 to blow at Noodles Asia. I was floored! I never eaten here before and was wondering how 2 people can spend $86 in a chinese restaurant, when we did not plan on ordering Shark's Fin, Abalone, Bird's Nest, Buddha Jumps Over the Wall, Sea Cucumber, you know the drill. 

But Yes We Can, at Noodles Asia apparently. The food isn't great, heck, I would go to Ping Pang Pong over at Gold Coast over this place anyday. But I absolutely adore the fact that they have Chicken Mushroom Ginger Soup. Oh this is the reason why I go there. The rest are just for formality. Dim dum mediocre, Fried Rice Oily, Noodles not asian enough. 

In fact, last Saturday, I got drunk playing Baccarat at MGM HL room and got back to the Venetian and decided to have one bowl of soup. Sure it costs $10.95, sure it's still not that good, but it is to me the best item on this menu, and that is good enough reason for me to keep coming back.

For better dim sum and chinese food in general, head over to Bellagio's Noodles if you want a casino setting, or Ping Pang Pong at Gold Coast. Otherwise head over to Chinatown",EzlY772Tcmyky4YFWabLug,1,0,3,ga-16hSSL3TPWS3nofPjUg
48641,2016-05-26,0,_j2EtQtgLuXGRBfbM5YwZA,It's not a pleasent experience at this restrant! Food is delious and tasty! The woman with short hair on the reception is very kind! The waiters like robots without any smile especially the cashier' women!,8BN7YmIHuZNB_nx5vfUliA,0,0,2,_-OVPsaAjArO8kSpFCvB1Q
49444,2012-09-10,0,_j2EtQtgLuXGRBfbM5YwZA,"Good food, okay service.

If you're looking for good authentic Asian food in the Venetian in Vegas, this is your place.  However, like many of the very authentic Asian restaurants, the service was completely lacking.  Our waitress visited our table only twice, once to take our order and the second time to bring the bill.  Otherwise a server brought our food, and no stopped by again to ask if we needed anything else. 

I tired to send back a plate because it wasn't what I wanted, and the hostess essentially told me ""no"", because they'd through the food away and it'd be wasted... so I just kept it and ate, but after a few more bites it wasn't all that bad after all  :-)

I guess what they lack in service they make up for in the food.",g3VvPwVDLUXsYysw53_slw,25,25,3,vj23N4L4uK6GX6KTg8ZT9g
