,date,funny,business_id,text,user_id,useful,cool,stars,review_id
66184,2009-02-11,0,a2fqQVxtFGc-bjKQ3BXItA,"Our experience was okay....we had been driving all day and this was the closest restaurant to our hotel, so after checking in, we tried it out.  The food was actually pretty good.  My wife's alfredo was excellent.  I think I just had a BLT; good but nothing different than most BLTs.  I hated that I had to endure the smell of cigarette smoke wafting in from the bar and casino..yuck...takes the whole eating experience down a few notches. The service was good.",wSM5-o-QCFcq2JXvooHBLQ,0,0,3,I7eg1yCoeZB9EJWKFngQyw
147656,2009-07-10,0,a2fqQVxtFGc-bjKQ3BXItA,"25¢ wings from midnight till 6 am!!!! 

I LIIIIIKE!

Ate here two nights in a row while I was in Vegas and yuppp, you read correctly, wings are only 25 cents each!",XFb0R76pFdRROMFdV1PmVw,1,1,5,XlfqfIUsVnCTgg4fhom3zg
361558,2009-10-19,1,a2fqQVxtFGc-bjKQ3BXItA,"This is the WORST restaurant I have EVER been to and experienced..
We came to go eat lunch.. it took 30 minutes to seat us when they weren't even busy at all. Rude hostess. One of our orders came out wrong and the waitress blamed it on my friend saying she didn't say what she ordered, unprofessional? I think so. Don't fight with the customer. 

The only thing I thought was good were the onion rings and my steamed vegetables. We all tried eachothers food, THUMBS DOWN. The grilled chicken was the driest piece of .... i've ever had, even if I put sauce with it.. I couldn't finish my meal. The chicken tenders had weird after tastes, and the eggs tasted different.. basically everything tasted different considering that it doesn't taste the way it should.. all processed junk with no quality. The jalapeno cornbread muffins with butter.. yuck. Waste of time and money. I would've enjoyed Denny's better (and that's saying a lot considering that I'm not a big fan of dennys), I do not recommend this place.",DUuCnirvJgWiigbzRu4wBA,0,0,1,wkXqDDsO8JQs7l4SVuLfdw
502723,2008-06-12,1,a2fqQVxtFGc-bjKQ3BXItA,"We did a lap thru MGM, NYNY, Mandalay, Excalibur and finally the Trop. And so it was 10am and we wanted breakfast to soak up the booze. Dan Marino seemed as good of a choice as any. But somewhere between seeing the ""Fine Food & Spirits"" part and walking in and realizing it's not fine, I sobered up and felt that I was gonna be in for one disgusting experience.

I was right.

The scrambled eggs was disgusting. The sausage links/patties were disgusting as well. Probably should've stuck with their cereal but 14 hours of drinking can cloud your judgement like that. The service was pretty good however. And FYI, it's not the hooters girls.",-wF9X1C5NxqOPCU57ZQOuw,2,1,2,QA1R2ouFXMfA8m-lIo17pw
1132861,2009-11-18,0,a2fqQVxtFGc-bjKQ3BXItA,"I had my first full meal of the day on my second day in Vegas well around 3pm. Homegirl and I wanted some Hooters wings, but upon seeing the line that literally went out the door and around the corner, we knew we weren't having them. Plan B was this place. She gave me advance notice about their jalapeno corn muffins with honey butter. I've had a few good corn muffins, but this one blows them all out of the water. The jalapeno didn't give too much heat, and the butter complimented the muffin nicely. Actually, I wouldn't have had a problem devouring the butter by itself. It was that good! For the main course, I was about to get their chicken sandwich until I flipped over the menu and saw that their prime rib was $9.95. That's a freakin' steal! I ordered it without any hesitation. It was juicy and tender--the way prime rib should be every time. Their horseradish sauce wasn't as potent as the ones I've tried from other places, so I nearly drenched every bite in it. The food deserves the 4 stars. The service on the other hand is between 2-3. There wasn't anyone at the entrance to welcome us, so we literally walked ourselves in.  However, our waiter was prompt, which made up for it.",jsRjSlPZ67OR4YEgoucbtg,0,0,4,nwent92h6_pVftpUAraDJQ
1313509,2010-01-17,0,a2fqQVxtFGc-bjKQ3BXItA,"Went here in the afternoon cuz we saw the Prime Rib special. The best part of lunch was cornbread the size of a cupcake. It was good enough that I ate my whole family's too. The prime rib had about 1/4 fat. It wasn't as chewable and enjoyable as other prime rib. It wasn't even worth the $9 that we paid for it.

The mashed potatoes were pretty good. They had the right amount of garlic, complimented the prime rib.

The service is another mystery in itself. There was 1 server for the whole restaurant. There were times that we had to ask the food runner for refills and condiments. We sat in a booth that was unique. It sunk like a bucket seat so my face was pretty close to the table top and getting out is a pain, but otherwise it's a decent seat.

This place could really be much more if Hooters invested time and money into this place. Get some decent food and the advertisements will bring flocks of people.",owRJSf6XpxG0d9vBl04uAQ,0,0,2,PwgjheQyU1LiJPyKGIXb_Q
1334368,2009-04-04,2,a2fqQVxtFGc-bjKQ3BXItA,"2.14.09: What do you say to 25¢ wings? The wait was about half hour. Everybody was there after the club. I was surprised that the wings was actually decent. We ordered half bbq and half regular. It was filling and the service was actually good for a busy place. 

In the end I'm satisfied and that's all that matters..I'm happy! =)",sLIn9oBM0aw9q2R9G1oCew,4,3,3,XSHqTL34SxzOou1dUKIaeg
1371756,2009-04-20,0,a2fqQVxtFGc-bjKQ3BXItA,"$0.25 HOT WINGS.  How can you go wrong with that?  I love hot wings and I love cheap food so this was perfect.  

This special goes on from 12am-6am.  And you have to order at least 10 wings.

You can choose from breaded or naked with mild, hot, bbq, or 911.  Breaded is good but I think naked is much better.  And I like spicy food so I get Hot.  I don't like 911 because the sauce was really powdery.

The only bad thing about this is that there is usually a 30 minute wait.",cUDXatBB4eCz4tDda0OnuA,0,0,4,8yj7kUpBuMRi8WMcmet59Q
1374311,2009-06-25,1,a2fqQVxtFGc-bjKQ3BXItA,"I've only eaten here for breakfast, but I can attest they do a mean breakfast. The breakfast sausage they have is fantastic, and the steak they do with their steak and eggs is a step above what you get in most places.",Eg1T--knapihoR2GV-Dj_w,1,1,5,pIzGXsWXA7mypcFykxNL_g
1874440,2009-04-04,2,a2fqQVxtFGc-bjKQ3BXItA,"You know I didn't even know they had Fine Food & Spirits here, I just knew they had-- 25¢ WINGS!!!!!! Unfortunately that's not 25¢ for a bunch of wings, but 25¢ each.... with a 10 wing minimum  it made it difficult to say no to 20 ^_^

Ok I had to get their ""9-1-1"" wings first cause if it's hot then I have to try and stomach that first before trying anything else. The sauce was more of a vinegary salsa that the wings were dipped in, albeit was really hot, it wasn't very appetizing, but if you're looking for hot, get 6 wings in and see how your mouth feels (inside and out!) and don't rub your eyes.

The BBQ sauce was much better, sweet and savory. I also stole off my friends plate a couple of the ""hot"" wings and I think I'd prefer the wings plane with some ranch (which costs as much as 4 wings) to dip them in.

I mean for the price you can't complain, $2.50 for a plate of wings isn't bad. But you have to remember that it's from midnight to 6AM, I only was able to take advantage of this because I had work till 11:30P.....

And in the end I found out my friends had had an under the table bet to find out how many wings I could off...... it was 28....... I could have done 40. 

Good service, auto 18% with over 6 peeps, all you can eat ribs also ($17.99).... and $5.50 for domestic beers.....

Enjoy.",_j1KnsWLVz3AU1mmm0G0JQ,3,3,3,Cw1tUQsLXs_7f-nUJiumiA
