,date,funny,business_id,text,user_id,useful,cool,stars,review_id
76135,2014-12-19,1,aIyqvsWX2NPCVjW4EOTHFQ,"At first I was disappointed but, like a drug, I ended up craving it a few weeks later.  Its the best the A and B gates have to offer.

The pesto chicken is the best.",XG1tZ9csSuDdgFxqbKqcgQ,0,0,4,sFzRFdT4UyLdtKCPaUep6Q
81684,2016-07-08,0,aIyqvsWX2NPCVjW4EOTHFQ,Ordered the buffalo chicken flat bread for the plane ride back home. It smelled good so I couldnt resist digging in prior to boarding. It was a bit rich and couldnt taste the buffalo but was filling considering it was a small in size. It was also a long wait to get it.,Vb-20Lv2s6MOudLMLRCadw,0,0,3,ClzeIg5LxxDaDolvCikeRg
124424,2016-11-20,0,aIyqvsWX2NPCVjW4EOTHFQ,"Stop only if your desperate. 
Arrived at 7:30 am ordered two Cubans but were quickly told they only served breakfast. Wish they would have had a sign before we decided. Then we ordered two breakfast Pizza's but they quickly told us the guy is not here that does pizza's. Again, wish they would have had a sign. So my question was ""What can you do?"" We ended up ordering two croissants with egg, bacon, and swiss cheese toasted, naked juice & a water.  Served no even hot enough to melt the cheese. Worst $30.00 buck I have spent. Cashier was friendly but order taker/cook not so much. Will not return to this place future times in Vegas Airport.",SjlOVEa7uj5an6kroRYuJg,0,0,2,A5MzMFZviytUH3rpZoUNIg
281066,2016-01-07,0,aIyqvsWX2NPCVjW4EOTHFQ,"My wife and i shared an egg sandwich .for airport food we were pleasantly suprused. However the service and attitude was quite poor. Asked to have bagel toasted and the response was if i had asked for them to sort out the bagels and give me a special one. I then asked to have the sandwich cut in half for sharing and instead of cutting the sanwich, they told me to use the plastic knives provided. I know in the future this lack of customer service will influence any future visits i give it 3 1/2 stars for food and 1 for service",ZY8cXXUtTzfnDWNMAliK1g,1,0,2,CXb6Ai_QshRzyDjWRaRpIg
539381,2017-01-27,0,aIyqvsWX2NPCVjW4EOTHFQ,I got food poisoning from their Buffalo Chicken flatbread! Do not eat here! I have been suffering from food poisoning for four days and have also filled a complaint with the Southern Nevada Health District.,YeLkqyFMUddpycpJ9OrP8g,0,0,1,TIh7sbAyHOufkSYvSU8vzg
614990,2017-06-25,0,aIyqvsWX2NPCVjW4EOTHFQ,"Horrible service! An airport should be fast and efficient since ppl are on a time schedule being that they're traveling. Walked in every worker was in the back about 7 customers walked out and when the worker finally came out when told her they just had that many ppl leave her reply was ""we're union"". Wow!!!!",jkp-foJrVRWxRpNGhE10XA,0,0,1,hPYaDstTMNohWdffri-sig
1020832,2011-09-20,0,aIyqvsWX2NPCVjW4EOTHFQ,It was a sandwich shop that was in my terminal. They are pretty much a spin on subway but on their version of a flat bread. I also had the egg pocket which was nice. The food was just ok. Nothing really special but if you must eat at the airport they're a good quick option.,wssvWdYedb47x16QfuJ-ug,1,0,3,CYUPjR4Jfm3EsaCuQ5i_QQ
1142515,2014-11-18,5,aIyqvsWX2NPCVjW4EOTHFQ,"This might be the healthiest option at McCarran international airport and that alone is the only reason I'd go here. 

The sandwiches are what you'd expect,  over priced flat bread filled with your choice of meat and fixings. 

I was going to ask for my sandwich toasted seeing as how they had a small toaster oven in the background,  but the guy in front of me asked if he could have his toasted and the staff replied,  ""We don't toast them but I can microwave it for you"". 

Why on earth would any one want such a thing?! 

There's a small seating area and some fruit cup choices. 

I would not come here again.",d5WLqmTMvmL7-RmUDVKqqQ,5,3,3,s1aLyQZUuEOV3zE08WsHoA
1176395,2013-08-19,2,aIyqvsWX2NPCVjW4EOTHFQ,"If this is the best that McCarran can offer, then yikes.  I trekked down here because it has one of the highest Yelp reviews. 

 I got the Vegetarian sandwich, and as another yelper mentioned, it comes with both pesto and guac, which is weird, so I asked for just pesto.  The veggies have been soaking in some kind of marinade, which makes the bread a little soggy, and also makes the veggies feel a little slimy.  The guy personalized my sandwich with less cheese, though, which was nice.

I asked if they could toast the flatbread, and was told no.  I asked if any sandwiches could be toasted, and the guy behind the counter said they were all cold. :( 

I said the sandwich was ""for here,"" but was served the sandwich in a to-go bag.  

While I was sitting at the table eating my sandwich on top of the paper bag, another guy came in and ordered the vegetarian sandwich from a different worker, while the guy who made my sandwich was standing by.  The new customer asked if he could have it toasted, and the worker said yes.  I watched her toast it until the cheese melted and looked sadly at the guy who made my sandwich.  He avoided eye contact and didn't say anything.

So I'm still sitting at Flatbreadz throwing a ""I-can't-get-home-because-my-flight-keeps-getting-delayed-and-on-top-of-that-I-had-a-slimy-cold-sandwich"" pity party.  Thanks, yelpers, for the catharsis. It helped :)",tw7hr8sdk-N6teJVlAx8lQ,1,0,2,n-3y1YjCc6X_OW_r0Qpqhw
1357929,2011-03-10,0,aIyqvsWX2NPCVjW4EOTHFQ,"I know, theres lots of options in Las Vegas.  But Flatbeadz is my new favorite airport food place in LAS. I've had their roast beef provalone twice now and both were delicious. If you're stuck here waiting for a plane (like I am now) it's worth the walk from gate C14 to just past gate B1.  Trust me, I just did exactly that.",0OW9GBkUAcob-mzObmQAWQ,1,0,4,t76RKUabsLbmlJDRtHaDHA
