,date,funny,business_id,text,user_id,useful,cool,stars,review_id
51422,2017-05-03,0,aheCcRjiUDFUyByHdmKHpQ,Girl at the counter way extremely helpful and my mango smoothie is amazing  I'll definitely be coming back here.,-fAVHW_Ye1h5UbYAeTzhRQ,0,0,5,BnNbbwiDMC3l88tEOUsStw
108565,2015-07-03,0,aheCcRjiUDFUyByHdmKHpQ,"Hands down, best acai bowl in Vegas! It took me right back to Hawaii when I had my very first one! A must-try when you go to Downtown Summerlin. I haven't tried anything else here because the acai bowl has kept me so content and always coming back for more.",AHjL9W6zA4g_8rrI-zeAEQ,1,1,5,BgNA04GPAQPCy2Z1GLedJA
291453,2015-02-25,1,aheCcRjiUDFUyByHdmKHpQ,"The acai bowl here is good.  Much better than most of the bowls here in town.  

Definitely is a good choice here or Acai to the T.

Hopefully one day Las Vegas will get a real authentic acai bowl like the ones in Hawaii.  Where the acai berries will shine as the star of the bowl and not by some crappy super sweet concentrated juice.",zp_mW74BEvjozSYaC0WAYA,1,1,4,DIz7fjOsd4JptNvnd5xxSQ
444199,2014-12-18,0,aheCcRjiUDFUyByHdmKHpQ,Tried this place out for the first time and it was great! Great place to get a healthy refreshing drink. Will be coming back for sure!,67BzhVVSVtPqV3WoyoPQVA,1,1,5,mXTY0GOmOaPQUtKdTyBiwA
448411,2015-09-03,0,aheCcRjiUDFUyByHdmKHpQ,"Hi!!! I haven't been yet, but it sure looks & sounds awesome. 
Is there a menu with prices on your website?
It would sure help (:

If there is, I cannot seem to find it.
All I see are cleanse packages and gift cards (: 
Thank you so much!!!",2sQYs9bpW2g8eNO_kc6-bA,0,0,4,tmJCBKUMBMrbsHpILjzpXQ
548346,2015-02-20,0,aheCcRjiUDFUyByHdmKHpQ,"Amazing juices and smoothies. I love the chocolate dream, but you can't go wrong with any of their options. Healthy with no added sugars, fast service, and always tastes great. They open late on Saturdays which is a bummer, but overall I love this place! They sometimes have specials on their juice cleanses and special holiday options so I love to follow along on their instagram.",dkUvsmSLSU2RTZh5mQG14g,1,1,5,yNSFvhvn-IADDinHIY6ASg
601465,2017-02-09,0,aheCcRjiUDFUyByHdmKHpQ,"Went to Nekter today, looking forward to an Acai Berry Bowl, something I've had a few times before. They've always been filled to the top, covered with bananas, fruit and granola. Price, $8.95. A perfect lunch after a hike or after a workout. Today was no different, except that my bowl was half the normal amount! I asked what happened to my bowl, literally half the size, (but the same price) and was told that that was the amount it is now. It's been changed. I was so disappointed and can't understand how a business can cut their product in half and keep it the same price. Not good business in my book and I won't be returning. They've lost a customer. Too bad. I really liked going to Nékter, but won't spend my money there.",atYTAKiTCyIXsUQer-1_OQ,0,0,1,UiIZIf7jT48Qg97q8R690A
633177,2015-01-23,2,aheCcRjiUDFUyByHdmKHpQ,I've gone to one of these places in California and loved it so when I found out that there is one I'm summerlin I had to come out. The employees were a little too nice. Willing to help me out with everything and anything. I ordered a pink flamingo and it was absolutely amazing. Watching them juice the items right there in front of me as well as making the complete drink made me feel like I am getting what I paid for. I Will never go back to Jamba juice or any of those other places. It's not worth it. Believe me when I say that this place owns all. YOU HAVE A LIFE TIME CUSTOMER NEKTAR!!!!!,VIGarwsb5rw87RjyGNjX-A,2,2,5,dI7S4PUvyo7Uv-BSx48NNA
724463,2015-02-27,0,aheCcRjiUDFUyByHdmKHpQ,"I love love love this place! You can ask for additional fruits/veggies and have your drink adjusted to your liking. I've been here so many times that they already know how I like my drinks made and Cimaron remembers my name because I'm always there. 

I read in some of the reviews that some of the staff can be sort of ""eh"", which I agree. I've had some great customer service experiences when the manager is there. He's very friendly and knowledgeable about the product and makes great recommendations. However, a good amount of the staff are...kids. I've walked in on several occasions and they're just chit chatting behind the counter without a care as to what the customer is looking for. I guess it all just depends on who you get. 

Overall, I'd recommend trying ""The Sublime"" or ""The Buzz"". Those juices are so bomb!",cuwKel6tIxMHxErMw7AHcQ,2,1,5,zu82qd1QKPAl0d8iu5V8xA
739969,2016-10-26,0,aheCcRjiUDFUyByHdmKHpQ,"My orders are always so so yummy but one time they weren't even busy and it took me 15 minutes to get my smoothie which wasn't even filled up completely. When I get a large Pink Flamingo smoothie it's like 7.50$ or something, but when I add chia seeds, my total is nearly 9$. If I'm going to pay almost 10$ for a smoothie I at least want it filled up completely.",PrS5YJxxnozyQZAIRQweOw,0,0,4,s2jiS8lLc0S6MTFuYFb7RQ
