,date,funny,business_id,text,user_id,useful,cool,stars,review_id
457780,2010-09-10,0,b24sTA2JkHB4joNlNkBkfQ,"Ate here before heading out to the club and it was definitely a good choice to soak in all the alcohol with carbs! I ordered the grilled chicken panini and shared half with my gf who ordered the mozzarella and basil panini. Both were good and came in big portions! We substituted our french fries for a side of assorted fruits. Tab came out to $12+, no complaints with the paninis, but the fruit salad was sour and tasted soggy. 

But overall service was alright took them about 10 minutes or more to cook our food. Would I come back? Probably if I stayed in the Venetian and needed fast food with decent quality. I'm just glad this food court didn't have your typical McDonald's or Burger King crud. =)",9kxP2KbaLpIgmZmcgdtvCA,0,0,3,GqQT7WYlsYzTQdiIWiVCNA
740461,2016-04-17,0,b24sTA2JkHB4joNlNkBkfQ,"Food was terrible and bland. It was like the staff just wants the money without delivering a quality product. Potatoes were dry, and they don't offer butter with your toast, ""who doesn't offer butter with toast""? I highly recommend not patronizing this place if you want ""FOOD""..",lm_W05EAeJWjOOs0_XDBKg,0,0,1,gTWjIrtLIScRYtidoM542g
1133161,2013-05-18,0,b24sTA2JkHB4joNlNkBkfQ,"This spot is really good! I go up and down the strip trying different spots and as far as burgers go around here, this is one of the top spots. Its about $10 for burger and fries which is pretty good since even Wendy's is $10 on the strip. They put thousand island on the burgers which tastes pretty good. Its located in the Venetian Food Court. I like this place because you get a fresh burger and you don't have to go to a sit down burger joint to get it. saving me about $15 on tax & tip, extra $15 for the craps table!",WDAqa-sz-M2iHXKofUUCkg,0,1,5,cHI1Ggz6eQWQzcSRUqDUmg
1186983,2014-07-03,0,b24sTA2JkHB4joNlNkBkfQ,"Warning - Got Food Poisoning Here

My wife and I stopped here for a late night burger and fries. We took the order to go and ate it back in our hotel room. The fries were very soggy and the burger was average at best. What happened the next morning though was painful and certainly not worth the late night meal. 

You've been warned.",WdZXKWoC9OC72kkvHZhUgA,0,0,1,yzdcVITJO8aqzVev-fOr7w
1213416,2010-03-03,0,b24sTA2JkHB4joNlNkBkfQ,"YUM!  Ate at San Gennaro tonight and it was delicious.  The fries are just as good as everyone says - they are fresh cut.  I had the Chicken Philly Cheesesteak (comes with fries) and a regular drink for 16 dollars and some change.  Happy to pay that for the product I received,  The y use fresh peppers, mushrooms and onions and the chicken was SO moist.  The roll they put it on was great too.  I would definitely recommend this place if you are in or near the Venetian hotel.",eNqxRmFVWvr6z6dNoX_Jmw,0,0,4,iTAFg8IP7c648s4aITQH0Q
1769161,2012-01-11,0,b24sTA2JkHB4joNlNkBkfQ,"I came here for breakfast on a Saturday and it was pretty good. Had the cheese omlet with hash browns and sausage. Pretty good overall. A nice place for a quick breakfast before heading out. 

Will probably come back again.",rXIeH6OxE48pHZzd7xNecQ,0,0,3,olZ6PdiON4vgSoyIJyeToQ
1819767,2010-02-17,0,b24sTA2JkHB4joNlNkBkfQ,"MMMMMMMM ... this place is GOOOOOOOOOOOOOOOD!

Everytime we're in Vegas, my husband and I must eat here. We usually split the Chicken Caesar & Mozzarella Panini. It is heavenly!!! Everything taste fresh! The bread has the perfect crunch on the outside and soft texture inside. The chicken is always moist. The mozzarella compliments the whole sandwich. To top all of this deliciousness off, the fries ARE THE BEST DANG FRIES EVER! 

You will not be disappointed. This is one of the few REALLY GOOD places to eat in Vegas.",kQlHI4rw1pbDPK-SzpkwNQ,0,0,5,TyyXLkvGwfLw5jTw7JsMlA
1907409,2017-10-20,0,b24sTA2JkHB4joNlNkBkfQ,"Very long wait. Food never came.  Manager on shift on June 22, 2013 around 11 pm, said he lost our order.  We asked for a refund and didn't even comp our water or say sorry.  He blamed us for the whole ordeal. The manager that night wasn't wearing a name badge and wouldn't give me his name. The customer service royally sucks. ZERO STARS.",v1oiIz1xnV1R_DZTuGslVg,0,0,1,89c4537SaTyIN2u5gkiyeA
1939382,2011-06-18,0,b24sTA2JkHB4joNlNkBkfQ,This place was always pricey but the food was solid!  Last trip to Vegas stopped by for a chicken sandwich.  When I got my order chicken was half the size of the bun and was tough.  Gave it a second shot the next day thinking it might only be a one time thing but it wasn't!!  If you pay 13 bucks for a chicken breast sandwich the chicken should be bigger than a chicken strip.,o0XAOylWJyPmpND25w65WA,0,0,2,HkOm_8dSY8mzcvVLNk3_Ew
1988898,2014-03-28,0,b24sTA2JkHB4joNlNkBkfQ,"They forgot the cheese on my breakfast sandwich. I had to repeat my order like 3 times, once to the first lady at the counter, then again at the register, then they asked again if I asked for sausage or bacon. The organization is terrible. Also ordered a coffee and had to walk all the way around and back to where I first ordered to get cream and sugar (and silverware). Pretty disappointing for Venetian standards. Never again.",KHAuuDNvdnC8ioF9jEcNoQ,0,0,1,HeFcgGj8dVThZu7L2wcbiw
