,date,funny,business_id,text,user_id,useful,cool,stars,review_id
15287,2008-09-08,1,b3vRI8yXNK34hgC0Wd4Iag,"We ate dinner at Chin Chin on Friday night.  I wanted a variety of items and some kind of beef, but not a Prime steak.  We landed at Chin Chin for some good old Americanized Chinese food.  Since our last meal was breakfast we ordered up some chicken pot stickers, pork bao, half of a Hunan chicken, and Mongolian beef...and some steamed rice (more on that later).

It was all good.  The Mongolian beef was actually very good.  I am usually a little scared of the beef that ends up in Chinese food dishes, but this was very tasty.  

The Hunan chicken was a little tart for me, but it was nice and tender.  My wife loved it.  

If you are a char siu bao fan (yeah that is spelled a hundred different ways), don't order them here.  The filling was off and the dough of the bun was heavy and yellow.  My guess is that they were made a while before we ordered them and steamed up to serve.  By a while I mean at the day before...or earlier...

The portions are pretty good, so if you eat family style don't over order.  One dish per person is plenty.  

The prices were about $15 per entree, which isn't bad for a hotel on the strip.  Important note, rice does not come with your meal.  You have to order it by the bowl for $1.50 each or get fried rice.  That's kind of lame.  You really need to charge that extra $1.50 for a bowl of steamed rice?

Our server was a polite girl from some former Soviet block country.  Theek accent, but attentive to the table.",r1or_2ck3sylcZJJ9BX9ug,1,1,3,TB7nlX0n8_mWMItS4g6srA
42660,2015-06-09,0,b3vRI8yXNK34hgC0Wd4Iag,"The Mongolian beef was good as any.

The Ma Po tofu was not flavored correctly. 

Service was good. Overall experience was average.",03Rske_YFatSF5jrsrjVDA,1,0,3,IM0lvrP55CyRcUajXyEfgQ
64262,2017-07-03,0,b3vRI8yXNK34hgC0Wd4Iag,"Every time we come to Vegas we come here.   The breakfast buffet is delicious and the prices are very reasonable.  Today we had Kate as our server, and as usual,  she was outstanding.  All of the staff here are very warm and friendly.   This is a great place!",OLQJZd9rkO0KyvA7vqzAIQ,0,0,5,RbBVKqHC5XIuBz3e9G9lOA
77969,2015-09-27,0,b3vRI8yXNK34hgC0Wd4Iag,"We went there for breakfast. It was $17 per person, which I thought was very reasonable given their selection. The price also includes customized omelette. They put good amount of cheese on my omelette, cheese was oozing out and I enjoyed every bite of it. It was delish. My other favorites were their super crispy bacon and crab cake egg benny. I was most impressed by their friendly staff. We were greeted by super nice lady, and our server Pedro was friendly and very attentive. He even offered us take-out coffee on our way out which I thought was really nice touch.",266qsMlvOdTC8fDRq2ajbw,0,0,5,08esbULNtjy9N2NR5iRsqg
80989,2017-02-03,0,b3vRI8yXNK34hgC0Wd4Iag,Breakfast was ok but to see the way the male managers treated their employees was horrible to watch. Server girls were always with a smile on their face. Not a place i would recommend but would recommend Corporate office in better training their management to help build confidence to their employees not bully them !!!,LmuazWB4dGpdCR_2rrMKkQ,0,0,1,ktsRjbeBAL51uksUSyHgEg
88323,2012-01-30,0,b3vRI8yXNK34hgC0Wd4Iag,"If you want NON Chinese food, lousy taste and lots of ""fillers"", this place is for you. Unfortunately, it's not for me. The following email was sent to the management at Chin Chin. There was no response. I emailed the corporate office - still no response. Finally, I called ""food and beverage"" at New York New York . They contacted the Chin Chin manager and she called me say she regretted our experience. She also said she would add more meats next time. Too bad there won't be a ""next time"".   This is the email I sent:

While staying at NY NY in Las Vegas, my son and his girlfriend  treated me and my wife to dinner at the hotel. It was convenient and we were in the mood for Chinese food. To the point, it was the most disappointing Chinese food we have ever had. The Sushi was awful, the Chinese chicken salad was almost lacking of chicken - there was hardly any there. The King Pao chicken/shrimp[/beef was little more than a pile of chestnuts and peanuts. There were only a few shrimp, and a few pieces of beef and chicken. The tuna tartar was also disappointing. Our dinner was a sham. You are charging enough; you don't have to skimp with fillers. If it were just my wife and me, we would have walked out, but we were guests. In the end, you have 4 very unhappy customers.

Any other Chinese restaurant in Vegas would be better (and much cheaper) than Chin Chin.",5r8Yi2ypT-EMZoxldZkwCg,2,0,1,9fwFYA5Ky_3SjgI5iJW6eA
91541,2011-06-16,0,b3vRI8yXNK34hgC0Wd4Iag,We were really looking forward to Dim Sum and we were totally disappointed!  The service was horrible!  The potstickers were cold.  We sent them back and they reheated the ones we sent back.  I'm sure this is not allowed by health codes.  I ordered a salmon hand roll and it sat at the sushi bar for 10 minutes before I got it.  The seaweed was mushy so I sent it back.  The server was talking to another table and completely forgot about us.  Out of the 4 dishes we ordered they were out of 2.  The only thing that was good was the Gift Wrapped Chicken.  We will never go there again.  YUCK!,HtfNTYcQ5L2PtCek4Xrmxg,0,0,1,Af6gmPeNHpIsc86EuVPUfQ
94212,2017-11-08,0,b3vRI8yXNK34hgC0Wd4Iag,Food was delicious and not over priced like everywhere else in vegas..Ben our waiter was knowledgeable and so sweet! 5 stars for him too! Highly recommend,A-PEGz205Odbj2BD1pt18w,0,0,5,6pTurHzLbO-39KSCM4O1lA
95726,2015-12-25,0,b3vRI8yXNK34hgC0Wd4Iag,"This place is awesome, the food is very fresh and good compare to what you pay for! It worth the try and the serves rock! Andres did an amazing job to take care of our loud family!",Amh1UcAscVnrDoQiU47Plw,0,0,5,wCV3ieT8cA2GeaqenrVZOg
97831,2017-07-26,0,b3vRI8yXNK34hgC0Wd4Iag,Had the lunch buffet for about $22 and it was shockingly good. They had a wide variety of options and they all were fresh despite it being later for lunch and very few people in the restaurant. They had a few sushi varieties which were good. I'm not a big sushi person so i can't say how they compare to most but as far as buffet goes I thought they were good. Lots of dessert options like cookies and pastries but they were all a little on the dry side. Chocolate covered strawberries were awesome and they had other fresh fruit. Service was great.,anX5uW30x3R-zMHuLMxerw,0,0,5,cy7hDb4cK5vmANF1DBb-vQ
