,date,funny,business_id,text,user_id,useful,cool,stars,review_id
2041,2013-09-03,0,b7Y4dIggAacPum1tF3NpKg,"Called in an order for delivery to my home, 2 miles from the shop.  Medium, 3-ingedient pizza and a small greek salad...$33 and change!  Add to that the five bucks I would give the delivery guy and I'm into it for just shy of $40.  Their pizza is o.k., but not even close to the quality that would command that price.  I know, delivery charge, taxes, blah blah blah...it's just a bottom line issue...waaay too much for an average pizza.  Sorry Rosati's, but we're done.",ZdUFyF5eNyZxete-T4bmZA,1,0,2,WR0jhOoHNrwlx2sPnpfbiQ
34206,2015-05-03,0,b7Y4dIggAacPum1tF3NpKg,I like their pizza especially the Chicago style.  The staff has always been polite and helpful when we have gone there.  I like their iced tea at the drink station and that they have Stevia to add to it.  We have been going there and will continue to go there.  Good job!,f-2aGGWRUJh0W0iMnqXEDA,0,0,4,W4FMkuR0T2bga9ckqRgagw
50025,2014-04-15,0,b7Y4dIggAacPum1tF3NpKg,I live a hop skip jump away..was in the mood for pizza n salad..just plain chz pizza was so good!! Salad gota have once a week..n they have a bar with gaming..Great bartenders!! Stop by when u have a chance:-),rkhCqx5L-TqEUS1kF3hDBg,0,0,4,8sOeg023YPgXFRX8AcF5Ow
65266,2015-03-02,0,b7Y4dIggAacPum1tF3NpKg,"Hands down, my favorite pizza in Las Vegas.  The ONLY thing I don't like about Rosati's is that it takes away some of the enjoyment of grabbing pizza while in Chicago now that I've got great Chicago style pizza here at home!  

Great staff.  Great service.  You should be ashamed of yourself if you're wasting your time buying pizza at chain restaurants with a gem like this available!",OfBF_6IvMnCjE9dfAKOBlQ,1,0,5,3Y8hC1-OoH8m0s7n_RiyWg
139508,2014-04-09,0,b7Y4dIggAacPum1tF3NpKg,"After a week of traveling eating dry Sammie's and whatever else I could make from the passenger car seat we made it home and decided to have a really hearty meal. I called in an order for delivery and less than 45 minutes later we were siting at the table,  staring in awe at these beautiful enormous pizzas.

 We ordered a Chicago style pizza with sausage, pepperoni, mushrooms, green and black olives, onions and green peppers. It was ahhhhmazing! The tomatoes were ripe and tangy. The green olives added the perfect twang. The sausage tasted fresh and juicy. Seriously the perfect slice of pie! Did I mention it was absolutely beautiful? It was!!

The kiddos wanted a pepperoni on double dough. It was cheesy, not too greasy, and the crust held up well even with the littles. The crust has a buttery cracker flavor that is so delicious. 

And because we were starving we added a spicy Italian calzone. The meat was tender and juicy with an excellent spicy flavor. When I tasted the giardiniera I was so impressed. It was tangy with the perfect vinegar and spice. I think I could eat it alone! I not so stealthily tried to swipe a chunk of cauliflower off my husbands plate. He was too quick and his fork promptly blocked mine. I actually started looking up recipes to try to replicate the giardiniera. yUMMY!
I think I'll add it to my next pizza too! 

We will certainly order pizza here again. Seriously wonderful, filling, and tasty pies!!!",zI0lQ3hjl-7BJ8UGxFKALw,1,0,5,1jNQQ3hVCj88bTkjpiJytw
156920,2014-12-01,0,b7Y4dIggAacPum1tF3NpKg,"Recently had their Chicago style pizza due to a recommendation. What a good choice! My wife had the cheese ravioli, and reports a good review as well. If nothing else, got yourself a huge Chicago style pizza. You'll thank me later!",4x43VyQTmbY-5aiiBg9pbg,0,0,5,NEEQmjj1MuEL98UAv9fzrA
163222,2017-04-07,0,b7Y4dIggAacPum1tF3NpKg,"As an out of town visitor I wanted a good thick crust Chicago style pizza. This restaurant met my every expectation! It was ready inside of 5 minutes when I arrived for pickup! I ordered sausage and pepperoni Thick crust! The cheese was good quality cheese! The sausage was phenomenal! Pepperoni was also excellent! The marinara was perfection! I will definitely return next time I'm in Vegas! And that's in a week and a half! I found a new Pizza place! And my niece and nephew who live in Vegas, were hooked also! The personnel were polite and fast! I just love this place!",woSbihjcXbhwNIpxPmZJ0g,0,0,5,OJA1kvdqHeTrZQb7h_GsFw
226564,2017-02-12,0,b7Y4dIggAacPum1tF3NpKg,"Update. Yo, kinda f this place. Totally ruined our Super Bowl party the other weekend. The crew had some coupons, called the day before to see if it was ok to use them on Super Bowl Sunday... because ya know, we're not dycks like that. Employee said yes, just have to do separate orders. No big deal, it was just three pizzas. Well, SB51 rolls around and the owner says we're ""pulling one over"" and proceeds to cancel our orders, and told us to ""take our business elsewhere"" and put us on a no sell list. Pretty douchetastic when you listen to the conversation that was recorded. It really sucks because I love the Italian beef and their ranch is bomb, son! Principals and solidarity won't let me patronize this business. No stuff, Costco pizza is better anyway. -1",mfh0N8JSVtLudPZ_tC_Ofg,3,0,1,FE2MaC8Gl9qgPN_KA0zB1A
256239,2017-02-08,0,b7Y4dIggAacPum1tF3NpKg,"Zero stars based on the owner Ken! Myself and friends decided to order pizzas for the Super Bowl on Sunday. All of us have been regular cutomers on a weekly basis for years. Over the years we have collected the 50% off coupons that come on the pizza boxes (12 needed for one pizza). As a customer who worked in the service industry for over 15 years, I understand Super Bowl can be a very busy day. With this being known, I called the day before to make sure they were accepting coupons and they said ""yes!"" Again, knowing they were going to be busy, I called three hours in advance on Sunday to place my order. After a few of my neighbors placed similar orders using their 50% off coupons, the owner Ken told one of my neighbors that he didn't know what we were trying to pull but he didn't have time for half price pizzas and we could take our business elsewhere and hung up! Wow...so my neighbor called back and Ken said he was canceling all of our orders, that we were no longer welcome at Rosati's, to take our business elsewhere, and hung up again! As good repeat cutomers and trying to do the right thing with calling the day before as well as placing our order three hours in advance, this is how he treats his customers! With all this being said, I hope people take this into consideration when thinking about eating at Rosati's. I refuse to support a ""classless"" business owner who does not value his customers. I will gladly take my business elsewhere and hope everyone does as well!",8svd8qOpirkFyrSISS2bVw,3,0,1,rlHLlmyhQ3wc_NESjYNMhg
263196,2017-02-06,0,b7Y4dIggAacPum1tF3NpKg,"I will NEVER be eating at Rosati's on Durango/Grand Teton in Las Vegas.  My family and friends have spent literally thousands of dollars each per year at this place since it opened to have Ken the owner/manager completely disrespect us.  Rosati's has a 50% off coupon on their pizza boxes (which says nothing about not being able to use them on certain days or holidays) and when you collect 12 of them, you get a pizza for 50% off your next pizza.  Well 3 families in the neighborhood had 12 each and ordered pizza for the super bowl Let me remind you these were not free pizzas, they were 50% off! So we respectfully called a couple of days earlier to see if we could place this order and use the coupons we accumulated all year (which by the way every order was at least $50 x's the 36 coupons we had which that alone is $1,800.00) and was told there would be no problem.  So when we called to order Ken said ""I don't know what you are trying to pull but I don't have time to give pizzas away for half price"" and hung up! We called back to see what the problem was because one of the neighbors had already placed his order with another employee with no problem and he told us ""we were no longer welcome and to find another establishment"". So we will and I hope others do too.  He gave away an entire communities worth of business over 3 pizzas half off? The great part about this story is that one pizza which was ""approved"" to be delivered was (which was a $35.00 pizza) and we told the driver we were told by his boss we were no longer welcome and refused it. Our order between the 3 homes would have been around $40.00 and he had to throw away a $35.00 pizza? What an idiot. But ""he doesn't care"", he doesn't give one shit about your business. HORRIBLE customer service. There are many pizza places around Centennial Ken and none of us will EVER be back!",1_ln0wHJVE9TShlgeeBmSQ,4,0,1,zMuSPVQfie6vUJlsQNBRjw
294934,2015-03-08,0,b7Y4dIggAacPum1tF3NpKg,The food was super good and the service was awesome.  We started with garlic cheese bread and cheese fries. Both were really good. The 12 inch rosatis pan pizza was massive. We ate 3 slices between the two of us and we were struggling at this point. The restaurant is nice with silverware and fountain drinks being in a do-it-yourself setup. Our server Ken was very friendly and consistently checked on us. Great experience.,uydOSzRbsi9MgPd7srIJSA,0,0,5,Fys2EoJ7SUWCVV72ySa28g
308589,2014-11-23,0,b7Y4dIggAacPum1tF3NpKg,Order a 18in combo and calzone. .... pizza is inedible. Regular crust is like a dried out cracker and pock marked with so many holes from docking the pizza skin it must have been ice cold when it went in the oven.  Toppings are marginal.  All in all refrence the pics posted and don't eat here.... I just threw away a 25$ pizza.,6FPrH4nw_5RXqYhdFgx-cQ,0,0,1,thmhzGd4Mc2n7SQfGYNfTw
401814,2015-07-30,0,b7Y4dIggAacPum1tF3NpKg,"Good Chicago style, but needs more sauce. Thin crust is GREAT! That italian beef sandwich is to doe for. And my 10 yr. old son LOVED the huge bacon cheeseburger. A little higher priced, but worth it. Good stuff Rosatis!",bhxukS4FL8UbEPeGLH6cPg,0,0,5,AuaU-z92bue1_KUqI7hDQw
