,date,funny,business_id,text,user_id,useful,cool,stars,review_id
406632,2016-04-22,0,bLieCqMMt4la2i8M2v1TUg,"If you have to charge airport prices the staff and crew could care more about making the sandwiches good.  Soda's ice was completed melted by the time I sat down, 4 handfuls of lettuce, and waaaay too much mayo.  
Not up to Jersey Mikes standards.  Still the best sandwich but the Vegas airport location was disappointing.",tAAFxl4wtGwRyT1KNn5Fnw,0,0,2,ZqS4gwj36SSeXx8C-vEYyg
590311,2014-01-30,0,bLieCqMMt4la2i8M2v1TUg,Run to a different vendor... Don't waste your money here.  Money spent on a Philly Cheesteak  is wasted.  Sandwich was not edible.,uhAfKWIf4amZDZxMi_b-5A,0,0,1,FLmvNSyQrBHb0QabAFknmA
704856,2017-02-17,0,bLieCqMMt4la2i8M2v1TUg,For fast food at an airport I thought it was quick and tasty and fresh!  Most time the food at the airport is prepared earlier in the day and hardly ever fresh.,5f1Zv9qKlf8BkTiRHeFb2g,0,0,4,zRaQqgfbokWonLlywXeQVw
962668,2013-07-17,1,bLieCqMMt4la2i8M2v1TUg,Anytime I am flying in or out I stop by here for their.sandwiches.  food is top.quality and staff.is very friendly.  I just wish more airports had them.,pETFbaIvYoOWl1-sSUex6w,1,1,5,EVBHpe8-a7xh4m22EJNscA
1119929,2015-06-26,0,bLieCqMMt4la2i8M2v1TUg,"This place reminded me of my subway days, but WAY better!

The deli meat is cut on the spot. I couldn't stop eating it, and when I did, I was craving it. 

I will definitely stop here again when I am at LAS.  

The gal that made my sandwich made it phat too. The rest of the staff was really nice. Be ready with your order before you are at the front of the line, they move quick!",lTYtSpQ3uvDhcOMbO4zwuQ,2,0,5,RbLZ89pMgdK7_vA2Kazekg
1202370,2013-05-21,0,bLieCqMMt4la2i8M2v1TUg,"Very pricey, but what do you expect for the airport?  $8.99 for a sub seems a little out there, but to be honest, it was a very good sub.  Same Jersey Mike's quality you expect to find at any of their locations.  At least, I HOPE you expect to find it there.

I had the #13 (Original Italian, I think it was called).  There was a very sizable portion of lunch meat on the sandwich, which was awesome of course.  The toppings were very fresh, and the bread was pretty recently baked it seemed.  Despite the very long line, the staff moved quickly, but accurately, efficient and friendly as well.  

It was a little more than I like to spend on lunch, but compared to the other options of burgers, pizza, and just general fried stuff, it was clearly the winner on appealing to my taste buds.  I don't like to grease-up when flying, so a sub shop usually gets my vote.  If I'm back here again and have the time, Jersey Mike's it is again.",OYqbkGuG-FksdFhggwljjw,0,0,4,NbIK-UxjpsNDfZiNrsZaCQ
1229984,2018-03-17,4,bLieCqMMt4la2i8M2v1TUg,"Jersey Mike's Subs at the McCarran International Airport in Las Vegas, specifically next to Nathan's, Between C22 & C23 (in the Southwest Terminal). 

After walking around the terminal, looking for something to eat for dinner (Although I had brought food with me, it wasn't quite enough to hold for dinner), my husband and I ended up picking this place. As we looked over the menu, it dawned on me that it would be cheaper to purchase a giant size sandwich instead of a regular size sandwich for the 2 of us. So we ended up getting:

Giant Size #7: Turkey Breast And Provolone, $16.99 prior to tax- Because I do not like spicy foods, we omitted the jalapenos (although I am sure if we requested for half of the sandwich to have it, I am sure the employee making our sandwich would be able to accommodate). We also omitted the onions, pepper, oil & vinegar (my husband just decided to omit these things just in case I do not like them. Like a true Yelp member, I was busy taking photos of this place and the menu board to pick what I wanted on the sandwich so I let my husband make that decision). The sandwich itself was really good. I thought the sandwich had plenty of turkey and also lettuce and tomato. The freshly sliced provolone (an employee slices it right in front of you as you order your sandwich) had a great flavor that enhanced this meaty sandwich. 
-------------------------
(Total= $18.39 after tax)

All of the employees helping us were very friendly (the person who initially took our order, the person helping to add the toppings on our sandwich and the person helping to ring us up at the register). I appreciated that when I asked if they could quarter our sandwich since half of a sandwich is just way too large of a size to eat, they did so happily. 

The only thing that did bug me though was that the employee wrapped our sandwich (after cutting it into 4 sandwiches) in 1 large butcher paper and stuffed it into a narrow paper bag. I would have preferred for 2 sandwiches to be wrapped separately from the other 2 so that each person could have their own. Maybe this is something I can request for in the future. 

I know that the prices for this sandwich place is pretty high, especially compared to any other location of Jersey Mike's that isn't at the airport. But I have accepted the fact that a lot of airport eateries will charge a higher price because you are in a desperate and vulnerable spot (and maybe the rent at the airport is high) and so that isn't as big of a concern to me. My husband and I travel a lot so it just comes with the territory (but please note that not all airport restaurants have such a high inflated price. Some places are actually quite reasonable, but this airport isn't 1 of them).

Overall, I really liked my sandwich and was pretty satisfied after having 1/4 of the sandwich and saved the other 1/4 for the next day (a little soggy from the filling but still pretty tasty). 

If I was ever at this airport, down in this terminal again, I would consider getting another sandwich here.",3UIa8YVjETNwJwnOl4SEdg,5,4,4,d0WU91Qi95Glcx6dCFaISg
1252031,2016-01-23,1,bLieCqMMt4la2i8M2v1TUg,"On a recent trip to Vegas, I had a few hours to kill in the airport and some of that time needed to be used on eating - no one likes to fly hungry. I scanned the reviews of all of the restaurants in the terminal I was in and really just nothing was standing out to me. Am I surprised? No. No one like airport food. My decision to eat at Jersey Mike's was mostly made because one had just opened in Reno and I was curious about their sandwiches.

There is no place to sit down here, it's just a walk up counter to order, pay, and get your sandwich. Finding a chair or a table elsewhere is totally up to you. I decided on the Philly Cheesesteak sandwich (because I'm a sucker for steak and fake cheese). I can't comment on the authenticity, but I did find it quite good (albeit quite messy too). It was a nice size and they don't skimp on the meat.

Yes, it's fast food. Yes, it's fake cheese. Yes, there are probably healthier options. But if you want a quick sandwich that is pretty good and will fill you up, this is a good bet.",N11AGsSHMp9ZhOARSq8LNQ,6,4,4,OOjJKLnanpU1OQsKcYdnTg
1271492,2018-05-22,4,bLieCqMMt4la2i8M2v1TUg,"Majority of the time excellent and opened earlier than the other restaurants at the C Gates.  The Turkey & Provolone & Italian are both excellent.  Ingredients look & taste fresh, except once the bread was stale.  I add mustard, black olives, oregano to either & mmm mm.",D43OWyfzIQjL8feJpYh2SQ,10,7,4,lQOt6O80Z9wLHVFZrOhj4Q
1697008,2018-02-02,0,bLieCqMMt4la2i8M2v1TUg,The standard Jersey Mike's Italian sub. Tastes good and it's fresh but is very messy especially when trying to eat in a suit,TxrljvgguFghGdKpO1uqSA,0,0,3,LnxNsiURGGKQZznGSyeOqQ
1730223,2017-11-17,0,bLieCqMMt4la2i8M2v1TUg,"It's the Vegas airport....so EVERYTHING is more expensive.  2 regular sandwiches normally costs around $18 at any other JMs but here it's almost $25.
The bread they use is brought in from outside the airport so don't be surprised if it's not exactly fresh.
The attitude of the employees are what you'd expect for a fast-ish food place at the airport....not exactly the cream of the crop.
Don't let the airport JMs give you the impression this is what all their locations are like.  It's the Vegas airport.....so ""meh. I've experience better"" is an apt review.",nANCiScB2-4wHbxiFwJfCA,1,0,2,yNCg4KRHLNroL_PPLj3lhw
1842614,2015-03-12,0,bLieCqMMt4la2i8M2v1TUg,"I went to this place thinking dear lord , airport food...but the philly cheese steak 'i ordered was very good, and a large portion, I couldn't finish it.",PXe-x5SAMzAEn8EOBCVgeA,1,0,4,OyFkJyEfwPLmEdO2h1-5Iw
2083053,2015-07-07,2,bLieCqMMt4la2i8M2v1TUg,"If you're looking for a place to relax and enjoy free wifi along with an outlet to charge, go elsewhere. Within 30 minutes I was harassed by ""Gary"" the bartender saying I need to order something or leave. I had already discussed with the server that I planned to make my order to go and did not want a soggy sandwich. The menu advertises that all sandwiches come with chips and pickles... Unfortunately you will not get a pickle.

The #13 was average. Go elsewhere, don't waste your time with this place.",nLqiiqdlcCq66QDqagkMGQ,2,0,2,aijHaORJ6kxXYherw_3kLA
2123613,2015-02-24,2,bLieCqMMt4la2i8M2v1TUg,I come here to get  the tuna sandwiches they are very fresh  and the teens  that work in this Mikes are on there JOB it's always clean the customer service is great. No bad for a place in the airport,P1IQm0Rr5eA9VvmV5HYGVA,2,2,4,VSwzzYBDZ_2ltK1DVwA65g
2125440,2013-08-13,0,bLieCqMMt4la2i8M2v1TUg,I've seen a number of people complaining about the cost of the sandwiches here which I don't entirely get. They don't seem any more expensive than they are at their non-airport locations.  I find this location to be fast and friendly and I like their sandwiches.  It's really easy to stop there when waiting for a flight or a connection.  The sandwiches travel well so they re great to take on the plane with you.  I'm usually out of there for less than $10.00 and am not hungry afterward so it feels like an OK deal to me.,veUS1l3hes5PI3824b9MkQ,1,0,4,X806K2jLoRIHm3YzoE6L6w
2135358,2013-06-22,1,bLieCqMMt4la2i8M2v1TUg,This is most likely your best option for an overpriced sandwich at the airport. Definitely better than the ones in plastic wrap and you pay just a bit less at Jersey Mike's.,O9KxylZfQ_6Sg_Epd3uo4Q,1,1,3,qsqcjh5ZY2_wYbgK1sf3vw
2155245,2017-05-10,1,bLieCqMMt4la2i8M2v1TUg,"The sandwich was good but $23 for two small subs?!?!  Biggest rip-off i have ever seen.  Definitely won't be going back here specifically for this reason.  I hate when places at the airport take advantage of travelers just because ""what else are they going to do?"".",alr2xk5KBJXHd6zVuEqdDg,0,0,2,PMUv_Q5GH9wx9NjWWsuLug
2652159,2017-09-20,0,bLieCqMMt4la2i8M2v1TUg,"Writing reviews that I think are overdue so I'm gonna keep it going with Jersey Mikes, last visited when I was heading out to Philadelphia on Southwest in May 2016.
We were a little early for our flight and I was so hungry. I got bored with Burger King and Wendy's (both in concourse C) so I decided to try a new restaurant that I've never tried out before -- Jersey Mikes. It's sort of like Subway and Capriotti's mixed in together, but the sub I had was so delicious!! It was also very close to our assigned gate too. Outstanding service as well!!",Ur4u9wfVtacMnYGbo29ZpQ,3,0,5,42w7DnBk0MOOojpISJK9zQ
3034122,2013-10-22,0,bLieCqMMt4la2i8M2v1TUg,"i was here October 8, 2013.

i had heard about this place- there's one not too far from where i live. i keep wanting to try it but never get around to it.

i had a layover in Las Vegas so i figured i'd try it.
i got the original italian- they put on lettuce and tomatoes and some sort of relish and oil/vinegar, olive, pickles, peppers. 
i was pleasantly surprised!!
i'm in an airport at least a few times a month and the choices are usually pretty bad.

now, all of you stuffy wanna-be food connoisseurs will probably take offense to me liking this spot. but, a good sandwich is a good sandwich!",SWD7FpGB-xXc2qjV9-G2dA,0,0,4,T3xpJFrOiPuFWk4JGFuJfg
3162498,2016-11-23,5,bLieCqMMt4la2i8M2v1TUg,"Jersey Mike's is decent airport food. Gayle and I were connecting through LAS and this place was close to our Southwest Departure gate. I ate my sandwich (forgot the number but is was turkey and cheese) at the Pei Wei Bar and had another one made for my 20 year-old son to eat at the gate. A nice sandwich and beer is always a good combination.

Note to the Wise: Bringing a sandwich on your flight is a good idea, but for the benefit of your fellow passengers, try not to make it tuna fish.",HFECrzYDpgbS5EmTBtj2zQ,5,4,3,anFlMeY7_3kqaQTdZEkaRQ
3329952,2015-01-07,0,bLieCqMMt4la2i8M2v1TUg,"We were heading home from Vegas and needed something to eat before we board our plan.  After walking around the airport, we settled for this place.  My husband and I, both ordered a sandwich.  Prices were about $9 each (there was only one size).  I do like the sandwich but the bread tasted stale.",8UJFLOgTuq0tw_bkKiKbEA,0,0,3,gGLoAKJ6MWWk31tJ9ncpqw
3404546,2017-12-12,0,bLieCqMMt4la2i8M2v1TUg,"Just before my flight back INDY Me and my lady decided to get sandwich from jersey Mike, what a mistake. The line was long, I had no problem with that cause we are at the airport. The problem i had is I ordered 2 sandwiches and as we were waiting for them a group of six people got  there food before us. I'm like WTF THE sandwiches were sitting right next to the register the whole time while the six people went through the line SMH. 

This was Ridiculous and unacceptable, so I spoke to the worker there excuse was NO BIG.
What a terrible thing to say very poor management, then you wanna charge me 22 dollars for 2 sandwiches along with the bad service SMH.",eTXLP4lfgpZqD5r5HfKZMQ,2,0,1,tdQbYW-jtFBl76-kReOecg
3431521,2016-08-10,0,bLieCqMMt4la2i8M2v1TUg,"My sub got the job done. I settled on this place because, I wanted something filling but, not too greasy or anything like that. Having an upset stomach is the worst when traveling. 

I'm not sure what the deal with the bread was but, I couldn't tell if it was stale or, just a little flaky because it was ""grilled"" after requesting my cold sandwich to be made a hot one.",DX9ojGfWMy16e_rY-dkG5g,0,2,3,s-mrDwP71SQNQTnFDldT_w
3528052,2016-04-22,0,bLieCqMMt4la2i8M2v1TUg,"This place is in the ""C"" terminal of McCarran Airport. They pack the Sub so it's easy to take it on a plane. My sandwich was delicious. It had an abundance of meat and lots of toppings.  They certainly gave me my money's worth. They had a well trained staff that kept the long line moving at a nice steady pace.",ipnPFjhSdZ4EHP84kUkACQ,0,0,4,ME6qndVzNH_UgHCgNed0gA
3538002,2016-12-19,1,bLieCqMMt4la2i8M2v1TUg,$29 bucks for two small JM subs and two cokes. What is wrong with this place? I just paid $8 for a diet coke and a bottle of water. These are crackhead prices in here. At leadt they tasted good but im still hangry!!!,3jZ7W7ZPXBCX7opq1IUdPw,2,2,2,GJCtMuymfOveBmCmtyzl4w
3587416,2016-09-13,0,bLieCqMMt4la2i8M2v1TUg,"Lots of workers here to move the lines as quickly as they can. I have never had Jersey Mikes before so I'm not sure if this was a good first time place to visit. The sandwich was pretty good, I had it Mikes Way since everyone says that's good. I got the supreme and it was pretty packed with meat. the prices are crazy but that's airport food I guess. for a cold cut, I think jimmy johns is better.",5tsjGigTAQoL0VIdaMjuxQ,0,0,4,btLNqi2fEot6iJDUtVe6mA
3878843,2015-05-08,0,bLieCqMMt4la2i8M2v1TUg,"There you are stuck in an airport. You can have fried, fried on a bun, fried with fries or fried with a side of rice - know what I mean? 

Then --- you see the red, white and blue and post up and order. Saved from the fried foods! Good sammys and really high airport prices, but hey you pay more for un-fried veggie goodness!",9G-iVpUwnPUz8rbcQmKajw,2,0,4,OOYa6SsulSIGcN3OQUPfvw
3925132,2013-03-25,0,bLieCqMMt4la2i8M2v1TUg,"If you like subs, you have to stop here while you're at the Vegas airport.  Yes, I know the slot machines are tempting but let's face it.....they never pay out.  Instead, spend your cash on a hot or cold sub.

These guys know how to make a philly steak sandwhich!",sCWXJo_6_CzolQzFsSePMw,0,0,4,-L-Frb-Ai_CD4NX5PnU-eA
3949078,2017-06-04,0,bLieCqMMt4la2i8M2v1TUg,I ordered the Original Jersey Mikes hot sub. It was so fresh and tasty! I wish we had on near home!,Ka9DLH4XzJ5WHJfs6UX-Qw,0,0,5,dB8m-m7yLVR5t1B745QwkA
