,date,funny,business_id,text,user_id,useful,cool,stars,review_id
12081,2016-04-16,0,biSsdqExmdvIKiFuowOadg,"Didn't really know what to expect, but I thoroughly enjoyed my experience. The sushi was very good. The wait staff was very attentive and our waitress Candace was amazing. She was a lot of fun and had tons of energy, but in a good way that wasn't annoying. Will definitely be back to check the happy hour next time.",LGKVwyWuZ6-mmj-kLsFiew,0,0,5,JsrKoAfC6Oa7waSYTJYsBQ
16561,2014-11-24,0,biSsdqExmdvIKiFuowOadg,"This is  a great addition to Henderson. If you're looking for fresh, healthy Asian-inspired food, check it out. They have everything from salads to Sushi and steak. The restaurant is clean and attractive. The menu isn't too expensive and the staff is friendly.",4p0PdsZvenYT3l_XDdZkJQ,1,0,5,oyHHEgZ4q-A3L0F9OowJ0A
16638,2015-12-05,0,biSsdqExmdvIKiFuowOadg,"GEEEEZZZZZZZ... some of these people think they are food critics by the nit-picky tone of their reviews. 

Anyhow, I have eaten here numerous times and the food is always fantastic. I love the Las Vegas Roll, the Lemon Roll, the Shishito Peppers, the Charred Edamame, the Short Rib Ramen, the Stellar Chips... the list goes on and on. 

Also, they have a great selection of beer and wine and an awesome cocktail menu. The Water Dragon is a personal favorite. 

It is the only sushi I actually crave and the atmosphere is friendly, modern and kawaii. 

Go there!",oDzcyI-nTTs1WKdllBZmYg,3,0,5,d4eJTGNFsKWtB2Vx8bpjlw
16695,2015-05-20,0,biSsdqExmdvIKiFuowOadg,"First time to dine in here. Nice place, good ambiance. Started off with drinks, crouching tiger and a friend had geisha girl. Both good, though I favor the crouching tiger. Both have a good kick in it! Tried the Foo's dogs for appetizer, good one! Wish there were more! Forbidden black rice was delish, different but the more you eat of it, the better it gets! I had the pork belly ramen, filling and doesn't leave you too full. I had a bite of my friend's hanger steak, delicious! Careful with the white dipping sauce, if you're not into the spicy things. We both thought some kind of aioli, mayo something.... Too hot, wasabi hot! They were late bringing my friend's meal but compensated by giving us the Funkler for free! This dessert is soooo good, yummy, warm home goodness-good! Nice place, good food, great customer service- what more could you ask for?",d1HRysFcyUTVkihmG4oP-A,1,1,5,7c9Q-SMajF5IGoQbwSsRew
21461,2015-09-17,0,biSsdqExmdvIKiFuowOadg,"Great ambiance !!decor at lucky foo's is quite original to any neighborhood restaurant/bar you'd see off strip. We ordered the charred edamame and Brussels sprouts .. WOW!! That's all I can say.  The sushi came out quick and fresh and the staff was very courteous. To top it all off we had the Funkler for dessert .... ***warning*** if you have anything to do after you eat you probably want to postpone it till the next day because you will want to sleep 

Overall everything was great!",0-MX2OEkjzBmaYjX2I9wsA,0,0,5,NuSl8hIhB9OppCdubJsW5g
22600,2016-08-15,0,biSsdqExmdvIKiFuowOadg,Excellent service great from Miguel and he gave excellent food choices. Thanks Miguel.,H2Q76vvXHa_3Yqg-kRTMLA,0,0,5,ZCrG7F8bcrc7H1esdmBUgw
42983,2015-09-10,0,biSsdqExmdvIKiFuowOadg,"The food at Lucky Foos is awesome! Not only is it a great place to hang out with your friends and enjoy a good meal, it's very family and kid friendly offering a kids menu and fun activities. I totally recommend checking out their happy hour, its filled with great deals on food and drinks and the bartenders are warm and welcoming. (If your a big fan of Moscow Mules they make the best ones I've ever had.) I've pretty much tried everything on the Lucky Foos menu and after doing that it's pretty hard just ordering one thing . I go for the Stellar Nachos, which is wonton chips with spicy tuna, avocado crema, sriracha, & pico de gallo, served with smoked chili aioli, they are soo good. All their ramen soups are tasty and they also give you an option of getting dishes vegetarian style . The Lucky Rice is also one of my favs. Oh and you have to try the Funkler for dessert the kids will love that. All in all Lucky Foos is one of the best local spots Vegas has to offer off the strip. From the great ambiance , to the friendly staff it's worth checking out. And don't forget to try out the complimentary hand scrub in the restrooms .",O_v5PG96bZDzwjCvF0FbPw,0,0,5,srFVex4rNu49SnbEnMYOdQ
71197,2016-01-13,0,biSsdqExmdvIKiFuowOadg,I always go here with family and friends and the place is amazing! I absolutely LOVE the sushi! It's by far the best sushi I have had. The Foo Burger and Funkler and giant fortune cookies are heavenly as well! The kids loved them. My personal favorite cocktail: Water Dragon! Must try! Great prices and service,F2tnoGzrVlSNnY68xg9mZw,0,0,5,xtzzb5aIvAfk2ShYEwCNYw
136024,2015-02-08,0,biSsdqExmdvIKiFuowOadg,"The rad name and great reviews on Yelp probably increased my expectations.  It was good and has potential.  

We sat at the bar on this visit which had one bartender who was having to make drinks for the entire restaurant.  Although the bartender was super nice, i felt they should have had 2 for dinner service to maintain better service at the bar.  Also, in observing interactions between servers and bartender, the team work lacked.  It seemed the servers were confused often.  I'm sure it's all related to the newness of the place.  

We had the tuna poke, some pork belly ramen, robata grilled beef and onion and some nigiri.  The ramen was pretty tasty and they split it for us.  The robata beef was tender and good and the poke was nice.

The pricing seemed high on the sushi to me, compared to other sushi in the area at around the same quality.

An extended happy hour would be rad.  Why does it have to end at 6?!",_ybknlgSmFSTSEq3RqBXiA,3,0,3,w0D6lJjHPywrdVLR2kxvbw
154115,2015-05-16,1,biSsdqExmdvIKiFuowOadg,"The Lemon Roll was the one thing that was a little and I mean very little disappointed, but it is extremely fresh but lacked some flavor. The service was exceptional though and she was attentive. The Fried Rice with Pork Belly was amazing!!!! The Foo Dogs was exception in take. The satay looking thinks with shrimp and jalapeño bacon was very flavorful. The ambiance and music, primarily 80s music i.e. Pet Shop Boys and Depeche Mode, really nice. I really want to give it a 4.5 because the sushi was fresh but not worth paying a la carte prices when we are in the capital of all you can east sushi, but everything else was sooooo good and the prices very reasonable 6-15 per plate and the dessert was very good we ordered the Giant Fortune Cookie and the Blondie Brownie and it was good so it did deserve 5 stars. I'm in Summerlin, but it is worth the 30-40 minute drive, I'll be coming back soon.",vrYY6ByqCS-2We-raSqjXQ,1,2,5,GSfIwcm1IWlj4h0zVK-Lcw
