,date,funny,business_id,text,user_id,useful,cool,stars,review_id
44029,2014-12-30,1,cEU4IbCouZ1IFwURJKRJRQ,"This by far is the best Thai we have had in the US. Being halal was an huge plus. 

Service was good and the food was served hot and fresh.",in0bu8mIKdbVvIhfE9Lb5A,0,0,5,w0c7wipKdOLYpbL0rNFhaA
154791,2014-12-03,0,cEU4IbCouZ1IFwURJKRJRQ,"The food was satisfying but not impressive. The service was slow and inattentive.


Edited to add: 
Leftovers the next evening was delicious. I don't know if it was because it was halal but the food held really well. The veggies stayed crisp and the sauce light. Pretty good but the service was still a little inattentive last night. The host/waiter was on their phone.",jchp8FferWMZAmZZpgqOPw,0,1,4,KB7Ji2zfXvCUWLhZmzaYFQ
196807,2014-01-07,0,cEU4IbCouZ1IFwURJKRJRQ,"Awesome restaurant I would recommend it for people who like exploring new foods.
The service was as well incredible",ihC8Fm6M-6LF-PgYu4wQfA,1,0,4,6VhfG2wuZvVX30MEBua2Uw
244470,2015-05-25,0,cEU4IbCouZ1IFwURJKRJRQ,"The best and fresh Thai food in Vegas. Must try the salad, soup and the red curry here. This is real Thai food. And very reasonable prices ..!",IjHrgTr7Pe-dnYIsTDGRpQ,0,0,5,bR09RjWXC7R2h5MlS0pX3Q
314215,2014-03-22,1,cEU4IbCouZ1IFwURJKRJRQ,I am an out of town dad with my daughter at a soccer tournament. This is a strip mall location and has no liquor license but the food was exceptional and the service was terrific. I would never have found it without yelp and I am glad I did.,irJpeDbsNnHvqUMWMlxE_g,0,0,5,OBd7xKGjA57dzlN2azbg1g
340096,2014-10-29,0,cEU4IbCouZ1IFwURJKRJRQ,"With many things in life our perception is colored by our first experience. 
In my case I tend to compare all Thai restaurants with Keo's in Hawaii which is the first Thai food I had ever tried. Since moving to Las Vegas I've been searching for that same flavor. I've finally found it in this restaurant. Although no as elegant decor-wise, the service was really outstanding.
Personable and friendly staff helped to make a delicious meal even better. There is no pork on this menu either.
On the 1-5 scale, for me a 2 was just the right amount of heat. The flavors blended perfectly together and the price was more than reasonable. This is my new favorite Thai restaurant. I hope you try it and enjoy it as much as we did.",2160BZupNpVOhAk_8MTtbQ,1,0,4,YEe20i_SbFkplpNWMp9c-g
439683,2015-06-01,0,cEU4IbCouZ1IFwURJKRJRQ,It really nice testy food. And service is good.,YhjH7AeBSgr28EIEO0zDvQ,0,0,5,qbit9iPG9Peivw_-IC5pUA
508578,2014-08-19,0,cEU4IbCouZ1IFwURJKRJRQ,"My favorite restaurant in Las Vegas. Almost everything I have tried has been excellent. My favorites are coconut soup, drunk noodle (different name on menu), kung pao, all curries, papaya salad. A must stop if you are visiting Vegas. A few miles west from the north end of strip but worth the drive.",XQ011N1KPmWuhOllmySvzg,0,0,5,LYt_-4ANFvzl6gJVAMGIRg
556878,2014-05-25,0,cEU4IbCouZ1IFwURJKRJRQ,"tired of burgers and kabobs ? Go there even if you dont have to eat halal food ! portions are great, service is great and the food is delicious !",y5650ee8fZbswWiCyxew-Q,0,0,5,8ho9_ueYdmVb2nDA6i55EA
631855,2015-06-30,2,cEU4IbCouZ1IFwURJKRJRQ,"This place is beyond bad.  Take my word for it now and just move on to the next listing on yelp.  Plenty of good Thai places in Vegas. 

We called ahead to ensure there wouldn't be a wait because we had a large party and also needed to make a flight so really didn't want to be delayed.  They said ""come on in, plenty of space!""  Well now I know why. 

Ambience:  dirty, old and crusty, and ghetto.  And no antiquate AC! Are you kiddin me? This is Vegas, in the summer!   
Service:  horrible, slow, rude.  They are slow but they won't admit it. That's the problem here, we are in a hurry to catch a flight, but we had more than an hour so we figured that's plenty. Wrong. They took our order, and said no problem. Waited 30 minutes before we got water. And kept assuring us that it will be fine, food's coming. 50 minutes in... Hmm... Now they finally come and tell us that they don't think they can help us meet our flight time.   Wtf? 

Thanks a lot, aholes.  TL:DR: stay away.",Mu-iO6zO_tFtDAfq5XWnVg,1,1,1,mt3xeEK1esQs6bysTcKe3Q
