,date,funny,business_id,text,user_id,useful,cool,stars,review_id
1167819,2018-06-27,0,ch_XGu7FpwGKp9m8Xy4vPA,"I'm so glad Centennial finally has some good Asian food!
Had the fresh rolls and enjoyed the fresh veggies used and the added bit of crunch.
Penang curry was delicious as well.

I hope you stay around because we need your restaurant here.

To the lady in the Hemp hat and man-beater workout top that came in with the baby and talked on the phone the whole time while playing with your baby... please remember this is a restaurant and not your personal playground. This was the only bad experience.",IRMEgNiP4IMRqw8i00ZMug,0,0,4,KUGNtpbzpVpQKpYU8o0iCA
1392434,2018-06-23,0,ch_XGu7FpwGKp9m8Xy4vPA,Seriously if you want some tasty thai food come here. Not only they have delicious food and also great service too! So happy to finally have a great place to eat near our home.,OUwpuK-6VCmYbsh4OnEOgw,0,0,5,IrJZBJB1EsA1U_Di2pueAQ
1466659,2018-06-30,0,ch_XGu7FpwGKp9m8Xy4vPA,"My husband and I were so excited to try this place but, we had to walk out after being ignored. The hostess sat us and no one after that acknowledged us - we sat there for around 15 mins before we decided to go eat some place else. I noticed 2 other tables next to us were impatiently waiting to be acknowledged, as well. 
They can't blame their lack of staff because there were tons of staff on hand walking around aimlessly not even looking at all the people waiting to be helped. I would NEVER waste my time here again. I wish I could give them a negative 1.",NIMcG6zcweRYfDdnRF9MSg,0,0,1,iJORXkt-E95TCQcjIQT0pQ
1504880,2018-06-28,0,ch_XGu7FpwGKp9m8Xy4vPA,Fantastic addition to NW Las Vegas. Excellent Thai food in a friendly environment. Staff are super attentive and food is authentic- try the Tom Yum soup . We will be back,NJvdvd_8SLOPWl6AsN5nIw,0,0,5,nWkeRhB-wdbgwUKhlpu0Yg
1602977,2018-07-02,0,ch_XGu7FpwGKp9m8Xy4vPA,Tried this place for the first time and it was decent but not great. Item we ordered wasn't as described on the menu and when we asked the server she had no idea what the dish was even supposed to come with and she just shrugged us off. Staff needs to be trained! We will give this place another try. Food was good...service was lacking.,z_BxaQTQOWOKvs7tNq0JYQ,0,0,3,Ksg0TFt8uKnDIRGKtNB24A
2092363,2018-07-02,0,ch_XGu7FpwGKp9m8Xy4vPA,I can't see someone saying this was the best Thai food in town.  They just opened and will try to give them a chance in a few months.  Service was mediocre.  I got greeted with if your dining in the food service is faster than taking out. That was odd.  I thought the food was good but proportionally over priced compared to what you get. I found a hair in my Pad Thai. Other than that it was pretty good. The hair kind of grossed me out but it was a small hair.  I took a picture so not just a bad review.  I should be full after spending more than twenty dollars for two people. We did not. The side dishes were brought out with the appetizer and the waitress could not explain some of the dishes.  Overall new place. I usually wait but was in the mood.  If the good stays great I am sure all else will improve.,Sit86IZquugnpOpAg5fJhA,0,0,2,PjJfjEKRDTMEJRg7sfwHXg
2160382,2018-06-23,0,ch_XGu7FpwGKp9m8Xy4vPA,"I was super excited to see that they finally opened! It was delicious, nothing else like this on our side of town. The staff were super friendly and our food came out quick and hot. I am already planning what to order next (tomorrow?) gotta sweet talk the hubby.
Our spice levels were a little inconsistent as well BUT the food was fresh, hot and delish!!!!!",uwRWxZ4H4CZUADu1P5nRGA,0,0,5,UY7-oIRv8OHzbBhpqqppkg
2711347,2018-06-30,0,ch_XGu7FpwGKp9m8Xy4vPA,"We have been waiting for this restaurant to open. This is not Fast Food Thai. The food is excellent. If you have never had a Golden Pouch...to die for. Chicken Satay appetizer was very tasty. Curry whether yellow or green is just great but mind your spice, 2 is comfortable 4 is starting to sweat and after that you are on your own.  Rose the manager does great at keeping everything moving and the staff is super kind. This is not fast food so sit down. Enjoy your family and friends and make this a regular hangout!",FiTdi2PWCEbKy3USiuLNHA,0,0,5,QMrqIvCzMKNr4fUkigLErg
2733704,2018-06-27,0,ch_XGu7FpwGKp9m8Xy4vPA,"We ordered a thai shrimp fresh roll, shrimp pad thai (spice level 2), and garlic eggplant (spice level 2). The food was excellent! My only complaint is that the spice levels were nowhere close to being the same.  The pad thai was so spicy that as much as I wanted to eat it, because the flavor was good, I just couldn't handle the heat. I asked my server if they could do something about the heat level and was told no. We ended up wasting about 3/4 of the dish. But that won't stop me from going back again. I will just order everything no spice next time.",akxZ7hnGJnOZO9WQ5NySzw,0,0,4,H_wEJMfMD2jlc2tB3Xzhiw
2752820,2018-06-30,0,ch_XGu7FpwGKp9m8Xy4vPA,"Wow! I am finally excited about a NEW RESTAURANT! Amazing Service, delicious food and fabulous experience overall! Be patient and be kind to the staff, it's a new business with few kinks but well worth every second of the wait. Welcome to Centennial Hills and thanks!",bk1FO0BQbjZmMo3YdaTJHw,0,0,5,g4HcISEI0hH0TJESoXzkoA
2853126,2018-06-28,0,ch_XGu7FpwGKp9m8Xy4vPA,Went for lunch and had spicy garlic beef with rice. Friend had yellow curry. Food was delicious and we can't wait to go back for more! One of the best Thai places in the city!,q0XwDGgFHJllOS59PyeKZA,0,0,5,8sKcV2Q3jJRfeljlMAakHQ
2857059,2018-06-22,0,ch_XGu7FpwGKp9m8Xy4vPA,"Beyond delicious, great service! They also do take-out. This is what Centennial Hills has been waiting for!!",WNUjunzMVOIh5QwCbaGlqQ,0,0,5,ZxEXQqlo576bRFgkeT_OxQ
2896103,2018-06-22,0,ch_XGu7FpwGKp9m8Xy4vPA,"O-M-GEE! I feel like I've been waiting months for this place to open near my house. WORTH EVERY SECOND of the wait!! 1) They have fresh spring rolls... I could never understand why they are so hard to find in Vegas. They were perfect! The curries were AMAZE-BALLS. Thai beef salad took my breath away... literally... it was HOT but oh so good!! AND... Black rice berries... get it! 

And our waiter Miguel was awesome. I'll be back... probably every day!!",PRlvbYuQ8nmIYMs-e9cMLQ,1,1,5,zHfjWi-y7VXIFhDgmsH0Cg
3013051,2018-06-27,1,ch_XGu7FpwGKp9m8Xy4vPA,"Excited to try this place but it Quickly turned to 
A Bad TASTE in my mouth! Called and try to place an order for pick up but was told that their kitchen stop serving???? What was that all about? Can't handle heavy business? Why even open it if you can not serve your customers! Bad Business! Just Saying!",hP1QzAnBeL46Zy2S8IZxeA,0,0,1,hvJxDMsIJU-oAada9ry1SQ
