,date,funny,business_id,text,user_id,useful,cool,stars,review_id
62884,2016-06-17,0,dNjgjAoJSJsvgc5g6nQnnw,"Been here before service/food is usually  great. Just walked in, there's about 5 customers waiting, no cashier. Finally after 5 minutes cashier comes walking from back still on the phone and says "" what do u want?"" Wow, really??!!! Then he was talking and almost forgot to give me my $14 change!! When he did and me my change the wasn't even looking at me and instead was turned around joking with the cook while talking in the phone!! Come on man!! Someone needs to do some better hiring!!",MrgrBZBe9Fix0oGncpYTAQ,2,0,2,_kvSDCzay0ZtUTVMibyYmQ
98409,2016-07-26,0,dNjgjAoJSJsvgc5g6nQnnw,"This place is getting worse portion are small and is very expensive . 
I don't recommend this place",oISUDb8Zl0b-GoUPb1rUaA,1,0,1,OsH8pFPemEGO6HnJJelQ_g
118595,2011-01-26,0,dNjgjAoJSJsvgc5g6nQnnw,"Wow... What more can I say. Anybody that has been to any of the Roberto's locations around town knows that they will be served a fast, fantastically tasting meal in the tradition of real Mexican fast food with a price that can't be beat...",40Vpg-rQZyQ02JxX1fdpyg,0,0,5,zyZg-QVfDB4cKmsaZn9VWQ
187753,2015-03-13,0,dNjgjAoJSJsvgc5g6nQnnw,The staff was kind a portions were large. Have amazing salsa and hot sauce. Really fresh ingredients with amazing punch. Food was cooked to perfection and prepared quickly. In and out in 30 min with three orders,ZRWuApxMmfVP0eMYKmCOyA,0,0,5,A4aHFFoelXEXze-0YCDVpg
322077,2011-01-31,0,dNjgjAoJSJsvgc5g6nQnnw,"Friendly staff, quick service, and always an excellent meal.  No complaints.",qkBia2d2CMXkzIm5dogCHQ,0,0,5,Kt6SbgkOt9vFJ9BCBxQqmw
359111,2017-09-09,0,dNjgjAoJSJsvgc5g6nQnnw,"Food is Fantastic,
Large Portions,
NEVER do you leave hungry...
Best Mexican food in Las Vegas...
Would give 10 star if I could...
HIGHLY RECOMMENDED TO ALL....!",7HyvSVLlnUe-I5MswzYrUw,0,0,5,erPU7W7BKsaFYJWKBC8yog
449895,2017-08-31,0,dNjgjAoJSJsvgc5g6nQnnw,"Awesome tacos. I ordered 4 thinking they would be the small street tacos. I was wrong. They are at least twice that size and packed full. Great food, great value. Will definitely be going back for more.",KrGt49E6ZhB45WUZ3pTC9w,0,0,5,VZsYzMHaOavG1E9qQrTjsQ
562878,2015-04-05,0,dNjgjAoJSJsvgc5g6nQnnw,"Wow. That lady is so rude. Food is good, but that lady has the worst service ever. She is always angry and has a dirty look on her face. She is very impolite and makes you not want to come back again.",IkE-1dqCKjIyseZLl8MRjw,0,0,3,QQMVMXeiIsOWTDACt6E4xA
738563,2016-11-29,0,dNjgjAoJSJsvgc5g6nQnnw,"Love Robertos!  This is the food i miss living a long plane ride away.  I go to this place every day at random hours and am never disappointed.  Great folks working there that are awesome duringa rush or when slow.  Food is served quickly, hot and once i start i am unable to stop eating until all my food is gone.  I will be dreaming about their food!",P1vtRb7c8EIiySFPczA-ng,0,0,5,9HZzDJ9xRGXP6mh49dbRoQ
1200630,2013-01-25,0,dNjgjAoJSJsvgc5g6nQnnw,"This place is always fresh, friendly, and unbelievably fast!  Sometimes I get my order before I'm finished at the salsa bar.  Carne asada is great!",cfELcdFUHG1qHeZGxUGbvw,0,1,5,2BjpZMQRHe7PmBxGIilIMQ
