,date,funny,business_id,text,user_id,useful,cool,stars,review_id
91977,2014-08-24,1,dVbZ0xbkwl8BWiqaDS0t-w,"This was my second time here, the service was dismal both times. We went in for the appealing happy hour, however we were not even offered a menu. 

Crystal the bartender appears to me miserable with her job. From a business prospective it doesn't make too much sense not to refill Customer's glasses. Putters management should be embarrassed by the service offered at their establishment. The DMV offers quicker, more friendly service.  

After having an empty beer glass for 20 minutes I decided that it was time to cash out go to a bar that appreciates having Customers",pzk2_c5clOJH2CwxylUdEA,3,0,1,_biRwfktHz7n32C5AN9bWg
167357,2015-08-11,0,dVbZ0xbkwl8BWiqaDS0t-w,Great local place that's big but feels comfortable. Awesome bartenders and the drinks are well made and reasonably priced. Haven't tried the food but will soon. Definitely recommend this place to anyone.,6x-hRigwuBQPgWdjWNmAWA,0,0,5,6M_lYnao0yEwdmHHKDDQBQ
258052,2011-03-04,0,dVbZ0xbkwl8BWiqaDS0t-w,"Service is okay, inconsistent though. Not crowded at all during the mornings so it's a great alternative to the weekend crowd at IHOP. Got the club sandwich with fries for $8. It was huge, brought home half. It was good. 

In 2009, I tried the fried panko jack cheese. Never, again.  It made me and my guest sick... bathroom sick.",f5IFcFHro5_fgXDFTs6khg,0,0,3,oSev4tISzzVu5dojA-lJqw
291893,2013-06-03,3,dVbZ0xbkwl8BWiqaDS0t-w,"I've been frequenting this bar for over 2 years now. There are a couple main reasons I love it. First and foremost, Kyle. He is by far the BEST bartender I have ever met. He makes each visit fun, and exciting.  It's a chill place to relax with many familiar and friendly faces. 

Gavin is also great, I usually avoid the evenings when they are not present, at least when it comes to good service. 

Food? I love it. Typical bar food items to choose from, but it's all really good. Pizza is amazing too, try the Greek Pizza!

The trouble I have with Putters is...I try and stop in for  a drink or two and end up staying, and calling a cab! Kyle likes to make different drink creations that are to die for. And if you are a fan of bloody mary's?? You MUST try Kyle's. Delish! 

I'm almost embarrassed to admit, but when I made a decision to move back in Nov, I chose my location in part, large part, due to this bar. :) 

So yeah, I like it. Stop in, give it a try. I recommend Tue, Wed, or Thurs nights ;)",RKMpQsjuQxw_nyiux91PZw,4,2,5,A54LkecfwjUlQNBYxtngrA
344524,2015-09-04,0,dVbZ0xbkwl8BWiqaDS0t-w,I used to love this place till they changed the kitchen over. The new food is nowhere near as good as what they used to serve. Don't think I'll be back.,1uWDVQjqJ89AqAVErBidqA,0,0,2,3br0eLr-GmhrKV1_tRFOJQ
481514,2014-05-20,2,dVbZ0xbkwl8BWiqaDS0t-w,"I'm not a big video poker tavern guy -- so the bar side of things is left out of this review. I do like coming here for a quick, inexpensive breakfast. Service is friendly and accurate. The food is cooked correctly, though sometimes it takes a little while. I've usually arrived in the mid-to-late morning and been served immediately. For food alone, expect to pay $8-$10 a person for breakfast.",S8nyk8xt0MHrdwilzCKjgA,2,1,3,gj_L2xsoVM07O3JfiqE2mg
609456,2016-11-12,0,dVbZ0xbkwl8BWiqaDS0t-w,"This bar is perfect is just want to relax, have a few drinks and gamble with a cool bartender.  Brian is awesome!!!",aN76E56b3Ji7gOm34i3Fcg,0,0,5,MPwVrHjy_ArVEhWirlB43w
913615,2011-08-29,0,dVbZ0xbkwl8BWiqaDS0t-w,We went to this Putters with the children last nite.  It was not very busy so we did not have high hopes for good food but decided to go ahead and try it.  We were pleasantly surprised.  The service was good and the food chef Mike made for us was delicious.  Everyone had something different from sandwiches to pizza and salads.  It was so good and everyone loved their food.  We will definitely be back.,CEk377b64ypxMEDDaTyjsw,1,0,4,xKzaWm9gQPc52wS69PjFkQ
1032408,2011-03-19,0,dVbZ0xbkwl8BWiqaDS0t-w,"The Durango's Putters is the best. Great food, drinks and fast, friendly, service. Nice laid back atmosphere with friendly customers. Gaming/Sports bar with restaurant. Haven't been for breakfast, but dinner and apps are consistently good and inexpensive.",DR9_7oDXibAbI0gVOrbD7Q,1,0,5,2B-5drf-NgleMWlj1_qyAQ
1051606,2012-04-17,0,dVbZ0xbkwl8BWiqaDS0t-w,"Fair pricing, solid food and decent atmosphere. Good service also. They also play a trivia game here Monday nights",Yy955Mm2QeQI9qo7jPhXXg,0,0,4,U6-b9V17urxQBbWnUXKvxQ
1052205,2016-03-20,0,dVbZ0xbkwl8BWiqaDS0t-w,"This is my second time here it's a Fun spot to chill play Darts pool and shuffle board 
The bartenders are fun and energetic... Really nice and helpful",TbJdwoPLE05I035UW4b5Yg,0,0,5,08I5kjbwyjG1W-fIQRUVWA
1128605,2017-05-12,0,dVbZ0xbkwl8BWiqaDS0t-w,"This place is so sad. Never been to a Putter's before, so I walked in not knowing what to expect. But I certainly didn't expect to be the only poor soul in the 'bar'. 

No activity at lunchtime. Waitress looked so bored, I felt bad for her. Video poker machines looked as if they were purchased from The Stardust implosion sale. And overall, the place was simply dark and depressing. I don't know how else to describe it. 

Played for a few minutes while I ate and then couldn't take it anymore. 

Left ASAP. 

Won't return.",p0bFXiCCXzVcrZeNJV4Lrg,0,0,2,GXn_VZjBSW0Zhip0wG_Rkw
1328542,2016-02-16,0,dVbZ0xbkwl8BWiqaDS0t-w,WARNING tall blond bar tender saidThey don't comp any drinks that aren't well. Only beer. Can't get a jack n Coke or anything. She said doesn't matter if u play 100$ still can't comp. new rule implemented since a week ago. Then she went to the bathroom while smoking a cigarette.. Uh no thank u rather go somewhere else..,EwG1mX7YBSw-N4MjDkCvpg,2,0,1,CjQ42D9SAEjX_SQ_nUOjTA
1549144,2017-06-01,0,dVbZ0xbkwl8BWiqaDS0t-w,"Rolled into the immediate area on a mission.  After much success, I chose to meet with a buddy at this particular location. 

Walked in and found a relaxed location with one bartender coming off shift and another coming onboard.  The transition was seamless.  The beers were never neglected.

Rest assured...that if I ever purchase from the nearby sister property again, I am gonna compliment said purchase with a tasty barley soda.",HJj82f-csBI7jjgenwqhvw,4,1,4,NvUcNPW7K2Zvz3F_V0Au2g
1604789,2016-09-26,0,dVbZ0xbkwl8BWiqaDS0t-w,"This is such a consistently great local bar. The food is amazing and there's plenty of gaming for the gamblers but darts and pool tables too! They've really done such a nice job with the upgrading, very inviting. Definitely hit this place when Lemon is bartending, he's great!",ytsz3KGny2NoWxPepTOqTA,2,0,5,Z_if9ytTUgxGBpEQCLSQ4Q
1659626,2014-02-11,0,dVbZ0xbkwl8BWiqaDS0t-w,"This is a great local bar with great food, there staff is extremely friendly and provide great service. If your looking for a good local bar to go relax and watch sports events this is the place to go...",2Yvam0hTZte4nqjsqyYNqQ,0,0,3,8BTYYh7QbaxLpqEO-KMzZQ
2047172,2015-05-01,4,dVbZ0xbkwl8BWiqaDS0t-w,"My husband had been raving about some sliders he had here a while back so we decided to stop by on our way home from the movies. 

We walked in but weren't greeted, we were just asked if we were 21 and asked to present our ID's which we did. After that we were told we could sit wherever we wanted and the bartender took our drink orders, she was not friendly. 

After a few minutes, a waiter emerged from the back, the bartender asked him to bring out our drinks to us, he placed them down and handed us menu's. My husband said it wasn't the same menu as last time, so the waiter mentioned that they had just moved into the kitchen, so it's now Tony Big's Pizza N Pasta, serving food inside of Putter's, he also said they weren't accepting debit at the time, only cash. We still decided to order anyways. 

Item's Ordered:
-Chili Cheese Burger ($7.75)
-BBQ Crispy Chicken Sandwich ($8.99)

Our food came out quick and piping hot. The fries were crispy, plain, but still good. My burger was good as well, the patty was seasoned well, it was juicy, and the bun was soft and fluffy. The burger was topped with shredded lettuce, string onions, mozzarella cheese, and chili, which also had good flavor, but I felt that it needed more chili powder. I didn't try my husbands chicken sandwich but he said it was great, messy though so beware. Our waiter was very friendly, checked up on us to make sure everything was good, he was very attentive, and brought out condiments before we even received our food. Excellent service, good food. As for our beverages, the bloody mary I ordered from the bartender was good but as I stated before, she was not friendly, nor was she attentive, so hopefully next time we come in, there's a different bartender. I'm only rating 4 stars because of the restaurant, but I'll be back because I want to sample more food on the menu.",RUa2_2yuSwJtU7sTXz-omA,7,8,4,9FHgAGKA2z5fCYiMULyPEQ
2088480,2016-05-16,0,dVbZ0xbkwl8BWiqaDS0t-w,"Came back after moving away for 3 years. Used to frequent and love this place. Now, bartenders are outright rude. TV's weren't working both times. Food is mediocre and outsourced to another company. New layout is awful. Spent a ton of money here over the years. NEVER AGAIN, not one dime.",cNWf1mWOa6NAkGu-18CEGA,0,1,1,2zLGEe9E8Wnt2lr7KVJiNA
2129510,2009-07-26,0,dVbZ0xbkwl8BWiqaDS0t-w,Great place for the post-swing shift crowd. Be warned: Gavin is really good at his job. You might come in for a quick drink and leave f***ed up,VTYJReM6boZciv220E5liA,2,1,5,6Nf593AIW2e_8tZUjcL5tg
2314653,2012-01-06,0,dVbZ0xbkwl8BWiqaDS0t-w,"Great bartenders, average ambiance, typical bar food, which isn't bad, nothing stands out for me here, just the friendly staff is the sole reason I come here.",LNLMsRqQ3Rx9VzJ7LbaRkQ,0,0,3,no5iXDx2SoxSKNTVk3AZZQ
2549723,2012-11-25,0,dVbZ0xbkwl8BWiqaDS0t-w,"The bartender misses behind the bar made me a yummy bloody mary! Haven't had one in years! It was amazing and I got it for free with playing double bonus poker on her bar!  This location is spacious, good for get togethers to play pool, to have a nice mellow drinking night,  good atmosphere, good people, good food! I will visit in the near future when I make it back to  Vegas...my 2nd home that I love!",QRcMZ8pJJBBZaKubHOoMDQ,0,3,5,C0opRAhyCsYfSUN6EHY1Zw
