,date,funny,business_id,text,user_id,useful,cool,stars,review_id
13297,2017-09-09,0,dWw7M_JsAVUprR86--89ZA,"Delicious food. Great customer service. Clean bathroom. Got the Moo Woo combo, about $53 but comes with Rib Eye. All other cuts of meat were also awesome. Host cooked the meat right in front of us, and right to our requested temp. Great experience and even better representation of Korean BBQ. We will be back!!!!",f6azlWa_7rHHLeOWDhaYrg,0,0,5,ccHCAgrjyFtpTiaNsAtMLg
14491,2016-12-15,0,dWw7M_JsAVUprR86--89ZA,"So nice to have KBBQ on this side of town! The Woo combo was delicious and fairly priced and the service was wonderful. Will definitely go back, such a great meal. Thanks Moo Woo :)) Maybe the North West is finally getting better.",lOoswpHC0woLDPDnAmGUtQ,1,0,5,ah44ltz3NJkFS5qpffh6cA
33916,2017-01-28,0,dWw7M_JsAVUprR86--89ZA,"Our first family dinner here, and definitely not our last! The food was great and plentiful! Our experience overall was top notch. The owner took very good care of us, and her wait staff was attentive. But the meat... mmmmmmm mmmmm! Flavorful, perfectly marbled and tender beyond belief... perfectly accompanied by the sides. The price was just perfect and a great deal for a hearty and fun meal. My family and I give it a high recommend!",kmC8nIGdQeLUOBCgRDzS8g,0,0,5,JYzsITLYNjM7bCTP6bJyCg
63126,2017-03-11,0,dWw7M_JsAVUprR86--89ZA,"Tried this place out and it was delicious! We don't have to travel to Chinatown to get our KBBQ fix. It's a simple place with all the good food. We had the Moo Woo Combo for two of us. It was plenty. They picked a good combination to fill our stomachs- rib eye steak, beef brisket, pork shoulder, pork belly, and sweet chicken with many sides such as kimchi soup, salad, and egg soup. In addition, the Cass Korean beer is only $8 and the staff is superb and friendly! We will definitely return again soon.",Z7JMhAYRgJjck2nkf88C8A,0,0,5,7EU0cpId0P5xDKVGAzC4Jg
64704,2017-07-14,0,dWw7M_JsAVUprR86--89ZA,"Authentic Korean restaurant in north Las Vegas, the LA Galbi is honestly better quality than most places in Chinatown",XQ96HKrX9hZf9IJgKsVfzw,0,0,5,Zt5p_cXr4aIXTvX7uZaDzw
64750,2017-01-17,0,dWw7M_JsAVUprR86--89ZA,Finally! A Korean BBQ place in North Las Vegas! Awesome food and awesome service! No more driving to the strip for BBQ! Must try and experience yourself!,NhNwvhZFCmZlJktJ3SbpUg,0,0,5,Ssls6mHZhrqRNCYebaa4_g
100100,2017-07-23,0,dWw7M_JsAVUprR86--89ZA,"This place is amazing. I visited a few months back and my server, Mackenzie Bouddhara, was AMAZING. He explained the choices on the menu, recommended customers favorite, catered to my table frequently with friendly service and upbeat personality, and even helped us cook our food.

The place is conveniently on my side of town. The food was so delicious and my service was beyond fantastic. The only problem is that it is not all you can eat and it is very pricey. I definitely recommend for a special occasion though!",UKHs5O6rJOTLKFH1cozFSA,0,0,4,mBuzXZs9lWtr_YzjiwcHyA
154067,2018-01-02,0,dWw7M_JsAVUprR86--89ZA,"We sat the middle of the crowded tables, they brought us a bowl of soup without any smaller bowls that we can share, but other customers got it just besides us. let's see others. Slow service, we had to pick the meat up by ourselves cuz the meat was almost burnt while she came over.It didn't bother me to continue to eat without any sauce, or dipping plate even though I saw other customers got those too. The point is I got SICK after dinning there, not only is my illness, but also my heart. You guys truly let our good feeling about Korean barbecue gone from now on.",drYphS197eGYHUrssa5CHg,2,0,1,T1wpMNzczX3XHaI1NAXIyQ
176131,2017-12-14,0,dWw7M_JsAVUprR86--89ZA,"More formal than the Korean BBQ that I had in Tokyo where it was a chain like Denny's.   The service was great, the food was great, and the price was not too bad.  My son and I had a great meal and interacted with someone who said he was the dishwasher, but I think he was also an owner because he really wanted us to understand the meal and enjoy it.  I would eat there again.",FjQzomKkljKgBC5mQNNysQ,0,0,5,yAXFxQTHPIk9_lw0mgs7IQ
182287,2017-03-25,0,dWw7M_JsAVUprR86--89ZA,"Staff is friendly, restaurant is clean and meats are delicious. It's nice to have a Kbbq spot here in the neighborhood!!",0TP55vcKGr_XqwjbMLN__g,0,0,5,d8Q-XzX8e0v524DPGSU3Tg
