,date,funny,business_id,text,user_id,useful,cool,stars,review_id
169602,2018-01-05,0,d_N_4ZwgzQjI-J0iEfM5CQ,So sad it wasn't better. I at least hoped it would be adequate to Panda Express... not even close. Don't waste your $15 on a plate here.,d-G7RRfI_2u799AAOrNaHA,0,0,1,SaVydjPf4bn8XG_HlGibWg
638417,2017-01-15,0,d_N_4ZwgzQjI-J0iEfM5CQ,I LOVE Rice but this rice was nasty gross. And was deffinetly NOT worth my $15. I had to force myself to eat it after spending that much on a very small portion. I didn't even get $15 worth of food. Don't waste your money!,sec_72MjQnif4OvsqJ2pUA,0,0,1,GKPeVmbpfLpiWsr3L092OA
1182120,2017-09-26,0,d_N_4ZwgzQjI-J0iEfM5CQ,"I should have looked at yelp before I went here. I was just so hungry for Asian food. Well. This was a huge mistake!  The food is not good, barely Asian and, well, just not good.",qDX7K4F8IdEsj5G-9pNsHg,0,1,1,D57uFXfDpYQ50MmAAG3LNw
1287601,2016-07-14,0,d_N_4ZwgzQjI-J0iEfM5CQ,This place sucks.  Avoid at all costs.  Crispy shrimp was soggy and chow mein had no taste at all. Would not recommend.  Adding soy sauce did not help.,E_wiv7ylmiqYxImObGpq1A,1,0,1,6PchXPClBJSanmTExRdn3g
1739731,2016-11-14,0,d_N_4ZwgzQjI-J0iEfM5CQ,"I wished I had read the other reviews before I dined here. Bad food, horribly overpriced. Panda Express is 10 times better at half the price.",amnpWFhVCW-AYekbkCxFow,0,0,1,owW1ZCLSBXtk3WImINPRsw
1754765,2015-09-19,0,d_N_4ZwgzQjI-J0iEfM5CQ,Don't do it!! In a moment of weakness during Interbike I chose this ridiculous place for a quick lunch. The most disgusting food ever. The ginger chicken lacks flavor as well the chow mien and fried rice.,6CoirPrzxe7u3re7JPwFsQ,0,1,1,FDV9IyJvO9Wh1QXTwcxvgQ
1838228,2017-07-01,0,d_N_4ZwgzQjI-J0iEfM5CQ,"Total waste of money don't recommend to anybody. Panda Express way better than this generic version.
Small potions soggy ginger chicken noodles tasted boiled nothing is flavorful wished I check d the reviews here this business should be closed asap.",FpCrpQlQza_7TnWySeBRqQ,0,0,1,VZGHgfoDFfGD7lwJJvqwyA
1864592,2018-05-09,0,d_N_4ZwgzQjI-J0iEfM5CQ,"Don't eat here. Horrible staff and stale food. The server made sure some meat falls off the serving spoon before scooping it to my plate. Stingy portions. Also, their placemat tray has a 50% off coupon that they will not honor. The cashier says to bring it next time. They didn't give me a receipt either. Shady staff.",nQ-FnnSak56fCLhzYTDPyA,0,0,1,-T1bp-n_heVmj6P0zIjRAg
2817007,2016-08-22,0,d_N_4ZwgzQjI-J0iEfM5CQ,"Wasn't too hungry to go to a buffet with friends so I joined one friend to the food court - I wish I spent $25 at the buffet other friends went to or just opted for the $7 Subway sandwich my other friend got at the food court with me. Instead I wasted $19 on a bowl of Orange Chicken and one Blue Moon from here.

No where close to Panda Express's food - the veggies looked good as well that I had along with my white rice and orange chicken, but they were not tasty. Chicken was kind of soggy and not very flavorful as well. I didn't even finish my small, over priced bowl. Do not recommend!",506keshsLa102eajCtaZ_A,1,0,1,niE7hNc000VazTYBNR57bQ
2889046,2015-09-22,0,d_N_4ZwgzQjI-J0iEfM5CQ,"I don't like leaving bad reviews, but I just hope the owners take it as constructive criticism. My orange chicken was okay. About half of my chow mien was dry, and almost crunchy like. It was not worth the $13 I payed. And I ordered food around 6pm, so I would have expected it to be more fresh. I was excited expecting good quality at least like Panda Express considering that it's in the Manalay bay but no...",JZV0xqrHk0czpSZKGAEr9Q,1,0,1,Lssu3jyE2ZsH5D6Lt9w_EQ
2919798,2016-06-06,1,d_N_4ZwgzQjI-J0iEfM5CQ,"It should def be closed. But unfortunately, for those attending a convention, this joke of an establishment is still open. 

I am sad I just wasted $12 on a poorly copied version of Panda Express. I get it, the costs will all be expensive here in Vegas but the portions are just sad. And the meat is dry, the veggies taste depressed and who can't properly cook rice?? The rice was mushy, too much water or hadn't been cooked long enough. 

The people working could def afford a smile but probably not when they hate their job. Stingy portions. Overpriced. I hate their font choices. 

Only thing you should get here is beer.",qjsboWxpJVtqUu-D14SNWw,1,0,1,r8LOUoMhuqVTiQcKWtEWQQ
3312184,2018-03-24,0,d_N_4ZwgzQjI-J0iEfM5CQ,The fried rice I thought was pretty good. The orange chicken could be more seasoned it was a little bland kind of like microwave orange chicken. But it was alright.,6oPbJ5mPyZY_yQ-JY8iOjg,0,0,3,HYuLlfBwbJ6u0b7Ihb4qGg
3401532,2016-07-18,0,d_N_4ZwgzQjI-J0iEfM5CQ,"Disgusting food, tiny portions and rediculous prices. $30 for 2 horrible meals, are you kidding. Go find a panda do not waste your money here",6GUKnS44zgbqEOUHD16pqg,0,0,1,vf5cvIjzwnzeuiknC795Mg
