,date,funny,business_id,text,user_id,useful,cool,stars,review_id
97662,2016-06-22,0,dj6nbGIqguJDXgz49nmFBw,"I rarely ever write reviews, but needed to share my experience with this location today. 

I've ordered from this location on numerous occasions for delivery and carry out and normally don't have any issues worth mentioning. However, today was different. I used the app to place an order for delivery today around 5pm. The confirmation stated my order should be delivered by 5:40pm. By 6pm, I was still waiting on my delivery. I called the location to check the status and was told the driver left at 5:23 and should be at my place by now or soon. I live very close to this location(4 minute drive according to the Maps App). The delivery guy arrived at 6:10pm with only HALF of my order, which was barely warm at this point. He apologized and said that he would return to the store and have my missing food remade and deliver it fresh, but I never saw him again. I paid for a product that I didn't receive, and the store did not try to correct it. I contacted Pizza Hut's corporate customer service hotline and was only offered vouchers (to be delivered by regular mail) for a free pizza to try to compensate for the error. This was a huge customer service fail. I won't be ordering from this location or possibly any Pizza Hut location anymore.",u3d7tqiK2VHAhXlmO_cVig,0,0,1,92qpgLYNAmGaaYL_erQveg
559469,2016-09-25,0,dj6nbGIqguJDXgz49nmFBw,My family and I went to order a pizza for carryout. The manager upon hearing my husband was in the military came out from the back and personally thanked him for his service. Such a genuinely friendly staff at the Rainbow location.,fqhyYIbpC09m5KXnFnilcg,0,0,5,NRIORTrPjSSEsgCgkrLd0g
811806,2015-10-30,0,dj6nbGIqguJDXgz49nmFBw,Ordered a pizza online to be delivered to a friend who just had a baby. He put $0 as a tip because it wasn't him paying for it and they put a 1 in front of the 0 giving themselves a $10 tip. I called and told them about it and have yet to hear back.,ZcykwbeEMTtxfUp6PPiiLg,2,0,1,iwRSHCB5yg8Mah2vWzYYLw
965012,2017-08-06,0,dj6nbGIqguJDXgz49nmFBw,Ordered today and said is ready but actually not......food is as usual....but I went there like 20 mins after ready time just to avoid any waiting time on the order.....still made me stay there almost 30 mins saying need to make sure all orders are right......but it's Pizza Hut...what do we expect....,qU2HXSPSnS-L0uJeqAeY3A,0,0,2,YMTKY-Mq7BYlv17ffpLL6g
982423,2017-04-18,0,dj6nbGIqguJDXgz49nmFBw,"Just did a pickup order and the guy who answered the phone and took my order let me know of a deal and saved me a few bucks (always appreciated!). My order was correct and made super fast (15min) and the women working the front counter, Anita, was so sweet and friendly. I'll definitely be returning to this location. It really makes a difference when the employees are nice. People return to places with good customer service!",72MFMTNp6nd31APzHe3xFQ,0,0,5,BEYYM-yrDrug_A_lSM6G8Q
1081783,2018-05-16,0,dj6nbGIqguJDXgz49nmFBw,"I would give this store zero stars if I could. I tired to order online using their $7.99 large two topping online only pizza deal. I chose to order a stuffed crust pizza so it added $2 to my order and my total came out to $9.99. When I went to checkout it said that I couldn't order for delivery because the minimum is $10 and I was a penny short. 

I called the store and at first they said I couldn't order a speciality like stuffed crust and I had to do either pan or hand tossed. That made no sense because my order total would have been even cheaper but I tried anyways and guess what? Same error saying I needed a $10 minimum. Then the person I was speaking to, Agusto, said it was their policy that it had to be $10 for delivery. 

I asked to speak to the assistant manager, Nicole, and she told me the same thing that it was their policy. I asked her why that special was even available online if I couldn't use it and she just kept saying that it was their policy that it had to be $10. I told her if they could deliver I would give her the extra penny to make it $10 but she refused, said I had to order more food, and then hung up on me. She was extremely rude and unprofessional and I sincerely hope she gets reprimanded by the store manager. The funny thing is that this same thing happened once in the past and when I called they promptly said they would deliver and then add the extra penny. Apparently in the last two weeks their policy changes??? They have just lost a loyal customer all for a penny. How sad.",xoy8t-42KLPOMT_u0EX3vw,0,0,1,2OJ2wKTb_R2VGs0Pkcn5iQ
1088245,2015-06-23,0,dj6nbGIqguJDXgz49nmFBw,I went to this place June 21st 2015 the pizza was dry the bread was dry the employees seem to be lost. It was horrible I normally don't go out of my way to write a review but that's how bad it was don't waste your money I will never go there again.,szLuemwSIP2YwVWFGtAg5g,1,0,1,MFDnI178aAXr6zTJkTfOzw
1135292,2016-05-08,0,dj6nbGIqguJDXgz49nmFBw,"Ok, I never write Yelp reviews but this got my blood boiling... Worst service ever!!! 

I called in to order a pizza for pickup, when I arrived nobody was up front.. I waited almost 10 minutes at the counter trying to signal someone to come up (you'd think if knowing someone was coming to pick up an order, someone would be at the counter). After trying to signal multiple delivery guys who were walking to no avail, I literally just started shouting to get someone to come up, as I could hear the conversations the workers were having in the back. 

When I did finally get someone's attention, two people came out and half apologized. Thanks. Never going to this location ever again.",tu5_klECRM4vTyqmZKI0zw,1,0,1,Ks2acsoo9y3b7uiDlBE7Gg
1219542,2015-10-19,1,dj6nbGIqguJDXgz49nmFBw,"Horrible Service!!! Pick up time was 7:40 and we didn't leave till 8:05. They told us our pizza would be out in a couple minutes so we waited, after waiting for 20 minutes the girl pulls out the same pizza that was sitting in the warmer when we got there. Idiots!!!!!! I didn't want to ask for a fresh pizza because they all looked like the type of people to spit in your food after complaining. After getting home pizza was cold. What a waste of money, I will I never go to Pizza Hut again!",U2UsDRoXk4SAEutym-lEAQ,2,1,1,FXRhaGwF5NZFqP5Cv7tHhw
1396389,2017-06-18,0,dj6nbGIqguJDXgz49nmFBw,"Last time we'll be ordering from here. Pizza was luke warm at best, wings tasted awful and had no sauce, I literally had to take hot sauce from home and re-toss the wings. We asked for the brownie and they brought us the cookie that looked like a 5 year old attempted to cut it. The pizza was barely cut as well. Had to take our pizza cutter at home to cut it. Not to mention, the update said the pizza was leaving Pizza Hut around 9:15 and it was delivered after 10 pm. NEVER AGAIN. This Pizza Hut is HORRIBLE. Surprised Pizza Hut management does not pay attention to how awful this location's reviews are. Or maybe they simply don't care.",yiARUkC0DORf2IGsSwAAMA,0,0,1,u2rwst8tRHNZA_bLgR2XDg
