,date,funny,business_id,text,user_id,useful,cool,stars,review_id
1508,2014-06-30,0,dm6sO_Y8JdKTE1ZM955yug,"What a surprise! Came here from a recommendation by a friend, and it lived up to it's rep. It's got a nice, trendy, modern sort of atmosphere, and combined with tasty Thai fusion (I don't know if I'd call it 100% traditional) - it's a definite hit!  We'll be back again",dl69uaA2E0Ee2x7kyhNWQA,0,0,5,qhLs2cOFyLYT_m2PKPxKJg
9669,2015-02-05,0,dm6sO_Y8JdKTE1ZM955yug,I love this restaurant!  It might be my new favorite in Vegas. I have brought two of my foodie friends and they both LOVED the food!  The crispy duck panang is just awesome !,itq2rZhg9VmQCCibeLdGSg,0,0,5,WVRfQDgipmKstvlA6T8xdg
47334,2015-10-19,0,dm6sO_Y8JdKTE1ZM955yug,Dwayne is really great and the food is excellent!!! So delicious every time! The spring rolls are my favorite. It's a small place so service is always great. Chada is a hidden gem.,X-UVC0VsJCiyEBfEhPOG1Q,0,0,5,7XTvV0_PAduhwk9GjjUtvw
57695,2013-06-06,1,dm6sO_Y8JdKTE1ZM955yug,"Its my Lotus of Siam on the Westside, but much less crowded.  Drunken noodles, pad thai, coconut crab curry and lettuce wraps were all delicious.  Great, attentive service.",6tYqBlihK997ZAEuaC42Ng,0,0,5,Q3zBqvurDeMItOV5DbEqdw
72790,2014-12-19,0,dm6sO_Y8JdKTE1ZM955yug,"I still love this place but I had a couple small issues with my last visit.  I ordered my favorite dish, the fried prawns with curry, and something new, the duck curry.  The prawns were amazing as usual until I reached for the last prawn at the bottom.  It smelled really  foul and was blatantly bad.  It's forgivable but it was very unpleasant.  The duck curry was very good however, it was very small .  It was portioned as an appetizer and was lacking for a $20+ entree.   Still one of the greatest in town but it cost them a star in my book.",yctYv9E1rK6AYTx1FHU3gw,1,0,4,HFaypnseIQO-ZaTWkzKuXg
91385,2016-02-04,0,dm6sO_Y8JdKTE1ZM955yug,"GET THE DUCK PANANG. service is a bit slow, could've been better... food makes up for it!",QjaLohkH8c6Lyu5R3HYLTA,0,0,4,ZBtgWRl2PJciyOgvLNznxA
100140,2013-07-25,0,dm6sO_Y8JdKTE1ZM955yug,"First to arrive at 6 PM on Sunday. Quite a few more tables seated by the time we left. Nice decor, good service. More wine than you'd expect for a Thai restaurant at least as I know.

Compared to other Thai restaurants the flavors veer much toward sour and tangy much to my delight. Even the spice level was heat but much more than one note. The sweet and oily tastes that are normally very prevalent were more undertones. Usually I finish a plate of Thai food and there is greasy sauce on the plate. I love it when there is not.

My favorite - the lettuce wraps so flavorful with a tamarind sauce. The crab was overwhelmed but the other flavors made up for it. The rib eye salad was good with a lot of fish sauce as long as you like that. The stir fried pork was ground pork and I thought it would be pieces but good although surprising that it wasn't accompanied by rice or something - very spicy. I would definitely return. The sides were fresh and everything was presented with care.",voXU5A3FfOcXZ2VNsJ0q4w,0,0,4,RpOHm8fordKFbLeAVnf1wQ
100882,2016-10-28,0,dm6sO_Y8JdKTE1ZM955yug,"Worst service,complete rational discrimination.I hate the lady who served us and her attitude towards us.I hate to give rating.",0ZR1zaDCr2LUs1JfKUKheg,2,0,1,ylHaidqLMPb1NyI3jtRQIg
105348,2017-12-08,0,dm6sO_Y8JdKTE1ZM955yug,"Amazing authentic thai, off the beaten track!  Small cozy restaurant, strongly recommend.",fxbQEk72fYR9R2SyVyorhQ,0,0,5,8B5JqSSShrDnR0dF8Y66vA
108574,2015-08-08,0,dm6sO_Y8JdKTE1ZM955yug,I had the best curry and fried prawns here! It was so delicious that I went back the next day and tried the crab curry. Both dishes were rich in seafood flavor and extremely satisfying!,AHjL9W6zA4g_8rrI-zeAEQ,0,0,5,rRNdnfeC8sMghsB6i-vQJA
