,date,funny,business_id,text,user_id,useful,cool,stars,review_id
4296,2017-04-01,0,e2uWs-oYZ2PB4ybr-UhErQ,"Inside 99 ranch market. So worth it. Best vegan food in Vegas, made fresh after you order. Made with love",hNbf9zGQUkYtDD-xEEpFkQ,0,0,5,Y5rix908xJdEZG6bX8W-Rw
269208,2017-05-14,0,e2uWs-oYZ2PB4ybr-UhErQ,"Vegetarian fastfood with great desert. Must try their milk tea! All ""meat"" are vegetarian imitations, great for vegetarians and vegans.",dxePQcxFCU9fKBB95kPW3Q,0,0,5,oDz3Fvi10qc7cmH7SxHy9g
276412,2017-03-27,0,e2uWs-oYZ2PB4ybr-UhErQ,"Best vegan sandwiches by far, located inside the 99 Ranch Market. Get the vegan chicken sandwich, it's the best one. Really friendly  customer service, almost everything on the menu has vegan options upon request.",WElhFI1LVMBR6aOwjRZKHQ,1,1,5,zvHU4V_IHXz-fiqX5Wwk8A
351173,2017-06-12,0,e2uWs-oYZ2PB4ybr-UhErQ,"They are so kind and welcoming! It's inside of the 99 market. Yes, inside the grocery store. So, if you got lost looking for it - go inside the asian grocery store with the big 99 on it. Lol I had the hot wings and wonton soup; I swear to you this food is bomb! I brought my non-vegan friend with me and even he said it was really good. 

They even gave us a delicious free sample of basil tofu with rice (I mean don't expect a free sample of anything, but still I thought that was cool!) 

They have so many options, you're bound to find something to knock your socks off. I have a high tolerance for spicy food, but from what my friend told me, if the label says it's spicy, the label isn't lying lol. 

omg enjoy your asian cuisine - some of the food may appear to be TOO realistic, but I purchase the same vegan 'meats' online and it's amazing what can be done with some wheat gluten & soy. If you have any allergies, please let them know beforehand. Check out their menu online! You won't regret your visit, fellow plant-based eaters.  Peace, love, and happy eating.",xsL_K9_NBomMGbchZCMyhw,0,0,5,baBlZLR53mXZBEz9CHkbDQ
457722,2017-02-05,0,e2uWs-oYZ2PB4ybr-UhErQ,"My girlfriend and I decided to try this place out.
I got a veggie ""chicken"" curry dip with French bread.
The curry had an excellent flavor. We ended up getting two free veggie  egg rolls for checking in. The egg rolls were very good with a nice filling. Also had an excellent  Cantaloupe Boba smoothie.",bEzGTXJ8TYZOQher2pvRZw,0,0,5,P4_jYmppeIuEQtt7kfE4SA
760154,2017-08-29,0,e2uWs-oYZ2PB4ybr-UhErQ,"Excellent, the cleanliness is shining through. There located inside the Ranch 99 supermarket. My first item that I tried was a vegan Wonton soup. It is a large portion of hearty healthy and clean tasting soup, loaded with delicious Wontons, mushrooms , and other vegan treats. The bowl of soup is quite satisfying. It has amazing taste. I went back and tried there spicy eggplant. It is a stir-fry filled with flavor, and loaded with chunk's of delicious vegetables that scream taste. It is a large portion with lot's of eggplant , served with white rice, I love it , and has become my regular filling staple . This is a great! Fast food Chinese Vegan stop. You will be delighted by real Chinese, Phillipibe and other Asian families that go to the market, it is quite a cultural experience.",UXcKPc2yi4FjgZz6VBTF0w,0,0,5,gM0nYCy1gryFfgy-QdgPeg
895367,2017-02-17,0,e2uWs-oYZ2PB4ybr-UhErQ,"Just bought the spicy lemon grass soup, the broth is surprisingly hardy. Service was great! Very helpful. 
Got to do a little grocery shopping while I waited. I will definitely be back..............probably tomorrow!",y71erP7EtXSD1EK-1A6ddg,0,0,5,MYFYQLJUDEDi9WjzzdZhVg
980747,2018-02-09,0,e2uWs-oYZ2PB4ybr-UhErQ,I got a the beef footlong thinking i will eat all which I typically do at places like subway and surprisingly I got full half very tasty subs don't be fooled by the looks!!!,NDvH31bpTxJA7ustq7Nn2w,0,0,5,V16qro0-I-7euvMEobfYTg
1019839,2017-02-01,0,e2uWs-oYZ2PB4ybr-UhErQ,"The best in town!  A hidden little gem of Vegetarian /Vegan delights.  Victoria P. has created a venue that serves up some of the BEST healthy food Las Vegas has to offer.  The Hot and Sour soup is fantastic.  The Fried rice is a meal that's non-oily, fresh and filled with veggie goodies.  Love the no fish ""tuna"" sandwich!  Spicy basil eggplant is delectable.  Yummy spring rolls with veggie shrimp.  We give Veggieat Xpress, along with Victoria, 5 big stars!  Can't wait to return.  Bill and Javier.",kZhaeuqT4xzNPwaPOiGQNg,0,0,5,yiRLA4iFF2StIuNnzJa69w
1148948,2017-07-31,0,e2uWs-oYZ2PB4ybr-UhErQ,"Fantastic food
Great service
Owner came to our table and introduced herself to us
We went To their new HENDERSON location
We are definitely going back!",QoXzW5DJsjPmi1S1LPdJGw,0,0,5,ntZ23J81PBJH618TTcTlIA
1171052,2017-02-10,0,e2uWs-oYZ2PB4ybr-UhErQ,Great food as well as great customer service. We will always come back all the way from Texas -Ashes Smoke Shop : Denton Tx,4xroKNQcGoGj-UhDr3BvMA,0,0,5,tVwCJBuA1sAB9MbrBwhnog
1206111,2017-08-14,0,e2uWs-oYZ2PB4ybr-UhErQ,Good vegan food..lot of choices...I ordered Singapore rice noodles super delicious..good service,H22rI1y3ADxuz083cwPgkA,0,0,5,rIFH_TgVlPOJTpMzxuYnMg
1249689,2017-12-28,0,e2uWs-oYZ2PB4ybr-UhErQ,"This vegan kitchen may be very hard to find, at least on Maryland Parkway. It is inside 99 ranch market, and the lights are not always on even when the store is. Beyond that, if you like Chinese food and you want to eat vegetarian (or even if you don't) you have to try this. We swooned over their pho and potstickers when we needed a bite one night while trying to do some food shopping. Then we chose to go back for takeout on our last night in Las Vegas. It's that good.",dbucR-manR9gaLqordaP0Q,0,0,5,0HuhW1oQwMlHuEmvD8nCOw
1255355,2017-07-20,0,e2uWs-oYZ2PB4ybr-UhErQ,"It's all about the bread.   Located adjacent to a bakery, these sandwich rolls are about as fresh and soft as you could possibly get.

My date and I ordered two sandwiches - the Veggie Beef and the Mushroom. We also ordered the Purple Sticky Rice wrapped in a Lotus Leaf.

The sandwiches were tasty and filling - though I'd prefer more spice overall - more pepper slices, more cilantro, etc. The veggie beef was fine but unexceptional. I haven't had real cow beef in decades, but from what I can remember, this doesn't taste anything at all like cow. (Which is fine with me, but if you're expecting something beefy, you might be disappointed.)

The rice dumpling was also fine in an interesting kind of way. Glad I got it, but nothing to write home about.

I will definitely return to try more options. The soup looked particularly good.",8la7DygWKVkfpDatXztktg,0,0,4,eu4sKTmC83saYqBfD9IrWg
1333560,2017-10-17,0,e2uWs-oYZ2PB4ybr-UhErQ,Vegan Spicy   eggplant  Basil  Tofu. Hot fresh and delicious. A nice sized portion with rice. I highly recommend this place. Free wifi. Great looking iced teas I'll try next time.,OcdbprNH36z75zx-pXKOkQ,0,0,5,PPC-TZYQaA1PJg8-d5X8tA
1336153,2018-01-14,0,e2uWs-oYZ2PB4ybr-UhErQ,Ordered the veggie potstickers and Thai tea boba and it exceeded my expectations! Glad I found this place near my house. Can't wait to try the rest,i7ZYLxBoylqJ_yLD55mpWQ,0,0,5,COq_86y_FRJyAZeefOLSNA
1380985,2017-06-27,5,e2uWs-oYZ2PB4ybr-UhErQ,"YUMMY!

Whenever he is hangry for a Bahn Mi this is where hubs wants to go.

Honestly this place reminds me of Veggie Delight here in Vegas (Chinatown) as far as the menu. Similar flavors also.

Almost all the items can be made vegan.

Hubs loves the mango slushie with boba. I have tried their Thai Tea but TT, but I don't like sweet, so my opinion is null and void on that item.

My favorite item here are the Fresh Hand Rolls. Hey who can go wrong one those?!!? Yummy! 

I have tried their Singapore Noodles and they are super duper yummy. I am oil free now so I won't be reordering that one unless I can ask for no oil.

My favs are the curry (which doesn't seem oily) and the string bean dish. 

Hubs usually gets a Bahn Mi and I have tried them before but being a non bread fan I pass one those. 

The service is EXTREMELY nice the young ladies always happy to see us and the owners have spoke to us several times.",zgV0ZroIF956gw4cul8MHA,7,7,4,qyd3_tJGBHLraWiLB0IM3w
1554754,2018-02-03,0,e2uWs-oYZ2PB4ybr-UhErQ,"So good!!! I had their chicken (vegan version) fried rice and it was delish!!! And the meat substitute looked, smelled, and tasted like chicken! We were amazed! Charles and Ivy were so sweet and helpful. Definitely recommend if you are about that veggie life",HB4tQHHqdQCHz-e_O0c0Yg,0,0,5,SuTGW6Ubu1BQDepJEzEVSQ
1633160,2017-12-26,0,e2uWs-oYZ2PB4ybr-UhErQ,"Decent food have a variety of choices and fast service,  i like their Vietnamese sandwiches and also the soups",zNxDpjMhSjlbE8Gp7HFsfw,0,0,4,IKS1FEKPGEbUo7t08xX7GQ
1635631,2017-08-19,0,e2uWs-oYZ2PB4ybr-UhErQ,The best Vegan restaurant in HENDERSON by far!! Tons of choices on their menu! And everything on the menu is vegetarian prepared!! Excellent food,U-TKAJXAJAXTHZTBlKjSsQ,0,0,5,mhWVm8Flj5ThhEbhJPGQMg
1701329,2017-01-05,13,e2uWs-oYZ2PB4ybr-UhErQ,"Veggieat Xpress is the latest food counter to open in the food court Ranch 99 Market on Maryland. Menu is similar to Veggie House on Wynn, but it's unclear if they're related.

The best deal here is the $7 lunch combo- fried rice or rice noodles with your choice of two entrees. The spicy eggplant tofu is good with large chunks of lightly-fried tofu, and the flavor of the ""chicken"" curry is decent, with a solid sauce but an overwhelming amount of potatoes. The tofu could use more texture and the curry would benefit from more spices, but it's a huge portion for the price, and filling veggie meals usually aren't under $10.

Rest of menu is veggie-fied Chinese and Vietnamese dishes, including bahn mi- the ""fish"" sandwich is under $5 and the ""shrimp"" will be the next one I try. Their soups seem to be what they're known for, and the broths are surprisingly full-bodied. Check for daily specials and new menu items posted at the register.

NOTE: They take credit cards to the kitchen to run them? My receipt said I paid cash when I did not. Not sure what's going on but I'm not a fan of my card being taken out of my sight.",bLbSNkLggFnqwNNzzq-Ijw,31,12,3,_5RgQQ2r-REp6ounnv54AA
1710698,2017-10-20,1,e2uWs-oYZ2PB4ybr-UhErQ,"First of all, YUM! Boyfriend and I got a couple vegan sandwiches and they were so tasty and filling! The menu is expansive and the prices are extremely reasonable. I wish I lived on this side of town because I'd honestly be eating here religiously. 

Not gonna lie, this place was a little tricky to find... until I realized it was in the grocery store! DERP!",4Lih7V69TZ1VTNziz8rs9w,3,2,5,KiR11WzCO1slpdpEEo70Cg
1766565,2017-02-15,0,e2uWs-oYZ2PB4ybr-UhErQ,Awesome place! Great vegan options!!! Friendly staff! Food tastes amazing.. the pho is very tasty... and the sandwiches are very crispy..,7raTQL3mVwPxHVQUdry0xQ,0,0,5,vK82rja9phungJoZENI6gw
1773277,2017-07-09,0,e2uWs-oYZ2PB4ybr-UhErQ,"I really like the concept of this place. It's a Asian fusion food stand inside of 99 Ranch Market. Their menu consists of mostly Vietnamese food like your usual pho , vermicelli , and banh mi. Everything on menu is vegetarian/vegan , even the meats. If you're familiar with Veggie Delight or Veggie House (both on Spring Mountain) - they're a lot similar to this place. The counter service was extremely nice. The gentleman working there highly recommended me their beef banh mi out of their many menu options. The regular size banh mi is HUGE , in photos it looked a lot smaller so prices are not too expensive compared to the quantity/quality you get. The sandwich bread was bit too thick for my liking but overall the banh mi had great flavor. Good meat to veggie ratio - the vegan beef was super tasty and I loved all the crunchy veggies (daikon , carrots , cucumbers , lettuce , etc.) inside :))  I ordered the egg rolls seeing that they have the bubbly crispy skin that I like & Thai tea w/ soy milk to-go. Their Thai tea was amazing ! I usually steer away from Thai tea at Asian fast food places but here it tasted like legit Thai tea & a bit more ""healthier"" than other Thai teas since it definitely wasn't too sweet. I also appreciate how clean this place is. Now if they made their smoothies/slushies with real fruit rather than just flavored ice & also offered brown rice/whole grain options then this place would be perfect. I will definitely be back to explore their other food items.",qtOCfMTrozmUSHWIcohc6Q,2,3,4,Bhpbijk777RScHcuTKf0XQ
1828980,2018-03-09,0,e2uWs-oYZ2PB4ybr-UhErQ,"Pretty good, the prices weren't bad and the food was yummy. I really liked the asparagus and mushrooms",9X9oKcq-rOBT-4Vb9qmV9w,0,0,4,8sDdvPT2YwTcw1q7fRfVOg
1923364,2017-08-04,0,e2uWs-oYZ2PB4ybr-UhErQ,"Loved the fresh mango smoothie, and the tomato rice noodle soup. The egg rolls I wasn't huge on, but not bad either way.",NftDx7ER0iz2o8zP9jpkyA,0,0,5,owbgcZqEfEcBs_iPBJdVvw
1941701,2017-04-12,0,e2uWs-oYZ2PB4ybr-UhErQ,"We've stumbled upon this place after we received an ad email from Yelp. And oh boy what a gem this place. The food is simply amazing. If you're a vegan or a vegetarian, you must try this place. 
It's located inside the 99 Ranch Market, and there are no signs on the outside. Just walk into the market and make a left. 
The owner is so nice. She even gave us free  Fried Dumplings which were great. 
We ordered the Vegan Beef Pho, the Vegan Wonton Soup, and the Tomato Rice Soup. The Pho and the Wonton soup were my favorite. We will definitely be back here again.",PgdhJMGrlDGbhL7_IjWUzA,4,2,5,TamcylnHwcqCtvF6PwlflQ
1949043,2017-03-15,0,e2uWs-oYZ2PB4ybr-UhErQ,"For all the vegans and vegetarian out there. This place is a must. The Vietnamese sandwiches are so delicious also tried  the sour spicy rice noodle soup,wow!!. The family that runs the restaurant are so nice and friendly. Cant wait to go again",K17K7fH6YYpuCuJgU6zU7A,0,0,5,komOLpRS659ZLuwV1q4wMQ
1954193,2017-09-05,0,e2uWs-oYZ2PB4ybr-UhErQ,good central location. food is tasty and they offer milk tea with soy milk.  the only issue i had was they should label the mock meat that is GLUTEN and GLUTEN free.,HoemKQuNW-0J8X5VqDip6Q,0,0,4,_49dJmHUQEI2i7HNTrs7IQ
1966067,2018-05-28,0,e2uWs-oYZ2PB4ybr-UhErQ,"Bad service, and slow, slow, S L O W. Since I was only ordering boba tea, I thought I could get out in under 10 min. Didn't happen. Ugh.
Well, surely at least the boba tea is good... meh.",1ahJ4kTjU2yy8mVS76LJDg,0,0,1,KgTSrpHqEHiXlqbg9e5Jug
2030183,2018-04-10,0,e2uWs-oYZ2PB4ybr-UhErQ,I ate here twice while I was in Vegas over the weekend. The wait is a little long but food was delicious! I got the beef chow fun and some shrimp and broccoli dish with a white sauce on top. I have never had vegan shrimp before but that dish was amazing! Can't wait to go back and try some more of their menu.,uKbgDXwBIgDK5n1DYxI3tg,0,0,5,hmPEBZ2n92ZbmUZ-DS8XIA
