,date,funny,business_id,text,user_id,useful,cool,stars,review_id
27676,2017-11-20,0,e3PBfbtXUjMziX6XGsOMoA,"Lunch time at this new Japanese noodle joint.
They have many choices, and the noodles we ordered were both very good. Service was fast and friendly too.
With many seatings available ( unlike many ramen shops ) this could be my new go to place for the quick bite on",mTPbFOJRYVHcpuo42GAN_Q,0,0,4,YnqkPvZCmAOYfwXoL3AMhA
59630,2017-12-11,0,e3PBfbtXUjMziX6XGsOMoA,"I love udon! This was the place I was looking for. From tempura and oden add on's yuuuuuuuum! Great place for a cold day or night. I'm not a local, but my friends out here will be coming back, and when I come back to Vegas I'm going to make sure they take me with them. 808!",qWKGC0dkooHX1JNr3vjntw,0,0,4,AaPIwx0tbH_4ZFT9WBDr0g
61305,2017-12-23,0,e3PBfbtXUjMziX6XGsOMoA,"I went on a Japan trip last year and as soon as I walked into this place I got the same authentic feeling as an udon shop in Kyoto. The food was on another level of good. Pure feelings of nostalgia filled my head from my trip to Japan. I got a kake udon, which is the most well known udon. It was taste wise and looks wise just like the one I had in Japan. As I was ordering it, a man who turned out to be the owner asked if I want a soft boiled egg and I replied of course, which he replied with ""that is the only way to eat udon."" I later waved him down to compliment him on his success so far. He was one of the most passionate guys I've ever met. This place has so much going for it. I guarantee this will be the best udon in vegas!!",yLPM2GyUMmQwQZV0iHHofA,1,0,5,uIdFjSmzIdawOdpj4oqqnw
193259,2017-11-19,0,e3PBfbtXUjMziX6XGsOMoA,Great fast food udon. Add rice bowl if desired. Tempura too. Plus special blended lemonade. Reasonable pricing.,f8V1kR3Mgf56p96Zf0cI9Q,0,0,5,UWQwsKF9KX6hZ1cVWrSJ6Q
205533,2017-12-23,0,e3PBfbtXUjMziX6XGsOMoA,"Outstanding food, service, and atmosphere. Now on my must visit list for my next trip to town.",l7S2i-vdPC5maTga-AFSmQ,0,0,5,BkTPmTwIV4NPoKaIYEuCug
260209,2017-12-26,0,e3PBfbtXUjMziX6XGsOMoA,"I ordered Ontama bukkake udon, Kakiage, and Taiyaki.
The house made udon was really good. I recommend it.",V8wBpHZTbRPPwZC1tcXezA,0,0,5,QzpkNYNqMzZrXz1SM1b4vg
320665,2017-12-09,0,e3PBfbtXUjMziX6XGsOMoA,"Food was tasty and affordable. It just felt like something was missing for this noodle house to get a 5 star. I wish they would offer the miso soup as part of the meal and improve its taste to be more traditional. Other than that, this place is unique!",nceoQkR5Qo_s-4kAl9t8PQ,0,0,4,jM-dTeiyfZtNeRCG-exjwA
407016,2017-12-10,0,e3PBfbtXUjMziX6XGsOMoA,Delicious noodle and the soup taste so good . I would definitely come to this as daily dining,fz7EH_bjIKgk0FuRLBA-wg,0,0,5,YVDoKYTgoWBB0_FhNevLAQ
449212,2017-11-26,0,e3PBfbtXUjMziX6XGsOMoA,Amazing udon!!! Between the atmosphere and authentic food it was a truly unique experience in Vegas. First amazing ramen then great Korean BBQ now make way for udon Vegas :) and don't worry they have pork cutlet and much more for those they are noodle shy :),sdskZgvjTRxKouSKbuhF7g,0,0,5,fj1qRSg-V2jZ3FMpw55IDQ
553415,2017-11-13,0,e3PBfbtXUjMziX6XGsOMoA,"www.cafesanuki.com   My office is on Decatur/Flamingo.  One of my office neighbors, who was born in Japan, raved about Cafe Sanuki a Japanese Noodle Bar,  So I went there for lunch.  It is on the corner of Decatur/Spring Mountain.  4821 Spring Mountain Road Suite G.  It was one of the BEST meals I have ever enjoyed.  This is a UDON restaurant.  I have visited Japan a dozen of times.  Cuisine is tantalizingly delicious!  I had the delectable Carbonara Udon; lucsious Mentai Cream Udon; savory curry rice; plus some amazing Tempura. I give Cafe Sanuki a 5 STARS rating.  I am definitely going back.  They have a unique way of preparing the fresh noodles.  I am jumping backflips.  Thanks to my office neighbor for the special recommendation.  He was RIGHT.  My tastebuds are still tingling.",6Jj3mKZI3Kvpdj6ROR8gqg,0,0,5,TqfALLVBi5HvvqlIEKZL-A
558191,2017-11-30,0,e3PBfbtXUjMziX6XGsOMoA,"I love the food and atmosphere here! The udon is superb. The tempura is great. However, the staff is the best part imo. Despite being cafe style dining the staff and owner are enthused to serve you. They stopped by a couple times while i was eating just to make sure everything was perfect. It is the best udon i have ever had despite being the cheapest. (not counting ones you make yourself) i just wish they were open later so i could stop by after my late classes. I will be coming back soon and often!",d5Xkcnssn8tqi4ywStM-3g,0,0,5,ea1ijC0d9jjobedq5Putbg
589180,2017-12-30,0,e3PBfbtXUjMziX6XGsOMoA,"We ordered miso garlic pork belly, kake udon and  tomato cream seafood udon. We really liked  tomato cream seafood udon and kake udon. This is a must place if you are around this area and craving for authentic udon.",HSvqaorGRU0NFLvk9dOJMQ,0,0,4,ILF6_zKz48-80Lb3wDgt_w
590009,2017-12-18,0,e3PBfbtXUjMziX6XGsOMoA,"Decided to try Japanese food in Chinatown. Whoa, this Cafe is nice and clean. We ordered  Yaki Udon and Seafood Tomato Cream. The food is really great and so is the price!",dnlQJk0X46LRK8QKder-Cw,0,0,5,b0t929WKShT9f4nUR6iYrA
738614,2018-01-02,0,e3PBfbtXUjMziX6XGsOMoA,"Friendly staff, best ambiance to hang out. Fresh food made daily.
Worth every penny! A must try!",VA7HnRWdt4pEIJkq7Dbasg,0,0,5,V6IIuK8jFc8EsPdGT3bw4w
947019,2017-12-13,0,e3PBfbtXUjMziX6XGsOMoA,"This place started circulating throughout my Facebook feed before it was even open. And being a lover of Udon, I HAD to try it. Guys....this place is FIRE super simple with a variety of choices and they make it FRESH. They close in between early lunch and dinner to ensure that everything is completely fresh. I knew that this place was gonna be good, but I didn't realize how AMAZING the food would be. Don't forget to check in on Yelp!",yLS8nMAEzgo7aXIlmYHt9A,0,0,5,RL2t7x_Loofsq279_EyGSw
950548,2018-01-14,0,e3PBfbtXUjMziX6XGsOMoA,"This is one cool cafe! I wanted to eat here ever since my bff told me how the food is so great here. I had the udon with beef, chicken skewers, and the rice and tuna wrapped in seaweed(I forgot what this was called..). I can honestly say that the udon was great! Chicken was good but nothing special. Even the seaweed wrap had the perfect amount of tuna.

The only negative about this cafe is that they do not have any vegan dishes. I want to take my girlfriend here but no vegan dishes! Please consider making vegan udon so I can bring my girlfriend every weekend! :)",QWZ9WPzI17H9QhCLrAfSAw,1,0,4,oJVgSarmk9g7176nNttTTA
974433,2017-11-18,0,e3PBfbtXUjMziX6XGsOMoA,"Although we had reservations, they told us we were NOT able to dine because we did NOT make our reservation in September, lol. If that was the case then the website should've clearly stated that and shouldn't have allowed us to make a reservation. Why did it give us a confirmation email? I will NEVER recommend this place to my friends, family or business associates!",aZvYIS52ZpWreQlUHck6ng,0,0,1,eKl3IqaWiE_ujMR98FWJfQ
994084,2018-01-20,0,e3PBfbtXUjMziX6XGsOMoA,"I agree with everyone that it's a different way of ordering but if you have been to the Oahu version, it's similar and the people that work there are super helpful.  I actually got the katsu curry because I was craving it and it hit the right spot .  They do use a beef style curry but it's just the right amount. My friend got the beef udon and she thought it was very good...tasty and flavorful.  I would definitely come back again.",lvJXIDjrDcOZGFtvy7DOUg,0,0,5,W8zW_YxKQMkVL2grOLvqZQ
1121243,2018-03-22,1,e3PBfbtXUjMziX6XGsOMoA,"I was looking forward to coming here but was disappointed with their lack of service. I got there a few minutes before they opened. The woman who worked the cashier told three people who were sitting at a table that they could now order when it opened. She looked at me standing at the door and just ignored me, walking back to the register area. I walked over there and was a bit confused about the ordering system. I apologized and said it was my first time. She assumed I had been there before. I was confused about the sides she was asking if I wanted. For that reason, I thought maybe I had to build my udon bowel. From the picture, it appeared that it included all the necessary ingredients that were in the picture. I guess the sides were if people wanted more tempura, etc. in their udon. In the picture, it seemed it had more than enough ingredients, so I passed on the sides. They need to explain their process a bit. Finally, I got the udon. It was just OK. It was a bit salty and didn't have a smooth-tasting dashi base. I really do miss the simplicity in food that I found in Japan. There is another place in town that comes closer to authentic Japanese udon.",y5YNzZwQuYxgE-jSDcZLxA,0,0,2,lE_EbzkDkPL_TYx3qdC7wA
1127088,2017-12-02,1,e3PBfbtXUjMziX6XGsOMoA,"Quality food for such a steal price. What more can I say? The first time I experienced a similar restaurant style was in Hawaii. I'm like 90% sure it's the same restaurant that the owner of Cafe Sanuki visited and became inspired to open his own! Prior to my visit, I've been constantly checking out their yelp page, drooling at the images posted by other fellow yelpers. Finally, last week my boyfriend and I found the time to check it out. I tried their beef udon and it was just heaven in my mouth. I also love 
the idea of picking out tempura, although I have one slight complaint about it...it was a bummer that the tempura was kind of cold..my guess from sitting out for too long since it is served cafeteria style. It's definitely not something that would stop me from coming back, because I assure you, I will be back. But I hope that they'll do something about maintaining the tempura temperature or something! 

Amazing service as well. I was greeted instantly and was well informed of how to order and everything. 

Definitely recommend this place to anyone!!",yiDRtgvutaaYuwp2utTHgQ,2,2,5,-4cnlaNBEuiBBew5QCqO3w
