,date,funny,business_id,text,user_id,useful,cool,stars,review_id
19613,2017-09-17,0,e8aRJbv2EMH5DqMzbDK8wQ,"I'm a regular customer who comes to this location maybe twice or three times a week for happy hour and lunch. Employees there recognize me and they are always polite and friendly. But recently they hired a new employee, and thereafter received one of the worst customer services I've ever experience. She gave me attitude for her forgetting to unmute her Mic, and proceed to rush my order. I specifically requested no condiments on my order and she placed them on the screen. But there they were, unable to eat what I ordered due to allergic reaction's. I'd forgive any of that due to accident or having a bad day.. but at the drive-through window during payment it took them seven minutes to get my card back. It wasn't even the lady who took my order who gave me my food! She got another person and left halfway through the transaction! 3:15pm, 9/17/2017. I will no longer be coming to this location until there service improves.",PtuPotgg2h8YZdTpw6Z6BA,0,0,2,32eozygcW7G2tvNlhNXUug
481403,2009-04-17,1,e8aRJbv2EMH5DqMzbDK8wQ,"Nice, clean restaurant that always gets my order right.  Thats important when dealing with the typical teen-age employee who has a hard time remembering his own name, let alone an order for food he/she has been trained to prepare.  The only creepy thing was there was an actual he/she working the drive-thru window.  I'm pretty sure it was a dude in full chick make-up.  At least he/she got my order right.",xzMwqspXXlpykTdv3qkHlA,0,0,4,nWtX7u_5Sz-iAzGTVBRL5g
1091340,2017-05-12,0,e8aRJbv2EMH5DqMzbDK8wQ,I was In line for 20 minutes the lady who took my order didn't seem like she knew what she was doing and my whole order was upside down,6OvRNgC8lj-3LhO71SUHHg,0,0,2,U-fuoyEoY3kALtzGOL74Zg
1103970,2015-12-02,0,e8aRJbv2EMH5DqMzbDK8wQ,"I came for a quick bite through the drive through with my sister, and my debit card was so scratched, since I was waiting for my new one to arrive still at the moment and it wasn't taking my payment. The fact that they still gave us our order even after they tried a million times was extremely nice of them. Employees were understanding and I was happy. I'm coming back and paying for what I owed. And the order was made correctly as I love their potato soft tacos.",Wl-AFS5vDWDrNvpTQah4ow,0,0,5,v8T30VXSsRO6vLOKv6WAlQ
1562424,2016-10-09,0,e8aRJbv2EMH5DqMzbDK8wQ,The worst customer service I have ever received here. My boyfriend stopped by here on his way home from work. Told the employees that I am highly allergic to tomatoes so everything had to be tomato free. Got home and there were tomatoes mixed in all of my food. I called to tell them. The girl was rude. Would barely let me speak and was defensive as I tried 4 times to tell her that tomato had gotten mixed in with the lettuce and cheese. She wasn't going to do anything about it until I asked well what are you going to do about the food I bought and can't eat. Then she put me on hold for the second time.  She wouldn't tell me her name. Finally got her to agree to  remake my food. Unbelievably rude. I will never come back here. Now I'm waiting for my boyfriend to come back with my food again. If I do have an allergic reaction I will sue them,nnZV1bylDKdjFpZN-8JtNA,0,0,1,BHH2xZSca-yR8cZ_sZOiDw
1705432,2017-09-25,0,e8aRJbv2EMH5DqMzbDK8wQ,"I always do the drive thru, and they are pretty fast. The people that work the drive thru are usually always friendly and funny. The food is good, especially the crunchy tacos and the Mexican pizza. I come to this location all the time because it's so close to where I live.",jGc6HEUiQ8FfCSoF3slYeg,0,1,4,S6x1dO3JKEA9EJx-1k4y7Q
1750971,2013-04-18,0,e8aRJbv2EMH5DqMzbDK8wQ,"Good Food, Fast and Staff is amazing considering its location",b3xBVUUx7EddntGDmWLXMw,1,0,5,21qW_9db-vB6GJiyfnXY_Q
1774991,2016-02-18,0,e8aRJbv2EMH5DqMzbDK8wQ,"I love this place but the guy working today was so rude on the drive thru- 9:27pm 2/17/16
ordered a 12 pack tacos with a gordita deal C and also 4 grillers. we tell him make sure we have enough hot sauce and he says its in the bag & closes the window super fast as i check my bag before leaving i see he didnt give us the doritos nor enough sauce only 7 fire and 6 hot for all my food like come on dont be stingy. its not like they were busy only us in drive thru and 2 people eating inside. if u dont like ur job please leave and stop with ur horrible service and go else where. 
we proceeded inside and the older lady was so nice. 
please leArn customer service from ur fellow co workers. Thanks!!! 
besides that food is alwys good here..",ex4XYmJauI3kXvR3NVNckA,0,0,3,i0d4H6F9AdRHx45llSCLPg
2040028,2016-01-31,0,e8aRJbv2EMH5DqMzbDK8wQ,"Horrible once again. Wouldnt do the 25% Off offered on the Ap this month because she said they were just sold. This is the 4th time ive tried to use something from the Ap and been unable to. Each time they call same lady manager, short, dark hair. She said this tome it was on a 25.00 or mire purchase. The cpn caps at 10.00 and thats all it says so again I received nothing for my 20.00 order when according to my Ap, i was eligible for something. Im iver going to taco bell now. Im deleting the ap and going back to del taco.   This location knows NOTHING about customer service. I waited a month to eat here after my last drama but the only thing they changed was the drive thru person. Shes a gem, keep her get rid of that nasty manager who tries NOT to even give you your free frozen drink which is on the ap this month. Never was able to get my free taco last time! Im over it.",EA-UgJmd-hQ8RBn1odmDJg,0,0,1,VZ2ZcvEhpO8U_q4kYEAKQA
2063947,2018-01-09,0,e8aRJbv2EMH5DqMzbDK8wQ,"Really terrible place to eat, so far I had 2 problems with their food but the second one was last Friday. I bought 2 chicken chalupas for dinner, next day I was sick. Vomited Saturday at work and I had to go home early  and Sunday I didn't work. End of story I lost 2 days of work and I had to go to the Dr. he told me I had food poisoning and I know it's because that food from Taco Bell.   Stay away from them.",fxFPq19Z68tNbcp0NYOu6A,1,0,1,ULQpozE8zd4ij6p9P7_Idg
