,date,funny,business_id,text,user_id,useful,cool,stars,review_id
23963,2011-07-01,0,eMKqAItLbazgUT8xokz7fw,"I'm looking at all the previoius four and five star reviews and wondering if we went to the same place...

Having read their website's bio of the chef and their commitment to fresh ingredients, I thought it was well worth a try as my wife and I like to try to support new, worthwhile eateries in our part of town.  

there was a sax player playing over some canned background music or a synthesizer or something...it was just o.k. musically, but waaay too loud.

I was interested to try the ""fried vegetable logs"".  The waitress brought a pile of fried mixed vegetables...swimming in a pool of greenish liquid, and topped with melted cheese.  I asked about the liqud and she told me it was from the green chili sauce (which I was never able to detect except for the runny pool of liquid at the bottom of the plate.  consequently, the fried vegetables were a soggy mess.

After that came the salad...well, not exactly.  Just a few minutes after getting our soggy appetizer the waitress kind of aplogized and told us our main courses were on the way out, and that if we wanted, she could put the fried vegetables on the table behind us, since our two top was too small to hold the tree oversized plates.  As far as I was concerned she could take it anywhere...just take it.  Sure enough, out came the main courses, but no salad.  That came about five minutes later, and again due to a lack of room the waitress offered to put it on the table behind us.  I was starting to get frustrated so I told her that I'd just pass on the salad.  As she was taking it back to the kitchen, the manager saw her return it, but didn't say a word to us about it.

The entrees themselves were underwhelming at best.  My pork chops were dry adn swimming in a brown sauce that had too much salt (and too much demi glace).  And there were enough chunks of bland potatoes for three servings...this from a guy who loves potatoes.  My wife's club sandwich was unremarkable at best.

As we were finishing the manager/maitre d' came over to ask how our dinner had been.  Too little too late.  I toldhim it was fine, just because I wanted to be done with the whole experience.  And now I am.",ZdUFyF5eNyZxete-T4bmZA,4,0,2,lybQVjHoAl6mn2zt3Ggz2A
64510,2013-11-05,0,eMKqAItLbazgUT8xokz7fw,"Very, very good breakfast! I had the Chef's omelet and it was awesome! It was so much food I had to take some home. Friendly staff and efficient service.",jY-efM8dK2q7hBN1jJZVhQ,0,0,5,ASE7cUtlOAiai3v6KXNbBg
65276,2011-05-18,0,eMKqAItLbazgUT8xokz7fw,"Never have I gotten more out of such an unassuming restaurant. I was looking on Yelp for a new spot to check out and randomly picked Wine 5 Cafe mostly due to its close proximity to our house.

Pulling into the parking lot, I didn't expect much. Nothing too spectacular visually from outside.

I ordered the salmon upon the suggestion of our server and my wife had the blackened chicken breast. As our dishes first became visible in the window yo be delivered to our table, we knew we were in for a pleasant surprise.

Every aspect of the food was incredible. Presentation? Amazing. Freshness? Amazing. Preparation? Amazing. Flavors? Amazing. Price? Incredible. 

I can't say enough about how great this place is. Highly, highly, highly recommended - and I don't impress easily.",OfBF_6IvMnCjE9dfAKOBlQ,5,1,5,k8sbYf4TDLjpBOg_9Zx3nA
74623,2014-11-12,1,eMKqAItLbazgUT8xokz7fw,Great place. Wonderful food and presentation. Great friendly staff! Menu selection. Wonderful! Thanks chef!! Will be coming back!!,L47DwSEMpchiIaeQozaLRg,0,0,5,yzw709R3OAUFZBsTclsbTQ
96507,2015-01-11,1,eMKqAItLbazgUT8xokz7fw,"Why must so many excellent restaurants reside in strip malls? No matter, this place could be in a cave, and I'd still go. The food was fantastic, and the service was great.

We got ""The Salad,"" which really is THE salad. It was huge, it was delicious, and I would happily order that as a meal. We also got the chicken curry and the Lake Victoria. The server warned us (several times) that this was a lot of food, and indeed it was. We stuffed ourselves silly and still had plenty for at least one more meal. The food was equally delicious as leftovers.

If you're looking to get off the vegas strip and find some great food, look no further. This was an awesome meal, I highly recommend it.",gYHKje3BKKD0INCWw7lKcg,1,2,5,peomsQ8wq84wK1j2RjZnjQ
124300,2012-10-29,0,eMKqAItLbazgUT8xokz7fw,"In my quest for obscure, off-the-strip locations, along comes a recommendation from a former colleague to try out a no-name place by the name of Wine 5 Café. He described it as a Kenyan/American fusion restaurant, and claimed an amazing burger and 'transcendent' chili fries. It's a bit far from where I make my rounds these days, but a recent commitment brought me towards the north-west part of town and I finally made my visit. Was it as good as he claimed?

Wine 5 is located in a crummy strip mall in not the best looking parking lot, but don't let the exterior fool you as it almost did us: the restaurant is clean and quaintly decorated. There are a number of 4 top tables in the middle, and a few booths to the side that are decorated like they're on someone's front porch. The rest of the walls around the restaurant look like the front facades of small houses as well, almost like a mini version of some themed casino you'd find on the strip, but more tolerable. The menu has some great sounding items, it looks a bit heavy on the breakfast items but there seems to be lots of good choices. I'll have to come back to try some of the Kenyan-influenced dishes, as I was there on this day to try one of their 'flat burgers'.

And flat this wasn't; my Jetpack burger came out and this thing was absolutely huge. Topped with avocado, grilled sweet onions, spicy butter pickles, lettuce and tomato, this thing was stacked to the top of my knife it was presented with. The bun was crispy and flakey on the outside, yet soft and gooey on the inside. The meat had good flavor, although maybe not the best quality ever; it wasn't the best beef flavor, but more like your standard pre-made patty. The onions had amazing sweet flavor and were the star of the burger. The pickles were more like flavored cucumbers but totally delicious and something I need to emulate at home. The avocado disappeared in the burger but was a good touch when I came across it in a few bites. The tomato was slightly grilled but still hard and fresh; it seemed almost uncooked despite the grill marks, but was quite good. This burger was not at all what I had been anticipating based on the location or menu description, but ended up being a fantastic surprise.

The fries came out very late as I believe they were forgotten at first, but were extremely good as well. They were thicker like steak fries, coated with a combo of celery salt and other seasonings. Like most steak fries a majority were crunchy and cooked well as I like, with a few soggy ones mixed in. A side of fries is definitely enough for two, as they are served in a very large bowl.

My girlfriend had the Exception, which is a red wine and spiced braised burger, with cheddar cheese, grilled tomato slices, onions and lettuce. It had very similar flavoring to mine; the additional treatment to the patty made for some nice complexity to the flavor, but I felt it was missing my excellent pickles. Even though it is a bit out of the way from us, I can't wait to go back and try a few more of their selections, and I'm very curious to see what they do with their smoked bacon. Their burgers range from $7.95-8.95, with the fries at $2.95 for a heaping serving, all very worth it. We didn't get to try the chili fries during this visit either, but you can be I'll be back soon to try those as well.",0G9BcXSQscv_GnhlNwFfjw,0,0,5,M997B2kxWDRS3JybbOv2mg
129967,2011-07-10,0,eMKqAItLbazgUT8xokz7fw,"I dont usually give 5 stars on anything but this place deserves it. The drunken frito misto (hope I spelled it right) platter was an amazing appetizer. its says it serves 2 but could easily serve 3. but just like everything else here the portions are HUGE.  I got the salmon ruben for my entree and it was great. I thought that salmon on a rueben would have been odd but it wasnt at all. the sandwich had a tasty remoulade with cooked cabbage and wasn't that usual sour kraut from a can that alot of restaurants put on there ruebens. The salmon was cooked perfect and juicy, the rye bread was buttery and crispy delicious. Overall decore was cute and thoughtful ( even the place is relatively small the place feels big and open with giant glass windows to see right into the kitchen), service was professional ( all servers wear ties and white dress shirts italian bistro style) and friendly and I never felt abandoned,  food portions are gigantic and everything seems to be made from scratch very fresh tasting. I guess the bottom line is you wont leave disappointed or hungry thats for sure.",wYyC1E2mSvAgUxqg68KD2g,2,0,5,tpEpWkNwWdWS1QBbcj0Bhg
150913,2014-06-12,0,eMKqAItLbazgUT8xokz7fw,"FYI, the prices listed on the menu linked to this profile are lower than what is on the menu at the restaurant. The burgers average about .50 and higher. The hickory loaded for example is really 9.79. Otherwise great food.",J_5HJE9DspE9Lso2QekVMg,0,0,4,_qye5epaiwAYxNrpzpHYqQ
181836,2014-02-22,0,eMKqAItLbazgUT8xokz7fw,I love this place so much! Definitely a hidden gem. Had never tried Kenyan food before and was feeling adventurous so I gave it a shot and I loved it. I ended up bringing my sister for her birthday and she loved it just as much. Great service and very reasonably priced considering the portions are rather large. Can't wait to come back.,gy8tGCVYlqohm1eO_39SKQ,0,1,5,I01bUenJPRFyle81LsrYwQ
186051,2013-04-28,1,eMKqAItLbazgUT8xokz7fw,"OH WINE 5 how  i love thee?! aw man this place is incredible!! seriously, one of my favorite new places in las vegas, I mean listen to the waitress she knows what she is talking about. I will leave with one simple word SAMOSAS!!!!!!!!!!!!",i4tD4WWsj6410Gz60EX-VQ,0,0,5,DZc2xK6GAXTZSXInIta4-g
219543,2013-09-02,0,eMKqAItLbazgUT8xokz7fw,"What a wonderful  hidden gem. The food is amazing here, so fresh and expertly prepared and beautifully presented. The Kenyans bring pita bread to a whole new level. We had the Iceberg Array Salad and the Mixed Grill..delicious. Someone had the Pork sandwich with bacon,caramelized onions and bread and butter pickles...so good. You have to get the Churro Split.. One of the best desserts I have ever eaten. Our server was so lovely and knowledgeable. A very special dining experience. I highly recommend.",ro0pDpyKbV9TFZlO-dlrpg,0,0,5,IOhv0MoVucm51aCzeThxcQ
244893,2012-08-26,1,eMKqAItLbazgUT8xokz7fw,"We have been to this place twice.  The first time was just shortly after they opened and they had a very limited and casual menu.  This Kenyan fusion thing was very strange.  We ordered a combination plate that had several different items on it, because we thought it would be fun to try things we hadn't eaten before.  After sampling each one, we decided we wouldn't be trying those things again, and probably wouldn't be coming back to this restaurant again.  We were there for dinner during the week and were the only ones in the place, which is scary to begin with.  

I went again tonite with friends who had been there before, and said they enjoyed it.  So, I'm game, I'll try any place twice.  But after this experience, I will never go back again.

I know some people will gag when I say this, but I love liver and onions, and when I see it on the menu, I will order it.  The menu had quite expanded, and was much more upscale than the first time we visited, as were the prices.  Liver and onions was $19.95.  My friends had the pork chop the last time they were in, and they ordered it again.  Our waitress, who was the only waitsperson in the place while we were there, was incredibly incompetent.  I won't go into our complaints with her.  She was bad enough, tho, that I left no tip.  I have never done that in my life.  But I digress.

The plates of food were huge.  My friends said their pork chops were good, but neither ate the veggies (carrots, asparagus, green beans) because they said they were too raw (I wished I could have eaten them off their plates!)  When I ordered the liver, I told the waitress that I wanted it medium, to tell the cook to please not overcook it.  When it arrived, it was buried in a huge pile of deep fried onion pieces, with a few pieces of asparagus on the side, and plain mashed potatoes.  A small dish of what appeared to be gravy with chopped carrots in it was on the plate.  I tasted the gravy and it was overwhelmed with vinegar.  When I finally got the waitress's attention, I asked for some other kind of gravy that wasn't so sour.  She brought out a bowl of what looked exactly like what I had, sans carrots, and in tasting it, it was exactly the same.  I pushed it out of the way, and someone from the kitchen came out and after talking to him, he brought out another bowl of ""gravy"" which was better, but still vinegary. 

After digging through the deep fried onions, I got down to a thick piece of liver, cooked to death and all but inedible.  I ate the asparagus which was perfect, and a couple of bites of plain potato, and left the rest.  When the waitress finally came back to our table, she asked if I was still working on it, and I said I couldn't eat any of it, because it was awful.  She took it away.  My friends finished their dinners, and we waited at least 15-20mins for our check, finally calling out to the waitress and asking her for the bill.  She brought me my bill for $28+ ( I had a beer), and when she came to collect, I said she should be ashamed for charging me for that meal, especially since it was obvious nothing had been eaten.  She said ""Why should I be ashamed"", and took my credit card and rang it up.   My friends asked for coffee after our meal, and the waitress said she would have to make a new pot and it would take about 4-5 mins.  After waiting almost 15 mins, we left .   I should have called the manager or owner and complained to him, but I didn't.  I just decided it was lesson learned, and I would never go back.",-8bfKCvDClxD3iKX9o7J5w,3,0,1,xbgwILkLzMYlaunV8SXR3w
246974,2015-03-03,0,eMKqAItLbazgUT8xokz7fw,I really enjoyed this restaurant.  I went in December of 2014 and the place was practically empty. Enjoyed a nice bottle of red wine and the app platter with a friend.  We were there for a long time and the staff was awesome!,xkxH8a8-jMietVcuFKlUrA,0,1,4,a7LAIhxFMGuiCB4Eqfy2xQ
