,date,funny,business_id,text,user_id,useful,cool,stars,review_id
7006,2015-01-24,0,f4vb5tv60WaBcwzRhKpANA,"I've been waiting for this place to open for months and now that it is I couldn't be happier. The food is amazing, the place is clean and welcoming. Prices are decent and Id come here everyday if I could.",HRrY-Btr-5w-TArnl7jBKw,1,0,5,xhVGpUac19y8n-XyXhNsrg
13657,2017-03-15,0,f4vb5tv60WaBcwzRhKpANA,"Just found this small resturant. I really enjoyed it! Great food and Coffee, and not to busy, I would highly recomend if you want to try something new for breakfast or Lunch. I eat out for lunch almost every day, and it is really nice to find something different that is a one off.",L4QIJWGdXiCe9QS00A_tdQ,1,0,5,q6cFYXhLM-wdfiJIbssg2Q
36865,2015-04-13,0,f4vb5tv60WaBcwzRhKpANA,Greek salad was exploding with flavor. Italian pannini was beautifully cooked. Nice side salad. Do over.,KvjiqBKROKlSQ8CZa6au0Q,1,0,5,epBsdlHXIia_gDv8O1teIQ
58037,2016-02-06,0,f4vb5tv60WaBcwzRhKpANA,"Latte - machine made, terrible
Omelet - microwaved, like airplane food
Croissant - overcooked, ack!

Not sure why people rave, all around crappy bfast for $21. Will never go back.",iimX6RwTcZSADAm-J6yPdQ,0,0,1,JYBHiup9VtYyunPQhFIKkw
60886,2017-11-14,0,f4vb5tv60WaBcwzRhKpANA,"A nice small place if youre in the mood for a light breakfast and or looking for something different. Almost all of their menu choices have cheese so lactose intolerant people should possibly/maybe stay away. Ordered the chicken parmesan sandwich and the sauces added to it definitely makes it pop with flavor that ive never tasted before. Its very original and I enjoyed it. Service is nice and friendly. They have the initiative to take care of you with your eating experience. My order of food doesn't make me want to come back though as its not too surprising or addicting to crave for it in my opinion. But all in all, definitely encourage everyone to go as I don't see anyone being disappointed here.",mE4AkyCenERLNx6voSJ2VQ,0,0,4,fu3WDRgMRvQvLNptDFvlaw
68135,2015-02-06,0,f4vb5tv60WaBcwzRhKpANA,My daughter and I had breakfast here first time.  this place is spectacular great French food I love it definitely coming back!,lJ4NkD1LIfCCxcm2hU04vg,1,0,4,ayGwdcw8iDubAYmVjfWyag
88529,2016-12-27,0,f4vb5tv60WaBcwzRhKpANA,"What a treasure !!! If I lived nearby I would be picking up my lunch every day. I had a delightful ""caprese""panini which came with a small green salad with a very nice ranch dressing. My companion had the 1/2 salad w/ 1/2 sandwich. Great greens with olives (2 kinds), cucumber, red onion & lots of very good cheese. The balsamic dressing was just right. His 1/2 sandwich was just enough to let me finish his salad. I'll  look for this place whenever I'm in the area, for sure. Lucky locals!!!",WIDp7cRUR5hTgET9MUgldQ,0,0,5,vPGpwbM_8fpgWZVQsLFrxA
171021,2017-09-12,0,f4vb5tv60WaBcwzRhKpANA,"Nanny's is a hidden gem in the area. There's no fake-American-French food here, it's all genuine. Lunch was simple, authentic, and delightful, from the fresh warm croissants with tangy marmalade to the savory soup du jour. The owner was engaging and loves her work. We will be back for sure!",gBUXkIKCdmKH2SKEBgHvzQ,2,0,5,F0lqQ6fprhN9tTsQQnrmHA
226916,2015-04-13,0,f4vb5tv60WaBcwzRhKpANA,"My fiancé and I were walking by when we decided to try this cute little French Cafe. He got the Belgian and I got the Spice. The sandwich are big and worth the price. Their made with fresh French bread, fresh toppings, great meats, and are serve with a small side salad. I wanted to try the Madeline cookies but was to full. We will definitely be coming, I'm excited to try breakfast :)",UCGMccnBlKtqFhS-sDRCYQ,1,0,5,RWVsYPDD3TFURx0OpJ-1EA
234857,2015-06-29,1,f4vb5tv60WaBcwzRhKpANA,Ok for lunch possibly not so much for breakfast - limited selections. Staff was very nice and accommodating!,NLhVGk4D5ctF8sZ45kkmHg,1,0,4,NFZTGSyP6sACbZPkI0eq8A
