,date,funny,business_id,text,user_id,useful,cool,stars,review_id
193,2015-10-17,0,fL-b760btOaGa85OJ9ut3w,"???????????????????????????????????
Best Vegas???????????????
????????( _) ??????
???...?
???1??????2?????????
????????????????????????????????????
????????????????????????????????(*´`*)
?????????????????????????????????",5oy_MM1skY1LvmdNNVVM5Q,2,0,5,0VOZHe_tfbhW3YvsBf5yxw
3856,2015-04-29,0,fL-b760btOaGa85OJ9ut3w,"I visited this restaurant at the end of March because I heard the food was great. I was very disappointed with the customer service. The cashier Caleb was not very friendly as he greeted me .  No smile or have a nice day in fact he didn't seem too pleased to take my order.  The waitress Jessica also wasn't friendly . There was no kind word or smile as she shoved my food into my hands. Never once did I hear , ""have a nice day or thank you ""  The food was great but the customer service didn't make me want to return .  I visited a place called Yardbird and all their staff smiled and said , Hi .  As I left Yardbird every staff member I came across smiled and said , thank u for coming, have a good day or come back and see us as they smiled .  I felt more welcomed and appreciated at Yardbird.  Good Customer service is very important to me.",Q-z64O1ia_8kPQBvgvj5TA,0,0,2,3F8Sb5EMhtkhG7atIRMLqQ
7737,2014-04-26,0,fL-b760btOaGa85OJ9ut3w,"Came for the famed Outlaw Burger. Hoped that it would remind me of some burgers from restaurants I grew up with which are now long lost. It didn't.

Food was OK. Service was quite nice. In the end, probably won't be back.",naWOT0hrWBoWt_Xx2CmzhA,0,0,3,7MXScgDQe3zTmocrvShzlw
10987,2013-10-22,0,fL-b760btOaGa85OJ9ut3w,"I'm pretty stingy with my 5-star ratings but this place wins all five.  Was craving BBQ this evening and fired up Yelp.  Proximity search brought this place to the top of the list and I headed over.

From the outside, the place looks like a real hole in the wall, which it is...this place has soul.  Before you even walk through the doors, the aroma of smoked meats sets forth the salivary glands into full production.

I ordered the Trio plate with pulled pork, spare ribs and brisket with a side of hush puppies.  For the money, the volume of food is a very good value.  I managed to eat about 3/4 of the plate and the leftovers easily comprised a separate meal.   The flavor of the meat was delicious and the sauce complemented the meal perfectly.  Even the hush puppies had a nice underlying spice to them that was quite addicting.  Something as simple as properly seasoning hush puppies tells me there is attention to detail here. 

Good food can get you four stars but its the staff that pushed it to five for me.  They were incredibly friendly and upbeat.  You can tell when a place is well-run by just listening to how they interact with each other.  It was clear that this staff really cares about what they do and have a passion for their craft.

Thanks for a great meal!",HjIEwmJUroTOhJKysPSZKQ,3,2,5,LSkhrhWWcSkBvxHtbV7UJg
20408,2014-11-28,0,fL-b760btOaGa85OJ9ut3w,"Plain and Simple.....Best Ribs in Vegas! N'ough said!
Pulled pork is juicy.  Peach cobbler is my favorite and don't forget to order a side if Blue Bell Vanilla ice cream.  This place really smoking hot.   We live in Henderson but we don't mind the drive.",H6CMymOJdPFCWvCuJ8aXqA,1,0,5,Nbr-K4knTwIbobxXmuNIiw
22837,2015-11-14,0,fL-b760btOaGa85OJ9ut3w,"Amazing BBQ. Definitely do not over look this place when you are in Vegas! Friendly, helpful staff and simply amazing food. Portions are big and worth the price. Got the meatloaf and it was perfection, other got ribs and a wrap and all was immensely enjoyed!",nsjEg8TrNUPkxULj5ucGng,1,1,5,gNNO7Rf7IpLwMDLkuZVAgA
22982,2015-08-31,0,fL-b760btOaGa85OJ9ut3w,"Made our way off the strip to this gem based on a friends recommendation- so stoked I did!!! Incredible everything, do yourself a favor and go here. Love it!!!",-SngsZESdOsuzzII_kZQqQ,0,0,5,h0Xsi9rUh1BK3MHR9_HoxQ
23021,2016-09-02,0,fL-b760btOaGa85OJ9ut3w,"Amazing, delicious, fantastic bbq!  It's hard to believe a place can live up to the hype, but this place does! We had the spare ribs, a rec from an employee, and they were perfection! An unsung hero that deserves praise is the cornbread...moist and slightly sweet, it was the best I've ever had. This will be on our ""must eat"" list every time we're in Vegas. 5 stars isn't enough! Thanks Rolling Smoke for making such great food! :)",ojBmq1xknwyEWnpqGKqwWA,0,0,5,UIdBNZ_OZghCCnMmRBWtgQ
23435,2013-12-11,0,fL-b760btOaGa85OJ9ut3w,"Best BBQ in Las Vegas, hands down!  The food, especially the peach cobbler is always spot on! The only thing that could possibly make it better is more seating.",vAQM9n2FrO0409excQ9biw,2,0,5,xzOiNFfTSpaJI63H0LNo4Q
23987,2013-09-06,0,fL-b760btOaGa85OJ9ut3w,"Best BBQ I've had in Vegas in more than 30 years here.  Had brisket, chicken and rib tips, with mac& cheese, and yams.  Excellent quality all the way around...the chicken was perfectly cooked...fully done but still moist...the mac & cheese was nice and creamy.  this is definitely my ""go to"" for ""Q.  Oh, and the sauce was really interesting...a little thinner than some sauces, and with a really nice balance of vinegar and sweetness.  Really glad I tried these guys and looking forward to more.",ZdUFyF5eNyZxete-T4bmZA,3,1,5,Cog9TEV80LyCgOcLrTJrZA
