,date,funny,business_id,text,user_id,useful,cool,stars,review_id
53306,2011-04-18,0,fTtkz2RhWNAp6jKiIzXf_A,"Almost gave this place 4 stars, but 3 is more on target -- still, if you're looking for a place to eat well and cheap in Vegas, this one's a great choice. 

The selling point -- high quality meat (especially their turkey and roast beef - these aren't deli slices, but instead are the real deal), and hearty sandwiches that don't skimp on the toppings.  Their small was more than enough to fill me up - it's a 9-inch sandwich, but loaded.

The Bobbie is my favorite so far -- turkey, stuffing and cranberry -- Thanksgiving in a sandwich.  The stuffing is what makes it -- really nice flavor.  I've also tried the Slaw B Joe - a roast beef sandwich with cole slaw.  A bit messy, but also good flavor, and I'm not a huge roast beef fan.

I'd rank this as #2 on my Vegas sandwich list (with Earl of Sandwich taking the top spot if we're only focusing on sandwich quality), but hard to beat Capriotti's for overall value, plus a taste of the local vibe.",_gjKuFxdQSLPrf6fYSiUwg,0,0,3,hu6weoE_jNZliXUc-6LX8A
97972,2009-12-08,0,fTtkz2RhWNAp6jKiIzXf_A,"Sitting here back at my desk in LA, makes me a bit sad with no easy access to Capriottis. 

We were searching thru yelp to where to go for lunch, and this came up. A Vegas resident said this place was the shit... and hey it was right by the hotel so why not! 

After my visit to Capriottis, all I can say is that I want more! Very yum to the Capistrami, like usual, I got a bit greedy and got the medium. I was full after the first half but didn't want it to go to waste cause it tasted so good! It was a perfect blend of warm pastrami and the cold Cole slaw inside of a fresh tasting roll. 

My friend got the Bobbie, said it was good but she'd def like it more if they warmed up the sandwich. 

This place is definitely one to add to my go to list while in Vegas :P",-VjzA52BiwSM_wG6gCI9FQ,0,0,4,Y2IfF0pzvfe6RQ4WvD-SFw
113223,2011-02-13,0,fTtkz2RhWNAp6jKiIzXf_A,"What I got: 12"" Cheesesteak with extra peppers

Pros: the sandwich was great. The mixture of cheese, peppers and steak worked well together.

Cons: the beef steak was a tad bit dry. The cheese made up for the lack of moisture.",HEzVlIJeVpwjiNCPXNM-aA,1,0,4,rt32nMpIR19sOMaBeKe0ZQ
173073,2017-01-04,0,fTtkz2RhWNAp6jKiIzXf_A,Worse fucking place ever. Called ahead to place an order and they kept me on hold for 15 minutes. I hung up and called back and they did the same thing. Terrible customer service. I showed at the store and all the employees have a nasty attitude. I left the store and went to Pops. Fuck you guys. I love the sandwiches but I'll never buy from this location again.,AIpV5NX1S2nC0nwEggE3JA,0,0,1,o7lU2prvYiRUo_wLPMSh0w
233914,2012-11-08,0,fTtkz2RhWNAp6jKiIzXf_A,"I was in Las Vegas for 5 days on business and had a hard time finding good restaurants, reasonably priced around town.  The sandwiches are fresh, tasty and plenty of vegetarian options.  Service was friendly and helpful.  Would definitely go back.",b_A2oyeyBd9FZVvI2fOCZg,0,0,4,ABTChXlQJ5uItbTJi5tgig
239268,2016-03-16,0,fTtkz2RhWNAp6jKiIzXf_A,"They were out of hoagie rolls, but we came in 30 before closing. Had Kaiser instead. Got the chicken cheese steak. Amazing sandwich. The cashier Anastasia is incredibly nice. You're gonna love it. Get the spicy peppers.",e7RwiaghLlnoV0Tvxk_PpQ,0,0,5,9mTThcw72Vkv_ebc1ulszQ
315541,2015-03-15,0,fTtkz2RhWNAp6jKiIzXf_A,"Our group went here based on Yelp reviews, and we all thought it was good -- but definitely not great.   There was only one other customer there during our visit... which makes me wonder if some of the reviews aren't legit.   The restaurant was very clean, and the staff was friendly.   The sandwiches were huge -- but nothing special.   We all wished our bread had been toasted, and really wished they had a drink machine instead of just bottled soft drinks.",KK0yrbCpmqlh_euFGnuzGA,0,0,3,_yVkpH9vJ9gs1Hm5txXWSQ
317743,2012-02-06,9,fTtkz2RhWNAp6jKiIzXf_A,"You know what I hate about this place?

It's that they ALWAYS forget to not put mayonaise on my sandwiches when I ask them not to, so I call the corporate office to try and get a giftcard since I have bought about 10 20"" sandwiches, all with mayo with on them, and the lady I get on the phone basically just laughs at me, makes fun of me for being upset, and low and behold no giftcard.

NOW THAT'S WHAT I CALL CUSTOMER APPRECIATION!!!!!",RJl_wSmM5qS9rt8Xn-BZWQ,3,1,1,mS0O2rZBc-oKajQaer41NQ
318661,2009-11-19,0,fTtkz2RhWNAp6jKiIzXf_A,"Best in town! And as Donald Trump would say... ""HUGE""! Consistently good and tons of flavor. The sandwich's they serve are unique and delicious!",Tb8BTQGWmOakuCmWm7K4mw,0,0,5,m2D3fe-xKSutoER346q-cg
338758,2013-11-03,0,fTtkz2RhWNAp6jKiIzXf_A,"Best food in Las Vegas! Best Sandwiches I ever ate! Capastrami is the best warm sub, The Bobbie is the best cold sub. Do it!",pf41LthTBTC0riW6OEgcVg,1,0,5,MTQFpV0SD7cBEV2vJ_7ffw
