,date,funny,business_id,text,user_id,useful,cool,stars,review_id
2044169,2018-05-08,0,foALwGxgEz8bvYw5lLqINQ,The best mediterranean food in town ! Exactly like back home! Fresh clean and taste amazing,1jU5f1U-voZh4IlQTgvWhQ,0,0,5,Zf6_eijqXeOW2FkXIDleMQ
2080585,2018-05-21,0,foALwGxgEz8bvYw5lLqINQ,"Amazing service amazing food!
Best shawarma I've ever ate, Hands down!
I'll be back for sure!!",UohHLLVA4Ia7rGidcPihww,1,0,5,W0oThUV6TZzUI13vBev5hg
2098791,2018-06-14,0,foALwGxgEz8bvYw5lLqINQ,Looks like Israel in Tel Aviv right on the Mediterranean Sea. Brings back good memories!,avWedrJjdu2vMmZKJibQ1A,0,0,5,vMMQsze4wqiCHx8-Nl2N4w
2216071,2018-06-10,0,foALwGxgEz8bvYw5lLqINQ,Absolutely delicious! The portions are huge and the flavor is the best I've had in town in years!!!! Make sure to come support this amazing place. I feel like I just traveled into a great shawarma place in Israel but I only had to travel to the corner of Sahara and Rainbow. My favorite was the laffa shawarma with all the veggies and side plates available.,URYTvHO6pxKajBt0EOQPUA,0,0,5,5JxKNn3r1-xkUACpIHa5fw
2389755,2018-06-26,0,foALwGxgEz8bvYw5lLqINQ,"Great food, Great service definitely will be a regular dinning place. Love the shawarma .",2Pq44IT8Uf1iVnfQpVhJNw,0,0,5,iiH3uCIWgs9JhpoLB1emhg
2406960,2018-05-09,0,foALwGxgEz8bvYw5lLqINQ,"Just went for lunch today and ordered the shawarma in lafa. Best shawarma I have had in the us and most definitely in Las Vegas. Great fries to. Really like the decor and cleanliness. Two thumbs up!
Highly recommend.",yfecnF8FjSERbKHf6QMFow,0,0,5,EWV6fMEpplUMt0phaSWFwg
2569035,2018-05-17,0,foALwGxgEz8bvYw5lLqINQ,Great fresh Mediterranean food prepared by a great  Chef his name is Moshe and his prices are very reasonable. I would recommend this kosher restaurant to anybody that loves fresh food.,i056aa0tNf-S-62QmJMYCA,0,0,5,kVO5SjIMshZCOqkErwR9oA
2642596,2018-05-08,0,foALwGxgEz8bvYw5lLqINQ,"Amazing food 
authentic israeli food glatt kosher 
The shawarma is like back home 
the closest u can get to back home by the taste the environment and the quality 
thank u moshe 

Great place to eat lunch dinner and breakfast 

Shawarma kabob falafel hummus and more .
Come over u will love it",jdXJUERAFseUN3UF7_rKGA,0,0,5,UBT05GWbE2ei34sSbKgJhA
2697469,2018-06-13,0,foALwGxgEz8bvYw5lLqINQ,"Great food, great service!
Highly recommended. 
Was looking for a good authentic Hummus in Vegas for a long time and I'm glad I've just found one!",iKoodZVuOYWMy8Jk36ddVw,1,0,5,yrKfVG037tzp7ZSJoFFOow
2727653,2018-05-08,0,foALwGxgEz8bvYw5lLqINQ,Visiting from Boston for vacation it's the best shawarma in town definitely recommend this place the owner(Moshe) and his wife making excellent food.,60NTirMEOEW5am87YjuK6A,0,0,5,NtXZkhJn0LXdqXgacBc_sw
2728378,2018-06-10,0,foALwGxgEz8bvYw5lLqINQ,Moshe will take care of you with the stuff on earth.    Cool place.   Cool people.  Nice atmosphere.,IdGt5n3oUA6-SBRfTPCLJg,0,0,5,dZipZ7KB6Czu81oyAhcsJg
2820390,2018-06-15,0,foALwGxgEz8bvYw5lLqINQ,They have the best food in vegas..its very clean very friendly.. Great customer service.. They kabobs and shawarma is on fire... Really enjoyed earing here,VFHDdgrx6C058bCxwPs4-w,0,0,5,ureKBgTt6Fe9c_LecXxRtA
3042058,2018-06-15,0,foALwGxgEz8bvYw5lLqINQ,This place is soo amazing and helpful!!! The staff are the best ever!!! I'm soo happy it's around the corner!!! They gyro fries are amazing,7Q9XkQnHgjuU92IiDqhrXg,0,0,5,5uEIxSmj4oTO7lj3CJm_Jw
3131367,2018-05-07,0,foALwGxgEz8bvYw5lLqINQ,Hey everyone one of the best food Middle Eastern you can find in Las Vegas great service lots of food the price is right I definitely will come back many more times if you're looking for typical Middle Eastern foodFlavorful that's the place thank you guys God bless See you tomorrow guys for lunch LOL,LF1gSGJAo-QQdXSWwXKGtA,0,0,5,C-5EG_6LB_CyV2aBqt-xHg
