,date,funny,business_id,text,user_id,useful,cool,stars,review_id
54031,2012-05-31,0,g6w4kX7tvCqGKAxr07aBQA,"Came here for breakfast one morning when I really needed something simple and greasy to calm my stomach. The service was decently quick, but then again I only ordered OJ and hash browns. They were just okay... kinda bland, pretty mushy, but then again I didn't specify them any particular way. I did have a group of friends here very late one night and they were waiting for their food for an hour and no one was the least bit sympathetic or apologetic. They told the manager they'd been waiting an inordinate amount of time and were told ""what do you want me to do about it?"". So... maybe just don't go late at night.",yjB4myNUyWyPpkIHY4kdcw,0,0,3,r6IOFml7M306SL7C4_E2dQ
300404,2010-07-16,0,g6w4kX7tvCqGKAxr07aBQA,"This place was completely adequate.  The food arrived as ordered and was prepared just fine.  I'd read some reviews about speed here and I did have to wait a few minutes to be seated even though the restaurant was not even half full.  Once I was seated the speed was fine.  

Overall, nothing to rave about and nothing to seek out but if you're downtown and need something decent to eat, don't be scared to check out this place.",Ud4G0PpVenYmXTAr0Y20WA,0,0,3,MaQhQdQ7IaSuHbMrZRtwwg
359119,2007-03-18,0,g6w4kX7tvCqGKAxr07aBQA,Maybe the service is a lot better in the day. The first night we went to eat here the computers were down so they couldn't seat us.  The second night around 1am the service was real slow. The food took a long time to get to us.  I could say the food was ok. If you have the time to wait around then this place isn't bad. I would rather eat at the snack bar at the golden nugget.,R3CB9TYXCXw2JfMTqJlSwQ,1,0,3,eLoEALQ_Seon5b2rOGjuEg
467288,2012-12-13,0,g6w4kX7tvCqGKAxr07aBQA,"On 12/11/12, the Carson Street Cafe was ordered closed by the Southern Nevada Health District for ""gross unsanitary conditions ... including pest infestation."" 

The employee dining area was also ordered closed.

http://www.lasvegassun.com/news/2012/dec/12/nv-golden-nugget-infestation/

Reportedly the management claims to have remedied the problem to the satisfaction of the health authorities, and the affected restaurants may have reopened.",df616h7n58jbHfYO5OdbvA,1,0,1,xbLex8J946ZfPACFr-Qktw
624417,2010-11-29,0,g6w4kX7tvCqGKAxr07aBQA,A serviceable breakfast choice bit a bit overpriced for what you get.  Denny's food at twice the price.  The breakfast buffet will cost you the same.,wOqSXOmmwseNkjLn3E4irw,0,0,2,hmrPd1Oc36Yo7at-JtVJ7w
863432,2011-08-18,0,g6w4kX7tvCqGKAxr07aBQA,"The Aloha french toast was the best thing on the menu.  They are made with Hawaiian sweet bread, battered, and griddled.  Served with strawberries and bananas.  Not to heavy and the fruit is a good complement to the french toast.  It is the thing to order.  The Asian chicken salad was nothing to write home about.  The rest of the menu was your basic diner type food.  It's decently priced for what you get.  Would come back for the Aloha french toast for sure.",kHj8TJoHm3enHpSzOLZb3g,1,0,3,5tXu5zQBGKz73bbvaCrzOw
891023,2011-07-19,0,g6w4kX7tvCqGKAxr07aBQA,"Ate at this restaurant following an afternoon of gambling.
The restaurant is large and has a decent menu of AMerican food.
The food is good and the service is spot on and quick.
Not too much to say. 
Its nice, clean, inexpensive and good!",BSHNv4CBcSEi4FlPw6-gPA,0,0,3,I8HYvvhiwR6rUdMw7ntzoQ
967485,2010-11-08,1,g6w4kX7tvCqGKAxr07aBQA,"Late night at the Rush Lounge watching the Frankie Moreno Band. After the show we were all ready for ""fourth meal!"" 

Quick stop into the Cafe for a quick bite around 2 am. 

Not. 

1. took forever for the food to come out 
2. food was not piping hot but just kind of warm by the time we got it 

I had the nachos, he had the breakfast special. Nothing special about either of these. Stale chips, cold cheese. Cold bacon, cold toast. 

Terrible experience. We won't be back. I KNEW we should have gone down to the Golden Gate. Guess my friends will listen to me next time! 

Save your money and your time. Skip this place ... unless of course you like cold food and slow service.",m2gyh-W4wdVEAPmp6pkV0A,1,0,1,p-0EUQk7WAMwUn7CNSS3yQ
1199878,2007-07-02,0,g6w4kX7tvCqGKAxr07aBQA,"One of your typical 24 hour casino cafes located across from the pool.  It earns an extra star because it is at the Golden Nugget...one of the few places in downtown Vegas that doesn't make you depressed.  

Space is huge but service left a lot to be desired.  It's pretty hard to mess up a tuna melt and they didn't.  My friend had their loco moco (egg, hamburger, rice...a hamburg-silog for you filipinos), which he said was pretty good.  Prices were on par with other 24 hour cafes...about $10 a dish.",mZokz37TaR5jFgMrx4WyFw,0,0,3,258DZt1QdL4prYrbhOMLyQ
1448563,2009-10-12,0,g6w4kX7tvCqGKAxr07aBQA,"This cafe is located near the lobby and pool of the Golden Nugget hotel.  Our server was nice and this is a nice place to eat.  Prices were decent and it's a nice alternative to all the buffets. ( I still recommend the GN Buffet with the famous GN bread pudding!) 
However, with two little ones, buffets were just too much food to consume for two lil' tummies, so we opted to take a break from gluttony and check out Carson Street Cafe.  I'm pleased and will consider coming here again.",Bz1kW9-YSBA0kGWRFS0sjA,0,0,4,adLkKKuz_aI7FVsthUdyLQ
