,date,funny,business_id,text,user_id,useful,cool,stars,review_id
12175,2015-04-14,0,g8oxQ1Ji9mr9PMjhEfaWSg,"Lots of fun and great atmosphere. Food was good. They put in a couple little ""skits"" and get the customers involved in everything. Overall highly recommended and would go back",AhmD-lNS9kcep-LhY10z2A,0,0,4,hT9_YYolvZN61T3UA-RF9w
14794,2013-09-29,0,g8oxQ1Ji9mr9PMjhEfaWSg,"I came to this place because i went to one in boston and had a great time....they are supposed to be rude to you and i understand that but my waitress was just horrible. we never got our drinks...our food was forgotten about and when i told her we never got our drinks or food after 45 minutes, she said well what do you want then. How about my food im paying for! Ugghhh i was so mad and i will never go back there again.",YwNJYW9eZlppThXaKq9_fQ,3,0,2,a7XPWuINGqVlGwsLOBQlSA
18704,2016-07-06,0,g8oxQ1Ji9mr9PMjhEfaWSg,"Disappointed in this place. Our group had a great sense of humor so we were really excited to go. The food was pretty good, but the waiter (o****) forgot the appetizer and waters. Then he barely checked in and we had to wait forever for other foods requests and the check. The rest of the tables looked like they were having a great time though. The waiter made some jokes about the girls flat chest (not original or with a funny twist even) and no one even got a insult hat. Very boring night, felt like I was watching the opening act on last comic standing.",MThwAttQdgDBVm7DbeT8bA,0,0,1,Zj9LnHD1maW006H7VTC27A
20667,2016-02-25,1,g8oxQ1Ji9mr9PMjhEfaWSg,Ok but why offer buy 1 drink get 1 free vouchers when the price is really a 2 drink price!,EZnk8FrK5pZ8TCUi7s59ww,0,0,3,7S6fNZF_dXWfsf7dGass9g
27692,2013-10-17,0,g8oxQ1Ji9mr9PMjhEfaWSg,The food here is completely over priced for what you get. The whole insulting atmosphere is fun to a certain extent but only for a short period of time and probably more so when you are drinking which we weren't. This place should be a bar only and either get rid of the food or hire a new cook.,vMVHqq7SHGmJ_jrxA8aySg,2,0,1,wly6oUymbWKD9z5jzqk9QA
29156,2014-05-19,1,g8oxQ1Ji9mr9PMjhEfaWSg,"We visited October 2013 before and after a show at the hotel that Dick's is at. Our lunch was overpriced, but we enjoyed the crude entertainment and drinks. We did opt for the souvineer cup knowing we would want to come back for drinks after the show. Our first experience was pleasant enough and left us happy. 

When we came back that evening though, the bartender was spending so much time with a patron across the bar and taking selfies for her, that he flat out ignored others at the bar. When we finally got his attention, he tried to overcharge us for our drinks. We did have to ask him about it, and this is where it draws the line between funny crude joking to flat out being a true dick. The bartender didn't know the difference at that point and was literally being a jerk. We did call him on his attitude knowing we could be misinterpreting it, but he had a totally jerk ass response and validated that he was being rude. We didn't deserve this. We paid, but left without tipping. He went back to flirting. 

I would have expected better from the bartender (even mediocre service) being that this place is a tourist location.",jTgTKPvDPkhQ2N0ZrFC-3w,0,0,3,rDCPzOp7Ukw6gf0OKW0dWQ
30970,2011-12-27,0,g8oxQ1Ji9mr9PMjhEfaWSg,"If you're going to Dick's, going with a large group makes it more fun. Some waiters' jokes are funny and some of them aren't. Each server has their own style of being a ""dick.""

Ryan, thinks the food made him sick. He threw up a couple hours later. I (Kalila) am convinced that it wasn't the food that made him sick, because we ate the same exact thing, but I did not get sick. We ordered the Buffalo Chicken sandwich and the Brisket Sandwich. The buffalo chicken was ok and the Brisket sandwich was disappointing.

Ryan ordered a small Blue Moon. It was in a small plastic cup and it turned out to be $7! It was definitely too small to be $7.

I would go back if there were an occasion to do so, but it wouldn't be a ""OOH! Let's go to Dick's moment."" It's fun to go if some of the people in your party have never been before.",_5i-gReOmEts7CLmnZXZ6A,0,1,2,YdJbqPMCnv76tahir5506g
31632,2016-07-15,1,g8oxQ1Ji9mr9PMjhEfaWSg,The food was decent and the concept was to fun to start.  In my opinion they were out of line the way they were treating children at the tables around us. I would never bring my child to this place and suggest no one else does either.,gIWWSnPgXl6SaIWniJHtyg,0,0,2,MBe_CrF5a_OGHkmp338ATg
34028,2016-10-09,0,g8oxQ1Ji9mr9PMjhEfaWSg,"Love this place! Always have a great time but so very disappointed that they've eliminated so many of their breakfast options.  Even so, bring back the Loco Moco!!! That's good for breakfast, lunch or dinner!!!!",FW00X7ce1MOqMNQayBRoqA,0,0,4,CIELDCM8PCxxN-SoPfuu5Q
46561,2017-05-20,2,g8oxQ1Ji9mr9PMjhEfaWSg,"So we went here because of the reviews - they were wrong.

If you get the waiter who is named Oscar, just leave before it starts.

We had a party of 4 and the bench table had another party of 4.  It was mildly funny at first with the rude attitude, but things got uncomfortable when -
One of the ladies had her phone out when Oscar was at the table.  He grabbed her phone, stood on the bench seat, took a photo of himself holding his genitals, then told the girl she had a ""disgusting phone"" while rubbing her phone against his genitals - then literally licked her phone.

Things then got more uncomfortable when he wanted a picture with one of the other girls, telling her to grab his moustache as he pretended to grab her breasts (while commenting negatively about their size).

He made not just rude but down right offending remarks to our table (which I choose to omit).  There's a ""rude and fun"" atmosphere and this was just down right offensive and uncomfortable.

The beers my wife and I ordered were brought out and not what we ordered - and when I commented on it he basically told me to shut up.

The food tasted pretty good for what it was.

The last straw was the hat incident, which resulted in my wife walking out immediately upset.  I wanted to ensure the bill was paid, but the waiter couldn't be found  (after walking around for several minutes I told a waitress he needed to come back).

I told Oscar he went way too far and I wanted the bill.  He then asked me what it was that I had ordered.  I had enough of it, and I went off on him telling him to figure it out since he had written it down - and telling him to get the beers he gave us correct on the check.

Which then made things worse as someone at a nearby table got angry at me for waking up their infant in a stroller  (yup, a family of 5 with 3 young children were there) and literally stood up as if he wanted to fight.

My wife and I have a good sense of humor and have no problems with rude and crude, but it went way too far.

The manager spoke to me after the incident and was actually concerned.  She was unhappy to hear about what had happened and she did what she could to set it right.  I am only, hesitantly, giving it a 2nd star because of her.",MzyNt92GZ9CCBMn-b9fMdA,0,1,2,x7QJk-5TifSpCBY5poBDtw
