,date,funny,business_id,text,user_id,useful,cool,stars,review_id
1690,2017-05-09,0,gNhxs9nPUSkVBSSIRQOgaA,"Excellent food - take this from an Indian foodie!! I Tried vegetable Thali - chotey, saag paneer, daal, Raita, hot naan and rice along with chopped onions and pickle",etbAVunw-4kwr6VTRweZpA,0,0,5,3SheDCLpvTBPK8b_L2q8jg
150998,2015-10-29,1,gNhxs9nPUSkVBSSIRQOgaA,"I went there yesterday with a friend. We had samosas, which were very tasty and original. However, we were very disappointed with the Vegetarian Thali. Only the naan and the raita were good, the chick peas, spinach and the other dish all tasted badly. I had the feeling that it was just warmed up processed food. I am used to better Indian food, even in cheaper restaurants.",iugFmKO4cjcBVnz8Kh9lXg,0,0,2,YHoLpnyX-1xOvLTMKOpJew
219759,2015-12-20,2,gNhxs9nPUSkVBSSIRQOgaA,"YAaaaaaaK place for indian food !!!

Damn expensive , & worst food ever in the entire nation !!!

Spoiling the name & fame of the country !!!

They dont offer a cup of water to their customers & rather guide them to the fountain near the restroom !!!

No star at all",yi4C52eqeLueoCeiiD4qAQ,2,0,1,1UFBylElXDv-KSl7IHBvdw
321992,2015-08-15,0,gNhxs9nPUSkVBSSIRQOgaA,Amazing fast food. We got the gobi manchurian; it is delicious! They also have full vegetarian plate. I'm coming back for that next time! The waiter told us they switch out the curries so you will get a different mixture everytime.,ariShApYbOEpi7OOAan8nA,1,1,5,lyPH5oprD2WKUm0aVJ3rUA
335323,2016-09-16,0,gNhxs9nPUSkVBSSIRQOgaA,"Really tasty food. We got the chicken biryani, and the Chicken Masala. They were super delicious, and the chicken was well marinated and spiced.",_PhPKhddLJuaLYspdBLQnA,1,1,5,5K1fK3f5dOp5L9Jm7QHV7Q
342424,2015-12-18,0,gNhxs9nPUSkVBSSIRQOgaA,"I can't even give this place a star. Not my first time eating Indian food. I'm from a very heavily populated Indian area back at home with many above standard dining options. This place did not fit the mold in the least. I ordered 2 dishes...Tandoori Chicken and Sheekh Kabob..the Tandoori Chicken was dry, not made to order and cold with a foul odor and taste. the Sheekh Kabob which was questionable as well and was in fact not a kabob. After 3 bites I knew this food was going to end up making me sick due to the fact that it was not fresh but rather food that had been sitting out for hours. The naan was also served cold and not included with our food when buzzed for pickup although it was already paid for. 

The service was worse than the food! When I ordered I received nothing but rude mannerisms from the cashier who failed to do her job efficiently and felt the need to express her frustration with the customers. No matter how polite I tried to be and I'm a very patient person,this cashier continued to be rude. After realizing the food was no good I immediately brought the food back to the counter and demanded a refund. The cashier explained she would need to get the manager..she returned moments later with no manager and stated there was no manager. When I demanded a refund for the full amount paid of $25 dollars she refused and proceeded to call mall security!!! She then moved the tip jar from the counter. I could care less about the tip jar but mall security!!!?!! Security explained I had to fill out a report and make a complaint to the corporate office via guest services. After doing so I have mixed feelings and do not feel I was treated fairly. I will not return to this mall either being that ceases palace is only a hop skip jump away with better shops and food court options. Beware!",vnv4mqDk6hUkCu9DRje9IQ,0,0,1,U-b6cBr3-W59a9xJjZcqiA
387388,2017-08-29,0,gNhxs9nPUSkVBSSIRQOgaA,"Excellent vegan options! The Aloo gabi, vegetable samosas and naan were all great! Full of flavor and a good quantity of food for the price. Highly recommend.",mOlf4y4HI8apNe1LznyQvQ,0,0,5,zyq96jJDb5cFAZ7W0eyobg
463430,2015-08-06,0,gNhxs9nPUSkVBSSIRQOgaA,This place is simply amazing!! I was a big fan when they were at the riviera and im super excited about this new location as well....I have to say this location is much nicer and cleaner than the Riviera...but the food is the best part which continues to be transferred over.....we visit vegas for work and this place is our absolute go-to.....they have the best south indian dishes!!! The Masala Dosa is my most fav!!! The staff is friendly and the service is good too.....A must try for anyone who like indian!,ZBlwptNjc14E_BSOXhjzrA,2,1,5,ZRj--69jk2dr6v-qm58H2g
507834,2016-01-21,0,gNhxs9nPUSkVBSSIRQOgaA,"The food is really good and always tasty. It's also consistent I've been here a couple of times and they have had a consistent taste. The reason for my 3 star review are the portions, they refused to add an extra meat option. The cashier one time told me she would note it on the ticket since they didn't have it as an option she couldn't charge me for it but she would note in the ticket and see what the cooks say, when I went to get my food I asked the cook and he said yes there's extra but then looked at the cashier with a displeased look in his face and told her next time tell them no. I'm not asking for free I'm willing to pay, the lack of options provided for adding extra has driven me to write this in hopes of they change this.",U7aDAUUc9HphAuBeG9sfmA,0,0,3,hAYTBKLVtxvK0QniCrLkag
535727,2016-04-19,0,gNhxs9nPUSkVBSSIRQOgaA,"I'm always picky about Indian food outside India because it's not usually good. And sadly, good Indian food is hard to find in Vegas. But India Masala turned out to be a hidden gem with great food and excellent service. The vindaloo chicken and the lamb kebabs were especially great! Definitely plan to go back on my next Vegas visit.",uva6s4k1e6L6uk1b9OPtwA,1,1,5,jQ7fYFF22xdUytuxw5pu-A
596091,2015-07-15,0,gNhxs9nPUSkVBSSIRQOgaA,"I came to las vegas for a quick business trip over the weekend and was looking for some great indian food but i did not have enough time to go to a nice sit down place. THEN I FOUND THIS PLACE in the fashion show mall none the less, best location for any tourist to come. Not only was the food served to me fast but it was so fresh and it tasted amazing. 

I ended up getting the non veg combo platter ( which included chicken tikka masala, chicken curry, rice , naan and some lentils)  since i wanted to try a little bit of everything and i also got a samosa chaat with an ice cold mango lassi. I must say for all this food it was reasonably priced , especially for the location on the strip. 

i will definitely be coming back to india masala on my next trip.",ZUq7NZK4jY7BrmEnjX9fsQ,3,1,5,S87w6s7Lp76n1IAVFmJw7g
618722,2015-08-14,0,gNhxs9nPUSkVBSSIRQOgaA,The service it was amazing the food was amazing everything was amazing so happy they open this place at fashion show especially since I switch to vegetarian some times there is plenty of options I will be going back again and again and again,qfrXs6-7GDCsqutvVokiUA,1,2,5,fD4BnXzlbZoctrrMzAoS3Q
712116,2016-08-19,1,gNhxs9nPUSkVBSSIRQOgaA,Horrible food and worst customer service.Ordered thali it was tasteless and looked like two days old.please do a favor for yourself by not visiting this place.,7o-jomZCIWe-7TFTlH3YtQ,0,0,1,e9rzyfkAd3X-E1PF9EDW7w
738516,2016-07-09,0,gNhxs9nPUSkVBSSIRQOgaA,"Good Indian place in food court. Paneer butter masala and Shahi paneer were awesome. Naan is great. Thali is not recommended, instead go for individual entree which includes rice and naan. Gobi manchurian was disappointing.
This place provides good service.",CaX34REkzBzq14Y4ScvS-A,1,1,4,VIOhJxl50FBtlbweUcHlsQ
806712,2015-10-31,0,gNhxs9nPUSkVBSSIRQOgaA,"We happened  to eat  here while on vacation which offers good Indian food although little expensive , we stayed in Trump International which is just opposite to the mall entrance . 
I ate lunch combo or thali on one day and masala dosa on the next both tasted good enough ,we even tasted biryani which is fair enough but not authentic .We hadn't had quite a chance to dine in other Indian restaurants , so I could not conclude whether it is the best Indian food or not but a good place to eat in when really hungry n craving Indian food .",6sheMoVcv6xrs1E7-bNPZQ,2,1,3,inkvHM5lPRSCdmDOdFi39w
827787,2015-06-06,0,gNhxs9nPUSkVBSSIRQOgaA,Best Dosa place in Town... Good thing is Fashion Show mall and prices are very Affordable.,islX6JXyQV69u0F_ofkVkw,1,1,5,g3kaXmRPLVfr6mGz9YueAw
849594,2015-06-14,0,gNhxs9nPUSkVBSSIRQOgaA,"I was so relieved to find out that India's Masala had finally reopened. It used to be in the Riviera food court (the only reason to even go to the sad Riviera), but since its closing, they have finally reopened in the food court of Fashion Show mall. Being new, the little stall is much nicer than their space at the Riviera, with more attractive design. I have to admit, the only thing I ever get is the masala dosa. South Indian food is hard to find in the U.S., so whenever I do find it I am excited. Their dosa is very good, not the best I've had, but much better than you'd expect from a food court.  I also get the mango lassi, which is excellent. I haven't tried the curries yet. Someone else at the counter was picking up naan on my last visit and it looked buttery delicious. I will have to try it on my next visit. Just so glad they've reopened!",em_fRBi8BNOZ6q8jT0v-mg,2,1,4,sbCZ1DYbBG-05XRgeZrfqA
865777,2016-12-31,0,gNhxs9nPUSkVBSSIRQOgaA,"2 and 1/2 star actually.

This was the first Indian meal of the long trip we had planned.  It took a little while for us to figure out that this restaurant was in the food court of Fashion. The Gobi Manchuria could have been better. We had ordered the Veggie Thali and it was ok. Dosa was ok as well.",dGuOVCfGNePI2CLCRkCAgQ,0,0,2,oz5LcgzE6S_3rla4Wuv-hw
886888,2017-09-26,0,gNhxs9nPUSkVBSSIRQOgaA,We came at 8:40 and they say they are closing and only have limited menu. We walked all the way to get disappointed.,bNQMJ8SrLirpOYNEXF7Q7g,0,0,1,PeVbKaaXwU_gCNeQGH89NA
906836,2017-07-22,0,gNhxs9nPUSkVBSSIRQOgaA,"We used to visit this place when it was in riviera. It was one of our fav then. However they moved to fashion show mall and we visit there again but this time it was okay experience. We order samosa, medu vada and dosa. Samosas and medu vada was surely not fresh, felt it was refried and old from last day. Dosa was good though. Also the price have gone up.",NkrmPMGQaAiRHGqu5eR_sg,0,0,3,yyj2NXd8cIg4nGe_yu6wgw
914031,2016-12-31,0,gNhxs9nPUSkVBSSIRQOgaA,"This is one of the few vegetarian options in the Fashion Show Mall food court, and it's super tasty! I had palak paneer. It was well-seasoned, a tiny bit spicy, with generous chunks of paneer and served with nice, airy long-grain rice and a piece of tasty buttered naan. There is even a vegan option on the menu, the aloo gobi (cauliflower and potato dry curry). The service was friendly and efficient. Tip -- if you want water, ask them for the sparkling water / club soda from their soda fountain (which they provide for free) rather than filling your cup from the water fountain around the corner.",gfYOmCKPDni8L3Dd_jibNQ,1,0,4,DJ1jOsbQUGpYVjFBXG2bdQ
