,date,funny,business_id,text,user_id,useful,cool,stars,review_id
24800,2015-05-10,0,gRdBkmXdRqUzDMkcMtt7rQ,This place is pretty darn good. Came here for breakfast and had the machaca plate and my hubby the carnitas burrito. The food was delicious and authentic. The salsa bar was fantastic. The restaurant was clean and comfortable. The people were especially nice and attentive.,QWUCx_phlA-LNq8ykamQgQ,0,0,5,kCrrw_DSRn6gXFielT04_A
223548,2015-08-19,0,gRdBkmXdRqUzDMkcMtt7rQ,"We're still going here all the time. It's so good. The rolled tacos are addicting, this had nothing to do with my pregnancy, I'm still addicted. The staff very nice & the place is clean. It's nice going to a place that actually smiles & talks to you.",7kAcGdKq2HS_VNxy7c32nQ,0,0,5,4-EYeetyCjx48xV7F_z75Q
236794,2016-07-16,0,gRdBkmXdRqUzDMkcMtt7rQ,"Avoid unless you dont mind non-existent customer service.  Food is usually fresh and tasty, get takeout here frequently, mainly due to location near house. However, customer service is non-existant. No one ever smiles or greets you. Twice an item was left out of order. When I mentioned it during my next order (in person) I was treated very rudely. I never complain unless something is really an issue, and I thought this deserved it. I work in customer service/hospitality and this is what will kill a business. Learn how to treat loyal customers better. I will be finding a new place to eat :( ps: maybe it was karma (I hate to complain because I am afraid of this -  complain before ordering and you probably won't get the ""cleanest"" food), maybe it was the food, but it was the first time I got sick after eating there, too :(",XPjJA-R23vpIfzlRrBjRXg,0,0,1,-t3TTs1NgFETgDU7co7_Dg
325639,2013-08-21,0,gRdBkmXdRqUzDMkcMtt7rQ,The best nachos in Vegas. Ask for extra pico de gallo and be sure and use their red hot sauce LIBERALLY!,_3i_qLMRHFdYwUSYZotCWg,1,0,4,4zeOWSsunSiBZv09XaL4VA
446466,2016-09-19,0,gRdBkmXdRqUzDMkcMtt7rQ,"Only giving this one star because I have to buy it definitely doesn't deserve one. If you have ever had food from any of the other Viva el tacos you would know how delicious their food is, but this location unfortunately has much lower standards. Food quality is horrible. The carne asada meat they use is disgusting and full of fat. Also they charge extra for drinks, unlike the other locations. On my order specifically I asked for no Pico De Gallo on my carne asada fries and instead of making me new fries like they should they picked out the pieces in the one they first gave me. Truly such a nasty experience. Hopefully you get the chance to try out one of the other locations because this one is horrible.",Cjw5OceJO-EilphiQYUtNg,1,1,1,N9NBibCOhFg9sLXEQuU11A
517178,2013-08-15,0,gRdBkmXdRqUzDMkcMtt7rQ,best bean and cheese burritos.  love the chicken tacos (hard shell),EQbrBCcpO7lms1JtA24Vbg,0,0,5,KlEEnGr0zR-fhJREE0ThYQ
640956,2017-02-05,0,gRdBkmXdRqUzDMkcMtt7rQ,As a real Mexican I can assure everyone that this place is not all great the meat is dry and honestly I found no taste in the tacos. I wouldn't recommend it,hke98cQ1pqZW9g2fHipc3A,0,0,1,81-U-Wkr3sVHPayI-FSuGw
900748,2014-10-25,0,gRdBkmXdRqUzDMkcMtt7rQ,"The chicken torta was great moist flavorful chicken and a perfect roll soft but substantial. The fish tacos were fried fish. Normally not my favorite,  however, the batter was well seasoned and crispy and there was no over powering fish taste to the meat just the way a good fish taco should taste. I look forward to my next trip to see these guys.",loABKxYed5IBdU4mkA8rmg,0,0,4,aD2GbO0G4np2DIgnOXy2Zw
939864,2014-07-11,0,gRdBkmXdRqUzDMkcMtt7rQ,Worst guacamole EVER.  It was thin & watery.  The chips (that weren't completely cooked) were soggy.  The refried beans were too salty & the Spanish Rice was just OK,Ri0C0N4nFPPZflejutx-jg,0,0,1,r9zaPzn7XjH1MDLc7ml6Jg
1027672,2014-07-16,0,gRdBkmXdRqUzDMkcMtt7rQ,"The good here was OKAY. I had gone to a really authentic Mexican style restaurant called ""Taco Bell"" a few days before and was using that experience as a barometer. They had several different levels of spicy sauces and a lot of menu options. I would eat here again.",fMpJ2AwZEFvrVk2vYT0prA,0,0,5,6rCG0hKgxTZKZM89OYGDkQ
1247773,2015-03-01,0,gRdBkmXdRqUzDMkcMtt7rQ,One of my favorite places to eat when we are in town. I love the fresh condiment bar with the spicey carrots. My husband likes the hard shell chicken tacos. Will definitely be coming back!,m8rPjGOW7hhLl4yPaEnPTA,0,0,5,1Wsev4Dg8D8-MQxL-8_N0w
1272709,2012-03-19,0,gRdBkmXdRqUzDMkcMtt7rQ,I went here for lunch. This is just your run of the mill mexican joint nothing to special. My biggest complaint no Dr. Pepper.. are you kidding... DP is the most important thing to have at a mexican food place..,bZoSnaSJp69tBZ3QPZogUw,0,0,3,vSV8P_npjQNJArIZsM47OA
1281326,2016-03-16,0,gRdBkmXdRqUzDMkcMtt7rQ,This place was really good! I ordered the chicken California burrito with guacamole (extra). Super clean too! The size of the burrito was worth the money spent. The salsas were good as well. If you're in the mood for mexican food this place will hit the spot. I have no complaints about this place. Definitely a spot I'd come visit again.,CPb2q-BhdqlFdqRU92mY6Q,3,1,5,HLfilwEDEPEu3nKlmlj4kA
1326855,2014-10-25,0,gRdBkmXdRqUzDMkcMtt7rQ,Horrible...I'll never eat at this place again. I found spiders crawling around in my carne Asada fries... Disgusting,ICaHk2r6H5Lyt2v2OZcLAg,1,0,1,vo4dbZiGsaCr3qoK1uQ-XA
1485386,2016-08-21,0,gRdBkmXdRqUzDMkcMtt7rQ,My sister went to pick us up breakfast and ordered 2 breakfast burritos without meat and 1 breakfast burrito with bacon. All three came with bacon. My sister has been vegetarian for years and took a bite out of the burrito and needless to say is very sickened right now. The customer service seemed careless. We won't be going back.,S0CoicW7iXxOw-kN01IXWQ,0,0,1,OCsUSE_jHiaZBA7p1zY8Sg
1512337,2009-02-21,0,gRdBkmXdRqUzDMkcMtt7rQ,"I'm not really sure how I feel about this place yet. I got the chili rellenos, and didn't really care for them...they had a funny windex flavored aftertaste. My hubby really liked his carne asada burrito though. They have a pretty wide variety of things you can order, so I'm willing to give this place another try. I really liked the green salsa (lots of garlic), the red was pretty average. The prices are reasonable. My hubby's burrito was big and full of steak that he really liked. I'll post again and re-rate after I try something else from here :) So, for now it can get a middle of the road.",XrlYaTPoZTpi-iluryFNcg,0,0,3,atuf0gJdEIpJcCk-mcfAgA
1747801,2015-07-10,0,gRdBkmXdRqUzDMkcMtt7rQ,"I guess this review is a little biased, because they did mess up our order-they forgot the flavor! Wow, just the most bland food I've had. I can't believe there are multiple locations. I should have known when I walked in just before 5pm, and the place was empty! 2 stars because it wasn't terrible, just bland",DJurXFjGihnPio1hL-c8-A,0,0,2,1erfSUm8teWZgn46hHG2ww
1910957,2017-09-04,0,gRdBkmXdRqUzDMkcMtt7rQ,"Super Burrito Carne Asada is absolute perfection. This place is an excellent neighborhood burrito spot and I am so glad for it! The spicy carrots are top notch, rolled tacos and chicken crunchy tacos are great. Try Viva El Taco, anything this place serves up will be delicious!",B3T9gFiY3UN9YbpahMU35w,0,0,5,WEm-OZEIzjKItCXHy0Dhjw
