,date,funny,business_id,text,user_id,useful,cool,stars,review_id
55229,2012-10-19,1,gwYt_q3Ob7aQJIefIBsZiQ,"food is good , but it is dirty and a bunch of kids work there and they are very disorganized and unprofessional.",enP5LsFbA-eEl_ruO53GTQ,1,0,2,sYPCop9MlFU-tdCKo9zDjQ
60703,2011-06-17,0,gwYt_q3Ob7aQJIefIBsZiQ,"growing up with canes in the south, it definately takes me back to eat here.

unlike some other posters, canes chicken fingers ARE the best i have ever eaten, but they are really only a vehicle for consuming the Canes sauce!

the sweet tea is also AMAZING!  i dont live in vegas, so as im leaving, i always get a jug for the road out!

a limited menu (in this case) means one thing-  you dont really need much else!

on a trip to las vegas filled with $150 per person dinners-  canes is usually the first place we hit upon arrival!",iByuhcbuYTQkXoYy8sM4NQ,0,0,4,SVWYl4ZqB_YaBuLcZkQttQ
139187,2011-06-30,0,gwYt_q3Ob7aQJIefIBsZiQ,"When it comes to fast food Canes is a great spot.  Fresh chicken fingers, crinkle cut fries, fresh coleslaw, Texas toast and secret sauce.  That is what you can expect every time you come here.  I love it, my wife loves it and most importantly my kids love it.  The hardest decision you will face when your their is wether to choose the sweat tea or lemonade.",DWfos3PxcrkqAJoAZHEg3A,0,0,4,SFUVNOS3gi1l5Bwf_6S1oA
173998,2017-04-03,0,gwYt_q3Ob7aQJIefIBsZiQ,"My daughter and I visited this location last weekend after a baseball game. We were greeted by a super nice employee in line in the drive thru that chatted with us about hating the Cubs lol and gave us free samples of the lemonade (amazing by the way!). Anyway, went home and thoroughly enjoyed our dinner then after the game the next day we decided to go back because we were so impressed with the food and service!! Saw the same gentleman in the drive thru again, made fun of us again lol, He gave us a card that we promptly lost so don't know his name but he is the Asst. Manager. Kudos to you sir for the amazing customer service! I hope your company appreciates you! You have won us over for sure! We will most def be back :)",GY9RgQrmE3RkpwJmF1pezA,0,0,5,StA6NsrPTL3sdUTA75_KcQ
197870,2017-06-05,0,gwYt_q3Ob7aQJIefIBsZiQ,Drive through clerk spoke fast when I apologized that I couldn't understand and asked her to repeat what she said she rudly talked really slow. You'll get better service if you order inside.,VodwE0SRHSskqNcGgAgivQ,0,0,1,UDyrkDgmh3kKYKzAtOaa7g
205497,2012-01-12,0,gwYt_q3Ob7aQJIefIBsZiQ,"Ate here two days in a row. When ever I'm in for some guilty pleasures of some delicious chicken fingers, I go here. I have to do some extra running but well worth it. ^^",wglXRvdSv2UsPS6sxAZ4sA,0,0,4,A1mLjMQWbIAVr8jFtaVJvg
227583,2015-04-28,0,gwYt_q3Ob7aQJIefIBsZiQ,This has some amazing chicken and sauce! My only complaint is that when you take food to go its soggy by the time you get home because of the restaurant using styrofoam to go containers! They need to get boxes like KFC and places like that have so the chicken and fries are crispy! Other than that. Delicious!!!,AREm24wH7tXEHC_FKUQIWw,0,0,4,mKUTuMgS6e2RPvczR2HNmQ
278182,2011-09-11,2,gwYt_q3Ob7aQJIefIBsZiQ,"You get what you pay for when you're talking about Raising Cane's.  It is what it is; they are who we thought they were, haha....  But when you get down to the brass tax, it's fried chicken fingers that we keep coming back for ladies and gentleman.  They do it well and often and I for one will keep coming back.  

There is of course the people who say, ""That's all they have?"".  And I usually reply with ""yes, but they do it Oh so Well!"".  So try the chickend fingers my friends and know that it is the one thing that they do, and they are not ashamed of that fact!",aT_AzbpcsbodNNtFzPqRVg,3,1,4,oqUcZ4DtpBhlXMpabhdivQ
279797,2014-08-22,0,gwYt_q3Ob7aQJIefIBsZiQ,"I gotta be honest when I heard they didn't offer ranch in a place that serves chicken I was a little upset, I mean ranch and chicken go hand in hand. Boy was I in for a pleasant surprise the house sauce is amazing and the chicken is cooked perfectly. Definitely a returning customer.",a75COLntnJdY8T33GdFc3w,0,0,5,Xr7VX3_K9m5xV6OnRqMgXw
283831,2014-03-16,0,gwYt_q3Ob7aQJIefIBsZiQ,"If El Pollo Locos chicken is good, this is way up there!
Smooth to the throat, and tastier!
Must say, one if the best fast food chicken I've eaten!",N1sKQSVAll7UurvCz7-RYQ,0,0,5,P3TzhXegr_hsnPplVvRZDA
