,date,funny,business_id,text,user_id,useful,cool,stars,review_id
4184,2014-03-03,0,h19bR52xQ9fQWGMTSbjnbw,The food was amazing. It was something new that I had never tried before. The taste was authentic and homemade. Other then the taste of the food the most compelling aspect was the friendly waiter. She was very kind and enlighten.,r3u9y04v1ONr-JR-lio34A,0,0,4,3jnl5tE2BaYYQIWWnVQ3eQ
56971,2016-08-05,0,h19bR52xQ9fQWGMTSbjnbw,A very good place to have coffee lunch or dinner. The atmosphere is contemporary and clean the staff freindly and the food is delicious.,FWnBczVXK_8j1RSG64VzMA,0,0,5,_u_aDfxXK0XeR2jb4G624A
97295,2014-08-04,0,h19bR52xQ9fQWGMTSbjnbw,"I didn't want to give a star rating because I walked out. It appears smoking is ok at this restaurant and I just don't like to go to places where I have to breathe someone's cigarette smoke, however little. As Justice Holmes once wrote, a smoker and non-smoker cannot be equally free in a railway car.",3b5EsiTkqgdbxPXz7LfBpA,4,0,3,_Shi4A_HAaCK0407xUs8dw
163737,2015-03-06,0,h19bR52xQ9fQWGMTSbjnbw,"Excellent food. Horrible service. Literally children running around between the bar and restaurant areas for 15 minutes. Something had to be said for the manager to come out and say something. Waitress wasn't rude, but very short and slow. 15 minutes to take the order, when they weren't busy, then stood around socializing while I waited for the check. It took another waitress to come by to offer it, when ours was finally prompted to do so by her. My meal was served 10 minutes before my friends was ....",AiUNKpa67K118mUbqUwfeA,2,0,2,OfbpNV-Ih1s4rDqRdlIUpQ
181840,2013-06-14,0,h19bR52xQ9fQWGMTSbjnbw,"I absolutely loved this place. I was so impressed by the food here. I got the shopska and chicken kebab the last time I ate here and it was really fresh and so delicious. Plus, the staff here are extremely friendly. I also really enjoyed the atmosphere inside. Its very pleasant. I would like to come back sometime for a drink with friends. Its close to where I work, so I will definitely be coming back again and again!",gy8tGCVYlqohm1eO_39SKQ,2,2,5,AcpHrrLyfo0fntlqSsA39g
412985,2015-03-30,0,h19bR52xQ9fQWGMTSbjnbw,"The food was great,  the service was excellent. Thank you for bringing me back in memories with delicious meals.  Highly recommended!",Vgrc6FUq-mZzvCxB8E21nw,0,0,5,5oRUPHUIKWeeMeaj7nKLCQ
426422,2015-06-25,0,h19bR52xQ9fQWGMTSbjnbw,"It was our first dining experience here, and my first experience with European food, our server Maia was so awesome and very helpful. Great service, good food, good desserts! Will definitely come again.
HVALA!",luckF35uuhspzH29_2Pi3Q,1,0,5,1tDs1MwOiRqk_qCo-6CiZA
446809,2017-04-17,0,h19bR52xQ9fQWGMTSbjnbw,Authentic Bulgarian Food!! Enjoyed every bite! Staff was very friendly! We will come back again!,q2F0H8sQp8MeJ385omD_RQ,0,0,5,NwMfTsq11H2ocwPel-FHjg
508831,2015-01-26,0,h19bR52xQ9fQWGMTSbjnbw,"Very good food, very good service. The portions were so big i and my husband really could not finish. I would of give it 5* but i've seen dishes comeing out if the kitchen that you couldn't find on the menu .. So,as an idea, update your Menus so you can sell what you serve :))",L7TaBcrW3z8Q1qlGtgBUdQ,1,0,4,bBWkq4jm2K9qWrJQHzZ_JQ
517262,2017-09-29,0,h19bR52xQ9fQWGMTSbjnbw,"Authentic, amazing. You should try the biscuit cake and the cappuccino. Also kebapche or the mixed grill. very nice service and the food is home made.",N7CVpC0nO0lYLYbaB5Io1A,0,0,5,74eHiuUgQsoUENTLSWwhMA
