,date,funny,business_id,text,user_id,useful,cool,stars,review_id
13981,2017-08-29,0,h4Q-uSoOIhMoIsOhat6l3A,"Meh. Food is bland. I don't like spicy, but I expect Mexican food to be flavorful. Have been here several times with friends and it misses the mark on many dishes. Service is prompt and friendly, though.",x_eqfze_PgjxRIcce0TqZA,0,0,3,fd1GW_K8zoHVKAbNwczLcg
17602,2015-02-22,0,h4Q-uSoOIhMoIsOhat6l3A,"Cheese Dip was amazinggreat flavor! The food was excellent! Great service, I felt very welcomed ""just like home""  The Mojitos were just right! Love the decoration !!",t47kd4T_aOdY8juitiy-yw,0,0,5,RVoxWoTzUGnFflYWTsp59Q
54400,2016-05-01,0,h4Q-uSoOIhMoIsOhat6l3A,"The place serves good food but except for the manager Raul; especially the ones working in the back that don't do their job:
#1get service with a previous use coffee cup
#2waiters forget always some item like tortillas#5

#3go in about 12 or one jus to eat Caldo and their out; what's the use of getting UP.
#4 maybe I should try to understand that Raul can't be there all the time to hold his employees hands when he puts his trust on them to do the best;NO PRIDE AT ALL",7syrOw9xdsCj8-qkko0mpw,0,0,1,RVtaQZOBqzlIvv38BTxf9g
113823,2016-10-22,0,h4Q-uSoOIhMoIsOhat6l3A,"I'm so happy with my meal today, I was craving Mexican food and this hit the spot. I had a cheese/jalapeño tamale and cheese enchilada combo plate. The masa was perfect, the sauce was delicious, a bit more mild than I normally like but delicious. Service was excellent. Staff is attentive and has a great personality and food came very quick!",lkABDtLKXj-wIjnQr0b_Gw,0,0,5,4_JbnMlMG0eFpm7xrLbgeA
133784,2016-07-05,0,h4Q-uSoOIhMoIsOhat6l3A,"Great place amazing food. People are so friendly and great costumer service, they make you feel you are at home. I highly recommend this restaurant. Big 5 stars this place is super clean. I never have to wait for service, everyone makes sure that you are taken care of.",8ojtQUm9eg_ivTx-jWMCGg,0,0,5,88EyVKg6-AkfG28jbaoVTA
151578,2016-02-08,0,h4Q-uSoOIhMoIsOhat6l3A,"I've been twice.  First time was really good, second was not.
Ordered the chicken carne burrito both times; first time was loaded with nothing but shredded chicken and guac - perfect, second time it was a 4oz portion of grilled chicken in a 12"" tortilla - not good.  First time the Corona Light (on special) was cold and very fresh, second time it was barely cold, no head and stale.
(5+2)/2= 3 stars, rounding down.  We'll go again and I'm hopeful for a repeat of the 5-star.",A30UXEWgGCMxxXbzlwx5ag,1,1,3,qJS1fblCiLM9Ng4PYrlQfg
158847,2016-04-25,0,h4Q-uSoOIhMoIsOhat6l3A,2 thumbs up! Great service n sumptuous food all the time!! Fajita is my favorite! Will definately come back again soon!,M3CkKyLJxapxN6FH-VzC8Q,0,0,5,68SYyB6x2QRfb0gA27eNqQ
159002,2017-09-19,0,h4Q-uSoOIhMoIsOhat6l3A,"Love this place . The tortillas are hand made . This place does get pretty busy . However , I love that they make fresh fruit water . Also known as ""agua de sabor "" same thing just in Spanish lol . Any way they make it to order. Maybe I was a little more excited about the mango water . But the food is good as well.",AytdgoOmmczWwQEcbVU3pQ,0,0,5,8SXX1ayFWDldeMO1wR_t5g
161604,2017-10-16,0,h4Q-uSoOIhMoIsOhat6l3A,"Fresh and great taste....
-7 mares caldo OMG!!! BOMB!
-Homemade torillas
-big Portion
-home made aguas frescas
-Great service!",t4oyQHrNxFHIBZTHtcRFUQ,0,0,4,GhTI3Fcw-FKKrOHSPGlSug
166338,2015-02-20,0,h4Q-uSoOIhMoIsOhat6l3A,"This restaurant has to have the best staff I've ever seen, they're so friendly and attentive. The food is just as amazing as the downtown location, just with a more modern feeling. 5 stars",ab8nKSbStj0AtR5gVHLsAQ,0,1,5,66vL17pWK-g_TRXXb89RTA
